species	tf_symbol	tf_key	source_labels	source_record_count	records_with_reference	unique_reference_pmids	source_registries	mapping_decision	frozen_entity_match_status	frozen_entity_ids	explicit_tf_role_present	default_module	existing_module_overlap_flags	both_species_present	priority_rank	review_status	notes
human	CBFB	cbfb	CBFB	4	4	2	TRRUST	normalized_exact	absent_from_frozen_graph		false	22B		false	3	new_candidate	
mouse	Chd7	chd7	Chd7	5	5	2	TRRUST	normalized_exact	absent_from_frozen_graph		false	22B		false	3	new_candidate	
human	CTNNBIP1	ctnnbip1	CTNNBIP1	3	3	3	TRRUST	normalized_exact	absent_from_frozen_graph		false	22B		false	3	new_candidate	
human	DDB2	ddb2	DDB2	3	3	3	TRRUST	normalized_exact	absent_from_frozen_graph		false	22B		false	3	new_candidate	
mouse	Egr4	egr4	Egr4	2	2	3	TRRUST	normalized_exact	absent_from_frozen_graph		false	22B		false	3	new_candidate	
human	ELL	ell	ELL	4	4	2	TRRUST	normalized_exact	absent_from_frozen_graph		false	22B		false	3	new_candidate	
human	FOXE1	foxe1	FOXE1	2	2	3	TRRUST	normalized_exact	absent_from_frozen_graph		false	22B		false	3	new_candidate	
human	FOXF2	foxf2	FOXF2	8	8	1	TRRUST	normalized_exact	absent_from_frozen_graph		false	22B		false	3	new_candidate	
human	FUBP1	fubp1	FUBP1	2	2	3	TRRUST	normalized_exact	absent_from_frozen_graph		false	22B		false	3	new_candidate	
mouse	G3UW90	g3uw90	G3UW90	1	1	3	OmniPath_DoRothEA	normalized_exact	absent_from_frozen_graph		false	22B		false	3	new_candidate	
human	ING2	ing2	ING2	3	3	3	TRRUST	normalized_exact	absent_from_frozen_graph		false	22B		false	3	new_candidate	
human	PAWR	pawr	PAWR	2	2	3	TRRUST	normalized_exact	absent_from_frozen_graph		false	22B		false	3	new_candidate	
mouse	Ppargc1b	ppargc1b	Ppargc1b	3	3	3	TRRUST	normalized_exact	absent_from_frozen_graph		false	22B		false	3	new_candidate	
human	RFX2	rfx2	RFX2	2	2	3	TRRUST	normalized_exact	absent_from_frozen_graph		false	22B		false	3	new_candidate	
human	SNW1	snw1	SNW1	3	3	3	TRRUST	normalized_exact	absent_from_frozen_graph		false	22B		false	3	new_candidate	
mouse	Sox18	sox18	Sox18	3	3	3	TRRUST	normalized_exact	absent_from_frozen_graph		false	22B		false	3	new_candidate	
mouse	Sox7	sox7	Sox7	3	3	3	TRRUST	normalized_exact	absent_from_frozen_graph		false	22B		false	3	new_candidate	
human	SP100	sp100	SP100	2	2	3	OmniPath_DoRothEA;TRRUST	normalized_exact	absent_from_frozen_graph		false	22B		false	3	new_candidate	
mouse	Sufu	sufu	Sufu	3	3	3	TRRUST	normalized_exact	absent_from_frozen_graph		false	22B		false	3	new_candidate	
mouse	Tlx3	tlx3	Tlx3	3	3	3	TRRUST	normalized_exact	absent_from_frozen_graph		false	22B		false	3	new_candidate	
