species	tf_symbol	tf_key	source_labels	source_record_count	records_with_reference	unique_reference_pmids	source_registries	mapping_decision	frozen_entity_match_status	frozen_entity_ids	explicit_tf_role_present	default_module	existing_module_overlap_flags	both_species_present	priority_rank	review_status	notes
human	HTATIP2	htatip2	HTATIP2	3	3	2	TRRUST	normalized_exact	absent_from_frozen_graph		false	22B		true	1002	new_candidate	
mouse	Htatip2	htatip2	Htatip2	3	3	2	TRRUST	normalized_exact	absent_from_frozen_graph		false	22B		true	1002	new_candidate	
mouse	Klf16	klf16	Klf16	3	3	2	TRRUST	normalized_exact	absent_from_frozen_graph		false	22B		true	1002	new_candidate	
mouse	Klf7	klf7	Klf7	2	2	2	TRRUST	normalized_exact	absent_from_frozen_graph		false	22B		true	1002	new_candidate	
human	MAFF	maff	MAFF	3	2	2	OmniPath_DoRothEA;TRRUST	normalized_exact	absent_from_frozen_graph		false	22B		true	1002	new_candidate	
mouse	Maff	maff	Maff	1	1	2	OmniPath_DoRothEA	normalized_exact	absent_from_frozen_graph		false	22B		true	1002	new_candidate	
human	MTA2	mta2	MTA2	2	2	2	TRRUST	normalized_exact	absent_from_frozen_graph		false	22B		true	1002	new_candidate	
human	NFE2L1	nfe2l1	NFE2L1	3	2	2	OmniPath_DoRothEA;TRRUST	normalized_exact	absent_from_frozen_graph		false	22B		true	1002	new_candidate	
human	NFIX	nfix	NFIX	2	2	2	TRRUST	normalized_exact	absent_from_frozen_graph		false	22B		true	1002	new_candidate	
mouse	Nfix	nfix	Nfix	2	2	2	TRRUST	normalized_exact	absent_from_frozen_graph		false	22B		true	1002	new_candidate	
human	NR2E3	nr2e3	NR2E3	2	2	2	TRRUST	normalized_exact	absent_from_frozen_graph		false	22B		true	1002	new_candidate	
mouse	Nr4a3	nr4a3	Nr4a3	2	2	2	TRRUST	normalized_exact	absent_from_frozen_graph		false	22B		true	1002	new_candidate	
human	ONECUT2	onecut2	ONECUT2	3	3	2	OmniPath_DoRothEA;TRRUST	normalized_exact	absent_from_frozen_graph		false	22B		true	1002	new_candidate	
human	PIAS4	pias4	PIAS4	2	2	2	TRRUST	normalized_exact	absent_from_frozen_graph		false	22B		true	1002	new_candidate	
mouse	Pou3f4	pou3f4	Pou3f4	2	2	2	TRRUST	normalized_exact	absent_from_frozen_graph		false	22B		true	1002	new_candidate	
mouse	Runx1t1	runx1t1	Runx1t1	3	3	2	TRRUST	normalized_exact	absent_from_frozen_graph		false	22B		true	1002	new_candidate	
human	SATB2	satb2	SATB2	2	2	2	TRRUST	normalized_exact	absent_from_frozen_graph		false	22B		true	1002	new_candidate	
mouse	Satb2	satb2	Satb2	2	2	2	TRRUST	normalized_exact	absent_from_frozen_graph		false	22B		true	1002	new_candidate	
human	SETBP1	setbp1	SETBP1	3	3	2	TRRUST	normalized_exact	absent_from_frozen_graph		false	22B		true	1002	new_candidate	
human	SIM2	sim2	SIM2	3	3	2	TRRUST	normalized_exact	absent_from_frozen_graph		false	22B		true	1002	new_candidate	
mouse	Sim2	sim2	Sim2	2	2	2	TRRUST	normalized_exact	absent_from_frozen_graph		false	22B		true	1002	new_candidate	
mouse	Sla2	sla2	Sla2	2	2	2	TRRUST	normalized_exact	absent_from_frozen_graph		false	22B		true	1002	new_candidate	
human	SPEN	spen	SPEN	2	2	2	TRRUST	normalized_exact	absent_from_frozen_graph		false	22B		true	1002	new_candidate	
human	TEF	tef	TEF	3	3	2	TRRUST	normalized_exact	absent_from_frozen_graph		false	22B		true	1002	new_candidate	
mouse	Tle3	tle3	Tle3	2	2	2	TRRUST	normalized_exact	absent_from_frozen_graph		false	22B		true	1002	new_candidate	
human	KLF16	klf16	KLF16	1	1	1	TRRUST	normalized_exact	absent_from_frozen_graph		false	22B		true	1001	new_candidate	
human	KLF7	klf7	KLF7	1	1	1	TRRUST	normalized_exact	absent_from_frozen_graph		false	22B		true	1001	new_candidate	
mouse	Mta2	mta2	Mta2	1	1	1	TRRUST	normalized_exact	absent_from_frozen_graph		false	22B		true	1001	new_candidate	
mouse	Nr2e3	nr2e3	Nr2e3	1	1	1	TRRUST	normalized_exact	absent_from_frozen_graph		false	22B		true	1001	new_candidate	
human	NR4A3	nr4a3	NR4A3	1	1	1	TRRUST	normalized_exact	absent_from_frozen_graph		false	22B		true	1001	new_candidate	
mouse	Onecut2	onecut2	Onecut2	1	1	1	OmniPath_DoRothEA	normalized_exact	absent_from_frozen_graph		false	22B		true	1001	new_candidate	
mouse	Pias4	pias4	Pias4	1	1	1	TRRUST	normalized_exact	absent_from_frozen_graph		false	22B		true	1001	new_candidate	
human	POU3F4	pou3f4	POU3F4	1	1	1	TRRUST	normalized_exact	absent_from_frozen_graph		false	22B		true	1001	new_candidate	
human	RUNX1T1	runx1t1	RUNX1T1	1	1	1	TRRUST	normalized_exact	absent_from_frozen_graph		false	22B		true	1001	new_candidate	
mouse	Setbp1	setbp1	Setbp1	1	1	1	TRRUST	normalized_exact	absent_from_frozen_graph		false	22B		true	1001	new_candidate	
