species	tf_symbol	tf_key	source_labels	source_record_count	records_with_reference	unique_reference_pmids	source_registries	mapping_decision	frozen_entity_match_status	frozen_entity_ids	explicit_tf_role_present	default_module	existing_module_overlap_flags	both_species_present	priority_rank	review_status	notes
human	GCM2	gcm2	GCM2	3	3	12	OmniPath_DoRothEA;TRRUST	normalized_exact	absent_from_frozen_graph		false	22B		true	1012	new_candidate	
mouse	Ikbkb	ikbkb	Ikbkb	13	13	9	TRRUST	normalized_exact	absent_from_frozen_graph		false	22B		true	1012	new_candidate	
human	LHX3	lhx3	LHX3	6	6	11	OmniPath_DoRothEA;TRRUST	normalized_exact	absent_from_frozen_graph		false	22B		true	1012	new_candidate	
mouse	Lhx3	lhx3	Lhx3	5	5	11	OmniPath_DoRothEA;TRRUST	normalized_exact	absent_from_frozen_graph		false	22B		true	1012	new_candidate	
mouse	Mlxipl	mlxipl	Mlxipl	17	17	8	TRRUST	normalized_exact	absent_from_frozen_graph		false	22B		true	1012	new_candidate	
mouse	Onecut1	onecut1	Onecut1	10	10	10	OmniPath_DoRothEA;TRRUST	normalized_exact	absent_from_frozen_graph		false	22B		true	1012	new_candidate	
human	SP2	sp2	SP2	13	12	9	OmniPath_DoRothEA;TRRUST	normalized_exact	absent_from_frozen_graph		false	22B		true	1012	new_candidate	
mouse	Ascl1	ascl1	Ascl1	10	10	9	OmniPath_DoRothEA;TRRUST	normalized_exact	absent_from_frozen_graph		false	22B		true	1011	new_candidate	
human	CDX1	cdx1	CDX1	11	11	9	OmniPath_DoRothEA;TRRUST	normalized_exact	absent_from_frozen_graph		false	22B		true	1011	new_candidate	
mouse	Egr3	egr3	Egr3	5	5	10	OmniPath_DoRothEA;TRRUST	normalized_exact	absent_from_frozen_graph		false	22B		true	1011	new_candidate	
human	EWSR1	ewsr1	EWSR1	9	9	9	TRRUST	normalized_exact	absent_from_frozen_graph		false	22B		true	1011	new_candidate	
mouse	Id2	id2	Id2	11	11	9	TRRUST	normalized_exact	absent_from_frozen_graph		false	22B		true	1011	new_candidate	
human	ING4	ing4	ING4	16	16	7	TRRUST	normalized_exact	absent_from_frozen_graph		false	22B		true	1011	new_candidate	
human	KAT2B	kat2b	KAT2B	13	13	8	TRRUST	normalized_exact	absent_from_frozen_graph		false	22B		true	1011	new_candidate	
mouse	Men1	men1	Men1	10	10	9	TRRUST	normalized_exact	absent_from_frozen_graph		false	22B		true	1011	new_candidate	
human	MXD1	mxd1	MXD1	6	6	10	OmniPath_DoRothEA;TRRUST	normalized_exact	absent_from_frozen_graph		false	22B		true	1011	new_candidate	
human	POU3F2	pou3f2	POU3F2	10	10	9	OmniPath_DoRothEA;TRRUST	normalized_exact	absent_from_frozen_graph		false	22B		true	1011	new_candidate	
human	PTTG1	pttg1	PTTG1	16	16	7	TRRUST	normalized_exact	absent_from_frozen_graph		false	22B		true	1011	new_candidate	
mouse	Rbl2	rbl2	Rbl2	10	10	9	TRRUST	normalized_exact	absent_from_frozen_graph		false	22B		true	1011	new_candidate	
mouse	Sp2	sp2	Sp2	9	9	9	TRRUST	normalized_exact	absent_from_frozen_graph		false	22B		true	1011	new_candidate	
human	SPDEF	spdef	SPDEF	11	11	9	OmniPath_DoRothEA;TRRUST	normalized_exact	absent_from_frozen_graph		false	22B		true	1011	new_candidate	
human	ABL1	abl1	ABL1	12	12	7	TRRUST	normalized_exact	absent_from_frozen_graph		false	22B		true	1010	new_candidate	
human	MEN1	men1	MEN1	11	11	8	TRRUST	normalized_exact	absent_from_frozen_graph		false	22B		true	1010	new_candidate	
human	EGR3	egr3	EGR3	4	4	7	OmniPath_DoRothEA;TRRUST	normalized_exact	absent_from_frozen_graph		false	22B		true	1008	new_candidate	
human	ASCL1	ascl1	ASCL1	8	8	4	OmniPath_DoRothEA;TRRUST	normalized_exact	absent_from_frozen_graph		false	22B		true	1006	new_candidate	
mouse	Cdx1	cdx1	Cdx1	5	5	5	OmniPath_DoRothEA;TRRUST	normalized_exact	absent_from_frozen_graph		false	22B		true	1006	new_candidate	
mouse	Kat2b	kat2b	Kat2b	5	5	5	TRRUST	normalized_exact	absent_from_frozen_graph		false	22B		true	1006	new_candidate	
mouse	Spdef	spdef	Spdef	7	7	5	OmniPath_DoRothEA;TRRUST	normalized_exact	absent_from_frozen_graph		false	22B		true	1006	new_candidate	
human	IKBKB	ikbkb	IKBKB	6	6	4	TRRUST	normalized_exact	absent_from_frozen_graph		false	22B		true	1005	new_candidate	
mouse	Pou3f2	pou3f2	Pou3f2	5	5	4	OmniPath_DoRothEA;TRRUST	normalized_exact	absent_from_frozen_graph		false	22B		true	1005	new_candidate	
human	RBL2	rbl2	RBL2	4	4	4	TRRUST	normalized_exact	absent_from_frozen_graph		false	22B		true	1005	new_candidate	
mouse	Ewsr1	ewsr1	Ewsr1	3	3	3	TRRUST	normalized_exact	absent_from_frozen_graph		false	22B		true	1003	new_candidate	
mouse	Abl1	abl1	Abl1	2	2	2	TRRUST	normalized_exact	absent_from_frozen_graph		false	22B		true	1002	new_candidate	
human	ID2	id2	ID2	2	2	2	TRRUST	normalized_exact	absent_from_frozen_graph		false	22B		true	1002	new_candidate	
human	ONECUT1	onecut1	ONECUT1	3	3	2	OmniPath_DoRothEA;TRRUST	normalized_exact	absent_from_frozen_graph		false	22B		true	1002	new_candidate	
