pmid	local_path	retrieval_status	retrieval_method	retrieved_at_utc	sha256	title
10025398	data/raw/evidence/module23_pubmed_abstracts_20260905/PMID_10025398_pubmed.xml	cached	ncbi_pubmed_efetch_xml	2026-09-05T15:45:28.836122+00:00	5b9b34b88898e6be716e0e9bffa476757ae4412298859b348ff0c490cafbbf4b	The integrin alpha v beta 6 binds and activates latent TGF beta 1: a mechanism for regulating pulmonary inflammation and fibrosis.
10037797	data/raw/evidence/module23_pubmed_abstracts_20260905/PMID_10037797_pubmed.xml	cached	ncbi_pubmed_efetch_xml	2026-09-05T15:45:28.836122+00:00	348c5efd4ebe4e6d1dbf143bc3a0474edab9705c406c605d800ef075539b1beb	The vitronectin receptor and its associated CD47 molecule mediates proinflammatory cytokine synthesis in human monocytes by interaction with soluble CD23.
10192457	data/raw/evidence/module23_pubmed_abstracts_20260905/PMID_10192457_pubmed.xml	cached	ncbi_pubmed_efetch_xml	2026-09-05T15:45:28.836122+00:00	8e26914236f94dc2383d3bae671fda8c5f13dabe903941d1c36b357304ec4aad	The role of plasminogen activator inhibitor-1 as inhibitor of platelet and megakaryoblastic cell adhesion.
10196234	data/raw/evidence/module23_pubmed_abstracts_20260905/PMID_10196234_pubmed.xml	cached	ncbi_pubmed_efetch_xml	2026-09-05T15:45:28.836122+00:00	8ee318a24b8c2672826ffdcaf4aa09cc29b37a4e32488a20b63d6873b3e1a749	Pro-adhesive and chemotactic activities of thrombospondin-1 for breast carcinoma cells are mediated by alpha3beta1 integrin and regulated by insulin-like growth factor-1 and CD98.
10198043	data/raw/evidence/module23_pubmed_abstracts_20260905/PMID_10198043_pubmed.xml	cached	ncbi_pubmed_efetch_xml	2026-09-05T15:45:28.836122+00:00	ddeaae0d723086ae905b5e9d266093856526ae404ab6899c74e0983f7ae2a747	Specific activation of leukocyte beta2 integrins lymphocyte function-associated antigen-1 and Mac-1 by chemokines mediated by distinct pathways via the alpha subunit cytoplasmic domains.
10209034	data/raw/evidence/module23_pubmed_abstracts_20260905/PMID_10209034_pubmed.xml	fetched	ncbi_pubmed_efetch_xml	2026-09-05T15:45:42.906638+00:00	70e8a2f38d91bf71d801d98c7cb644d4ba3be591d0fa557af3a29dae265c7a4e	The integrin alpha9beta1 mediates adhesion to activated endothelial cells and transendothelial neutrophil migration through interaction with vascular cell adhesion molecule-1.
10229657	data/raw/evidence/module23_pubmed_abstracts_20260905/PMID_10229657_pubmed.xml	fetched	ncbi_pubmed_efetch_xml	2026-09-05T15:45:42.906638+00:00	8084871e53b10ab16d7b882509ab55c49b85e185a9883f14436aeac6d280a6ae	Ligand-specific, transient interaction between integrins and calreticulin during cell adhesion to extracellular matrix proteins is dependent upon phosphorylation/dephosphorylation events.
10366629	data/raw/evidence/module23_pubmed_abstracts_20260905/PMID_10366629_pubmed.xml	fetched	ncbi_pubmed_efetch_xml	2026-09-05T15:45:42.906638+00:00	45e53e0e6578e588442eae8292c2da6fc167b800fcc94db8b358d15eaa619007	Ephrin-A binding and EphA receptor expression delineate the matrix compartment of the striatum.
10493512	data/raw/evidence/module23_pubmed_abstracts_20260905/PMID_10493512_pubmed.xml	fetched	ncbi_pubmed_efetch_xml	2026-09-05T15:45:42.906638+00:00	bd0230b832433effc0136dae2462efab6bd533d2ee3b1e3dce97f3e18ac0da5d	Identification of CD47/integrin-associated protein and alpha(v)beta3 as two receptors for the alpha3(IV) chain of type IV collagen on tumor cells.
10497155	data/raw/evidence/module23_pubmed_abstracts_20260905/PMID_10497155_pubmed.xml	fetched	ncbi_pubmed_efetch_xml	2026-09-05T15:45:42.906638+00:00	b6471f267ad64de1b9c096d8ab4936d7dc56478a4fe45eafa67bbf98aaee5ebf	The Talin head domain binds to integrin beta subunit cytoplasmic tails and regulates integrin activation.
10516308	data/raw/evidence/module23_pubmed_abstracts_20260905/PMID_10516308_pubmed.xml	fetched	ncbi_pubmed_efetch_xml	2026-09-05T15:45:42.906638+00:00	12104499db52e074f73f4b1a2216cdd2a82b18be3e92ad45ffe3d642e38bba77	A role for the Eph ligand ephrin-A3 in entorhino-hippocampal axon targeting.
10518221	data/raw/evidence/module23_pubmed_abstracts_20260905/PMID_10518221_pubmed.xml	fetched	ncbi_pubmed_efetch_xml	2026-09-05T15:45:42.906638+00:00	4dd548ec765dfdd1eb56d984e4bab825838934514a6da4178ca78e01d4240b57	Symmetrical mutant phenotypes of the receptor EphB4 and its specific transmembrane ligand ephrin-B2 in cardiovascular development.
10520994	data/raw/evidence/module23_pubmed_abstracts_20260905/PMID_10520994_pubmed.xml	fetched	ncbi_pubmed_efetch_xml	2026-09-05T15:45:42.906638+00:00	0342e584d9fddd4ad841766aeccc3a1c6d0f7d24b1b9363b32d714864e23a235	Plexin-neuropilin-1 complexes form functional semaphorin-3A receptors.
10571240	data/raw/evidence/module23_pubmed_abstracts_20260905/PMID_10571240_pubmed.xml	fetched	ncbi_pubmed_efetch_xml	2026-09-05T15:45:42.906638+00:00	97fee081255f97eead56b441a3566c076bd8e3b1ffaf309b2c8e25f55d138d4a	Reelin is a ligand for lipoprotein receptors.
10579726	data/raw/evidence/module23_pubmed_abstracts_20260905/PMID_10579726_pubmed.xml	fetched	ncbi_pubmed_efetch_xml	2026-09-05T15:45:42.906638+00:00	19b36fd5611ff2d917d8ef6703e5a731a74654f081ee5437a6b62b04c17a7a61	Enhancement of endothelial cell migration and in vitro tube formation by TAP20, a novel beta 5 integrin-modulating, PKC theta-dependent protein.
10604475	data/raw/evidence/module23_pubmed_abstracts_20260905/PMID_10604475_pubmed.xml	fetched	ncbi_pubmed_efetch_xml	2026-09-05T15:45:42.906638+00:00	0b0c8a3dc55fb95f116dc1e9d63ea923de3bb75145f8b665f386754a2e5d6eae	Binding of paxillin to alpha4 integrins modifies integrin-dependent biological responses.
10625301	data/raw/evidence/module23_pubmed_abstracts_20260905/PMID_10625301_pubmed.xml	fetched	ncbi_pubmed_efetch_xml	2026-09-05T15:45:42.906638+00:00	5f99510622fc1f28cc298dcdbacff3764be43328ef54f0e00b16e68352639d8f	Angiopoietin-1 regulates endothelial cell survival through the phosphatidylinositol 3'-Kinase/Akt signal transduction pathway.
10640397	data/raw/evidence/module23_pubmed_abstracts_20260905/PMID_10640397_pubmed.xml	fetched	ncbi_pubmed_efetch_xml	2026-09-05T15:45:42.906638+00:00	75a556e13831bc49e36793862c2287163423bad3fa71288b585c2e93512881df	Syndecan-4 binding to the high affinity heparin-binding domain of fibronectin drives focal adhesion formation in fibroblasts.
