species	tf_symbol	target_symbol	external_record_keys	decision	module_assignment	evidence_status	support_kind	effect_polarity	primary_pmids	corroborating_pmids	shared_paper_status	cross_module_status	cell_type_context	stimulus_context	limitations	notes
human	RELA	TNF	NA	promote_to_22B	22B	verified_exact_primary	direct_binding_and_perturbation	positive	20805562	10754326	none_identified	not_claimed	primary human macrophages	LPS	Cell/stimulus-specific; primary macrophage evidence.	RelA recruitment/knockdown at TNF; p65/p50 promoter study corroborates.
human	NFKB1	IL6	NA	promote_to_22B	22B	verified_exact_primary	genetic_perturbation_and_binding	negative	34721373	16595631	none_identified	not_claimed	human THP-1-derived macrophages; human U937 corroboration	PMA differentiation; LPS	THP-1 model; p50 effects are dimer/context dependent.	NFKB1 loss increased IL6; independent p50 occupancy at IL6 promoter corroborates.
human	STAT3	CCND1	NA	promote_to_22B	22B	verified_exact_primary	promoter_binding_and_activation	positive	16510571	33754073	none_identified	not_claimed	human breast cancer-derived cells; HUVEC corroboration	STAT3-C/vSrc; IL-6	Cancer-cell context; direct human promoter evidence.	STAT3-site mutagenesis/ChIP and activation link CCND1; HUVEC ChIP corroborates.
human	RELB	IL6	NA	hold_direction_conflict	22B	exact_primary_but_polarity_conflict	direct_binding_and_perturbation	context_dependent	21884980;30957303	37924094	none_identified	not_claimed	human ER-negative breast cancer cells; primary human astrocytes	TNFα; IL-1β	Opposing polarity across cell type/stimulus; direction not portable.	RelB/IL6 promoter support in breast cancer conflicts with RelB-mediated IL6 suppression in astrocytes.
human	ESR1	PGR	\N	promote_to_22B	22B	primary_reference_verified	direct_promoter_binding_and_activation	activating_target	15084343	2615350	not_applicable	no_verified_cross_module_claim	human MCF-7 breast cancer cells	17beta-estradiol	Cancer-cell promoter/ChIP context; not a universal tissue claim.	Exact human PR promoter regulation by ERalpha; independent human breast-cancer induction study.
human	VDR	CYP24A1	\N	promote_to_22B	22B	primary_reference_verified	direct_promoter_regulation	activating_target	20450955	22871965	not_applicable	no_verified_cross_module_claim	human CYP24A1 promoter reporter; Caco-2 cells in corroboration	1,25-dihydroxyvitamin D3 (calcitriol)	Promoter-reporter and occupancy evidence in epithelial models; cofactor/context dependent.	Exact human CYP24A1 promoter induction by VDR signaling; independent Caco-2 VDR-binding study.
human	AR	KLK3	\N	promote_to_22B	22B	primary_reference_verified	direct_promoter_binding_and_activation	activating_target	8626436	22597536	not_applicable	no_verified_cross_module_claim	LNCaP human prostate cancer cells; human prostate tissue in corroboration	Androgen/DHT	Prostate cancer model; glucocorticoid receptor can also activate the PSA promoter.	Functional human PSA/KLK3 ARE/ARR evidence; independent AR recruitment and KLK3 upregulation study.
human	VDR	BGLAP	\N	promote_to_22B	22B	primary_reference_verified	direct_promoter_activation	activating_target	7872065	7705332	not_applicable	no_verified_cross_module_claim	human osteocalcin promoter reporter; MG-63 human osteoblast-like cells in corroboration	1,25-dihydroxyvitamin D3 (calcitriol)	Human promoter tested partly in heterologous/VDR-positive reporter systems; response is cell-state dependent.	Exact human osteocalcin/BGLAP promoter VDRE activation by VDR; independent human osteoblast-like VDRE-binding study.
human	CEBPA	PPARG	user_explicit_pair|second_wave_pilot|human|CEBPA|PPARG	promote_to_22B	22B	primary_exact_verified	direct_binding+promoter_reporter	activating_target	19059241	10862621	primary_exact_pair	not_applicable	human intestinal/colon cell model	butyrate-induced intestinal differentiation	CEBPA acts with CDX1 in the human system; corroboration is a mouse preadipocyte promoter study.	PMID 19059241 links CEBPA functional interaction to human PPARG transcription; PMID 10862621 independently shows C/EBPalpha binding and activation of the PPARgamma2 promoter.
human	E2F1	TP73	user_explicit_pair|second_wave_pilot|human|E2F1|TP73	promote_to_22B	22B	primary_exact_verified	direct_binding+promoter_reporter	activating_target	11988839	14602923	primary_exact_pair	not_applicable	human HeLa/Saos2/SH-SY5Y cancer-cell models	E2F1 expression; DNA-damage context	Cancer-cell models and TAp73/p73 promoter isoform context.	PMID 11988839 maps functional E2F1 sites in the human TP73 promoter; PMID 14602923 independently verifies E2F1-mediated p73 promoter activation.
