route_evidence_id	route_status	route_tier	path_expression	known_layers	missing_layers	intracellular_status	ligand_node_id	ligand_label	ligand_receptor_edge_id	receptor_node_id	receptor_label	receptor_intracellular_edge_id	intracellular_continuation_node_id	intracellular_continuation_label	intracellular_tf_edge_id	transcription_factor_node_id	transcription_factor_label	tf_target_edge_id	target_gene_node_id	target_gene_label	target_output_form_id	output_node_id	output_label	output_form_id	bridge_id	pathway_name	input_evidence_type	output_evidence_type	evidence_ids	source_queue_id	source_evidence_record_id	route_linkage_status	causal_status	traversal_status	source_chain_id
ROUTE:00001	retained_evidence_route	downstream_claim_unresolved_topology	????>????>????>????>????	downstream_claim	ligand_receptor_pair|receptor|intracellular_continuation|transcription_factor|target_gene_expression_or_output	not_mapped																				IFNL3-type-III-receptor	module21b_downstream_claim	unresolved_downstream_claim	M21B-EVID-000075	M21B-DOWNSTREAM:02261	M21B-DOWNSTREAM-EVID:003633	topology_unresolved_pending_manual_curation	not_asserted	evidence_route_not_causal	M21B-DOWNSTREAM:02261
ROUTE:00002	retained_evidence_route	downstream_claim_unresolved_topology	????>????>????>????>????	downstream_claim	ligand_receptor_pair|receptor|intracellular_continuation|transcription_factor|target_gene_expression_or_output	not_mapped																				IL1R2-soluble-decoy	module21b_downstream_claim	unresolved_downstream_claim	M21B-EVID-000077	M21B-DOWNSTREAM:02262	M21B-DOWNSTREAM-EVID:003634	topology_unresolved_pending_manual_curation	not_asserted	evidence_route_not_causal	M21B-DOWNSTREAM:02262
ROUTE:00003	retained_evidence_route	downstream_claim_unresolved_topology	????>????>????>????>????	downstream_claim	ligand_receptor_pair|receptor|intracellular_continuation|transcription_factor|target_gene_expression_or_output	not_mapped																				IL1R2-soluble-decoy	module21b_downstream_claim	unresolved_downstream_claim	M21B-EVID-000078	M21B-DOWNSTREAM:02263	M21B-DOWNSTREAM-EVID:003635	topology_unresolved_pending_manual_curation	not_asserted	evidence_route_not_causal	M21B-DOWNSTREAM:02263
ROUTE:00004	retained_evidence_route	downstream_claim_unresolved_topology	????>????>????>????>????	downstream_claim	ligand_receptor_pair|receptor|intracellular_continuation|transcription_factor|target_gene_expression_or_output	not_mapped																				EFNB2-EPHB4-vascular	module21b_downstream_claim	unresolved_downstream_claim	M21B-EVID-000140	M21B-DOWNSTREAM:02270	M21B-DOWNSTREAM-EVID:003642	topology_unresolved_pending_manual_curation	not_asserted	evidence_route_not_causal	M21B-DOWNSTREAM:02270
ROUTE:00005	retained_evidence_route	downstream_claim_unresolved_topology	????>????>????>????>????	downstream_claim	ligand_receptor_pair|receptor|intracellular_continuation|transcription_factor|target_gene_expression_or_output	not_mapped																				CCL19-ACKR4-scavenging	module21b_downstream_claim	unresolved_downstream_claim	M21B-EVID-000205	M21B-DOWNSTREAM:02272	M21B-DOWNSTREAM-EVID:003644	topology_unresolved_pending_manual_curation	not_asserted	evidence_route_not_causal	M21B-DOWNSTREAM:02272
ROUTE:00006	retained_evidence_route	downstream_claim_unresolved_topology	????>????>????>????>????	downstream_claim	ligand_receptor_pair|receptor|intracellular_continuation|transcription_factor|target_gene_expression_or_output	not_mapped																				CCL21-ACKR4-scavenging	module21b_downstream_claim	unresolved_downstream_claim	M21B-EVID-000206	M21B-DOWNSTREAM:02273	M21B-DOWNSTREAM-EVID:003645	topology_unresolved_pending_manual_curation	not_asserted	evidence_route_not_causal	M21B-DOWNSTREAM:02273
ROUTE:00007	retained_evidence_route	downstream_claim_unresolved_topology	????>????>????>????>????	downstream_claim	ligand_receptor_pair|receptor|intracellular_continuation|transcription_factor|target_gene_expression_or_output	not_mapped																				SEMA3A-NRP1-PLXNA1	module21b_downstream_claim	unresolved_downstream_claim	M21B-EVID-000274	M21B-DOWNSTREAM:02289	M21B-DOWNSTREAM-EVID:003661	topology_unresolved_pending_manual_curation	not_asserted	evidence_route_not_causal	M21B-DOWNSTREAM:02289
ROUTE:00008	retained_evidence_route	downstream_claim_unresolved_topology	????>????>????>????>????	downstream_claim	ligand_receptor_pair|receptor|intracellular_continuation|transcription_factor|target_gene_expression_or_output	not_mapped																				SEMA3A-NRP1-PLXNA2	module21b_downstream_claim	unresolved_downstream_claim	M21B-EVID-000275	M21B-DOWNSTREAM:02290	M21B-DOWNSTREAM-EVID:003662	topology_unresolved_pending_manual_curation	not_asserted	evidence_route_not_causal	M21B-DOWNSTREAM:02290
ROUTE:00009	retained_evidence_route	downstream_claim_unresolved_topology	????>????>????>????>????	downstream_claim	ligand_receptor_pair|receptor|intracellular_continuation|transcription_factor|target_gene_expression_or_output	not_mapped																				BMP9-ACVRL1-ACVR2B	module21b_downstream_claim	unresolved_downstream_claim	M21B-EVID-000281	M21B-DOWNSTREAM:02291	M21B-DOWNSTREAM-EVID:003663	topology_unresolved_pending_manual_curation	not_asserted	evidence_route_not_causal	M21B-DOWNSTREAM:02291
ROUTE:00010	retained_evidence_route	downstream_claim_unresolved_topology	????>????>????>????>????	downstream_claim	ligand_receptor_pair|receptor|intracellular_continuation|transcription_factor|target_gene_expression_or_output	not_mapped																				NODAL-ACVR1C-ACVR2B	module21b_downstream_claim	unresolved_downstream_claim	M21B-EVID-000297	M21B-DOWNSTREAM:02295	M21B-DOWNSTREAM-EVID:003667	topology_unresolved_pending_manual_curation	not_asserted	evidence_route_not_causal	M21B-DOWNSTREAM:02295
ROUTE:00011	retained_evidence_route	downstream_claim_unresolved_topology	????>????>????>????>????	downstream_claim	ligand_receptor_pair|receptor|intracellular_continuation|transcription_factor|target_gene_expression_or_output	not_mapped																				FGF22-FGFR1b-synapse-function	module21b_downstream_claim	unresolved_downstream_claim	M21B-EVID-000321	M21B-DOWNSTREAM:02301	M21B-DOWNSTREAM-EVID:003673	topology_unresolved_pending_manual_curation	not_asserted	evidence_route_not_causal	M21B-DOWNSTREAM:02301
ROUTE:00012	retained_evidence_route	downstream_claim_unresolved_topology	????>????>????>????>????	downstream_claim	ligand_receptor_pair|receptor|intracellular_continuation|transcription_factor|target_gene_expression_or_output	not_mapped																				FGF22-FGFR2b-synapse-function	module21b_downstream_claim	unresolved_downstream_claim	M21B-EVID-000322	M21B-DOWNSTREAM:02302	M21B-DOWNSTREAM-EVID:003674	topology_unresolved_pending_manual_curation	not_asserted	evidence_route_not_causal	M21B-DOWNSTREAM:02302
ROUTE:00013	retained_evidence_route	downstream_claim_unresolved_topology	????>????>????>????>????	downstream_claim	ligand_receptor_pair|receptor|intracellular_continuation|transcription_factor|target_gene_expression_or_output	not_mapped																				EFNA5-EPHB2-cross-class-guidance	module21b_downstream_claim	unresolved_downstream_claim	M21B-EVID-000325	M21B-DOWNSTREAM:02304	M21B-DOWNSTREAM-EVID:003676	topology_unresolved_pending_manual_curation	not_asserted	evidence_route_not_causal	M21B-DOWNSTREAM:02304
ROUTE:00014	retained_evidence_route	downstream_claim_unresolved_topology	????>????>????>????>????	downstream_claim	ligand_receptor_pair|receptor|intracellular_continuation|transcription_factor|target_gene_expression_or_output	not_mapped																				TNC-alphaVbeta6-binding	module21b_downstream_claim	unresolved_downstream_claim	M21B-EVID-000479	M21B-DOWNSTREAM:02332	M21B-DOWNSTREAM-EVID:003704	topology_unresolved_pending_manual_curation	not_asserted	evidence_route_not_causal	M21B-DOWNSTREAM:02332
ROUTE:00015	retained_evidence_route	downstream_claim_unresolved_topology	????>????>????>????>????	downstream_claim	ligand_receptor_pair|receptor|intracellular_continuation|transcription_factor|target_gene_expression_or_output	not_mapped																				TNC-alphaVbeta1-binding	module21b_downstream_claim	unresolved_downstream_claim	M21B-EVID-000483	M21B-DOWNSTREAM:02333	M21B-DOWNSTREAM-EVID:003705	topology_unresolved_pending_manual_curation	not_asserted	evidence_route_not_causal	M21B-DOWNSTREAM:02333
ROUTE:00016	retained_evidence_route	downstream_claim_unresolved_topology	????>????>????>????>????	downstream_claim	ligand_receptor_pair|receptor|intracellular_continuation|transcription_factor|target_gene_expression_or_output	not_mapped																				RAGE-alphaXbeta2-counter-receptor-adhesion	module21b_downstream_claim	unresolved_downstream_claim	M21B-EVID-000540	M21B-DOWNSTREAM:02345	M21B-DOWNSTREAM-EVID:003717	topology_unresolved_pending_manual_curation	not_asserted	evidence_route_not_causal	M21B-DOWNSTREAM:02345
ROUTE:00017	retained_evidence_route	downstream_claim_unresolved_topology	????>????>????>????>????	downstream_claim	ligand_receptor_pair|receptor|intracellular_continuation|transcription_factor|target_gene_expression_or_output	not_mapped																				C1q-CALR-CD91-apoptotic-clearance	module21b_downstream_claim	unresolved_downstream_claim	M21B-EVID-000651	M21B-DOWNSTREAM:02364	M21B-DOWNSTREAM-EVID:003739	topology_unresolved_pending_manual_curation	not_asserted	evidence_route_not_causal	M21B-DOWNSTREAM:02364
ROUTE:00018	retained_evidence_route	downstream_claim_unresolved_topology	????>????>????>????>????	downstream_claim	ligand_receptor_pair|receptor|intracellular_continuation|transcription_factor|target_gene_expression_or_output	not_mapped																				IL13-type-II-receptor-complex	module21b_downstream_claim	unresolved_downstream_claim	M21B-EVID-000683	M21B-DOWNSTREAM:02366	M21B-DOWNSTREAM-EVID:003741	topology_unresolved_pending_manual_curation	not_asserted	evidence_route_not_causal	M21B-DOWNSTREAM:02366
ROUTE:00019	retained_evidence_route	downstream_claim_unresolved_topology	????>????>????>????>????	downstream_claim	ligand_receptor_pair|receptor|intracellular_continuation|transcription_factor|target_gene_expression_or_output	not_mapped																				SEMA3F-NRP2-PlexinA3-homeostatic-scaling	module21b_downstream_claim	unresolved_downstream_claim	M21B-EVID-000777	M21B-DOWNSTREAM:02369	M21B-DOWNSTREAM-EVID:003744	topology_unresolved_pending_manual_curation	not_asserted	evidence_route_not_causal	M21B-DOWNSTREAM:02369
ROUTE:00020	retained_evidence_route	downstream_claim_unresolved_topology	????>????>????>????>????	downstream_claim	ligand_receptor_pair|receptor|intracellular_continuation|transcription_factor|target_gene_expression_or_output	not_mapped																				UMOD-TLR4-dendritic-cell-activation	module21b_downstream_claim	unresolved_downstream_claim	M21B-EVID-000838	M21B-DOWNSTREAM:02387	M21B-DOWNSTREAM-EVID:003762	topology_unresolved_pending_manual_curation	not_asserted	evidence_route_not_causal	M21B-DOWNSTREAM:02387
ROUTE:00021	retained_evidence_route	downstream_claim_unresolved_topology	????>????>????>????>????	downstream_claim	ligand_receptor_pair|receptor|intracellular_continuation|transcription_factor|target_gene_expression_or_output	not_mapped																				GDF15-GFRAL-RET	module21b_downstream_claim	unresolved_downstream_claim	M21B-EVID-000950	M21B-DOWNSTREAM:02402	M21B-DOWNSTREAM-EVID:003777	topology_unresolved_pending_manual_curation	not_asserted	evidence_route_not_causal	M21B-DOWNSTREAM:02402
ROUTE:00022	retained_evidence_route	downstream_claim_unresolved_topology	????>????>????>????>????	downstream_claim	ligand_receptor_pair|receptor|intracellular_continuation|transcription_factor|target_gene_expression_or_output	not_mapped																				MET-pY1356-GRB2	module21b_downstream_claim	unresolved_downstream_claim	M21B-EVID-000973	M21B-DOWNSTREAM:02405	M21B-DOWNSTREAM-EVID:003780	topology_unresolved_pending_manual_curation	not_asserted	evidence_route_not_causal	M21B-DOWNSTREAM:02405
ROUTE:00023	retained_evidence_route	downstream_claim_unresolved_topology	????>????>????>????>????	downstream_claim	ligand_receptor_pair|receptor|intracellular_continuation|transcription_factor|target_gene_expression_or_output	not_mapped																				IFNAR1-YVFF-AP2M1-trafficking	module21b_downstream_claim	unresolved_downstream_claim	M21B-EVID-000989	M21B-DOWNSTREAM:02406	M21B-DOWNSTREAM-EVID:003781	topology_unresolved_pending_manual_curation	not_asserted	evidence_route_not_causal	M21B-DOWNSTREAM:02406
ROUTE:00024	retained_evidence_route	downstream_claim_unresolved_topology	????>????>????>????>????	downstream_claim	ligand_receptor_pair|receptor|intracellular_continuation|transcription_factor|target_gene_expression_or_output	not_mapped																				IFNAR1-pY466-PTPN1-trafficking	module21b_downstream_claim	unresolved_downstream_claim	M21B-EVID-000990	M21B-DOWNSTREAM:02407	M21B-DOWNSTREAM-EVID:003782	topology_unresolved_pending_manual_curation	not_asserted	evidence_route_not_causal	M21B-DOWNSTREAM:02407
ROUTE:00025	retained_evidence_route	downstream_claim_unresolved_topology	????>????>????>????>????	downstream_claim	ligand_receptor_pair|receptor|intracellular_continuation|transcription_factor|target_gene_expression_or_output	not_mapped																				RET51-pY1096-GRB2	module21b_downstream_claim	unresolved_downstream_claim	M21B-EVID-000994	M21B-DOWNSTREAM:02409	M21B-DOWNSTREAM-EVID:003784	topology_unresolved_pending_manual_curation	not_asserted	evidence_route_not_causal	M21B-DOWNSTREAM:02409
ROUTE:00026	retained_evidence_route	downstream_claim_unresolved_topology	????>????>????>????>????	downstream_claim	ligand_receptor_pair|receptor|intracellular_continuation|transcription_factor|target_gene_expression_or_output	not_mapped																				FLT3-pY955-GADS	module21b_downstream_claim	unresolved_downstream_claim	M21B-EVID-001003	M21B-DOWNSTREAM:02410	M21B-DOWNSTREAM-EVID:003785	topology_unresolved_pending_manual_curation	not_asserted	evidence_route_not_causal	M21B-DOWNSTREAM:02410
ROUTE:00027	retained_evidence_route	downstream_claim_unresolved_topology	????>????>????>????>????	downstream_claim	ligand_receptor_pair|receptor|intracellular_continuation|transcription_factor|target_gene_expression_or_output	not_mapped																				FLT3-pY969-GADS	module21b_downstream_claim	unresolved_downstream_claim	M21B-EVID-001004	M21B-DOWNSTREAM:02411	M21B-DOWNSTREAM-EVID:003786	topology_unresolved_pending_manual_curation	not_asserted	evidence_route_not_causal	M21B-DOWNSTREAM:02411
