record_id	source_queue_id	module	edge_id	record_type	evidence_node_id	evidence_node_label	output_term	claim_status	linkage_status	edge_semantic_class	confidence_tier	source_locator	source_evidence_ids	citation_note	evidence_summary	limitations	missing_layers	causal_status	traversal_status
M21B-DOWNSTREAM-EVID:000001	M21B-DOWNSTREAM:00001	21B	M21B-E000112	generic_output_evidence		cellular function assay	cellular_function_assay	assay_or_readout_term_in_evidence_summary	candidate_unlinked	receptor_proximal_edge_needing_lr_pair_resolution	high	PMCID:PMC86204; PMID:10958675; PMCID:PMC3773002; PMID:23648053	M21B-EVID-000055	Review lead: DOI:10.3389/fnagi.2021.789834; Hu et al. 2021, CSF1R signaling section; review-cited primary: PMID:10958675; PMID:23648053; primary locator: PMCID:PMC86204; PMID:10958675; PMCID:PMC3773002; PMID:23648053	Primary-supported claim: Review maps CSF1R phosphotyrosine docking and PI3K/Akt signaling, including the direct pY721-p85 route and a redundant SFK/Gab2 route. Primary model/assay: 32D myeloid progenitors expressing CSF1R; primary macrophages; CSF1 stimulation; receptor-tyrosine mutants; PI3K inhibition; p85 association; PIP3 and macrophage spreading/invasion assays	Preserve direct pY721-p85/p110delta and alternate SFK/Gab2 routes; do not collapse to one universal adaptor or transfer to SCI microglia without model-specific evidence.	ligand_receptor_input_pair|transcription_factor|target_gene_expression_or_output	not_asserted	evidence_record_not_causal
M21B-DOWNSTREAM-EVID:000002	M21B-DOWNSTREAM:00001	21B	M21B-E000112	generic_output_evidence		second messenger readout	second_messenger_readout	assay_or_readout_term_in_evidence_summary	candidate_unlinked	receptor_proximal_edge_needing_lr_pair_resolution	high	PMCID:PMC86204; PMID:10958675; PMCID:PMC3773002; PMID:23648053	M21B-EVID-000055	Review lead: DOI:10.3389/fnagi.2021.789834; Hu et al. 2021, CSF1R signaling section; review-cited primary: PMID:10958675; PMID:23648053; primary locator: PMCID:PMC86204; PMID:10958675; PMCID:PMC3773002; PMID:23648053	Primary-supported claim: Review maps CSF1R phosphotyrosine docking and PI3K/Akt signaling, including the direct pY721-p85 route and a redundant SFK/Gab2 route. Primary model/assay: 32D myeloid progenitors expressing CSF1R; primary macrophages; CSF1 stimulation; receptor-tyrosine mutants; PI3K inhibition; p85 association; PIP3 and macrophage spreading/invasion assays	Preserve direct pY721-p85/p110delta and alternate SFK/Gab2 routes; do not collapse to one universal adaptor or transfer to SCI microglia without model-specific evidence.	ligand_receptor_input_pair|transcription_factor|target_gene_expression_or_output	not_asserted	evidence_record_not_causal
M21B-DOWNSTREAM-EVID:000003	M21B-DOWNSTREAM:00001	21B	M21B-E000112	intracellular_cascade_evidence	NODE07687	PI3K p85/p110		explicit_exported_receptor_proximal_edge	candidate_unlinked	receptor_proximal_edge_needing_lr_pair_resolution	high	PMCID:PMC86204; PMID:10958675; PMCID:PMC3773002; PMID:23648053	M21B-EVID-000055	Review lead: DOI:10.3389/fnagi.2021.789834; Hu et al. 2021, CSF1R signaling section; review-cited primary: PMID:10958675; PMID:23648053; primary locator: PMCID:PMC86204; PMID:10958675; PMCID:PMC3773002; PMID:23648053	Primary-supported claim: Review maps CSF1R phosphotyrosine docking and PI3K/Akt signaling, including the direct pY721-p85 route and a redundant SFK/Gab2 route. Primary model/assay: 32D myeloid progenitors expressing CSF1R; primary macrophages; CSF1 stimulation; receptor-tyrosine mutants; PI3K inhibition; p85 association; PIP3 and macrophage spreading/invasion assays	Preserve direct pY721-p85/p110delta and alternate SFK/Gab2 routes; do not collapse to one universal adaptor or transfer to SCI microglia without model-specific evidence.	ligand_receptor_input_pair|transcription_factor|target_gene_expression_or_output	not_asserted	evidence_record_not_causal
M21B-DOWNSTREAM-EVID:000004	M21B-DOWNSTREAM:00002	21B	M21B-E000121	generic_output_evidence		cellular function assay	cellular_function_assay	assay_or_readout_term_in_evidence_summary	candidate_unlinked	ligand_receptor_edge_with_unlinked_downstream_claim	high	PMID:22579672; PMCID:PMC3372767	M21B-EVID-000064	Review lead: PMID:34867307; CSF1R CNS review, abstract/Fig. 1; PMCID:PMC6736990, receptor/signaling discussion; review-cited primary: PMID:22579672; PMCID:PMC3372767; primary locator: PMID:22579672; PMCID:PMC3372767	Primary-supported claim: Review maps IL-34 activation of CSF1R and cites the mouse IL-34:CSF1R structural/biophysical study. Primary model/assay: Mouse IL-34:CSF1R D1-D3 crystal/ITC, interface mutagenesis, and M-NFS-60 proliferation assay	Preserve the 2:2 IL-34:CSF1R structural context and do not transfer PTPRZ1 or Syndecan-1 alternative-receptor claims.	intracellular_continuation|transcription_factor|target_gene_expression_or_output	not_asserted	evidence_record_not_causal
M21B-DOWNSTREAM-EVID:000005	M21B-DOWNSTREAM:00002	21B	M21B-E000121	generic_output_evidence		phosphorylation or activation readout	phosphorylation_or_activation_readout	assay_or_readout_term_in_evidence_summary	candidate_unlinked	ligand_receptor_edge_with_unlinked_downstream_claim	high	PMID:22579672; PMCID:PMC3372767	M21B-EVID-000064	Review lead: PMID:34867307; CSF1R CNS review, abstract/Fig. 1; PMCID:PMC6736990, receptor/signaling discussion; review-cited primary: PMID:22579672; PMCID:PMC3372767; primary locator: PMID:22579672; PMCID:PMC3372767	Primary-supported claim: Review maps IL-34 activation of CSF1R and cites the mouse IL-34:CSF1R structural/biophysical study. Primary model/assay: Mouse IL-34:CSF1R D1-D3 crystal/ITC, interface mutagenesis, and M-NFS-60 proliferation assay	Preserve the 2:2 IL-34:CSF1R structural context and do not transfer PTPRZ1 or Syndecan-1 alternative-receptor claims.	intracellular_continuation|transcription_factor|target_gene_expression_or_output	not_asserted	evidence_record_not_causal
M21B-DOWNSTREAM-EVID:000006	M21B-DOWNSTREAM:00003	21B	M21B-E000136	generic_output_evidence		phosphorylation or activation readout	phosphorylation_or_activation_readout	assay_or_readout_term_in_evidence_summary	candidate_unlinked	receptor_proximal_edge_needing_lr_pair_resolution	high	PMID:11387210	M21B-EVID-000079	Review lead: PMCID:PMC7701214, VEGFR2 signaling section; PMCID:PMC12106596, VEGFR2 proximal signaling section; review-cited primary: PMID:11387210; primary locator: PMID:11387210	Primary-supported claim: Reviews identify KDR/VEGFR2 Tyr1175 as the PLCγ1-recruitment/activation site and cite the mutation/functional study. Primary model/assay: Human KDR mutant adenoviral and endothelial-cell systems; primary endothelial cells; VEGF-A stimulation; PLCγ phosphorylation, MAPK phosphorylation, and DNA synthesis	Receptor-site and endothelial-cell branch only; no SCI receiver or universal VEGFR2 coupling claim.	ligand_receptor_input_pair|transcription_factor|target_gene_expression_or_output	not_asserted	evidence_record_not_causal
M21B-DOWNSTREAM-EVID:000007	M21B-DOWNSTREAM:00003	21B	M21B-E000136	generic_output_evidence		second messenger readout	second_messenger_readout	assay_or_readout_term_in_evidence_summary	candidate_unlinked	receptor_proximal_edge_needing_lr_pair_resolution	high	PMID:11387210	M21B-EVID-000079	Review lead: PMCID:PMC7701214, VEGFR2 signaling section; PMCID:PMC12106596, VEGFR2 proximal signaling section; review-cited primary: PMID:11387210; primary locator: PMID:11387210	Primary-supported claim: Reviews identify KDR/VEGFR2 Tyr1175 as the PLCγ1-recruitment/activation site and cite the mutation/functional study. Primary model/assay: Human KDR mutant adenoviral and endothelial-cell systems; primary endothelial cells; VEGF-A stimulation; PLCγ phosphorylation, MAPK phosphorylation, and DNA synthesis	Receptor-site and endothelial-cell branch only; no SCI receiver or universal VEGFR2 coupling claim.	ligand_receptor_input_pair|transcription_factor|target_gene_expression_or_output	not_asserted	evidence_record_not_causal
M21B-DOWNSTREAM-EVID:000008	M21B-DOWNSTREAM:00003	21B	M21B-E000136	intracellular_cascade_evidence	NODE07777	PLCγ1/PLCG1		explicit_exported_receptor_proximal_edge	candidate_unlinked	receptor_proximal_edge_needing_lr_pair_resolution	high	PMID:11387210	M21B-EVID-000079	Review lead: PMCID:PMC7701214, VEGFR2 signaling section; PMCID:PMC12106596, VEGFR2 proximal signaling section; review-cited primary: PMID:11387210; primary locator: PMID:11387210	Primary-supported claim: Reviews identify KDR/VEGFR2 Tyr1175 as the PLCγ1-recruitment/activation site and cite the mutation/functional study. Primary model/assay: Human KDR mutant adenoviral and endothelial-cell systems; primary endothelial cells; VEGF-A stimulation; PLCγ phosphorylation, MAPK phosphorylation, and DNA synthesis	Receptor-site and endothelial-cell branch only; no SCI receiver or universal VEGFR2 coupling claim.	ligand_receptor_input_pair|transcription_factor|target_gene_expression_or_output	not_asserted	evidence_record_not_causal
M21B-DOWNSTREAM-EVID:000009	M21B-DOWNSTREAM:00004	21B	M21B-E000141	generic_output_evidence		reporter readout	reporter_readout	assay_or_readout_term_in_evidence_summary	candidate_unlinked	receptor_proximal_edge_needing_lr_pair_resolution	high	PMID:20457807	M21B-EVID-000084	Review lead: PMCID:PMC4713724, WNT5A/ROR2 signaling section; review-cited primary: PMID:20457807; PMCID:PMC2897551; primary locator: PMID:20457807	Primary-supported claim: Review states that WNT5A associates with FZD7 in the presence of ROR2 to regulate DVL polymerization and cites the receptor-complex/AP-1 primary study. Primary model/assay: Mouse L cells with Ror2, Fz7, and Dvl2 constructs; Wnt5a stimulation; receptor association, Dvl2 polymerization, Rac1 colocalization/perturbation, and AP-1 reporter assays	Noncanonical WNT receptor-complex branch; retain ROR2/FZD7 multicomponent topology and do not equate AP-1 with terminal-TF promotion.	ligand_receptor_input_pair|transcription_factor|target_gene_expression_or_output	not_asserted	evidence_record_not_causal
M21B-DOWNSTREAM-EVID:000010	M21B-DOWNSTREAM:00004	21B	M21B-E000141	generic_output_evidence		second messenger readout	second_messenger_readout	assay_or_readout_term_in_evidence_summary	candidate_unlinked	receptor_proximal_edge_needing_lr_pair_resolution	high	PMID:20457807	M21B-EVID-000084	Review lead: PMCID:PMC4713724, WNT5A/ROR2 signaling section; review-cited primary: PMID:20457807; PMCID:PMC2897551; primary locator: PMID:20457807	Primary-supported claim: Review states that WNT5A associates with FZD7 in the presence of ROR2 to regulate DVL polymerization and cites the receptor-complex/AP-1 primary study. Primary model/assay: Mouse L cells with Ror2, Fz7, and Dvl2 constructs; Wnt5a stimulation; receptor association, Dvl2 polymerization, Rac1 colocalization/perturbation, and AP-1 reporter assays	Noncanonical WNT receptor-complex branch; retain ROR2/FZD7 multicomponent topology and do not equate AP-1 with terminal-TF promotion.	ligand_receptor_input_pair|transcription_factor|target_gene_expression_or_output	not_asserted	evidence_record_not_causal
