evidence_id	regulator_key	regulator_symbol	species_scope	evidence_layer	support_kind	cell_or_model	assay_or_perturbation	observation	effect_direction	primary_citation	corroborating_citation	route_or_module_relevance	target_pair_scope	exportable	canonical_write_performed	limitations
public_tf_evidence_batch025_regulator_zzz3	zzz3	ZZZ3	human	regulator_identity_and_regulatory_capacity	primary_literature_regulator_level	human chromatin-reader/ATAC-complex models	ATAC-seq, chromatin-complex and expression studies	ZZZ3 is a histone-acetylation/ATAC-complex component with regulatory capacity, but no queued target-specific result was found.	queued-pair direction not established except explicitly recorded limited associations	https://pmc.ncbi.nlm.nih.gov/articles/PMC6138639/		noncanonical chromatin-reader capacity only	not evidence for unrelated queued exact pairs; no upstream relay inferred	false	false	Regulator-level evidence does not establish SCI target-cell presence, exact queued-target direction, downstream activation or upstream relay. Profile, chromatin, cofactor, machinery, protein-regulation, epigenetic and cross-species evidence is retained separately from canonical promoter-TF evidence.
public_tf_evidence_batch025_regulator_l3mbtl2	l3mbtl2	L3MBTL2	mouse	regulator_identity_and_regulatory_capacity	primary_literature_regulator_level	human and mouse chromatin-repressor models	promoter occupancy, repressor-complex and loss-of-function studies	L3MBTL2 is a chromatin repressor; the queued Gpc2 result is complex/locus-level and does not isolate L3MBTL2 causality.	queued-pair direction not established except explicitly recorded limited associations	https://pmc.ncbi.nlm.nih.gov/articles/PMC3647456/	https://pmc.ncbi.nlm.nih.gov/articles/PMC8266391/	noncanonical chromatin-repressor capacity only	not evidence for unrelated queued exact pairs; no upstream relay inferred	false	false	Regulator-level evidence does not establish SCI target-cell presence, exact queued-target direction, downstream activation or upstream relay. Profile, chromatin, cofactor, machinery, protein-regulation, epigenetic and cross-species evidence is retained separately from canonical promoter-TF evidence.
public_tf_evidence_batch025_regulator_kdm1b	kdm1b	KDM1B	human	regulator_identity_and_regulatory_capacity	primary_literature_regulator_level	mouse germ-cell/imprinting models	H3K4 demethylation, methylation-sensitive expression and imprinting assays	KDM1B is an epigenetic demethylase with nonqueued imprinting evidence; no queued target edge was validated.	queued-pair direction not established except explicitly recorded limited associations	https://pmc.ncbi.nlm.nih.gov/articles/PMC3518444/		noncanonical epigenetic-regulator capacity only	not evidence for unrelated queued exact pairs; no upstream relay inferred	false	false	Regulator-level evidence does not establish SCI target-cell presence, exact queued-target direction, downstream activation or upstream relay. Profile, chromatin, cofactor, machinery, protein-regulation, epigenetic and cross-species evidence is retained separately from canonical promoter-TF evidence.
public_tf_evidence_batch025_regulator_baz1a	baz1a	BAZ1A/ACF1	mouse	regulator_identity_and_regulatory_capacity	primary_literature_regulator_level	human and mouse ACF/chromatin-remodeling models	chromatin occupancy, nucleosome remodeling, knockdown and expression	BAZ1A is a chromatin-remodeling complex subunit; the queued Ctnnb1 finding is an ortholog/contextual expression association without BAZ1A locus occupancy.	queued-pair direction not established except explicitly recorded limited associations	https://pmc.ncbi.nlm.nih.gov/articles/PMC6391138/	https://pmc.ncbi.nlm.nih.gov/articles/PMC11306231/	noncanonical chromatin-remodeler capacity only	not evidence for unrelated queued exact pairs; no upstream relay inferred	false	false	Regulator-level evidence does not establish SCI target-cell presence, exact queued-target direction, downstream activation or upstream relay. Profile, chromatin, cofactor, machinery, protein-regulation, epigenetic and cross-species evidence is retained separately from canonical promoter-TF evidence.
public_tf_evidence_batch025_regulator_carm1	carm1	CARM1	mouse	regulator_identity_and_regulatory_capacity	primary_literature_regulator_level	human and mouse nuclear-receptor/coactivator models	coactivator recruitment, chromatin occupancy, knockdown/CRISPR and expression assays	CARM1 is a transcriptional coactivator and arginine methyltransferase; human GREB1 has exact target-specific estrogen-response evidence, while other queued rows remain profile leads.	queued-pair direction not established except explicitly recorded limited associations	https://pubmed.ncbi.nlm.nih.gov/11747826/	https://pmc.ncbi.nlm.nih.gov/articles/PMC7069091/	noncanonical transcriptional-coactivator capacity; GREB1 is an exact queued candidate	not evidence for unrelated queued exact pairs; no upstream relay inferred	false	false	Regulator-level evidence does not establish SCI target-cell presence, exact queued-target direction, downstream activation or upstream relay. Profile, chromatin, cofactor, machinery, protein-regulation, epigenetic and cross-species evidence is retained separately from canonical promoter-TF evidence.
public_tf_evidence_batch025_regulator_smchd1	smchd1	SMCHD1	human	regulator_identity_and_regulatory_capacity	primary_literature_regulator_level	mouse and human chromatin-architecture models	Hi-C, chromatin-compartment, heterochromatin and loss-of-function assays	SMCHD1 regulates chromatin architecture and silencing at Hox/X-chromosome and heterochromatin loci, not the queued targets.	queued-pair direction not established except explicitly recorded limited associations	https://www.nature.com/articles/s41594-018-0111-z	https://www.nature.com/articles/s41467-025-62211-0	noncanonical chromatin-architecture capacity only	not evidence for unrelated queued exact pairs; no upstream relay inferred	false	false	Regulator-level evidence does not establish SCI target-cell presence, exact queued-target direction, downstream activation or upstream relay. Profile, chromatin, cofactor, machinery, protein-regulation, epigenetic and cross-species evidence is retained separately from canonical promoter-TF evidence.
public_tf_evidence_batch025_regulator_chaf1a	chaf1a	CHAF1A/CAF-1	human	regulator_identity_and_regulatory_capacity	primary_literature_regulator_level	human neural-crest/neuroblastoma and chromatin models	ChIP-qPCR, depletion and histone-chaperone assays	CHAF1A is a CAF-1 histone chaperone/coregulator with direct nonqueued MYCN/ODC1 evidence; queued targets are profile-only.	queued-pair direction not established except explicitly recorded limited associations	https://pmc.ncbi.nlm.nih.gov/articles/PMC8498874/	https://pmc.ncbi.nlm.nih.gov/articles/PMC4866648/	noncanonical chromatin-assembly capacity only	not evidence for unrelated queued exact pairs; no upstream relay inferred	false	false	Regulator-level evidence does not establish SCI target-cell presence, exact queued-target direction, downstream activation or upstream relay. Profile, chromatin, cofactor, machinery, protein-regulation, epigenetic and cross-species evidence is retained separately from canonical promoter-TF evidence.
public_tf_evidence_batch025_regulator_prmt5	prmt5	PRMT5	human	regulator_identity_and_regulatory_capacity	primary_literature_regulator_level	mouse adipogenesis/MEF/ESC and human cancer models	ChIP-seq, promoter occupancy, methylation, inhibitor/knockdown and expression assays	PRMT5 has chromatin occupancy and perturbation evidence at nonqueued loci; EPHA2 is an exact queued post-translational protein-regulation result, not a transcriptional edge.	queued-pair direction not established except explicitly recorded limited associations	https://pmc.ncbi.nlm.nih.gov/articles/PMC10312757/	https://academic.oup.com/nar/article/42/1/235/2437655	noncanonical chromatin/enzyme capacity; receptor-protein regulation kept separate from TF evidence	not evidence for unrelated queued exact pairs; no upstream relay inferred	false	false	Regulator-level evidence does not establish SCI target-cell presence, exact queued-target direction, downstream activation or upstream relay. Profile, chromatin, cofactor, machinery, protein-regulation, epigenetic and cross-species evidence is retained separately from canonical promoter-TF evidence.
public_tf_evidence_batch025_regulator_bahd1	bahd1	BAHD1	human	regulator_identity_and_regulatory_capacity	primary_literature_regulator_level	human chromatin-repression and infection models	IGF2 promoter ChIP-qPCR, CUT&RUN/ChIP-seq, interaction and perturbation assays	BAHD1 is a chromatin repressor with direct nonqueued IGF2 evidence; IFNB1 is a same-species complex-level near-match without BAHD1 occupancy at the IFNB1 locus.	queued-pair direction not established except explicitly recorded limited associations	https://pmc.ncbi.nlm.nih.gov/articles/PMC2728979/	https://pmc.ncbi.nlm.nih.gov/articles/PMC3903274/	noncanonical chromatin-repressor capacity only	not evidence for unrelated queued exact pairs; no upstream relay inferred	false	false	Regulator-level evidence does not establish SCI target-cell presence, exact queued-target direction, downstream activation or upstream relay. Profile, chromatin, cofactor, machinery, protein-regulation, epigenetic and cross-species evidence is retained separately from canonical promoter-TF evidence.
public_tf_evidence_batch025_regulator_ubn1	ubn1	UBN1	mouse	regulator_identity_and_regulatory_capacity	primary_literature_regulator_level	human and mouse HIRA/H3.3 chromatin models	HIRA-complex association, chromatin deposition and perturbation assays	UBN1 is an HIRA-complex chromatin factor; Cebpb and Gpc2 are profile-level leads and the two other queued rows are TFLink-only.	queued-pair direction not established except explicitly recorded limited associations	https://pmc.ncbi.nlm.nih.gov/articles/PMC6171237/		noncanonical chromatin-assembly capacity only	not evidence for unrelated queued exact pairs; no upstream relay inferred	false	false	Regulator-level evidence does not establish SCI target-cell presence, exact queued-target direction, downstream activation or upstream relay. Profile, chromatin, cofactor, machinery, protein-regulation, epigenetic and cross-species evidence is retained separately from canonical promoter-TF evidence.
