module	b_edge_ids	b_evidence_id	source_kind	support_kind	source_scope	source_locator	species_support	evidence_layer	exportable	confidence_tier	citation_note	evidence_grade	context_level	grading_status	grading_basis	paper_keys	context_basis	limitations	pass_disposition
23B	M23B-E001118	M23B-EVID-EXPAND23A-043	review_led_primary_research_paper	primary_receptor_perturbation_and_signaling_assay	Rodent contusion SCI, mouse/rat BMDMs and microglia, TLR4 inhibitor TAK-242, and TLR4-knockout BMDMs	PMID:35614038; PMCID:PMC9133109; local:data/raw/evidence/module23a_review_led_20260904/PMC9133109_fulltext.xml; PMID:25017885; PMCID:PMC4099942; local:data/raw/evidence/module23a_review_led_20260904/PMC4099942_fulltext.xml	mouse; rat; recombinant	receptor_proximal_relay	true	high	CSPG TLR4-dependent immune relay	B	L5	rule_based_provisional	Register identifies a traceable primary source; independent corroboration was not explicitly recorded on this row.	PMCID:PMC4099942; PMCID:PMC9133109; PMID:25017885; PMID:35614038	The register explicitly names an injury model or lesion and an SCI receiver cell or lesion compartment.	The study does not establish direct CSPG-TLR4 binding or a single CSPG core-protein ligand; intact CSPG, GAG-digestion, cell-state, and rodent-model limits remain explicit.	retain_for_adjudication
23B	M23B-E001119	M23B-EVID-EXPAND23A-044	review_led_primary_research_paper	primary_functional_perturbation	Mouse/rat BMDMs and isolated microglia; rodent SCI immune cells	PMID:35614038; PMCID:PMC9133109; local:data/raw/evidence/module23a_review_led_20260904/PMC9133109_fulltext.xml	mouse; rat; recombinant	downstream_or_functional	true	high	CSPG inflammatory output	B	L5	rule_based_provisional	Register identifies a traceable primary source; independent corroboration was not explicitly recorded on this row.	PMCID:PMC9133109; PMID:35614038	The register explicitly names an injury model or lesion and an SCI receiver cell or lesion compartment.	The output is preparation- and cell-state-dependent; no universal cytokine ordering, direct receptor binding, or individual proteoglycan-core assignment is asserted.	retain_for_adjudication
23B	M23B-E001120	M23B-EVID-EXPAND23A-045	review_led_primary_research_paper	primary_functional_perturbation	Rat contusion SCI with lentiviral ChABC digestion, flow-cytometry immune-cell populations, and resolution-phase inflammatory readouts	PMID:35614038; PMCID:PMC9133109; local:data/raw/evidence/module23a_review_led_20260904/PMC9133109_fulltext.xml	mouse; rat; recombinant	downstream_or_functional	true	high	CSPG SCI resolution-failure output	B	L5	rule_based_provisional	Register identifies a traceable primary source; independent corroboration was not explicitly recorded on this row.	PMCID:PMC9133109; PMID:35614038	The register explicitly names an injury model or lesion and an SCI receiver cell or lesion compartment.	This is an in vivo rodent intervention and does not assign a single cell source, direct receptor interface, or TLR4-independent mechanism to every resolution readout.	retain_for_adjudication
23B	M23B-E001121	M23B-EVID-EXPAND23A-046	review_led_primary_research_paper	primary_functional_perturbation	Primary cortical neurons from wild-type and TLR4-knockout mouse embryos; CSPG and ChABC treatment	PMID:35614038; PMCID:PMC9133109; local:data/raw/evidence/module23a_review_led_20260904/PMC9133109_fulltext.xml	mouse; rat; recombinant	downstream_or_functional	true	high	CSPG TLR4-independent neurite inhibition	B	L2	rule_based_provisional	Register identifies a traceable primary source; independent corroboration was not explicitly recorded on this row.	PMCID:PMC9133109; PMID:35614038	The register identifies a CNS or neural system but not spinal-cord tissue or SCI.	The neuronal assay is in vitro and does not establish a direct neuronal receptor or identify which individual CSPG core or GAG presentation is responsible.	retain_for_adjudication
23B		M23B-EVID-000001	search_boundary	negative_evidence	negative_evidence	local:work/module23a/module23a_extraction_queue.tsv; PMID:16413178; PMID:10978889; PMID:12867433	human recombinant and epithelial comparator systems	contextual_or_unresolved	false	medium-high	Batch 007 bounded primary search	E	L0	rule_based_provisional	Reviewed negative/bounded or no-exact-primary evidence; non-promotable by the rubric.	PMID:10978889; PMID:12867433; PMID:16413178	The row is a negative/bounded record and does not establish positive context for the asserted relationship.	Laminin chains are not intact trimeric ligands; receptor specificity varies by isoform, heterodimer, processed domain, and cell context. Absence from these studies is not global absence.	boundary_or_nonpromotable
23B	M23B-E000001	M23B-EVID-000002	primary_research_paper	primary_experiment	pathway_membership	PMID:36336030; DOI:10.1016/j.expneurol.2022.114264	mouse	receptor_proximal_or_pathway	true	medium-high	Tamaru et al. 2023; primary SCI and astrocyte experiments	B	L5	rule_based_provisional	Register identifies a traceable primary source; independent corroboration was not explicitly recorded on this row.	DOI:10.1016/j.expneurol.2022.114264; PMID:36336030	The register explicitly names an injury model or lesion and an SCI receiver cell or lesion compartment.	No purified ligand-binding, occupancy, force, or FAK/SRC phosphorylation assay; antibody blockade is not a receptor-specific genetic test.	retain_for_adjudication
23B	M23B-E000002	M23B-EVID-000003	primary_research_paper	primary_experiment	pathway_membership	PMID:31516087; PMCID:PMC6978780; DOI:10.1089/neu.2019.6540	mouse; human comparator	receptor_proximal_or_pathway	true	medium-high	Cooper et al. 2020; chronic stiffness and astrocyte substrate experiments	B	L1	rule_based_provisional	Register identifies a traceable primary source; independent corroboration was not explicitly recorded on this row.	DOI:10.1089/neu.2019.6540; PMCID:PMC6978780; PMID:31516087	A traceable source or species context is present, but no CNS, spinal-cord, or SCI context is established.	No direct matrix-receptor binding or definitive FAK/SRC activation test; substrate stiffness is not equivalent to native ECM composition; IMP is broadly immunomodulatory.	retain_for_adjudication
23B	M23B-E000003	M23B-EVID-000004	primary_research_paper	primary_experiment	contextual_support	PMID:31516087; PMCID:PMC6978780; DOI:10.1089/neu.2019.6540	mouse	downstream_or_functional	true	medium	Cooper et al. 2020; chronic lesion mechanics	B	L5	rule_based_provisional	Register identifies a traceable primary source; independent corroboration was not explicitly recorded on this row.	DOI:10.1089/neu.2019.6540; PMCID:PMC6978780; PMID:31516087	The register explicitly names an injury model or lesion and an SCI receiver cell or lesion compartment.	Association and broad treatment effects do not identify a unique receptor-proximal mechanism or TF endpoint.	retain_for_adjudication
23B	M23B-E000004	M23B-EVID-000005	primary_research_paper	primary_experiment	contextual_support	PMID:29705186; PMCID:PMC5995671; DOI:10.1016/j.nbd.2018.04.014	mouse	downstream_or_functional	true	medium-high	Cooper et al. 2018; FnEDA genetic deletion	B	L1	rule_based_provisional	Register identifies a traceable primary source; independent corroboration was not explicitly recorded on this row.	DOI:10.1016/j.nbd.2018.04.014; PMCID:PMC5995671; PMID:29705186	A traceable source or species context is present, but no CNS, spinal-cord, or SCI context is established.	No direct integrin/receptor assay or receptor-proximal relay; whole-lesion measurements do not assign a single cell-type mechanism.	retain_for_adjudication
23B	M23B-E000005	M23B-EVID-000006	primary_research_paper	primary_experiment	contextual_support	PMID:32957245; PMCID:PMC7509206; DOI:10.1016/j.jmbbm.2020.103953	rat	downstream_or_functional	true	medium	Baumann et al. 2020; chronic hemisection mechanics	B	L4	rule_based_provisional	Register identifies a traceable primary source; independent corroboration was not explicitly recorded on this row.	DOI:10.1016/j.jmbbm.2020.103953; PMCID:PMC7509206; PMID:32957245	The register explicitly identifies spinal-cord injury or an injury model, but not an explicit receiver-cell/lesion-compartment match.	No receptor binding or receptor-proximal signaling assay; fresh-section hemisection mechanics are not directly equivalent to contusion or in-vivo mechanics.	retain_for_adjudication
