extraction_id	source_review_id	b_evidence_id	b_edge_ids	source_a_evidence_id	primary_locator	local_source_path	source_format	source_artifact_status	evidence_layer	source_scope	confidence_tier	registered_evidence_summary	source_excerpt	excerpt_sentence_index	excerpt_match_terms	extraction_method	paper_extraction_status	human_validation_status	promotion_status	limitations	consolidation_note
M23B-X-20260905-001	EXPAND23A-REV-067	M23B-EVID-EXPAND23A-154	M23B-E001210	M23A-EXPAND23A-EVID-155	PMCID:PMC12423301; PMID:40931022; DOI:10.1038/s41392-025-02398-2	data/raw/evidence/module23a_review_led_20260904/maob_gaba_sci_fulltext.html	html_full_text	local_full_text_artifact	receptor_proximal_or_pathway	Severe mouse T10 crush SCI with MAOB KO/aKO/aOE; rat lamina II neurons after SCI with KDS2010	medium-high	MAOB genetic perturbation changes astrocytic MAOB/GABA-associated signals, and rat SCI electrophysiology shows abnormal GABAA-mediated tonic current reduced by MAOB inhibition.	To determine whether astrocytic GABA can be released and contribute to tonic GABA inhibition in neighboring neurons, we measured GABA A receptor-mediated currents from lamina II dorsal horn neurons at PI 10w (Fig 3a ).	190	maob;genetic;perturbation;changes;astrocytic;gaba-associated;signals;electrophysiology;shows;abnormal;gabaa-mediated;tonic	deterministic_sentence_match_against_local_artifact	candidate_extracted_from_full_text	required	not_promoted	The study supports an astrocytic GABA brake and tonic-current layer but does not assign a GABAA receptor subtype or establish a complete intracellular cascade.	The GABA/tonic-inhibition layer remains separate from proBDNF suppression and composite SCI recovery.
M23B-X-20260905-002	EXPAND23A-REV-067	M23B-EVID-EXPAND23A-155	M23B-E001211	M23A-EXPAND23A-EVID-156	PMCID:PMC12423301; PMID:40931022; DOI:10.1038/s41392-025-02398-2	data/raw/evidence/module23a_review_led_20260904/maob_gaba_sci_fulltext.html	html_full_text	local_full_text_artifact	receptor_proximal_or_pathway	Primary mouse spinal cord astrocytes plus SCI-linked molecular context	medium-high	GABA reduces BDNF mRNA and proBDNF protein in primary mouse spinal astrocytes, while bicuculline restores BDNF mRNA, supporting GABA suppression of astrocytic proBDNF.	So far, we only know that GABA can suppress the BDNF mRNA and proBDNF protein expression in spinal cord astrocytes (Fig 3h–l ).	311	gaba;reduces;bdnf;mrna;probdnf;protein;mouse;spinal;astrocytes;while;bicuculline;restores	deterministic_sentence_match_against_local_artifact	candidate_extracted_from_full_text	required	not_promoted	The receptor mechanism is bounded to the reported bicuculline assay; no GABAA subtype, complete ordering, or universal astrocyte transfer is established.	The proBDNF suppression layer is retained without a subtype or complete-relay claim.
M23B-X-20260905-003	EXPAND23A-REV-067	M23B-EVID-EXPAND23A-156	M23B-E001212	M23A-EXPAND23A-EVID-157	PMCID:PMC12423301; PMID:40931022; DOI:10.1038/s41392-025-02398-2	data/raw/evidence/module23a_review_led_20260904/maob_gaba_sci_fulltext.html	html_full_text	local_full_text_artifact	downstream_or_functional	Astrocyte-specific BDNF gKO/aKO and controls after severe mouse T10 crush SCI	medium-high	Astrocyte-specific BDNF deletion causes more severe motor dysfunction, lower survival, and lower proBDNF after mouse SCI without changing GABA or MAOB, supporting BDNF as a downstream survival effector.	Astrocytic BDNF is critical for survival in mouse SCI model To investigate the molecular and cellular identity of MAOB-dependent brakes in SCI, we considered the observed negative correlation between astrocyte reactivity and functional/tissue recovery after SCI, which is reminiscent of the proposed concept of a reciprocal relationship between MAOB-dependent GABA and the expression of the pro-form of brain-derived neurotrophic factor (proBDNF) in hypertrophic astrocytes.	87	astrocyte-specific;bdnf;deletion;causes;more;severe;motor;dysfunction;lower;survival;probdnf;after	deterministic_sentence_match_against_local_artifact	candidate_extracted_from_full_text	required	not_promoted	The result supports a BDNF contribution to mouse SCI survival and recovery, not direct BDNF-TrkB binding or a definitive combined MAOB/BDNF rescue.	The BDNF survival function remains separate from the upstream GABA molecular layer and composite MAOB recovery output.
M23B-X-20260905-004	EXPAND23A-REV-067	M23B-EVID-EXPAND23A-157	M23B-E001213	M23A-EXPAND23A-EVID-158	PMCID:PMC12423301; PMID:40931022; DOI:10.1038/s41392-025-02398-2	data/raw/evidence/module23a_review_led_20260904/maob_gaba_sci_fulltext.html	html_full_text	local_full_text_artifact	downstream_or_functional	Mouse MAOB KO/aKO/aOE; rat KDS2010 SCI; monkey dose-validation SCI models; healthy human phase-1 safety/PK comparator	medium-high	MAOB loss or astrocyte-specific loss improves mouse motor and tissue outcomes, while KDS2010 improves rat motor/tissue recovery, remyelination, and axon-growth outputs with dose-validation in monkey SCI.	MAOB inhibition with KDS2010 facilitates tissue recovery in a monkey SCI model After confirming the efficacy of KDS2010 in promoting recovery from SCI in small animal models, we performed advanced tests in a nonhuman primate SCI model, followed by a phase 1 clinical trial.	230	maob;loss;astrocyte-specific;improves;mouse;motor;tissue;outcomes;while;kds2010;recovery;remyelination	deterministic_sentence_match_against_local_artifact	candidate_extracted_from_full_text	required	not_promoted	The composite outcome spans genetic and pharmacological perturbations and multiple species; healthy-human phase-1 data provide safety/PK only, not SCI efficacy.	The composite recovery function remains separate from the molecular GABA/proBDNF and BDNF survival layers.
M23B-X-20260905-005	EXPAND23A-REV-068	M23B-EVID-EXPAND23A-158	M23B-E001214	M23A-EXPAND23A-EVID-159	PMCID:PMC12866793; PMID:41221600; DOI:10.1002/advs.202516269	data/raw/evidence/module23a_review_led_20260904/cspg_microglia_astrocyte_sci_fulltext.html	html_full_text	local_full_text_artifact	downstream_or_functional	primary PM/BV2 microglial assays and severe contusive mouse SCI context	medium-high	CSPGs suppress CYP450-associated pathways and detoxification-gene expression in mouse microglial preparations; Cyp1a1 rescue attenuates CSPG-induced inflammatory markers, while CYP450 inhibition worsens inflammatory output.	Here, we uncover a pathological feed‐forward loop in which CSPGs, deposited by early RAs, suppress microglial CYP450 activity and stabilize a pro‐inflammatory microglial phenotype.	41	cspgs;suppress;cyp450-associated;pathways;detoxification-gene;expression;mouse;microglial;preparations;cyp1a1;rescue;attenuates	deterministic_sentence_match_against_local_artifact	candidate_extracted_from_full_text	required	not_promoted	No direct CSPG receptor or single CSPG-core assignment is established; PM/BV2 assays and SCI context are not collapsed into one model.	The metabolic suppression layer remains separate from the TLR4 mediator and downstream astrocyte crosstalk layers.
M23B-X-20260905-006	EXPAND23A-REV-068	M23B-EVID-EXPAND23A-159	M23B-E001215	M23A-EXPAND23A-EVID-160	PMCID:PMC12866793; PMID:41221600; DOI:10.1002/advs.202516269	data/raw/evidence/module23a_review_led_20260904/cspg_microglia_astrocyte_sci_fulltext.html	html_full_text	local_full_text_artifact	receptor_proximal_or_pathway	primary BV2 pharmacological mediator assay	medium-high	TAK-242 reverses CSPG-induced suppression of Cyp1a1, Cyp1b1, Gsta1, Gsta3, and Ugt1a1, supporting TLR4 mediation of the CSPG effect on the CYP450 pathway.	Notably, co‐treatment with the TLR4 inhibitor TAK‐242 significantly reversed the suppression of the CYP450 pathway induced by CSPGs, restoring expression levels of Cyp1a1 and Cyp1b1 , as well as other detoxification genes, including Gsta1 , Gsta3 , and Ugt1a1 , to near or above baseline levels (Figure 3e ).	133	tak-242;reverses;cspg-induced;suppression;cyp1a1;cyp1b1;gsta1;gsta3;ugt1a1;tlr4;mediation;cspg	deterministic_sentence_match_against_local_artifact	candidate_extracted_from_full_text	required	not_promoted	Pharmacological mediation does not establish direct CSPG-TLR4 binding, TLR4 genetic necessity, or complete adaptor ordering; this edge is separate from broad CSPG-TLR4 inflammatory-output evidence.	The TLR4-linked CYP450 mediator layer remains distinct from the existing CSPG-TLR4 immune-output edge.
M23B-X-20260905-007	EXPAND23A-REV-068	M23B-EVID-EXPAND23A-160	M23B-E001216	M23A-EXPAND23A-EVID-161	PMCID:PMC12866793; PMID:41221600; DOI:10.1002/advs.202516269	data/raw/evidence/module23a_review_led_20260904/cspg_microglia_astrocyte_sci_fulltext.html	html_full_text	local_full_text_artifact	downstream_or_functional	primary transwell co-culture and SCI glial-scar context	medium-high	CSPG-primed microglia induce scar-associated astrocyte genes and increase the SOX9-positive astrocyte population in a contact-free transwell system.	To determine whether CSPG‐activated microglia influence astrocyte identity, we employed a transwell co‐culture system, in which PAs were exposed for 48 h to inflammatory microglia (IMs) pre‐primed with CSPGs (Figure 3f ).	135	cspg-primed;microglia;induce;scar-associated;astrocyte;genes;increase;sox9-positive;population;contact-free;transwell;system	deterministic_sentence_match_against_local_artifact	candidate_extracted_from_full_text	required	not_promoted	The soluble mediator and astrocyte receptor are not isolated; the result remains a mouse transwell/SCI glial-scar context and is not a universal cytokine or receptor relay.	The paracrine astrocyte-state layer remains separate from the upstream metabolic and TLR4-linked layers.
M23B-X-20260905-008	EXPAND23A-REV-068	M23B-EVID-EXPAND23A-161	M23B-E001217	M23A-EXPAND23A-EVID-162	PMCID:PMC12866793; PMID:41221600; DOI:10.1002/advs.202516269	data/raw/evidence/module23a_review_led_20260904/cspg_microglia_astrocyte_sci_fulltext.html	html_full_text	local_full_text_artifact	downstream_or_functional	primary transwell co-culture with SCI glial-scar context	medium-high	CSPG-primed microglia increase astrocytic CSPG core-protein transcripts and secreted brevican and neurocan, supporting a feed-forward ECM-deposition layer.	Astrocytes exposed to CSPG‐primed microglia exhibited increased transcript levels of Ncan , Pcan , Vcan , and Bcan (Figure 3j ), and enzyme‐linked immunosorbent assay (ELISA) revealed elevated concentrations of secreted brevican and neurocan in the culture medium (Figure 3k ).	141	cspg-primed;microglia;increase;astrocytic;cspg;core-protein;transcripts;secreted;brevican;neurocan;feed-forward;ecm-deposition	deterministic_sentence_match_against_local_artifact	candidate_extracted_from_full_text	required	not_promoted	No single cytokine, astrocyte receptor, or universal CSPG-core assignment is established; measured family/protein outputs remain specific to the reported mouse co-culture.	The astrocyte ECM-output layer remains separate from the scar-state transition layer.
M23B-X-20260905-009	EXPAND23A-REV-069	M23B-EVID-EXPAND23A-162	M23B-E001218	M23A-EXPAND23A-EVID-163	PMID:8387021; DOI:10.1006/excr.1993.1134	data/raw/evidence/module23a_review_led_20260904/collagen_vi_integrin_receptors_pubmed.xml	xml_or_metadata	local_abstract_or_metadata_artifact	ligand_receptor_binding	non-SCI cell-adhesion comparator	medium-high	The primary study identifies alpha1beta1 as a receptor for native triple-helical collagen VI using purified-integrin binding and cell-adhesion inhibition assays.	Inhibition tests with antibodies to integrin subunits, affinity chromatography, and ligand binding with purified integrins (alpha 1 beta 1, alpha 2 beta 1, alpha V beta 3, and alpha IIb beta 3) were used to identify collagen VI receptors.	7	identifies;alpha1beta1;receptor;native;triple-helical;collagen;using;purified-integrin;binding;cell-adhesion;inhibition;assays	deterministic_sentence_match_against_local_artifact	candidate_extracted_from_abstract_or_metadata	required	not_promoted	Native triple-helical substrate is required; binding is weaker than to collagen I/IV and no SCI relay or downstream function is established.	The native alpha1beta1 layer remains separate from native alpha2beta1 and denatured collagen-VI receptor layers.
M23B-X-20260905-010	EXPAND23A-REV-069	M23B-EVID-EXPAND23A-163	M23B-E001219	M23A-EXPAND23A-EVID-164	PMID:8387021; DOI:10.1006/excr.1993.1134	data/raw/evidence/module23a_review_led_20260904/collagen_vi_integrin_receptors_pubmed.xml	xml_or_metadata	local_abstract_or_metadata_artifact	ligand_receptor_binding	non-SCI cell-adhesion comparator	medium-high	The primary study identifies alpha2beta1 as a receptor for native triple-helical collagen VI using purified-integrin binding and cell-adhesion inhibition assays.	Inhibition tests with antibodies to integrin subunits, affinity chromatography, and ligand binding with purified integrins (alpha 1 beta 1, alpha 2 beta 1, alpha V beta 3, and alpha IIb beta 3) were used to identify collagen VI receptors.	7	identifies;alpha2beta1;receptor;native;triple-helical;collagen;using;purified-integrin;binding;cell-adhesion;inhibition;assays	deterministic_sentence_match_against_local_artifact	candidate_extracted_from_abstract_or_metadata	required	not_promoted	Native triple-helical substrate is required; binding is weaker than to collagen I/IV and no SCI relay or downstream function is established.	The native alpha2beta1 layer remains separate from native alpha1beta1 and denatured collagen-VI receptor layers.
