target_doi	acquisition_status	coidentified_pmids	coidentified_pmcids	observed_source_dois	observed_source_titles	resolution_disposition
10.1007/s00401-014-1482-4	fetch_failed:CalledProcessError	26419777		10.1007/s00401-015-1482-4	Role of macrophages in Wallerian degeneration and axonal regeneration after peripheral nerve injury.	requires_manual_identifier_correction; identifiers_not_merged
10.1007/s00441-020-03308-0	fetch_failed:CalledProcessError		PMC7960628			requires_manual_identifier_correction; identifiers_not_merged
10.1016/j.devcell.2009.06.017	fetch_failed:CalledProcessError	19686679	PMC2747264	10.1016/j.devcel.2009.06.017	Integrin-alpha9 is required for fibronectin matrix assembly during lymphatic valve morphogenesis. || Integrin-α9 is required for fibronectin matrix assembly during lymphatic valve morphogenesis	requires_manual_identifier_correction; identifiers_not_merged
10.1016/j.jbc.2018.02.012	fetch_failed:CalledProcessError	29491144		10.1074/jbc.RA117.000406	Post-translational modification of type IV collagen with 3-hydroxyproline affects its interactions with glycoprotein VI and nidogens 1 and 2.	requires_manual_identifier_correction; identifiers_not_merged
10.1016/s0969212611001353	fetch_failed:CalledProcessError		PMC2119998;PMC2771087	10.1038/emboj.2009.249;10.1083/jcb.125.3.669	Neuroligin-1 performs neurexin-dependent and neurexin-independent functions in synapse validation || The neuronal chondroitin sulfate proteoglycan neurocan binds to the neural cell adhesion molecules Ng-CAM/L1/NILE and N-CAM, and inhibits neuronal adhesion and neurite outgrowth	requires_manual_identifier_correction; identifiers_not_merged
10.1074/jbc.269.51.32226	fetch_failed:CalledProcessError	7798222;9858782		10.1016/s0167-4838(98)00211-8;10.1074/jbc.270.7.2981	Exposure of the cryptic Arg-Gly-Asp sequence in thrombospondin-1 by protein disulfide isomerase. || Properties of recombinant mouse thrombospondin 2 expressed in Spodoptera cells. || Recombinant GST/CD36 fusion proteins define a thrombospondin binding domain. Evidence for a single calcium-dependent binding site on CD36.	requires_manual_identifier_correction; identifiers_not_merged
10.1074/jbc.m806963200	fetch_failed:CalledProcessError	18480224;19376779		10.1074/jbc.M806855200;10.1128/JCM.00073-08	Agrin regulation of alpha3 sodium-potassium ATPase activity modulates cardiac myocyte contraction. || PCR-based assay using occult blood detection cards for detection of diarrheagenic Escherichia coli in specimens from U.S. travelers to Mexico with acute diarrhea.	requires_manual_identifier_correction; identifiers_not_merged
10.1083/jcb.200208081	fetch_failed:CalledProcessError	12631718	PMC379294	10.1091/mbc.02-04-0057	Short telomeres induce a DNA damage response in Saccharomyces cerevisiae.	requires_manual_identifier_correction; identifiers_not_merged
10.1098/rsob.2020.0308	fetch_failed:CalledProcessError	10852818		10.1093/emboj/17.6.1606;10.1242/jcs.113.13.2385	Galectin-8 binding to integrins inhibits cell adhesion and induces apoptosis. || Mac-2 binding protein is a cell-adhesive protein of the extracellular matrix which self-assembles into ring-like structures and binds beta1 integrins, collagens and fibronectin.	requires_manual_identifier_correction; identifiers_not_merged
10.1136/annrheumdis-2016-209676	fetch_failed:CalledProcessError	26275342;28416516		10.1016/j.molimm.2015.07.028;10.1136/annrheumdis-2016-210706	CD100 and plexins B2 and B1 mediate monocyte-endothelial cell adhesion and might take part in atherogenesis. || Semaphorin 4D inhibits neutrophil activation and is involved in the pathogenesis of neutrophil-mediated autoimmune vasculitis.	requires_manual_identifier_correction; identifiers_not_merged
10.1186/s12974-2018-1210-9	fetch_failed:CalledProcessError	30038556		10.3389/fnins.2018.00457	Transcriptomic Landscapes of Immune Response and Axonal Regeneration by Integrative Analysis of Molecular Pathways and Interactive Networks Post-sciatic Nerve Transection.	requires_manual_identifier_correction; identifiers_not_merged
