promotion_id	a_edge_id	b_edge_id	source_a_evidence_ids	source_locator	decision	edge_status_after	exportable	reason	limitations
EXPAND23A-REV-0038	M23A-E1157	M23B-E001118	M23A-EXPAND23A-EVID-043	PMID:35614038; PMCID:PMC9133109; local:data/raw/evidence/module23a_review_led_20260904/PMC9133109_fulltext.xml	PROMOTE_NEW_REVIEW_LED_EDGE	reviewed_supported	true	TLR4 inhibitor and knockout experiments support CSPG-dependent immune phenotype conversion at the receptor-proximal layer.	No direct CSPG-TLR4 binding or individual proteoglycan-core assignment is established.
EXPAND23A-REV-0039	M23A-E1158	M23B-E001119	M23A-EXPAND23A-EVID-044	PMID:35614038; PMCID:PMC9133109; local:data/raw/evidence/module23a_review_led_20260904/PMC9133109_fulltext.xml	PROMOTE_NEW_REVIEW_LED_EDGE	reviewed_supported	true	Primary macrophage and microglial assays support CSPG-induced pro-inflammatory output, with intact CSPG and cell-state context retained.	Output remains preparation- and cell-state-dependent and is not a direct binding or universal cytokine-order claim.
EXPAND23A-REV-0040	M23A-E1159	M23B-E001120	M23A-EXPAND23A-EVID-045	PMID:35614038; PMCID:PMC9133109; local:data/raw/evidence/module23a_review_led_20260904/PMC9133109_fulltext.xml	PROMOTE_NEW_REVIEW_LED_EDGE	reviewed_supported	true	Rodent SCI ChABC intervention supports enhanced immune-cell clearance and inflammation resolution after CSPG digestion.	In vivo rodent intervention; single cell source and direct receptor interface remain unresolved.
EXPAND23A-REV-0041	M23A-E1160	M23B-E001121	M23A-EXPAND23A-EVID-046	PMID:35614038; PMCID:PMC9133109; local:data/raw/evidence/module23a_review_led_20260904/PMC9133109_fulltext.xml	PROMOTE_NEW_REVIEW_LED_EDGE	reviewed_supported	true	Wild-type versus TLR4-knockout neuron assays support CSPG neurite inhibition independently of CSPG-TLR4 immune modulation.	In vitro neuronal assay; direct neuronal receptor and individual CSPG-core/GAG presentation remain unresolved.
EXPAND23A-PROMO-001	M23A-E820	M23B-E000789	M23A-B019-EVID-010	PMID:28671670; PMCID:PMC5671938; local:data/raw/evidence/module23a_second_pass_20260904/PMC5671938_bioc.json	PROMOTE_EXISTING_EDGE	reviewed_supported	true	Existing MMRN2-CLEC14A direct-binding edge is supported by the acquired primary full text and exact CTLD/fragment assays.	Non-SCI vascular comparator; no CLEC14A-specific intracellular relay or terminal TF.
EXPAND23A-PROMO-002	M23A-E821	M23B-E000790	M23A-B019-EVID-011	PMID:28671670; PMCID:PMC5671938; local:data/raw/evidence/module23a_second_pass_20260904/PMC5671938_bioc.json	PROMOTE_EXISTING_EDGE	reviewed_supported	true	Existing MMRN2-CLEC14A functional edge is supported by primary endothelial adhesion/angiogenesis perturbation evidence.	Functional perturbation is extracellular and non-SCI; no terminal TF or CLEC14A-specific intracellular relay.
EXPAND23A-PROMO-003	M23A-E1115	M23B-E001076	M23A-EXPAND23A-EVID-001	PMID:28671670; PMCID:PMC5671938; local:data/raw/evidence/module23a_second_pass_20260904/PMC5671938_bioc.json	PROMOTE_NEW_EDGE	reviewed_supported	true	Direct MMRN2-CD93 binding is supported by orthogonal primary assays.	Exact CTLD and MMRN2 fragment context required; no SCI receiver state.
EXPAND23A-PROMO-004	M23A-E1116	M23B-E001077	M23A-EXPAND23A-EVID-002	PMID:28671670; PMCID:PMC5671938; local:data/raw/evidence/module23a_second_pass_20260904/PMC5671938_bioc.json	PROMOTE_NEW_EDGE	reviewed_supported	true	Direct MMRN2-CD248 binding is supported by correctly folded CTLD/ECD-Fc follow-up assays.	CD248-GFP misfolding is retained; no SCI receiver state or intracellular relay.
EXPAND23A-PROMO-005	M23A-E1117	M23B-E001078	M23A-EXPAND23A-EVID-003	PMID:23217742; PMCID:PMC3526105; local:data/raw/evidence/module23a_second_pass_20260904/PMC3526105_bioc.json	PROMOTE_NEW_EDGE	reviewed_supported	true	Direct SLIT2 C-terminal LG-domain binding to glycosylated DAG1 is supported by biochemical primary assays.	Glycosylation and C-terminal domain specificity required; developmental comparator only.
EXPAND23A-PROMO-006	M23A-E1118	M23B-E001079	M23A-EXPAND23A-EVID-004	PMID:23217742; PMCID:PMC3526105; local:data/raw/evidence/module23a_second_pass_20260904/PMC3526105_bioc.json	PROMOTE_NEW_EDGE	reviewed_supported	true	DAG1-dependent Slit localization is supported by mutant spinal-cord localization assays.	Extracellular localization relay only; no intracellular DAG1 kinase/adaptor or terminal TF.
EXPAND23A-PROMO-007	M23A-E1119	M23B-E001080	M23A-EXPAND23A-EVID-005	PMID:23217742; PMCID:PMC3526105; local:data/raw/evidence/module23a_second_pass_20260904/PMC3526105_bioc.json	PROMOTE_NEW_EDGE	reviewed_supported	true	Developmental commissural axon-guidance function is supported by B3gnt1, ISPD, and dystroglycan mutant phenotypes.	No traumatic SCI injury model or SCI receiver-state weight is transferred.
EXPAND23A-BULK-0001	M23A-E213	M23B-E000182	M23A-B011-EVID-001	PMCID:PMC6781430; DOI:10.1083/jcb.201807178	PROMOTE_SOURCE_BACKED_EDGE	reviewed_supported	true	Existing 23A primary-paper evidence gate passed (1 qualifying evidence record(s); confidence=high); exact A-to-B mapping resolved.	Queued target names beta1; alpha partner is principally alpha5 and free ITGB1 is not validated.
EXPAND23A-BULK-0002	M23A-E214	M23B-E000183	M23A-B011-EVID-002	PMCID:PMC6781430; DOI:10.1083/jcb.201807178	PROMOTE_SOURCE_BACKED_EDGE	reviewed_supported	true	Existing 23A primary-paper evidence gate passed (1 qualifying evidence record(s); confidence=high); exact A-to-B mapping resolved.	No terminal TF was directly measured; relay is complex- and matrix-presentation-dependent.
