paper_anchor	anchor_type	module_coverage	source_review_ids	associated_evidence_count	associated_edge_count	associated_evidence_ids	associated_edge_ids	local_source_paths	source_artifact_status	selected_artifact_path	artifact_resolution_method	source_format	candidate_excerpt	excerpt_sentence_index	excerpt_match_terms	extraction_method	paper_extraction_status	human_validation_status	promotion_status
DOI:10.1002/(sici)1097-4652(199809)176:3<482::aid-jcp5>3.0.co;2-k	DOI	23B		1	1	M23B-EVID-000073	M23B-E000048		local_abstract_or_metadata_artifact	data/raw/evidence/module23_doi_metadata_20260905/DOI_25b7d92faf207cca.json	additional_root_manifest_crosswalk	xml_or_metadata	10.1002/(sici)1097-4652(199809)176:3<482::aid-jcp5>3.0.co;2-k journal-article 2004-11-13T11:59:36Z 482-494 Crossref Bone sialoprotein supports breast cancer cell adhesion proliferation and migration through differential usage of the αvβ3 and αvβ5 integrins 10.1002 176 V.	4	purified;fragment;peptide;assays;with;integrin;blockade;receptor-enriched;subpopulations;support;differential;alphavbeta3	deterministic_sentence_match_against_local_artifact	candidate_extracted_from_abstract_or_metadata	required	not_promoted
DOI:10.1002/advs.202002500	DOI	23A;23B		6	2	M23B-EVID-001086;M23B-EVID-001087;M23B-EVID-001088;M23B-EVID-001092;M23B-EVID-001093;M23B-EVID-001094	M23B-E000802;M23B-E000803		local_abstract_or_metadata_artifact	data/raw/evidence/module23_doi_metadata_20260905/DOI_0414b023f3b78efd.json	additional_root_manifest_crosswalk	xml_or_metadata	These results demonstrate the protective and regenerative potential of nidogen‐1 in ischemic conditions.</jats:p> 10.1002/advs.202002500 journal-article 2020-12-21T12:39:00Z https://doi.org/10.1002/crossmark_policy Crossref Nidogen‐1 Mitigates Ischemia and Promotes Tissue Survival and Regeneration 10.1002 8 Aline Zbinden first Department of Bioengineering Eberhard Karls University Tübingen Tübingen 72076 Germany Department of Women's Health Research Institute for Women's Health Eberhard Karls University Tübingen Tübingen 72076 Germany author crossref Shannon L.	6	perturbation;receptor-complex;assays;support;receptor-proximal;nid1;alphavbeta3;integrin;survival;angiogenesis;tissue;regeneration	deterministic_sentence_match_against_local_artifact	candidate_extracted_from_abstract_or_metadata	required	not_promoted
DOI:10.1002/advs.202516269	DOI	23A;23B	EXPAND23A-REV-068	4	4	M23B-EVID-EXPAND23A-158;M23B-EVID-EXPAND23A-159;M23B-EVID-EXPAND23A-160;M23B-EVID-EXPAND23A-161	M23B-E001214;M23B-E001215;M23B-E001216;M23B-E001217	data/raw/evidence/module23a_review_led_20260904/cspg_microglia_astrocyte_sci_fulltext.html; data/raw/evidence/module23a_review_led_20260904/cspg_microglia_astrocyte_sci_pubmed.xml	local_full_text_artifact	data/raw/evidence/module23a_review_led_20260904/cspg_microglia_astrocyte_sci_fulltext.html	register_declared_path	html_full_text	Notably, co‐treatment with the TLR4 inhibitor TAK‐242 significantly reversed the suppression of the CYP450 pathway induced by CSPGs, restoring expression levels of Cyp1a1 and Cyp1b1 , as well as other detoxification genes, including Gsta1 , Gsta3 , and Ugt1a1 , to near or above baseline levels (Figure 3e ).	133	cspgs;suppress;cyp450-associated;pathways;detoxification-gene;expression;mouse;microglial;preparations;cyp1a1;overexpression;attenuates	deterministic_sentence_match_against_local_artifact	candidate_extracted_from_full_text	required	not_promoted
DOI:10.1002/glia.20536	DOI	23B		2	2	M23B-EVID-000074;M23B-EVID-000079	M23B-E000049;M23B-E000054		local_abstract_or_metadata_artifact	data/raw/evidence/module23_doi_metadata_20260905/DOI_e1d1260fbc8da54d.json	additional_root_manifest_crosswalk	xml_or_metadata	Carey additional crossref author 311 e_1_2_6_2_1 publisher 10.1242/jcs.01234 e_1_2_6_3_1 publisher 10.1016/0022-510X(73)90009-9 e_1_2_6_4_1 299 Peripheral neuropathy Bunge MB 1993 e_1_2_6_5_1 publisher 10.1083/jcb.152.6.1207 e_1_2_6_6_1 publisher 10.1083/jcb.111.5.2053 e_1_2_6_7_1 publisher 10.1016/0165-3806(87)90142-8 e_1_2_6_8_1 publisher 10.1083/jcb.102.6.2254 e_1_2_6_9_1 crossref 3776 10.1523/JNEUROSCI.20-10-03776.2000 Association of β1 integrin with focal adhesion kinase and paxillin in differentiating Schwann cells 20 Chen LM 2000 J Neurosci e_1_2_6_10_1 publisher 10.1083/jcb.200307068 e_1_2_6_11_1 publisher 10.1016/S0014-4827(03)00409-9 e_1_2_6_12_1 publisher 10.1523/JNEUROSCI.2544-05.2006 e_1_2_6_13_1 publisher 10.1523/JNEUROSCI.21-16-06125.2001 e_1_2_6_14_1 publisher 10.1074/jbc.M106879200 e_1_2_6_15_1 publisher 10.1006/excr.1997.3671 e_1_2_6_16_1 publisher 10.3109/1541906950908	15	abstract;reports;alpha7beta1;dystroglycan;binding;laminin-2-sepharose;alpha7;antibody-sensitive;adhesion;knockdown;effects;alpha7beta1-fak	deterministic_sentence_match_against_local_artifact	candidate_extracted_from_abstract_or_metadata	required	not_promoted
DOI:10.1002/jcb.10550	DOI	23B		1	0	M23B-EVID-001465			local_abstract_or_metadata_artifact	data/raw/evidence/module23_doi_metadata_20260905/DOI_75f540cfc6bf00c1.json	additional_root_manifest_crosswalk	xml_or_metadata	This study, therefore, investigated whether the upregulation of integrins α5β1 and αvβ3 was correlated with the expression of integrin‐binding ADAMs in atherosclerotic processes.	5	cited;pdgf;atherosclerosis;reports;integrin;transcript;induction;adam15;adam9;expression;changes;qualifying	deterministic_sentence_match_against_local_artifact	candidate_extracted_from_abstract_or_metadata	required	not_promoted
DOI:10.1002/jcp.21281	DOI	23A;23B		1	1	M23B-EVID-000121	M23B-E001021		local_abstract_or_metadata_artifact	data/raw/evidence/module23_doi_metadata_20260905/DOI_f81315fc91d3d41d.json	additional_root_manifest_crosswalk	xml_or_metadata	Nader additional author crossref Anne Woods additional author crossref Chantal Legrand additional author crossref Verônica Morandi additional author crossref 311 e_1_2_6_2_1 publisher 10.1016/j.biocel.2004.01.004 e_1_2_6_3_1 crossref 315 10.1242/jcs.113.2.315 Syndesmos, a protein that interacts with the cytoplasmic domain of syndecan‐4, mediates cell spreading and actin cytoskeletal organization 2 Baciu PC 2000 J Cell Sci e_1_2_6_4_1 publisher 10.1016/S0049-3848(99)00242-X e_1_2_6_5_1 publisher 10.1038/nm0603-653 e_1_2_6_6_1 publisher 10.1091/mbc.11.9.2885 e_1_2_6_7_1 publisher 10.1042/bj3210819 e_1_2_6_8_1 publisher 10.1016/S0165-6147(00)01676-X e_1_2_6_9_1 publisher 10.1172/JCI10559 e_1_2_6_10_1 publisher 10.1016/j.biocel.2003.12.012 e_1_2_6_11_1 publisher 10.1016/j.matbio.2006.07.003 e_1_2_6_12_1 publisher 10.1074/jbc.C600075200 e_1_2_6_13_1 publisher 10.1016/S0945-053X(02)00010-0 e_1	17	sdc4;blockade;altered;tsp1-fragment;binding;activation	deterministic_sentence_match_against_local_artifact	candidate_extracted_from_abstract_or_metadata	required	not_promoted
DOI:10.1002/jnr.23384	DOI	23A;23B	EXPAND23A-REV-061	3	3	M23B-EVID-EXPAND23A-133;M23B-EVID-EXPAND23A-134;M23B-EVID-EXPAND23A-135	M23B-E001189;M23B-E001190;M23B-E001191	data/raw/evidence/module23a_review_led_20260904/fn1_p2y1_astrocyte_pubmed.xml	local_abstract_or_metadata_artifact	data/raw/evidence/module23a_review_led_20260904/fn1_p2y1_astrocyte_pubmed.xml	register_declared_path	xml_or_metadata	In this study, fibronectin stimulated spinal cord astrocytic proliferation from two directions: fibronectin increased astrocytic proliferation via α5 β1 integrin receptor, and fibronectin upregulated the expression of P2Y1 receptor, and adenosine triphosphate (ATP) could enhance the astrocytic proliferation and induce more release of arachidonic acid and prostaglandin E2 via P2Y1.	4	pubmed;abstract;reports;that;fibronectin;increased;spinal-cord;astrocyte;proliferation;integrin;receptor;fn1-associated	deterministic_sentence_match_against_local_artifact	candidate_extracted_from_abstract_or_metadata	required	not_promoted
DOI:10.1002/path.4805	DOI	23A;23B		1	1	M23B-EVID-000181	M23B-E000113		local_abstract_or_metadata_artifact	data/raw/evidence/module23_doi_metadata_20260905/DOI_c5d95e3890fb685a.json	additional_root_manifest_crosswalk	xml_or_metadata	"These findings identify a novel mechanism by which <jats:styled-content style=""fixed-case"">ANGPTL4</jats:styled-content> counteracts hypoxia‐driven vascular permeability through integrin αvβ3 binding, modulation of <jats:styled-content style=""fixed-case"">VEGFR2</jats:styled-content>–Src kinase signalling, and endothelial junction stabilization."	8	angptl4-alphavbeta3;binding;vegfr2;modulation;were;retained	deterministic_sentence_match_against_local_artifact	candidate_extracted_from_abstract_or_metadata	required	not_promoted
DOI:10.1006/bbrc.1999.2032	DOI	23A;23B		3	2	M23B-EVID-000908;M23B-EVID-000909;M23B-EVID-000910	M23B-E000681;M23B-E000682		local_abstract_or_metadata_artifact	data/raw/evidence/module23_doi_metadata_20260905/DOI_79bf71f9fb0c5de8.json	additional_root_manifest_crosswalk	xml_or_metadata	ok work 1.0.0 2026-05-15T22:39:00Z 3.51.4 Elsevier BV 3 2000-01-01T00:00:00Z tdm https://www.elsevier.com/tdm/userlicense/1.0/ Biochemical and Biophysical Research Communications 10.1006/bbrc.1999.2032 journal-article 2002-10-07T18:39:06Z 764-769 Crossref A Regulated Interaction between α5β1 Integrin and Osteopontin 10.1006 267 Simon T.	1	cited;record;reports;exact-pair;exact-complex;binding;activation;spp1;osteopontin;itga5;itgb1;stated	deterministic_sentence_match_against_local_artifact	candidate_extracted_from_abstract_or_metadata	required	not_promoted
DOI:10.1006/bbrc.2001.4718	DOI	23A;23B		6	4	M23B-EVID-000522;M23B-EVID-000523;M23B-EVID-000524;M23B-EVID-000540;M23B-EVID-000541;M23B-EVID-000542	M23B-E000360;M23B-E000361;M23B-E000376;M23B-E000377		local_abstract_or_metadata_artifact	data/raw/evidence/module23_doi_metadata_20260905/DOI_3e008e5362a3b37f.json	additional_root_manifest_crosswalk	xml_or_metadata	USA Biochemical and Biophysical Research Communications en https://api.elsevier.com/content/article/PII:S0006291X01947187?httpAccept=text/xml text/xml vor text-mining https://api.elsevier.com/content/article/PII:S0006291X01947187?httpAccept=text/plain text/plain vor text-mining 2025-11-02T14:06:42Z https://linkinghub.elsevier.com/retrieve/pii/S0006291X01947187 1 S0006291X01947187 https://doi.org/10.1006/bbrc.2001.4718 0006-291X print 0006-291X Elsevier publisher This article is maintained by Reduced Adhesion of Monocyte-Derived Macrophages from CD36-Deficient Patients to Type I Collagen articletitle Article Title Biochemical and Biophysical Research Communications journaltitle Journal Title https://doi.org/10.1006/bbrc.2001.4718 articlelink CrossRef DOI link to publisher maintained version converted-article content_type Content Type Copyright © 2001 Academic Press.	71	col1a1;col1a2;native;collagen;retained;only;receptor;complex;resolution;stated;cited;record	deterministic_sentence_match_against_local_artifact	candidate_extracted_from_abstract_or_metadata	required	not_promoted
