b_edge_id	source_entity	relation_type	target_entity	pathway_name	evidence_layer	source_a_edge_id	edge_status	context_scope	cell_type_context	compartment_context	species_context	injury_context	confidence_tier	export_priority	exportable	consolidation_note
M23B-E001118	chondroitin sulfate proteoglycans (CSPGs)	activate	TLR4-dependent immune-cell inflammatory phenotype	CSPG-TLR4 immune modulation and inflammation-resolution failure after SCI	receptor_proximal_relay	M23A-E1157	reviewed_supported	Rodent SCI resolution-phase and macrophage/microglia comparator; no direct ligand-binding assay	mouse/rat BMDMs and microglia; rodent SCI lesion immune cells	cell-surface receptor-proximal immune compartment	mouse; rat; recombinant	traumatic SCI and primary immune-cell models	high	P1	true	TLR4-dependent immune relay is promoted without a direct CSPG-TLR4 binding claim; intact CSPG and immune-cell state remain required context.
M23B-E001119	chondroitin sulfate proteoglycans (CSPGs)	promotes	pro-inflammatory cytokine and M1-like macrophage/microglial output	CSPG-TLR4 immune modulation and inflammation-resolution failure after SCI	downstream_or_functional	M23A-E1158	reviewed_supported	Primary macrophage/microglial comparator with rodent SCI context; output is preparation- and cell-state-dependent	mouse/rat BMDMs and microglial cultures	cell-surface immune-effector compartment	mouse; rat; recombinant	primary macrophage/microglial models and rodent SCI context	high	P2	true	Inflammatory output is retained as a distinct functional layer and is not collapsed into direct receptor binding or a universal cytokine order.
M23B-E001120	chondroitin sulfate proteoglycans (CSPGs)	prevents	immune-cell clearance and inflammation resolution after SCI	CSPG-TLR4 immune modulation and inflammation-resolution failure after SCI	downstream_or_functional	M23A-E1159	reviewed_supported	Rodent contusion SCI, especially the 7-day resolution phase; no single cell source or direct receptor interface asserted	rodent spinal-cord injury immune-cell populations	injured-spinal-cord immune-resolution compartment	mouse; rat; recombinant	rodent contusion SCI, especially the 7-day resolution phase	high	P2	true	In vivo CSPG digestion/resolution evidence is promoted separately from the TLR4 relay and from neuronal growth inhibition.
M23B-E001121	chondroitin sulfate proteoglycans (CSPGs)	inhibits	neurite outgrowth and axon-growth plasticity	CSPG-TLR4 immune modulation and inflammation-resolution failure after SCI	downstream_or_functional	M23A-E1160	reviewed_supported	TLR4-independent neuronal output; no direct neuronal receptor or individual CSPG-core assignment asserted	mouse cortical neurons and rodent SCI axon-growth context	extra-cellular neuronal growth-cone compartment	mouse; rat; recombinant	primary cortical-neuron assay with SCI-relevant CSPG growth-inhibitory context	high	P2	true	The TLR4-knockout neuron assay preserves CSPG growth inhibition as a separate functional layer from CSPG-TLR4 immune modulation.
M23B-E000001	collagen-I-associated scar-forming astrocyte state	modulates	beta1-integrin/N-cadherin adhesion relay	integrin-cadherin astrocyte scar recruitment	receptor_proximal_or_pathway	M23A-E001	reviewed_first_pass	SCI plus in-vitro astrocyte context	scar-forming and host astrocytes	astrocytic scar border	mouse	T9 contusion SCI	medium-high	P1	true	Direct, pathway, program, and functional layers remain distinct.
M23B-E000002	substrate stiffness	modulates	beta1-integrin/ILK-associated astrocyte response	integrin-ILK mechanosensing	receptor_proximal_or_pathway	M23A-E002	reviewed_first_pass	stiffness-controlled astrocyte culture and SCI tissue	primary mouse and hESC-derived human astrocytes	astrocyte culture substrate	mouse; human comparator	chronic SCI stiffness comparator	medium-high	P1	true	Direct, pathway, program, and functional layers remain distinct.
M23B-E000003	chronic lesion stiffness	associated_with	fibronectin/GFAP scar architecture	chronic SCI scar mechanics	downstream_or_functional	M23A-E003	reviewed_first_pass	chronic lesion architecture	lesion tissue and astrocytic border	lesion core/rim	mouse	T11 contusion SCI	medium	P2	true	Direct, pathway, program, and functional layers remain distinct.
M23B-E000004	fibronectin EDA matrix assembly	modulates	fibrotic scar and locomotor phenotype	fibronectin-EDA chronic fibrotic scar	downstream_or_functional	M23A-E004	reviewed_first_pass	FnEDA-null genetic comparison	lesion tissue, fibrotic scar, axon-associated regions	extracellular matrix and lesion	mouse	T11 contusion SCI	medium-high	P1	true	Direct, pathway, program, and functional layers remain distinct.
M23B-E000005	ECM/GAG composition	associated_with	chronic scar softening and cavitation	chronic hemisection scar mechanics	downstream_or_functional	M23A-E005	reviewed_first_pass	chronic rat hemisection mechanics	chronic lesion/cavity tissue	extracellular matrix and lesion	rat	T10 lateral hemisection	medium	P2	true	Direct, pathway, program, and functional layers remain distinct.
M23B-E000006	activated alpha9 integrin plus kindlin-1	promotes	sensory axon regeneration through matrix bridges	integrin-activated sensory regeneration	downstream_or_functional	M23A-E006	reviewed_first_pass	intervention and sensory function	sensory DRG neurons and regenerating axons	lesion bridge and axon compartment	rat	C4/T10 dorsal-column crush	medium-high	P1	true	Direct, pathway, program, and functional layers remain distinct.
