candidate_id	source_a_status	b_status	layer1_status	layer2_status	layer3_status	species_posture	injury_context_posture	next_gap
M23A-Q0001	REVIEWED_FIRST_PASS	REVIEWED_FIRST_PASS	not_direct_binding	reviewed_supported	reviewed_supported	mouse	T9 contusion plus primary astrocytes	direct binding and FAK/SRC causality unresolved
M23A-Q0447	REVIEWED_FIRST_PASS	REVIEWED_FIRST_PASS	not_direct_binding	reviewed_supported	reviewed_supported	mouse; human comparator	primary astrocytes and chronic SCI	causal receptor-specific mechanotransduction unresolved
M23A-Q0448	REVIEWED_FIRST_PASS	REVIEWED_FIRST_PASS	not_assessed	not_assessed	reviewed_supported	mouse	T11 contusion SCI	mechanics direction and receptor relay remain context-specific
M23A-Q0071	REVIEWED_FIRST_PASS	REVIEWED_FIRST_PASS	not_assessed	not_assessed	reviewed_supported	mouse	T11 contusion SCI	integrin/receptor relay unresolved
M23A-Q0699	REVIEWED_FIRST_PASS	REVIEWED_FIRST_PASS	not_assessed	not_assessed	reviewed_supported	rat	T10 lateral hemisection	model/time/sample-preparation conflict with M1A-P027
M23A-Q0070	REVIEWED_FIRST_PASS	REVIEWED_FIRST_PASS	not_direct_binding	context_supported	reviewed_supported	rat	C4/T10 dorsal-column crush	alpha9-only and FAK/SRC tests unresolved
M23A-Q0698	REVIEWED_FIRST_PASS	REVIEWED_FIRST_PASS	not_assessed	not_assessed	reviewed_supported	mouse	T10 contusion SCI	glycan-receptor mechanism and TF endpoint unresolved
M23A-Q0051	REVIEWED_FIRST_PASS	REVIEWED_FIRST_PASS	reviewed_supported	reviewed_supported	not_assessed	mixed mammalian	adhesion models; no SCI	alphaVbeta3 complex and SCI relevance unresolved
M23A-Q0053	REVIEWED_FIRST_PASS	REVIEWED_FIRST_PASS	reviewed_supported	reviewed_supported	not_assessed	human	purified and neutrophil models; no SCI	alphaMbeta2 complex and neural relevance unresolved
M23A-Q0055	REVIEWED_FIRST_PASS	REVIEWED_FIRST_PASS	not_direct_binding	reviewed_supported	reviewed_supported	mouse	contusive SCI	purified binding and alphaVbeta3 necessity unresolved
M23A-Q0057	REVIEWED_FIRST_PASS	REVIEWED_FIRST_PASS	reviewed_supported	reviewed_supported	reviewed_supported	mouse	developmental neural model	alpha3beta1 requirement remains contested and not SCI-specific
M23A-Q0061	REVIEWED_FIRST_PASS	REVIEWED_FIRST_PASS	not_direct_binding	reviewed_supported	reviewed_supported	mouse; chick; rat	primary neural models; no SCI	alpha partner unresolved
M23A-Q0066	REVIEWED_FIRST_PASS	REVIEWED_FIRST_PASS	reviewed_supported	not_assessed	reviewed_supported	mouse; human	T13 contusion plus recombinant models	SCI receptor assignment unresolved
M23A-Q0068	REVIEWED_FIRST_PASS	REVIEWED_FIRST_PASS	reviewed_supported	reviewed_supported	reviewed_supported	mouse; human	neural recombinant and culture models	SCI relevance and downstream kinase branch unresolved
M23A-Q0072	REVIEWED_FIRST_PASS	REVIEWED_FIRST_PASS	reviewed_supported	not_assessed	reviewed_supported	mammalian; mouse	biochemical and hippocampal models	SCI relay unresolved
M23A-Q0073	REVIEWED_FIRST_PASS	REVIEWED_FIRST_PASS	reviewed_supported	reviewed_supported	not_assessed	human	chondrocyte model; no SCI	neural relevance unresolved
M23A-Q0075	REVIEWED_FIRST_PASS	REVIEWED_FIRST_PASS	not_direct_binding	reviewed_supported	reviewed_supported	mouse	contusive SCI	ITGA1-specific binding unresolved
M23A-Q0101	REVIEWED_FIRST_PASS	REVIEWED_FIRST_PASS	not_direct_binding	not_assessed	reviewed_supported	mouse	T9 contusion SCI	ITGAV/ITGB8 relay unresolved
M23A-Q0105	REVIEWED_FIRST_PASS	REVIEWED_FIRST_PASS	reviewed_supported	reviewed_supported	reviewed_supported	human; rat	neural models; no SCI	COL4A1 chain and SCI relevance unresolved
M23A-Q0108	REVIEWED_FIRST_PASS	REVIEWED_FIRST_PASS	not_direct_binding	reviewed_supported	not_assessed	mouse	embryonic stem-cell model	neural and SCI relevance unresolved
M23A-Q0104	REVIEWED_FIRST_PASS	REVIEWED_FIRST_PASS	not_direct_binding	not_assessed	reviewed_supported	human; rat	neural scaffold and spinal explant model	chain and receptor assignment unresolved
M23A-Q0154	REVIEWED_FIRST_PASS	REVIEWED_FIRST_PASS	not_direct_binding	reviewed_supported	not_assessed	human	non-neural adhesion model	queued receptor complex unresolved
M23A-Q0165	REVIEWED_FIRST_PASS	REVIEWED_FIRST_PASS	not_direct_binding	reviewed_supported	not_assessed	human	chondrocyte model	COL6A1 chain and SCI relevance unresolved
M23A-Q0166	REVIEWED_FIRST_PASS	REVIEWED_FIRST_PASS	reviewed_supported	not_assessed	not_assessed	human recombinant	purified domain model	full receptor and chain unresolved
M23A-Q0188	REVIEWED_FIRST_PASS	REVIEWED_FIRST_PASS	not_direct_binding	reviewed_supported	reviewed_supported	mouse; human	LUAD model; no SCI	non-neural model and purified binding unresolved
M23A-Q0225	REVIEWED_FIRST_PASS	REVIEWED_FIRST_PASS	reviewed_supported	reviewed_supported	reviewed_supported	human	non-neural collagen model	assembled collagen and no SCI relevance
M23A-Q0226	REVIEWED_FIRST_PASS	REVIEWED_FIRST_PASS	reviewed_supported	reviewed_supported	reviewed_supported	human	non-neural collagen model	assembled collagen and no SCI relevance
M23A-Q0227	REVIEWED_FIRST_PASS	REVIEWED_FIRST_PASS	reviewed_supported	reviewed_supported	not_assessed	human recombinant	integrin domain model	cellular output and SCI relevance unresolved
M23A-Q0228	REVIEWED_FIRST_PASS	REVIEWED_FIRST_PASS	reviewed_supported	reviewed_supported	reviewed_supported	human	non-neural collagen model	assembled collagen and no SCI relevance
M23A-Q0251	REVIEWED_FIRST_PASS	REVIEWED_FIRST_PASS	not_direct_binding	not_assessed	reviewed_supported	chick; quail	developmental neural model	queued receptor assignment unresolved
M23A-Q0256	REVIEWED_FIRST_PASS	REVIEWED_FIRST_PASS	not_direct_binding	reviewed_supported	reviewed_supported	mouse; human	non-neural model	CD47 alternative and no SCI
M23A-Q0259	REVIEWED_FIRST_PASS	REVIEWED_FIRST_PASS	not_direct_binding	reviewed_supported	reviewed_supported	human	bone/mineralized-tissue model	no neural or SCI model
M23A-Q0267	REVIEWED_FIRST_PASS	REVIEWED_FIRST_PASS	not_direct_binding	reviewed_supported	reviewed_supported	mouse; rat	SCI and neural models	no alpha5beta1-specific in-vivo perturbation
