module_route	edge_or_pair	source_entity	relation	target_entity	current_tier	promoted_tier	primary_pmids	corroborating_pmids	exact_evidence_status	species_context	module_fit	decision	evidence_summary	limitations
20A→20B	M20B-E001792	Slit2	engages	Robo2	medium	high	19782674	25894826	exact_pair_supported	species/context resolved for cited pair	Module20A_contact_adhesion	promote_to_high	Slit2/Robo2 binding and receptor-specific axon-guidance dependence are shown in mouse primary studies; an independent vascular study also requires Robo1/2 for Slit2 responses.	Heparan-sulfate presentation is a required cofactor and the studies include Robo1 as a parallel receptor; the Slit2-Robo2 pair itself is directly tested.
20A→20B	M20B-E001793	Slitrk1	engages	Ptprs	medium	high	25394468	23345436	exact_pair_supported_splice_preserved	human/recombinant and neuronal primary studies; PTP splice context retained	Module20A_contact_adhesion	promote_to_high	Primary Slitrk1/PTPσ adhesion and synaptogenic assays support the pair, with independent LAR-RPTP experiments showing PTPσ-specific dependence for Slitrk1 synaptogenic activity.	PTPσ splice context and synapse type matter; the related PTPδ structure is not being used as the sole evidence.
20A→20B	M20B-E001798	Amh	engages	AMHR2_BMPR1B	medium	high	31291191	11606457	exact_complex_supported	species/context resolved for cited pair	Module20A_TGFbeta_superfamily	promote_to_high	Mouse AMH responses require Amhr2 and Bmpr1b; knockdown of either receptor component reduces the response, corroborating earlier AMH/BMPR1B-Smad signaling.	Developmental/gonadal and GnRH-migration contexts; receptor complex is explicitly preserved as AMHR2 plus BMPR1B.
20A→20B	M20B-E001799	Areg	engages	EGFR_ERBB2	medium	high	25086039	38157863	exact_complex_supported	species/context resolved for cited pair	Module20A_EGFR	promote_to_high	AREG is directly evaluated in EGFR/ERBB2 heterodimers with ligand binding and signaling kinetics, and an independent primary study confirms AREG-driven EGFR/ERBB2 signaling in organoid and mouse fibroblast contexts.	ERBB2 is an obligate heterodimer partner rather than the principal AREG-binding subunit; complex notation is retained.
20A→20B	M20B-E001803	Bmp10	engages	ACVRL1_ACVR2A	medium	high	22718755	41892283	exact_complex_supported	species/context resolved for cited pair	Module20A_TGFbeta_superfamily	promote_to_high	BMP10 engages ALK1 with ActRIIA-containing type-II receptor complexes in primary binding/kinetic studies; independent receptor-dosage experiments resolve ACVR2A participation in BMP9/10 signaling.	BMP10 receptor assembly is multicomponent and endothelial/vascular-context enriched; the preserved complex is ALK1/ACVR2A.
20A→20B	M20B-E001804	Bmp10	engages	ACVRL1_BMPR2	medium	high	35504921	22718755	exact_complex_supported	species/context resolved for cited pair	Module20A_TGFbeta_superfamily	promote_to_high	Primary structural work directly resolves BMP10 with BMPR2, while independent ALK1/type-II receptor studies support the BMP10-ALK1-BMPR2 signaling complex.	Type-II receptor exchange and receptor abundance affect affinity; BMPR2 is explicitly retained in the complex.
20A→20B	M20B-E001806	Bmp2	engages	BMPR1A_ACVR2A	medium	high	18436533	34241280	exact_complex_supported	species/context resolved for cited pair	Module20A_TGFbeta_superfamily	promote_to_high	Human mesenchymal-stromal-cell receptor-utilization experiments support BMP2 signaling through BMPR1A with ACVR2A, corroborated by direct BMP/type-I/type-II interaction measurements.	Receptor-complex signaling is cell-context dependent and requires a type-II partner; the candidate preserves BMPR1A/ACVR2A.
20A→20B	M20B-E001807	Bmp2	engages	BMPR1A_ACVR2B	medium	high	17295905	34241280	exact_complex_supported	species/context resolved for cited pair	Module20A_TGFbeta_superfamily	promote_to_high	A primary BMP2-BMPR1A-ActRIIB ternary structure and mutational analysis directly support the preserved complex; independent biophysical measurements corroborate BMP2/type-II engagement.	The type-II contribution is lower-affinity and cooperative assembly is not universal; complex is retained explicitly.
20A→20B	M20B-E001808	Bmp2	engages	BMPR1A_BMPR2	medium	high	7791754	34241280	exact_complex_supported	species/context resolved for cited pair	Module20A_TGFbeta_superfamily	promote_to_high	Primary receptor-binding and transcriptional-response work supports BMP2 with BMPR1A and BMPR-II, with independent BLI measurements confirming the pairwise interaction framework.	BMP2 signaling requires type-I/type-II assembly and receptor abundance can alter apparent usage; preserved complex is BMPR1A/BMPR2.
20A→20B	M20B-E001812	Bmp4	engages	BMPR1A_ACVR2A	medium	high	18436533	34241280	exact_complex_supported	species/context resolved for cited pair	Module20A_TGFbeta_superfamily	promote_to_high	Human stromal-cell receptor utilization supports BMP4 through BMPR1A and ACVR2A; independent direct interaction measurements cover BMP4 binding to the relevant receptor classes.	Cellular usage is context dependent and the receptor complex requires both receptor classes; preserved complex is BMPR1A/ACVR2A.
