extraction_id	module	b_edge_id	b_evidence_id	evidence_layer	canonical_paper_key	paper_status	observation_status	observation_id_or_action	observation_value_or_blocker	observation_source_section	observation_figure_or_table	observation_species	observation_cell_or_model	observation_assay	observation_perturbation	claim_status	claim_id_or_action	claim_text_or_blocker	claim_source_section	confidence	context_and_limitations	source_locator	search_boundary	reviewer_notes
M22B-P2-R-000006-R096	22B	M22B-E000449	M22B-EVID-000006	ligand_receptor_or_direct_molecular	PMCID:PMC290274; PMID:14627821; PMID:9129017; DOI:10.1093/nar/gkg907	validated_primary_fulltext	validated_primary_observation	M22B-O-PH2-000006-R096	Cytokine stimulation recruited STAT5 to the endogenous murine Cis/Cish promoter and induced Cish expression in hematopoietic cells; promoter occupancy and chromatin remodeling were measured with ChIP and chromatin assays, with IL-3 and related cytokine comparator contexts.	Abstract; RESULTS: STAT5 recruitment and cytokine-inducible Cis/Cish transcription	Figures 1-5	mouse; human comparator	Murine hematopoietic cells and human cytokine-responsive comparator cells	ChIP; promoter/chromatin assays; cytokine stimulation; expression analysis	IL-3; EPO/cytokine comparator; STAT5 perturbation; Cis/Cish promoter	VALIDATED_DIRECT_TF_TARGET	M22B-C-PH2-000006-R096	The primary records directly support cytokine-associated STAT5 recruitment and transcriptional regulation of the endogenous murine Cish promoter, with strongest ligand-specific support from IL-3/EPO hematopoietic comparator systems; IL-15, IL-2, IL-5, IL-7, IL-9, and SCI receiver-cell transfer remain unresolved.	Abstract; RESULTS; DISCUSSION	High for STAT5-Cish promoter occupancy in the tested hematopoietic models; bounded for ligand-specific receptor complexes and SCI transfer	This record reuses the validated shared STAT5-to-Cish primary evidence without assigning it to every submitted cytokine receptor handoff. Direct promoter occupancy is distinct from receptor-proximal STAT5 activation and downstream hematopoietic output.	PMCID:PMC290274; PMID:14627821; PMID:9129017; DOI:10.1093/nar/gkg907; local=data/raw/evidence/module20_24_supervised_cli_phase2/retry_B22B_batch076_PMC290274_CIS.html; local=data/raw/evidence/module20_24_supervised_cli_phase2/retry_B22B_PMC290274_Cish.xml	Official PMC full text and linked PMID records were reviewed; no SCI receiver-cell or ligand-specific receptor-complex test beyond the cited hematopoietic systems was imported.	Shared direct target reused with ligand-specific boundary.
M22B-P2-R-RECOVERY-STAT5-CISH-000001	22B	M22B-E000449	M22B-EVID-000006	ligand_receptor_or_direct_molecular	PMCID:PMC290274; PMID:14627821; DOI:10.1093/nar/gkg907; PMID:9129017	validated_primary_fulltext	validated_full_text_importable	CREATE_OBSERVATION_STAGING:M22B-OBS-STAT5-CISH-000001	In murine IL-3-dependent Ba/F3-beta pro-B cells, constitutively active STAT5A increased Cis mRNA, whereas siRNA depletion of STAT5A and STAT5B suppressed IL-3-induced Cis expression without changing STAT3. ChIP-qPCR showed IL-3-dependent STAT5 recruitment to the endogenous Cis promoter at the -184/-102 and -256/-195 STAT5-site regions, with recruitment absent from the c-Fos control promoter. The study also measured promoter-associated RNA polymerase II, histone acetylation, and chromatin accessibility, showing that STAT5 binding and chromatin remodeling are associated with Cis transcription but are not alone sufficient for transcriptional activation. The full-text paper identifies Cis as a STAT5 target and places the result in the IL-3 cytokine pathway; the original Blood paper anchor additionally reports EPO-dependent Cis-promoter reporter activation and MGF-box dependence.	INTRODUCTION; RESULTS: Validation of Cis as a STAT5-dependent gene; RESULTS: STAT5 binding to the Cis promoter in vivo locally modulates histone H3 and H4 acetylation levels; DISCUSSION	Figs. 1-6; ChIP amplicons -826/-749, -256/-195, -184/-102, +878/+944	mouse; human comparator in original Blood anchor	Murine Ba/F3-beta IL-3-dependent pro-B cells; Ba/F3-WT and constitutively active STAT5A 1*6 cells; original anchor includes HEK293 EPO-receptor/STAT5 reporter cells	ChIP-qPCR; RT-qPCR; Western blot; STAT5A/B siRNA knockdown; constitutively active STAT5A; chromatin accessibility assay; promoter-reporter evidence in linked original anchor	IL-3 stimulation; STAT5A/B siRNA; constitutively active STAT5A 1*6; trichostatin A transcriptional inhibition; linked original anchor includes EPO and IL-3 receptor contexts	validated_author_claim	CREATE_AUTHOR_CLAIM_STAGING:M22B-CLAIM-STAT5-CISH-000001	The primary study concludes that cytokine-activated STAT5 is recruited in vivo to the endogenous Cis promoter and regulates Cis transcription in IL-3-dependent hematopoietic cells, with chromatin remodeling and core transcriptional machinery recruitment as distinct downstream events. The linked original Blood paper supports EPO-dependent Cis-promoter activity and feedback inhibition of STAT5. This validates the STAT5-to-Cish target-gene edge but not receptor-specific Cish induction for every STAT5 cytokine or any SCI receiver-cell context.	Abstract; Results; Discussion	High	Direct STAT5-to-Cish promoter recruitment and perturbation are validated in a murine hematopoietic comparator. The edge remains distinct from ligand-receptor binding and receptor-complex specificity; IL-2, IL-5, IL-7, IL-9, IL-15, and SCI transfer are not inferred. The full-text NAR study also shows that STAT5 binding is necessary but not sufficient for transcription, so promoter occupancy must not be treated as a complete causal account.	PMCID:PMC290274; PMID:14627821; DOI:10.1093/nar/gkg907; linked source PMID:9129017; https://pmc.ncbi.nlm.nih.gov/articles/PMC290274/; local full text=data/raw/evidence/module20_24_supervised_cli_phase2/retry_B22B_batch076_PMC290274_CIS.html	Official PMC full text reviewed through Abstract, Results, figure legends, Methods, and Discussion. Exact ChIP amplicons, IL-3 stimulation, STAT5 perturbations, and controls were retained. PubMed abstract for the linked original Blood anchor was retrieved; no additional stable full text for PMID:9129017 was required for this promotion.	Primary full-text recovery promotes the predeclared STAT5-to-Cish edge while preserving cytokine and cell-model boundaries.
M22B-P2-R-000010	22B	M22B-E000459	M22B-EVID-000010	ligand_receptor_or_direct_molecular	PMID:16814729	paper_ready	validated_full_text	CREATE_OBSERVATION_STAGING:M22B-O-RETRY-B21B-000010	IL-4 induced PGC-1β in macrophages in a STAT6-dependent manner, and PGC-1β coactivated STAT6 at the Arg1 promoter. IL-4 increased STAT6 and PGC-1β recruitment to the Arg1 enhancer; mutation of the STAT6 site abolished STAT6/PGC-1β reporter activation, while PGC-1β expression increased arginase activity and reduced LPS-induced inflammatory cytokines.	Results: PGC-1β induction and STAT6 coactivation of Arg1; ChIP and reporter experiments	Arg1 promoter reporter, STAT6-site mutation, co-immunoprecipitation, ChIP, arginase activity, cytokine-output assays	mouse	mouse macrophages; RAW264.7 macrophages; transgenic/knockdown macrophage systems	IL-4 stimulation; Arg1 promoter reporter; STAT6-site mutation; STAT6/PGC-1β ChIP and co-immunoprecipitation; PGC-1β expression or RNAi; arginase and inflammatory-cytokine readouts	IL-4; STAT6 deficiency or pathway dependence; PGC-1β expression; PGC-1β knockdown; LPS challenge	validated_author_claim	CREATE_AUTHOR_CLAIM_STAGING:M22B-C-RETRY-B21B-000010	The authors conclude that STAT6 and PGC-1β cooperate at the Arg1 promoter to drive alternative macrophage activation and associated oxidative/anti-inflammatory functions.	Results; Discussion	High	Primary full text supports a direct/co-regulatory STAT6-to-Arg1 promoter edge and separate metabolic/anti-inflammatory functional outputs. The evidence is IL-4/macrophage-specific and does not establish universal STAT6 regulation, direct IL-13 receptor-complex effects, or SCI receiver-cell behavior.	PMCID:PMC1904486; PMID:16814729; DOI:10.1016/j.cmet.2006.05.011; https://pmc.ncbi.nlm.nih.gov/articles/PMC1904486/	PMCID full text and the exact PubMed record were retrieved outside the prior DNS-failed cache on 2026-08-25; promoter mutation, ChIP, co-immunoprecipitation, PGC-1β perturbation, and functional-output passages were reviewed.	Promote the direct/co-regulatory STAT6-to-Arg1 edge and preserve the separate PGC-1β/functional-output layer.
M22B-P2-R-000010-R096	22B	M22B-E000459	M22B-EVID-000010	ligand_receptor_or_direct_molecular	PMCID:PMC1904486; PMID:16814729; DOI:10.1016/j.cmet.2006.05.011	validated_primary_fulltext	validated_primary_fulltext	M22B-O-PH2-000010-R096	In mouse RAW264.7 macrophages, IL-4 activated STAT6 and increased Arg1 promoter activity; PGC-1β coexpression enhanced this activity, mutation of the STAT6 response element abolished activation, co-immunoprecipitation detected a PGC-1β–STAT6 complex, and quantitative ChIP showed IL-4-dependent corecruitment of STAT6 and PGC-1β to the Arg1 enhancer. PGC-1β perturbation changed arginase and inflammatory-cytokine outputs.	RESULTS: STAT6 transcriptional regulation and PGC-1β coactivation at Arg1; ChIP and reporter experiments	Figures 1-4, 6-7; Arg1 reporter/STAT6-site mutation and ChIP panels	mouse	Mouse RAW264.7 macrophages; mouse bone-marrow-derived and thioglycollate-elicited macrophages; STAT6-null and PGC-1β perturbation systems	Arg1-luc and STAT6-response-element mutant reporters; co-immunoprecipitation; quantitative ChIP; EMSA for MCAD comparator; arginase activity; inflammatory-cytokine ELISA; RNA/protein expression	IL-4; STAT6-response-element mutation; PGC-1β coexpression, transgenic expression, or shRNA knockdown; STAT6 deficiency; LPS challenge	VALIDATED_DIRECT_TF_TARGET	M22B-C-PH2-000010-R096	The primary study concludes that IL-4-activated STAT6 recruits and is coactivated by PGC-1β at the Arg1 enhancer, contributing to alternative macrophage activation and metabolic/anti-inflammatory outputs.	RESULTS; Discussion; Summary	High	Direct STAT6/Arg1 enhancer regulation is validated in mouse macrophages but is context-specific and co-regulator dependent. Functional macrophage outputs remain distinct; no direct IL-13 receptor-complex effect or SCI receiver-cell behavior is inferred.	PMCID:PMC1904486; PMID:16814729; DOI:10.1016/j.cmet.2006.05.011; https://pmc.ncbi.nlm.nih.gov/articles/PMC1904486/	Official PMC full text retrieved and reviewed outside the prior DNS-failed cache on 2026-08-25, including Results, figure legends, Methods, Discussion, and Summary.	Corrected the earlier mechanism mismatch: the primary paper does support STAT6/PGC-1β recruitment and STAT6-site-dependent Arg1 enhancer regulation; preserve the separate MCAD direct-binding record and functional outputs.
M22B-P2-R-RECOVERY-STAT6-ARG1-000001	22B	M22B-E000459	M22B-EVID-000010	ligand_receptor_or_direct_molecular	PMCID:PMC1904486; PMID:16814729; DOI:10.1016/j.cmet.2006.05.011	validated_primary_fulltext	validated_full_text_importable	CREATE_OBSERVATION_STAGING:M22B-OBS-STAT6-ARG1-000001	In mouse RAW264.7 macrophages, IL-4 activated STAT6 and increased arginase I promoter activity approximately twofold; coexpression of PGC-1beta increased activity to approximately eightfold over basal. Mutation of the STAT6 response element in the arginase I enhancer abolished activation by STAT6 plus PGC-1beta. Coimmunoprecipitation detected a soluble PGC-1beta-STAT6 complex, and quantitative ChIP showed IL-4-dependent corecruitment of STAT6 and PGC-1beta to the arginase I enhancer. PGC-1beta expression increased IL-4-associated arginase activity and reduced inflammatory cytokine output, while PGC-1beta knockdown impaired the alternative macrophage program. Separately, STAT6-null macrophages failed to induce the IL-4-responsive metabolic program, and STAT6 directly bound and activated an MCAD promoter STAT6 response element by EMSA, supershift, and promoter mutagenesis.	RESULTS: STAT6 transcriptionally regulates oxidative metabolism in macrophages; RESULTS: Constitutive expression of PGC-1beta downregulates macrophage inflammatory responses; RESULTS: PGC-1beta knockdown impairs alternative macrophage activation; Experimental procedures: Gel mobility shift assays and transient transfections; Experimental procedures: Chromatin immunoprecipitation assays	Figs. 1-4, 6-7; MCAD STAT6RE and arginase I enhancer reporter/ChIP panels	mouse	RAW264.7 macrophages; mouse bone-marrow-derived and thioglycolate-elicited macrophages; STAT6-null macrophages; PGC-1beta transgenic and shRNA knockdown macrophages	Arg1-luc and STAT6RE-mutant luciferase reporters; coimmunoprecipitation; quantitative ChIP; EMSA and supershift for MCAD; immunoblot; arginase activity; ELISA; RNA and protein expression	IL-4; STAT6 response-element mutation; PGC-1beta coexpression, transgenic expression, and shRNA knockdown; STAT6 deficiency; etomoxir, oligomycin, or FCCP metabolic inhibition	validated_author_claim	CREATE_AUTHOR_CLAIM_STAGING:M22B-CLAIM-STAT6-ARG1-000001	The authors conclude that IL-4-activated STAT6 recruits and is coactivated by PGC-1beta at the arginase I enhancer, contributing to alternative macrophage activation and its metabolic and anti-inflammatory outputs. The STAT6 response-element mutation, STAT6/PGC-1beta ChIP, and coimmunoprecipitation support a direct promoter/enhancer-regulatory record with co-regulatory dependence. This does not establish direct IL-13 receptor-complex regulation in every cell type or an SCI receiver-cell result.	Results; Discussion; Summary	High	Direct STAT6/Arg1 enhancer regulation is validated in mouse macrophages, but the edge is context-specific and requires PGC-1beta/co-regulatory state. Functional macrophage outputs and promoter-level evidence remain separate layers; receptor-complex identity, IL-13 substitution, and SCI transfer are not inferred.	PMCID:PMC1904486; PMID:16814729; DOI:10.1016/j.cmet.2006.05.011; https://pmc.ncbi.nlm.nih.gov/articles/PMC1904486/; local full text=data/raw/evidence/module20_24_supervised_cli_phase2/retry_B22B_batch074_PMC1904486_PGC1beta.html	Official PMC full text reviewed through Abstract, Results, figure legends, Methods, Discussion, and Summary. Promoter mutation, co-IP, ChIP, STAT6-deficiency, metabolic perturbation, and macrophage functional outputs were retained. No SCI receiver-cell experiment or receptor-binding assay was located.	Primary full-text recovery promotes the predeclared STAT6-to-Arg1 edge without substituting it for the distinct STAT6-to-Chil3 record.
M22B-P2-R-000053	22B	M22B-E000393	M22B-EVID-000020	downstream_or_functional	PMID:10022869; PMCID:PMC83975; DOI:10.1128/MCB.19.3.1821	validated_primary_paper	validated_primary_observation	CREATE_OBSERVATION_STAGING:M22B-O-PH2-000020	In human HaCaT keratinocytes, TGF-beta1 induced a Smad3/Smad4-containing complex to bind the +62 to +73 CAGA repeat in the c-Jun promoter; EMSA supershifts and loss of the induced complex in Smad3-null fibroblasts supported Smad3 dependence. Mutation of the CAGA site reduced TGF-beta-responsive c-Jun reporter activation, while an AP-1/CRE site independently contributed to residual responsiveness.	RESULTS: TGF-beta treatment induces DNA binding of a Smad3- and Smad4-containing complex to the c-Jun promoter; RESULTS: The Smad3-Smad4 binding site in the c-Jun promoter is a CAGA triplet; RESULTS: Mutation of the Smad3-Smad4 binding site abrogates responsiveness; RESULTS: TGF-beta induction and induced complex binding are lost in Smad3-deficient MEFs; RESULTS: Mutation of an AP-1/CRE site can independently abrogate TGF-beta responsiveness	Figures 1-5	human; mouse comparator	HaCaT human keratinocytes; Mv1Lu reporter cells; Smad3+/− and Smad3−/− mouse embryonic fibroblasts	EMSA and antibody supershift; promoter mutagenesis; luciferase reporter assays; TGF-beta stimulation; Smad3-deficient fibroblast comparison	TGF-beta1; CAGA-site mutation; AP-1/CRE-site mutation; Smad3 deficiency	validated_author_claim	CREATE_AUTHOR_CLAIM_STAGING:M22B-C-PH2-000020	The authors conclude that TGF-beta-induced Smad3/Smad4 binding at a CAGA element and cooperation with AP-1/CRE sequences synergistically activate the c-Jun promoter, with Smad3 required for the induced complex and response.	Abstract; RESULTS; DISCUSSION	High	This is direct TF-promoter and pathway evidence in epithelial/fibroblast comparator systems, not direct TGF-beta receptor binding and not an SCI receiver-cell model. The Smad3/Smad4 complex, AP-1 cooperation, and c-Jun functional output must remain distinct; no SMAD2 or BMP/activin/MSTN receptor inference was made.	PMID:10022869; PMCID:PMC83975; DOI:10.1128/MCB.19.3.1821; local full text=data/raw/evidence/module20_24_supervised_cli_phase2/retry_external_PMC83975.html	PubMed XML and PMC article HTML retrieved by supervised external CLI on 2026-08-20; exact Results, Methods, figure-caption, Abstract, and Discussion passages reviewed. Promoter evidence was not converted to ligand-receptor binding.	External recovery promotes EVID-000020 from unresolved to validated primary observation; no canonical records were modified.
M22B-P2-R-RECOVERY-SMAD3-SMAD4-JUN-000001	22B	M22B-E000393	M22B-EVID-000020	downstream_or_functional	PMID:10022869; PMCID:PMC83975; DOI:10.1128/MCB.19.3.1821	validated_primary_paper	validated_primary_observation	CREATE_OBSERVATION_STAGING:OBS-M22B-PH2-RECOVERY-000002	TGF-beta1 induced a Smad3/Smad4-containing complex to bind the +62 to +73 CAGA region of the human c-Jun promoter in EMSA and supershift assays. Mutation of that site eliminated the induced complex and reduced TGF-beta-responsive c-Jun promoter reporter activity in HaCaT and mink lung epithelial cells. Smad3-deficient mouse embryonic fibroblasts lost TGF-beta induction and induced-complex binding. The c-Jun response also required a separate AP-1/CRE site, demonstrating cooperative promoter regulation rather than a Smad-only mechanism.	Results: TGF-beta treatment induces DNA binding of a Smad3- and Smad4-containing complex to a sequence in the 3-prime region of the c-Jun promoter; Results: Mutation of the Smad3-Smad4 binding site in the c-Jun promoter abrogates responsiveness to TGF-beta; Results: TGF-beta induction and induced complex binding are lost in Smad3-deficient MEFs	Figs. 1-4	Human; mink; mouse	Human HaCaT keratinocytes; mink lung epithelial Mv1Lu cells; primary mouse embryonic fibroblasts	EMSA and Smad3/Smad4 supershift; c-Jun promoter luciferase reporters; CAGA-site mutagenesis; Northern/Western expression assays; Smad3-deficient MEF comparison	100 pM TGF-beta1; Smad3 or Smad4 expression; CAGA-site mutation at +62 to +73; Smad3-deficient MEFs	validated_direct_tf_target	CLAIM-M22B-PH2-RECOVERY-000002	Retain direct SMAD3/SMAD4 -> JUN/c-Jun promoter evidence with AP-1 cooperation in the reported mammalian comparator systems. Do not split the complex into independent SMAD3-only or SMAD4-only direct edges, infer a specific upstream BMP8B/GDF11/activin/MSTN receptor handoff, or transfer the promoter result to SCI cells.	Results; Discussion	High for TGF-beta-responsive Smad3/Smad4 promoter binding and functional promoter dependence; bounded for complex stoichiometry, ligand-receptor transfer, and SCI relevance	The primary paper provides EMSA, supershift, promoter mutagenesis, reporter, and Smad3-loss evidence. The target is a promoter-level direct TF complex edge; AP-1 is a required cooperating element, so the result should not be represented as a Smad-only functional output.	PMID:10022869; PMCID:PMC83975; DOI:10.1128/MCB.19.3.1821; https://pubmed.ncbi.nlm.nih.gov/10022869/; https://pmc.ncbi.nlm.nih.gov/articles/PMC83975/; local source=data/raw/evidence/module20_24_supervised_cli_phase2/retry_B22B_batch063_PMC83975_STAT3_target.html	Primary PMC full text retrieved; Results and figure legends for Figs. 1-4 were checked. No SCI model or upstream module-specific ligand/receptor perturbation was found.	Direct TF-complex binding, promoter function, pathway stimulus, and cooperating AP-1 evidence remain distinct.
M22B-P2-R-000028	22B	M22B-E000456	M22B-EVID-000028	ligand_receptor_or_direct_molecular	PMID:14627821; PMCID:PMC290274; DOI:10.1093/nar/gkg907	validated_primary_fulltext	validated_full_text_importable	CREATE_OBSERVATION_STAGING:M22B-O-PH2-000028	In IL-3-dependent murine Ba/F3-beta pro-B cells, IL-3 stimulation recruited STAT5A/B to the endogenous Cis promoter, including the -184/-102 STAT5-site amplicon; constitutively active STAT5A increased Cis expression and STAT5A/B siRNA reduced IL-3-induced Cis. ChIP and RT-qPCR/western analyses support STAT5 promoter association and cytokine-induced Cis transcription; TSA separated STAT5 recruitment from basal transcription-machinery recruitment.	Abstract; MATERIALS AND METHODS: ChIP assay; RESULTS: Validation of Cis as a STAT5-regulated gene; RESULTS: STAT5 binding to the Cis promoter in vivo	Figures 1-3	mouse	IL-3-dependent murine pro-B Ba/F3-beta cells; Ba/F3-WT and Ba/F3-1*6 STAT5A lines	ChIP-qPCR; RT-qPCR; western blot; STAT5A/B siRNA; constitutively active STAT5A	IL-3 stimulation; STAT5A/B knockdown; constitutively active STAT5A; TSA	validated_author_claim	CREATE_AUTHOR_CLAIM_STAGING:M22B-C-PH2-000028	The primary study concludes that STAT5 recruitment to the cytokine-inducible Cis promoter is required in the IL-3/Ba/F3 comparator for Cis transcription, with local chromatin remodeling and a separate deacetylase-sensitive recruitment step. This supports the shared STAT5-to-Cish direct TF-target edge, but not assignment to every queued IL-2/IL-5/IL-7/IL-9/IL-15 receptor branch or an SCI receiver cell.	RESULTS; DISCUSSION	high for STAT5-Cis promoter association; bounded for receptor transfer and SCI	Direct TF/promoter evidence in IL-3-stimulated Ba/F3 cells; no purified ligand-receptor interaction, no exact upstream receptor-complex assignment beyond the IL-3 comparator, and no SCI model.	PMID:14627821; PMCID:PMC290274; DOI:10.1093/nar/gkg907; https://pmc.ncbi.nlm.nih.gov/articles/PMC290274/; local full text=data/raw/evidence/module20_24_supervised_cli_phase2/retry_B22B_batch076_PMC290274_CIS.html	Primary PMC full text retrieved and checked; exact IL-3/Ba/F3 model, promoter amplicons, ChIP results, and perturbations retained; no receptor or SCI transfer inferred.	Batch 22B supervised full-text recovery; direct TF-target support promoted with upstream-ligand boundary.
M22B-P2-R-000028C	22B	M22B-E000417	M22B-EVID-000030	downstream_or_functional	PMCID:PMC3529151; PMID:22306691; DOI:10.1038/ni.2227	validated_primary_fulltext	validated_full_text_importable	CREATE_OBSERVATION_STAGING:M22B-O-PH2-000028C	IL-35 induced STAT1:STAT4 heterodimer formation by reciprocal co-immunoprecipitation. ChIP and ChIP-reChIP in activated mouse Tconv cells showed IL-35-dependent co-enrichment of STAT1 and STAT4 at multiple sites in the Il12a and Ebi3 promoters, strongest at Il12a−250 and Ebi3−500, while IL-12 plus IFN-γ induced little STAT1:STAT4 promoter interaction. IL-35 also induced Ebi3 and Il12a transcription within 1–3 hours, and Stat1 or Stat4 deficiency reduced those transcripts.	Results: IL-35 utilizes a unique STAT1:STAT4 heterodimer	Figure 7; Supplementary Figure 4	Mouse	Activated mouse CD4+ Tconv cells, including wild-type and Stat1−/− or Stat4−/− comparisons	Reciprocal co-immunoprecipitation; STAT1 and STAT4 ChIP; sequential ChIP-reChIP; qPCR	IL-35 versus IL-12 plus IFN-γ; Stat1 or Stat4 deficiency; promoter-site interrogation	validated_author_claim	CREATE_AUTHOR_CLAIM_STAGING:M22B-C-PH2-000028C	The authors conclude that an IL-35-induced STAT1:STAT4 heterodimer directly engages multiple Il12a and Ebi3 promoter sites and provides a distinct transcriptional route to IL-35 production and iTr35 conversion.	Figure 7 legend; Results; Discussion	High for the named promoter-site occupancy and transcriptional association; bounded for causal site-specific activation	This is direct TF/promoter occupancy in activated mouse T cells, not direct IL-35-receptor binding. The authors note that each amplicon may contain adjacent or sheared-fragment STAT motifs, so exact single-site assignment is limited. No SCI cell, universal IL-35 target list, or terminal-TF transfer was inferred.	PMCID:PMC3529151; PMID:22306691; DOI:10.1038/ni.2227; https://pmc.ncbi.nlm.nih.gov/articles/PMC3529151/; local full text=data/raw/evidence/module20_24_supervised_cli_phase2/retry_B22B_PMC3529151_IL35.xml	Official full text was reviewed through Figure 7, ChIP/reChIP methods, and the promoter-specific Results text. Direct occupancy was promoted only for Il12a/Ebi3 and the reported amplicons.	This is the batch's direct TF-target record; it is not merged with receptor-complex or phenotype evidence.
M22B-P2-R-000048-R099	22B	M22B-E000376	M22B-EVID-000048	downstream_or_functional	PMCID:PMC4206766; PMID:25277163; DOI:10.1186/s12915-014-0081-5; PMID:24798330	validated_primary_fulltext	validated_primary_observation	M22B-O-PH2-000048-R099	Nodal-responsive zebrafish blastula embryos showed proximal Smad2 binding at hundreds of genes; integration of Smad2 ChIP-seq with Nodal-response expression identified a direct-target set, with Nodal-responsive examples including foxa, klf3, notum1a, and smarcd3b. Independent ChIP-qPCR validated selected Smad2 peaks.	RESULTS: Defining direct targets of Nodal/Smad2; The transcriptional network directed by Smad2 is conserved amongst vertebrates	Figure 1; Supplementary Figure 3; Additional Table 2	zebrafish	Zebrafish blastula-stage embryos, including ndr1-injected and maternal-zygotic oep comparator embryos	Smad2 ChIP-seq; ChIP-qPCR; expression microarray; in situ hybridization	ndr1/Nodal overexpression; maternal-zygotic oep loss of Nodal signaling; chromatin immunoprecipitation	VALIDATED_DIRECT_TF_TARGET_BOUNDED	M22B-C-PH2-000048-R099	The primary study supports a Nodal-associated Smad2 direct-target program in zebrafish embryos and named responsive examples, but it does not establish Gdf1-specific receptor usage, the exact Nodal-Gdf1 heterodimer as the stimulus, an SMAD3 target, or SCI transfer.	RESULTS; Discussion	High for Nodal/Smad2 target-program evidence; bounded for Gdf1 specificity, receptor-complex identity, and SCI transfer	This supplements the Nodal-Gdf1 receptor/pathway/function record with a separate terminal-TF program. The target set is developmental and zebrafish-specific; no direct Nodal-Gdf1-to-single-gene edge is inferred.	PMCID:PMC4206766; PMID:25277163; DOI:10.1186/s12915-014-0081-5; PMID:24798330; https://pmc.ncbi.nlm.nih.gov/articles/PMC4206766/; local full text=data/raw/evidence/module20_24_supervised_cli_phase2/retry_B22B_PMC_smads_nodal_bioc.json	Exact PMCID full text retrieved through NCBI BioC. PMID:24798330 was separately reviewed for Nodal-Gdf1 receptor-complex and endoderm-function evidence; Gdf1-specific terminal target assignment was not transferred.	Terminal Smad2 target program separate from Nodal-Gdf1 receptor and function.
