"extraction_id"	"module"	"b_evidence_id"	"canonical_paper_key"	"source_locator"	"resolved_canonical_paper_key"	"resolved_pmid"	"resolved_pmcid"	"resolved_doi"	"identity_resolution_status"	"resolution_basis"	"authoritative_source"	"source_metadata_title"	"source_metadata_authors"	"source_metadata_year"	"source_metadata_journal"	"source_metadata_abstract"	"source_metadata_url"	"unresolved_reason"
"M20B-P2-000370"	"20B"	"M20B-EVID-000370"	"UNRESOLVED_MANIFEST_SOURCE"	"work/module20_db_seed/evidence_escalation_router/module20a_lr_release_manifest.json"	""	""	""	""	"unresolved_no_authoritative_resolution"	""	""	""	""	""	""	""	""	"no exact metadata-ledger, source-locator, or content-level local-artifact resolution"
"M20B-P2-R-002056"	"20B"	"M20B-EVID-000370"	"PMID:29244234; PMCID:PMC5876120; DOI:10.1002/ana.25120"	"PMID:29244234; PMCID:PMC5876120; DOI:10.1002/ana.25120; local=data/raw/evidence/module20_24_supervised_cli_phase2/gap003/primary_records.xml"	"PMID:29244234"	"29244234"	""	""	"resolved_canonical_pmid"	"single explicit PMID in canonical_paper_key"	"canonical_paper_key"	""	""	""	""	""	""	""
"M20B-P2-R-002057"	"20B"	"M20B-EVID-000398"	"PMID:15937099"	"PMID:15937099; local=data/raw/evidence/module20_24_supervised_cli_phase2/gap003/primary_records.xml"	"PMID:15937099"	"15937099"	""	""	"resolved_canonical_pmid"	"single explicit PMID in canonical_paper_key"	"canonical_paper_key"	""	""	""	""	""	""	""
"M20B-P2-000472"	"20B"	"M20B-EVID-000472"	"UNRESOLVED_MANIFEST_SOURCE"	"work/module20_db_seed/evidence_escalation_router/module20a_lr_release_manifest.json"	""	""	""	""	"unresolved_no_authoritative_resolution"	""	""	""	""	""	""	""	""	"no exact metadata-ledger, source-locator, or content-level local-artifact resolution"
"M20B-P2-R-002058"	"20B"	"M20B-EVID-000472"	"PMID:21673655"	"PMID:21673655; local=data/raw/evidence/module20_24_supervised_cli_phase2/gap003/primary_records.xml"	"PMID:21673655"	"21673655"	""	""	"resolved_canonical_pmid"	"single explicit PMID in canonical_paper_key"	"canonical_paper_key"	""	""	""	""	""	""	""
"M20B-P2-000475"	"20B"	"M20B-EVID-000475"	"UNRESOLVED_MANIFEST_SOURCE"	"work/module20_db_seed/evidence_escalation_router/module20a_lr_release_manifest.json"	""	""	""	""	"unresolved_no_authoritative_resolution"	""	""	""	""	""	""	""	""	"no exact metadata-ledger, source-locator, or content-level local-artifact resolution"
"M20B-P2-R-002059"	"20B"	"M20B-EVID-000475"	"PMID:26235031; PMCID:PMC4930246; DOI:10.1016/j.str.2015.06.022"	"PMID:26235031; PMCID:PMC4930246; DOI:10.1016/j.str.2015.06.022; local=data/raw/evidence/module20_24_supervised_cli_phase2/gap003/primary_records.xml"	"PMID:26235031"	"26235031"	""	""	"resolved_canonical_pmid"	"single explicit PMID in canonical_paper_key"	"canonical_paper_key"	""	""	""	""	""	""	""
"M20B-P2-000478"	"20B"	"M20B-EVID-000478"	"UNRESOLVED_MANIFEST_SOURCE"	"work/module20_db_seed/evidence_escalation_router/module20a_lr_release_manifest.json"	""	""	""	""	"unresolved_no_authoritative_resolution"	""	""	""	""	""	""	""	""	"no exact metadata-ledger, source-locator, or content-level local-artifact resolution"
"M20B-P2-R-002060"	"20B"	"M20B-EVID-000478"	"PMID:19492039; PMCID:PMC2683942; DOI:10.1371/journal.pone.0005742"	"PMID:19492039; PMCID:PMC2683942; DOI:10.1371/journal.pone.0005742; local=data/raw/evidence/module20_24_supervised_cli_phase2/gap003/primary_records.xml"	"PMID:19492039"	"19492039"	""	""	"resolved_canonical_pmid"	"single explicit PMID in canonical_paper_key"	"canonical_paper_key"	""	""	""	""	""	""	""
"M20B-P2-R-002036"	"20B"	"M20B-EVID-000726"	"PMID:16845371; PMCID:PMC1525155; DOI:10.1038/sj.embor.7400752"	"PMID:16845371; PMCID:PMC1525155; DOI:10.1038/sj.embor.7400752; local=data/raw/evidence/module20_24_supervised_cli_phase2/gap001/gdf11_alk5_acvr2b_PMID16845371.xml"	"PMID:16845371"	"16845371"	""	""	"resolved_canonical_pmid"	"single explicit PMID in canonical_paper_key"	"canonical_paper_key"	""	""	""	""	""	""	""
"M20B-P2-R-002037"	"20B"	"M20B-EVID-000731"	"PMID:8702914; DOI:10.1074/jbc.271.35.21345"	"PMID:8702914; DOI:10.1074/jbc.271.35.21345; local=data/raw/evidence/module20_24_supervised_cli_phase2/gap001/gdf5_bmpr1b_acvr2a_PMID8702914.xml"	"PMID:8702914"	"8702914"	""	""	"resolved_canonical_pmid"	"single explicit PMID in canonical_paper_key"	"canonical_paper_key"	""	""	""	""	""	""	""
"M20B-P2-R-002038"	"20B"	"M20B-EVID-001461"	"PMID:22262843; PMCID:PMC3308797; DOI:10.1074/jbc.M111.318659"	"PMID:22262843; PMCID:PMC3308797; DOI:10.1074/jbc.M111.318659; local=data/raw/evidence/module20_24_supervised_cli_phase2/gap001/neurexin_latrophilin1_PMID22262843.xml"	"PMID:22262843"	"22262843"	""	""	"resolved_canonical_pmid"	"single explicit PMID in canonical_paper_key"	"canonical_paper_key"	""	""	""	""	""	""	""
"M20B-P2-R-002039"	"20B"	"M20B-EVID-001470"	"PMID:22262843; PMCID:PMC3308797; DOI:10.1074/jbc.M111.318659"	"PMID:22262843; PMCID:PMC3308797; DOI:10.1074/jbc.M111.318659; local=data/raw/evidence/module20_24_supervised_cli_phase2/gap001/neurexin_latrophilin1_PMID22262843.xml"	"PMID:22262843"	"22262843"	""	""	"resolved_canonical_pmid"	"single explicit PMID in canonical_paper_key"	"canonical_paper_key"	""	""	""	""	""	""	""
"M20B-P2-R-002040"	"20B"	"M20B-EVID-001479"	"PMID:22262843; PMCID:PMC3308797; DOI:10.1074/jbc.M111.318659"	"PMID:22262843; PMCID:PMC3308797; DOI:10.1074/jbc.M111.318659; local=data/raw/evidence/module20_24_supervised_cli_phase2/gap001/neurexin_latrophilin1_PMID22262843.xml"	"PMID:22262843"	"22262843"	""	""	"resolved_canonical_pmid"	"single explicit PMID in canonical_paper_key"	"canonical_paper_key"	""	""	""	""	""	""	""
"M20B-P2-R-002041"	"20B"	"M20B-EVID-001498"	"PMID:37534169; PMCID:PMC10392085; DOI:10.1016/j.isci.2023.107238"	"PMID:37534169; PMCID:PMC10392085; DOI:10.1016/j.isci.2023.107238; local=data/raw/evidence/module20_24_supervised_cli_phase2/gap001/remaining_pubmed_records.xml"	"PMID:37534169"	"37534169"	""	""	"resolved_canonical_pmid"	"single explicit PMID in canonical_paper_key"	"canonical_paper_key"	""	""	""	""	""	""	""
"M20B-P2-R-002042"	"20B"	"M20B-EVID-001576"	"PMID:7642548; DOI:10.1074/jbc.270.32.18910"	"PMID:7642548; DOI:10.1074/jbc.270.32.18910; local=data/raw/evidence/module20_24_supervised_cli_phase2/gap001/remaining_pubmed_records.xml"	"PMID:7642548"	"7642548"	""	""	"resolved_canonical_pmid"	"single explicit PMID in canonical_paper_key"	"canonical_paper_key"	""	""	""	""	""	""	""
