"module"	"canonical_paper_key"	"identity_resolution_status"	"unresolved_reason"	"extraction_row_count"	"source_locator_count"	"extraction_ids"
"20B"	""	"unresolved_missing_canonical_identity"	"no explicit canonical PMID, PMCID, DOI, or stable paper URL"	"475"	"64"	"P2FALLBACK-20B-M20B-EVID-002538;P2FALLBACK-20B-M20B-EVID-003713;P2FALLBACK-20B-M20B-EVID-003714;P2FALLBACK-20B-M20B-EVID-003717;P2FALLBACK-20B-M20B-EVID-003718;P2FALLBACK-20B-M20B-EVID-003719;P2FALLBACK-20B-M20B-EVID-003725;P2FALLBACK-20B-M20B-EVID-003744;P2FALLBACK-20B-M20B-EVID-003753;P2FALLBACK-20B-M20B-EVID-003759;P2FALLBACK-20B-M20B-EVID-003762;P2FALLBACK-20B-M20B-EVID-003763;P2FALLBACK-20B-M20B-EVID-003804;P2FALLBACK-20B-M20B-EVID-003826;P2FALLBACK-20B-M20B-EVID-003831;P2FALLBACK-20B-M20B-EVID-003856;P2FALLBACK-20B-M20B-EVID-003862;P2FALLBACK-20B-M20B-EVID-003864;P2FALLBACK-20B-M20B-EVID-003865;P2FALLBACK-20B-M20B-EVID-003878;P2FALLBACK-20B-M20B-EVID-003890;P2FALLBACK-20B-M20B-EVID-003896;P2FALLBACK-20B-M20B-EVID-003897;P2FALLBACK-20B-M20B-EVID-003898;P2FALLBACK-20B-M20B-EVID-003899;P2FALLBACK-20B-M20B-EVID-003904;P2FALLBACK-20B-M20B-EVID-003909;P2FALLBACK-20B-M20B-EVID-003912;P2FALLBACK-20B-M20B-EVID-003913;P2FALLBACK-20B-M20B-EVID-003914;P2FALLBACK-20B-M20B-EVID-003918;P2FALLBACK-20B-M20B-EVID-003922;P2FALLBACK-20B-M20B-EVID-003934;P2FALLBACK-20B-M20B-EVID-003934-P2-RELAY;P2FALLBACK-20B-M20B-EVID-003935;P2FALLBACK-20B-M20B-EVID-003937;P2FALLBACK-20B-M20B-EVID-003940;P2FALLBACK-20B-M20B-EVID-003942;P2FALLBACK-20B-M20B-EVID-003949;P2FALLBACK-20B-M20B-EVID-003950;P2FALLBACK-20B-M20B-EVID-003951;P2FALLBACK-20B-M20B-EVID-003954;P2FALLBACK-20B-M20B-EVID-003960;P2FALLBACK-20B-M20B-EVID-003961;P2FALLBACK-20B-M20B-EVID-003963;P2FALLBACK-20B-M20B-EVID-003964;P2FALLBACK-20B-M20B-EVID-003973;P2FALLBACK-20B-M20B-EVID-003975;P2FALLBACK-20B-M20B-EVID-003976;P2FALLBACK-20B-M20B-EVID-003979;P2FALLBACK-20B-M20B-EVID-003982;P2FALLBACK-20B-M20B-EVID-003984;P2FALLBACK-20B-M20B-EVID-003988;P2FALLBACK-20B-M20B-EVID-003990;P2FALLBACK-20B-M20B-EVID-003991;P2FALLBACK-20B-M20B-EVID-004003;P2FALLBACK-20B-M20B-EVID-004013;P2FALLBACK-20B-M20B-EVID-004014;P2FALLBACK-20B-M20B-EVID-004025;P2FALLBACK-20B-M20B-EVID-004035;P2FALLBACK-20B-M20B-EVID-004036;P2FALLBACK-20B-M20B-EVID-004047;P2FALLBACK-20B-M20B-EVID-004053;P2FALLBACK-20B-M20B-EVID-004056;P2FALLBACK-20B-M20B-EVID-004089;P2FALLBACK-20B-M20B-EVID-004095;P2FALLBACK-20B-M20B-EVID-004096;P2FALLBACK-20B-M20B-EVID-004099;P2FALLBACK-20B-M20B-EVID-004104;P2FALLBACK-20B-M20B-EVID-004107;P2FALLBACK-20B-M20B-EVID-004124;P2FALLBACK-20B-M20B-EVID-004126;P2FALLBACK-20B-M20B-EVID-004127;P2FALLBACK-20B-M20B-EVID-004129;P2FALLBACK-20B-M20B-EVID-004131;P2FALLBACK-20B-M20B-EVID-004132;P2FALLBACK-20B-M20B-EVID-004134;P2FALLBACK-20B-M20B-EVID-004135;P2FALLBACK-20B-M20B-EVID-004136;P2FALLBACK-20B-M20B-EVID-004138;P2FALLBACK-20B-M20B-EVID-004140;P2FALLBACK-20B-M20B-EVID-004143;P2FALLBACK-20B-M20B-EVID-004144;P2FALLBACK-20B-M20B-EVID-004150;P2FALLBACK-20B-M20B-EVID-004156;P2FALLBACK-20B-M20B-EVID-004185;P2FALLBACK-20B-M20B-EVID-004190;P2FALLBACK-20B-M20B-EVID-004193;P2FALLBACK-20B-M20B-EVID-004202;P2FALLBACK-20B-M20B-EVID-004212;P2FALLBACK-20B-M20B-EVID-004213;P2FALLBACK-20B-M20B-EVID-004218;P2FALLBACK-20B-M20B-EVID-004219;P2FALLBACK-20B-M20B-EVID-004222;P2FALLBACK-20B-M20B-EVID-004224;P2FALLBACK-20B-M20B-EVID-004225;P2FALLBACK-20B-M20B-EVID-004226;P2FALLBACK-20B-M20B-EVID-004227;P2FALLBACK-20B-M20B-EVID-004230;P2FALLBACK-20B-M20B-EVID-004234;P2FALLBACK-20B-M20B-EVID-004236;P2FALLBACK-20B-M20B-EVID-004238;P2FALLBACK-20B-M20B-EVID-004239;P2FALLBACK-20B-M20B-EVID-004240;P2FALLBACK-20B-M20B-EVID-004247;P2FALLBACK-20B-M20B-EVID-004248;P2FALLBACK-20B-M20B-EVID-004268;P2FALLBACK-20B-M20B-EVID-004269;P2FALLBACK-20B-M20B-EVID-004270;P2FALLBACK-20B-M20B-EVID-004273;P2FALLBACK-20B-M20B-EVID-004279;P2FALLBACK-20B-M20B-EVID-004289;P2FALLBACK-20B-M20B-EVID-004290;P2FALLBACK-20B-M20B-EVID-004294;P2FALLBACK-20B-M20B-EVID-004296;P2FALLBACK-20B-M20B-EVID-004297;P2FALLBACK-20B-M20B-EVID-004298;P2FALLBACK-20B-M20B-EVID-004304;P2FALLBACK-20B-M20B-EVID-004311;P2FALLBACK-20B-M20B-EVID-004312;P2FALLBACK-20B-M20B-EVID-004313;P2FALLBACK-20B-M20B-EVID-004314;P2FALLBACK-20B-M20B-EVID-004316;P2FALLBACK-20B-M20B-EVID-004320;P2FALLBACK-20B-M20B-EVID-004324;P2FALLBACK-20B-M20B-EVID-004325;P2FALLBACK-20B-M20B-EVID-004329;P2FALLBACK-20B-M20B-EVID-004330;P2FALLBACK-20B-M20B-EVID-004331;P2FALLBACK-20B-M20B-EVID-004333;P2FALLBACK-20B-M20B-EVID-004335;P2FALLBACK-20B-M20B-EVID-004342;P2FALLBACK-20B-M20B-EVID-004343;P2FALLBACK-20B-M20B-EVID-004344;P2FALLBACK-20B-M20B-EVID-004345;P2FALLBACK-20B-M20B-EVID-004349;P2FALLBACK-20B-M20B-EVID-004356;P2FALLBACK-20B-M20B-EVID-004362;P2FALLBACK-20B-M20B-EVID-004363;P2FALLBACK-20B-M20B-EVID-004364;P2FALLBACK-20B-M20B-EVID-004365;P2FALLBACK-20B-M20B-EVID-004369;P2FALLBACK-20B-M20B-EVID-004380;P2FALLBACK-20B-M20B-EVID-004381;P2FALLBACK-20B-M20B-EVID-004382;P2FALLBACK-20B-M20B-EVID-004385;P2FALLBACK-20B-M20B-EVID-004386;P2FALLBACK-20B-M20B-EVID-004397;P2FALLBACK-20B-M20B-EVID-004398;P2FALLBACK-20B-M20B-EVID-004399;P2FALLBACK-20B-M20B-EVID-004400;P2FALLBACK-20B-M20B-EVID-004401;P2FALLBACK-20B-M20B-EVID-004402;P2FALLBACK-20B-M20B-EVID-004404;P2FALLBACK-20B-M20B-EVID-004405;P2FALLBACK-20B-M20B-EVID-004407;P2FALLBACK-20B-M20B-EVID-004409;P2FALLBACK-20B-M20B-EVID-004410;P2FALLBACK-20B-M20B-EVID-004411;P2FALLBACK-20B-M20B-EVID-004413;P2FALLBACK-20B-M20B-EVID-004414;P2FALLBACK-20B-M20B-EVID-004416;P2FALLBACK-20B-M20B-EVID-004417;P2FALLBACK-20B-M20B-EVID-004422;P2FALLBACK-20B-M20B-EVID-004423;P2FALLBACK-20B-M20B-EVID-004424;P2FALLBACK-20B-M20B-EVID-004426;P2FALLBACK-20B-M20B-EVID-004427;P2FALLBACK-20B-M20B-EVID-004429;P2FALLBACK-20B-M20B-EVID-004430;P2FALLBACK-20B-M20B-EVID-004439;P2FALLBACK-20B-M20B-EVID-004440;P2FALLBACK-20B-M20B-EVID-004441;P2FALLBACK-20B-M20B-EVID-004442;P2FALLBACK-20B-M20B-EVID-004443;P2FALLBACK-20B-M20B-EVID-004444;P2FALLBACK-20B-M20B-EVID-004445;P2FALLBACK-20B-M20B-EVID-004450;P2FALLBACK-20B-M20B-EVID-004451;P2FALLBACK-20B-M20B-EVID-004452;P2FALLBACK-20B-M20B-EVID-004453;P2FALLBACK-20B-M20B-EVID-004455;P2FALLBACK-20B-M20B-EVID-004459;P2FALLBACK-20B-M20B-EVID-004472;P2FALLBACK-20B-M20B-EVID-004502;P2FALLBACK-20B-M20B-EVID-004506;P2FALLBACK-20B-M20B-EVID-004510;P2FALLBACK-20B-M20B-EVID-004521;P2FALLBACK-20B-M20B-EVID-004530;P2FALLBACK-20B-M20B-EVID-004537;P2FALLBACK-20B-M20B-EVID-004538;P2FALLBACK-20B-M20B-EVID-004547;P2FALLBACK-20B-M20B-EVID-004583;P2FALLBACK-20B-M20B-EVID-004584;P2FALLBACK-20B-M20B-EVID-004588;P2FALLBACK-20B-M20B-EVID-004591;P2FALLBACK-20B-M20B-EVID-004592;P2FALLBACK-20B-M20B-EVID-004593;P2FALLBACK-20B-M20B-EVID-004594;P2FALLBACK-20B-M20B-EVID-004595;P2FALLBACK-20B-M20B-EVID-004596;P2FALLBACK-20B-M20B-EVID-004597;P2FALLBACK-20B-M20B-EVID-004605;P2FALLBACK-20B-M20B-EVID-004605-P2-DIRECT;P2FALLBACK-20B-M20B-EVID-004605-P2-DIRECT-FT;P2FALLBACK-20B-M20B-EVID-004605-P2-FUNC;P2FALLBACK-20B-M20B-EVID-004605-P2-RELAY;P2FALLBACK-20B-M20B-EVID-004605-P2-RELAY-FT;P2FALLBACK-20B-M20B-EVID-004606;P2FALLBACK-20B-M20B-EVID-004606-P2-DIRECT;P2FALLBACK-20B-M20B-EVID-004606-P2-DIRECT-FT;P2FALLBACK-20B-M20B-EVID-004606-P2-FUNC;P2FALLBACK-20B-M20B-EVID-004606-P2-RELAY;P2FALLBACK-20B-M20B-EVID-004606-P2-RELAY-FT;P2FALLBACK-20B-M20B-EVID-004608;P2FALLBACK-20B-M20B-EVID-004608-P2-DIRECT;P2FALLBACK-20B-M20B-EVID-004608-P2-FUNC;P2FALLBACK-20B-M20B-EVID-004608-P2-RELAY;P2FALLBACK-20B-M20B-EVID-004629;P2FALLBACK-20B-M20B-EVID-004630;P2FALLBACK-20B-M20B-EVID-004631;P2FALLBACK-20B-M20B-EVID-004641;P2FALLBACK-20B-M20B-EVID-004641-P2-DIRECT;P2FALLBACK-20B-M20B-EVID-004641-P2-FUNC;P2FALLBACK-20B-M20B-EVID-004641-P2-RELAY;P2FALLBACK-20B-M20B-EVID-004642;P2FALLBACK-20B-M20B-EVID-004653;P2FALLBACK-20B-M20B-EVID-004654;P2FALLBACK-20B-M20B-EVID-004659;P2FALLBACK-20B-M20B-EVID-004661;P2FALLBACK-20B-M20B-EVID-004666;P2FALLBACK-20B-M20B-EVID-004673-P2-FUNC;P2FALLBACK-20B-M20B-EVID-004673-P2-RELAY;P2FALLBACK-20B-M20B-EVID-004680;P2FALLBACK-20B-M20B-EVID-004681;P2FALLBACK-20B-M20B-EVID-004682;P2FALLBACK-20B-M20B-EVID-004685;P2FALLBACK-20B-M20B-EVID-004687;P2FALLBACK-20B-M20B-EVID-004689;P2FALLBACK-20B-M20B-EVID-004690;P2FALLBACK-20B-M20B-EVID-004691;P2FALLBACK-20B-M20B-EVID-004691-P2-FUNC;P2FALLBACK-20B-M20B-EVID-004696;P2FALLBACK-20B-M20B-EVID-004699-P2-DIRECT;P2FALLBACK-20B-M20B-EVID-004699-P2-FUNC;P2FALLBACK-20B-M20B-EVID-004699-P2-PATHWAY;P2FALLBACK-20B-M20B-EVID-004699-P2-RELAY;P2FALLBACK-20B-M20B-EVID-004700;P2FALLBACK-20B-M20B-EVID-004706;P2FALLBACK-20B-M20B-EVID-004721;P2FALLBACK-20B-M20B-EVID-004723;P2FALLBACK-20B-M20B-EVID-004724;P2FALLBACK-20B-M20B-EVID-004727;P2FALLBACK-20B-M20B-EVID-004728;P2FALLBACK-20B-M20B-EVID-004729;P2FALLBACK-20B-M20B-EVID-004730;P2FALLBACK-20B-M20B-EVID-004731;P2FALLBACK-20B-M20B-EVID-004732;P2FALLBACK-20B-M20B-EVID-004733;P2FALLBACK-20B-M20B-EVID-004734;P2FALLBACK-20B-M20B-EVID-004735;P2FALLBACK-20B-M20B-EVID-004736;P2FALLBACK-20B-M20B-EVID-004737;P2FALLBACK-20B-M20B-EVID-004738;P2FALLBACK-20B-M20B-EVID-004739;P2FALLBACK-20B-M20B-EVID-004740;P2FALLBACK-20B-M20B-EVID-004741;P2FALLBACK-20B-M20B-EVID-004743;P2FALLBACK-20B-M20B-EVID-004744;P2FALLBACK-20B-M20B-EVID-004745;P2FALLBACK-20B-M20B-EVID-004750;P2FALLBACK-20B-M20B-EVID-004751;P2FALLBACK-20B-M20B-EVID-004752;P2FALLBACK-20B-M20B-EVID-004756;P2FALLBACK-20B-M20B-EVID-004757;P2FALLBACK-20B-M20B-EVID-004759;P2FALLBACK-20B-M20B-EVID-004764;P2FALLBACK-20B-M20B-EVID-004772;P2FALLBACK-20B-M20B-EVID-004781;P2FALLBACK-20B-M20B-EVID-004783;P2FALLBACK-20B-M20B-EVID-004790;P2FALLBACK-20B-M20B-EVID-004794;P2FALLBACK-20B-M20B-EVID-004801;P2FALLBACK-20B-M20B-EVID-004801-P2-DIRECT;P2FALLBACK-20B-M20B-EVID-004801-P2-FUNC;P2FALLBACK-20B-M20B-EVID-004801-P2-RELAY;P2FALLBACK-20B-M20B-EVID-004803;P2FALLBACK-20B-M20B-EVID-004803-P2-DIRECT;P2FALLBACK-20B-M20B-EVID-004811;P2FALLBACK-20B-M20B-EVID-004812;P2FALLBACK-20B-M20B-EVID-004813;P2FALLBACK-20B-M20B-EVID-004814;P2FALLBACK-20B-M20B-EVID-004815;P2FALLBACK-20B-M20B-EVID-004816;P2FALLBACK-20B-M20B-EVID-004842;P2FALLBACK-20B-M20B-EVID-004845;P2FALLBACK-20B-M20B-EVID-004847;P2FALLBACK-20B-M20B-EVID-004848;P2FALLBACK-20B-M20B-EVID-004849;P2FALLBACK-20B-M20B-EVID-004849-P2-DIRECT;P2FALLBACK-20B-M20B-EVID-004849-P2-FUNC;P2FALLBACK-20B-M20B-EVID-004849-P2-RELAY;P2FALLBACK-20B-M20B-EVID-004853;P2FALLBACK-20B-M20B-EVID-004854;P2FALLBACK-20B-M20B-EVID-004854-P2-DIRECT;P2FALLBACK-20B-M20B-EVID-004854-P2-FUNC;P2FALLBACK-20B-M20B-EVID-004854-P2-RELAY;P2FALLBACK-20B-M20B-EVID-004863;P2FALLBACK-20B-M20B-EVID-004864;P2FALLBACK-20B-M20B-EVID-004865;P2FALLBACK-20B-M20B-EVID-004866;P2FALLBACK-20B-M20B-EVID-004867;P2FALLBACK-20B-M20B-EVID-004870;P2FALLBACK-20B-M20B-EVID-004872;P2FALLBACK-20B-M20B-EVID-004874;P2FALLBACK-20B-M20B-EVID-004877;P2FALLBACK-20B-M20B-EVID-004878;P2FALLBACK-20B-M20B-EVID-004888;P2FALLBACK-20B-M20B-EVID-004892;P2FALLBACK-20B-M20B-EVID-004892-P2-DIRECT;P2FALLBACK-20B-M20B-EVID-004892-P2-FUNC;P2FALLBACK-20B-M20B-EVID-004892-P2-RELAY;P2FALLBACK-20B-M20B-EVID-004893;P2FALLBACK-20B-M20B-EVID-004893-P2-DIRECT;P2FALLBACK-20B-M20B-EVID-004893-P2-FUNC;P2FALLBACK-20B-M20B-EVID-004893-P2-RELAY;P2FALLBACK-20B-M20B-EVID-004899;P2FALLBACK-20B-M20B-EVID-004899-P2-DIRECT;P2FALLBACK-20B-M20B-EVID-004899-P2-FUNC;P2FALLBACK-20B-M20B-EVID-004899-P2-RELAY;P2FALLBACK-20B-M20B-EVID-004900;P2FALLBACK-20B-M20B-EVID-004903;P2FALLBACK-20B-M20B-EVID-004904;P2FALLBACK-20B-M20B-EVID-004910;P2FALLBACK-20B-M20B-EVID-004910-P2-DIRECT;P2FALLBACK-20B-M20B-EVID-004910-P2-FUNC;P2FALLBACK-20B-M20B-EVID-004910-P2-RELAY;P2FALLBACK-20B-M20B-EVID-004911;P2FALLBACK-20B-M20B-EVID-004911-P2-DIRECT;P2FALLBACK-20B-M20B-EVID-004911-P2-FUNC;P2FALLBACK-20B-M20B-EVID-004911-P2-RELAY;P2FALLBACK-20B-M20B-EVID-004912;P2FALLBACK-20B-M20B-EVID-004912-P2-DIRECT;P2FALLBACK-20B-M20B-EVID-004912-P2-FUNC;P2FALLBACK-20B-M20B-EVID-004912-P2-RELAY;P2FALLBACK-20B-M20B-EVID-004913;P2FALLBACK-20B-M20B-EVID-004913-P2-DIRECT;P2FALLBACK-20B-M20B-EVID-004913-P2-FUNC;P2FALLBACK-20B-M20B-EVID-004913-P2-RELAY;P2FALLBACK-20B-M20B-EVID-004915;P2FALLBACK-20B-M20B-EVID-004915-P2-DIRECT;P2FALLBACK-20B-M20B-EVID-004915-P2-FUNC;P2FALLBACK-20B-M20B-EVID-004915-P2-RELAY;P2FALLBACK-20B-M20B-EVID-004919;P2FALLBACK-20B-M20B-EVID-004919-P2-DIRECT;P2FALLBACK-20B-M20B-EVID-004919-P2-FUNC;P2FALLBACK-20B-M20B-EVID-004919-P2-RELAY;P2FALLBACK-20B-M20B-EVID-004924;P2FALLBACK-20B-M20B-EVID-004932;P2FALLBACK-20B-M20B-EVID-004933;P2FALLBACK-20B-M20B-EVID-004934;P2FALLBACK-20B-M20B-EVID-004939;P2FALLBACK-20B-M20B-EVID-004939-P2-DIRECT;P2FALLBACK-20B-M20B-EVID-004939-P2-FUNC;P2FALLBACK-20B-M20B-EVID-004939-P2-RELAY;P2FALLBACK-20B-M20B-EVID-004940;P2FALLBACK-20B-M20B-EVID-004940-P2-DIRECT;P2FALLBACK-20B-M20B-EVID-004940-P2-DIRECT-FT;P2FALLBACK-20B-M20B-EVID-004944;P2FALLBACK-20B-M20B-EVID-004944-P2-DIRECT;P2FALLBACK-20B-M20B-EVID-004944-P2-FUNC;P2FALLBACK-20B-M20B-EVID-004944-P2-RELAY;P2FALLBACK-20B-M20B-EVID-004948;P2FALLBACK-20B-M20B-EVID-004948-P2-DIRECT;P2FALLBACK-20B-M20B-EVID-004948-P2-FUNC;P2FALLBACK-20B-M20B-EVID-004948-P2-RELAY;P2FALLBACK-20B-M20B-EVID-004953;P2FALLBACK-20B-M20B-EVID-004954;P2FALLBACK-20B-M20B-EVID-004954-P2-DIRECT;P2FALLBACK-20B-M20B-EVID-004954-P2-FUNC;P2FALLBACK-20B-M20B-EVID-004954-P2-RELAY;P2FALLBACK-20B-M20B-EVID-004955;P2FALLBACK-20B-M20B-EVID-004956;P2FALLBACK-20B-M20B-EVID-004956-P2-FUNC;P2FALLBACK-20B-M20B-EVID-004956-P2-RELAY;P2FALLBACK-20B-M20B-EVID-004958;P2FALLBACK-20B-M20B-EVID-004962;P2FALLBACK-20B-M20B-EVID-004962-P2-DIRECT;P2FALLBACK-20B-M20B-EVID-004962-P2-FUNC;P2FALLBACK-20B-M20B-EVID-004962-P2-RELAY;P2FALLBACK-20B-M20B-EVID-004964-P2-DIRECT;P2FALLBACK-20B-M20B-EVID-004964-P2-FUNC;P2FALLBACK-20B-M20B-EVID-004965-P2-DIRECT;P2FALLBACK-20B-M20B-EVID-004965-P2-FUNC;P2FALLBACK-20B-M20B-EVID-004965-P2-RELAY;P2FALLBACK-20B-M20B-EVID-004974;P2FALLBACK-20B-M20B-EVID-004975;P2FALLBACK-20B-M20B-EVID-004976;P2FALLBACK-20B-M20B-EVID-004977;P2FALLBACK-20B-M20B-EVID-004985;P2FALLBACK-20B-M20B-EVID-004986;P2FALLBACK-20B-M20B-EVID-004987;P2FALLBACK-20B-M20B-EVID-004988;P2FALLBACK-20B-M20B-EVID-004989;P2FALLBACK-20B-M20B-EVID-004997;P2FALLBACK-20B-M20B-EVID-004999;P2FALLBACK-20B-M20B-EVID-005012;P2FALLBACK-20B-M20B-EVID-005016;P2FALLBACK-20B-M20B-EVID-005024;P2FALLBACK-20B-M20B-EVID-005025;P2FALLBACK-20B-M20B-EVID-005026;P2FALLBACK-20B-M20B-EVID-005027;P2FALLBACK-20B-M20B-EVID-005028;P2FALLBACK-20B-M20B-EVID-005029;P2FALLBACK-20B-M20B-EVID-005030;P2FALLBACK-20B-M20B-EVID-005032;P2FALLBACK-20B-M20B-EVID-005033;P2FALLBACK-20B-M20B-EVID-005034;P2FALLBACK-20B-M20B-EVID-005035;P2FALLBACK-20B-M20B-EVID-005039;P2FALLBACK-20B-M20B-EVID-005040;P2FALLBACK-20B-M20B-EVID-005041;P2FALLBACK-20B-M20B-EVID-005043;P2FALLBACK-20B-M20B-EVID-005044;P2FALLBACK-20B-M20B-EVID-005048;P2FALLBACK-20B-M20B-EVID-005049;P2FALLBACK-20B-M20B-EVID-005050;P2FALLBACK-20B-M20B-EVID-005051;P2FALLBACK-20B-M20B-EVID-005052;P2FALLBACK-20B-M20B-EVID-005053;P2FALLBACK-20B-M20B-EVID-005055;P2FALLBACK-20B-M20B-EVID-005058;P2FALLBACK-20B-M20B-EVID-005059;P2FALLBACK-20B-M20B-EVID-005060;P2FALLBACK-20B-M20B-EVID-005061;P2FALLBACK-20B-M20B-EVID-005063;P2FALLBACK-20B-M20B-EVID-005086;P2FALLBACK-20B-M20B-EVID-005087;P2FALLBACK-20B-M20B-EVID-005090;P2FALLBACK-20B-M20B-EVID-005092;P2FALLBACK-20B-M20B-EVID-005107;P2FALLBACK-20B-M20B-EVID-005111;P2FALLBACK-20B-M20B-EVID-005135;P2FALLBACK-20B-M20B-EVID-005136;P2FALLBACK-20B-M20B-EVID-005137;P2FALLBACK-20B-M20B-EVID-005163;P2FALLBACK-20B-M20B-EVID-005169;P2FALLBACK-20B-M20B-EVID-005170;P2FALLBACK-20B-M20B-EVID-005172;P2FALLBACK-20B-M20B-EVID-005175;P2FALLBACK-20B-M20B-EVID-005177;P2FALLBACK-20B-M20B-EVID-005178;P2FALLBACK-20B-M20B-EVID-005179;P2FALLBACK-20B-M20B-EVID-005181;P2FALLBACK-20B-M20B-EVID-005182;P2FALLBACK-20B-M20B-EVID-005184;P2FALLBACK-20B-M20B-EVID-005188;P2FALLBACK-20B-M20B-EVID-005191;P2FALLBACK-20B-M20B-EVID-005194;P2FALLBACK-20B-M20B-EVID-005197;P2FALLBACK-20B-M20B-EVID-005203;P2FALLBACK-20B-M20B-EVID-005209;P2FALLBACK-20B-M20B-EVID-005216;P2FALLBACK-20B-M20B-EVID-005219;P2FALLBACK-20B-M20B-EVID-005220;P2FALLBACK-20B-M20B-EVID-005235;P2FALLBACK-20B-M20B-EVID-005236;P2FALLBACK-20B-M20B-EVID-005241;P2FALLBACK-20B-M20B-EVID-005243;P2FALLBACK-20B-M20B-EVID-005247;P2FALLBACK-20B-M20B-EVID-005248;P2FALLBACK-20B-M20B-EVID-005249;P2FALLBACK-20B-M20B-EVID-005251;P2FALLBACK-20B-M20B-EVID-005258;P2FALLBACK-20B-M20B-EVID-005260"
"20B"	"DOI:10.1038/372478a0; PMCID:PMC2142608"	"unresolved_no_authoritative_resolution"	"no exact metadata-ledger, source-locator, or content-level local-artifact resolution"	"1"	"1"	"M20B-P2-R-002940"
"20B"	"DOI:10.1101/2025.03.17.643633"	"unresolved_no_authoritative_resolution"	"no exact metadata-ledger, source-locator, or content-level local-artifact resolution"	"1"	"1"	"M20B-P2-R-002259"
"20B"	"DOI:10.21203/rs.3.rs-8747059/v1"	"unresolved_no_authoritative_resolution"	"no exact metadata-ledger, source-locator, or content-level local-artifact resolution"	"1"	"1"	"M20B-P2-R-002268"
"20B"	"PMCID:PMC1564187; PMCID:PMC1564187"	"unresolved_no_authoritative_resolution"	"no exact metadata-ledger, source-locator, or content-level local-artifact resolution"	"1"	"1"	"M20B-P2-NORM-M20B-EVID-005316-P2-FUNC"
"20B"	"PMCID:PMC2115980; DOI:10.1016/S0014-5793(99)01671-3"	"unresolved_no_authoritative_resolution"	"no exact metadata-ledger, source-locator, or content-level local-artifact resolution"	"1"	"1"	"M20B-P2-R-002201"
"20B"	"PMCID:PMC3843007; DOI:10.1371/journal.pone.0050959"	"unresolved_no_authoritative_resolution"	"no exact metadata-ledger, source-locator, or content-level local-artifact resolution"	"1"	"1"	"M20B-P2-R-003710-R101"
"20B"	"PMCID:PMC7960628; DOI:10.1007/s00441-020-03308-0"	"unresolved_no_authoritative_resolution"	"no exact metadata-ledger, source-locator, or content-level local-artifact resolution"	"1"	"1"	"M20B-P2-R-002363"
"20B"	"PMCID:PMC9065593; DOI:10.1016/j.bbrep.2022.101263"	"unresolved_no_authoritative_resolution"	"no exact metadata-ledger, source-locator, or content-level local-artifact resolution"	"1"	"1"	"M20B-P2-R-004597-R228A"
"20B"	"PMID:10080538; PMID:10222149; PMID:11856768; PMID:12472665; data/raw/evidence/module20_24_supervised_cli_phase2/retry_A20B_MST1_MST1R_exact_search.json; data/raw/evidence/module20_24_supervised_cli_phase2/retry_A20B_MST1_MPZ_MRC1_selected_primary_records.xml"	"unresolved_ambiguous_multiple_canonical_pmids"	"canonical_paper_key contains multiple PMIDs and no exact paper-level disambiguator was established"	"1"	"1"	"M20B-P2-R-004273-R193B"
