extraction_id	module	b_edge_id	b_evidence_id	evidence_layer	canonical_paper_key	paper_status	observation_status	observation_id_or_action	observation_value_or_blocker	observation_source_section	observation_figure_or_table	observation_species	observation_cell_or_model	observation_assay	observation_perturbation	claim_status	claim_id_or_action	claim_text_or_blocker	claim_source_section	confidence	context_and_limitations	source_locator	search_boundary	reviewer_notes
M22B-P2-R-RECOVERY-STAT3-SOCS3-000001	22B	M22B-E000431	M22B-EVID-000001	ligand_receptor_or_direct_molecular	PMCID:PMC2441693; PMID:16718380; DOI:10.1007/s11010-006-9137-3	validated_primary_fulltext	validated_full_text_importable	CREATE_OBSERVATION_STAGING:M22B-OBS-STAT3-SOCS3-000001	IL-6 plus soluble IL-6 receptor induced SOCS3 expression in Stat3+/− and STAT3-reconstituted Stat3−/− mouse embryonic fibroblasts but not Stat3−/− cells; EMSA showed activated STAT3 binding predominantly to the proximal Socs3 promoter STAT motif, with competition and anti-STAT3 supershift controls.	Results: IL-6-dependent induction of SOCS3 by Δ133STAT3; Results: STAT3 binding to Socs3 promoter elements	Fig. 4A-B; Fig. 5B-C	mouse	Stat3−/− and Stat3+/− mouse embryonic fibroblasts; ER-S3 32D myeloid cells	IL-6/sIL-6R stimulation; immunoblot; Northern blot/qPCR; electrophoretic mobility-shift assay with promoter oligonucleotides	IL-6 25-50 ng/ml plus soluble IL-6 receptor; STAT3 or Δ133STAT3 reconstitution; Epo/ER-S3 activation for EMSA; mutant and competitor Socs3 promoter oligonucleotides	validated_author_claim	CREATE_AUTHOR_CLAIM_STAGING:M22B-CLAIM-STAT3-SOCS3-000001	The authors conclude that STAT3 interaction at the proximal Socs3 promoter motif is sufficient for IL-6-dependent Socs3 activation and that the STAT3 N-domain is dispensable for this response; this is a STAT3-to-Socs3 target-gene result, not evidence that every upstream ligand-receptor pair induces Socs3 in SCI.	Results; Discussion; Summary	High	Primary mouse comparator systems; the paper supports the direct STAT3-Socs3 promoter edge and IL-6/STAT3 pathway but does not establish an SCI receiver-cell context or transfer the result to other cytokines/receptors.	PMCID:PMC2441693; PMID:16718380; DOI:10.1007/s11010-006-9137-3; local full text=data/raw/evidence/module20_24_supervised_cli_phase2/retry_B21B_B22B_fulltext/html/PMC2441693.html	Official PMC full text was retrieved and reviewed through Results, figure legends, Methods, Discussion, and Summary; direct promoter binding, expression, species, cell model, and perturbations were retained. No ligand-to-receptor or terminal-TF inference was added.	Primary full-text recovery of the previously abstract/unresolved STAT3-Socs3 target-gene handoff; preserves the B-layer edge and layer label.
M22B-P2-R-RECOVERY-STAT3-SOCS3-000002	22B	M22B-E000431	M22B-EVID-000001	ligand_receptor_or_direct_molecular	PMID:16718380; PMCID:PMC2441693; DOI:10.1007/s11010-006-9137-3	validated_primary_paper	validated_primary_observation	CREATE_OBSERVATION_STAGING:OBS-M22B-PH2-RECOVERY-000001	IL-6 plus soluble IL-6 receptor activated STAT3 in Stat3-null mouse embryonic fibroblasts reconstituted with STAT3 or Delta133STAT3. Northern blot and quantitative PCR showed endogenous Socs3 induction only with STAT3-containing cells. EMSA with murine Socs3 promoter oligonucleotides showed STAT3 interaction primarily at the proximal STAT consensus site; excess intact competitor blocked binding, anti-STAT3 partially supershifted the complex, and mutation of the proximal site prevented competition. Delta133STAT3 retained IL-6-dependent Socs3 induction, so the STAT3 N-domain was not required for this target-gene output.	Results: IL-6-dependent induction of SOCS3 by Delta133STAT3; Results: STAT3 interacts with a single consensus binding site in the Socs3 proximal promoter	Figs. 4-5; Fig. 1-2 for upstream STAT3 activation	Mouse	Stat3-/- mouse embryonic fibroblasts reconstituted with STAT3 or Delta133STAT3; 32D cells expressing the ER-S3 STAT3-activating receptor comparator	EMSA with promoter oligonucleotides and site mutants; Northern blot; quantitative RT-PCR; phospho-STAT3 immunoblot and nuclear fractionation	Recombinant IL-6 plus soluble IL-6 receptor; STAT3-null background; wild-type STAT3 versus Delta133STAT3; proximal/distal Socs3 STAT-site mutations; anti-STAT3 supershift	validated_direct_tf_target	CLAIM-M22B-PH2-RECOVERY-000001	Retain a direct STAT3 -> Socs3 promoter/target-gene edge in the tested IL-6-responsive mouse comparator. Do not infer that every IL-6-family ligand-receptor handoff induces Socs3 in the same SCI receiver cell, that receptor-proximal pSTAT3 alone proves promoter occupancy, or that the study identifies a downstream TF beyond STAT3.	Results	High for the direct STAT3-Socs3 target record; bounded for ligand-receptor generalization and SCI transfer	The paper directly links IL-6/sIL-6R stimulation, STAT3 activation, Socs3 promoter binding, and endogenous Socs3 induction, with promoter-site and STAT3-variant perturbations. It is a fibroblast comparator and does not validate a specific SCI cell, all listed upstream receptor complexes, or a terminal TF downstream of STAT3.	PMID:16718380; PMCID:PMC2441693; DOI:10.1007/s11010-006-9137-3; https://pubmed.ncbi.nlm.nih.gov/16718380/; https://pmc.ncbi.nlm.nih.gov/articles/PMC2441693/; local source=data/raw/evidence/module20_24_supervised_cli_phase2/retry_B22B_batch063_PMC2441693_STAT3_Socs3.html	Primary PMC full text retrieved; Results and figure legends for Figs. 1-5 were checked. No SCI receiver-cell experiment or ligand-specific comparison beyond IL-6/sIL-6R was found.	Direct TF-target evidence is kept separate from upstream receptor relay and downstream function.
M22B-P2-R-000007-R096	22B	M22B-E000448	M22B-EVID-000007	ligand_receptor_or_direct_molecular	PMCID:PMC1171226; PMID:10064602; DOI:10.1093/emboj/18.5.1367	validated_primary_fulltext	validated_primary_observation	M22B-O-PH2-000007-R096	In human IL-3-dependent F-36P-mpl hematopoietic cells, dominant-negative STAT5 or Ras reduced IL-3-dependent growth and cyclin D1 expression; constitutively active STAT5A transactivated the cyclin D1 promoter, mutation of a candidate STAT element at -481 bp reduced activity, and EMSA showed IL-3-responsive STAT5 binding to that element.	Abstract; RESULTS: STAT5/Ras regulation of cyclin D1 and promoter element analysis	Figures 1-7	human	Human IL-3-dependent F-36P-mpl cells; NIH 3T3 promoter-reporter comparator cells	Cyclin D1 promoter-luciferase; promoter mutagenesis; EMSA; dominant-negative and constitutively active STAT5/Ras; growth rescue	IL-3; dn-STAT5; dn-Ras; constitutively active STAT5A/Ras; cyclin D1 promoter element	VALIDATED_DIRECT_TF_TARGET	M22B-C-PH2-000007-R096	The primary study directly supports an IL-3-associated STAT5-to-Ccnd1 promoter element and a growth-rescue relationship in hematopoietic models; the exact IL-3 receptor-complex composition, transfer to IL-5/IL-7/IL-9/IL-22 handoffs, and SCI relevance remain unresolved.	Abstract; RESULTS; DISCUSSION	High for IL-3/STAT5/Ccnd1 promoter and growth mechanism; bounded for receptor-complex and cross-ligand transfer	Promoter binding, receptor-proximal cytokine signaling, and hematopoietic growth output are kept distinct. The Ccnd1 record does not support a universal STAT5 target claim across all STAT5 handoffs.	PMCID:PMC1171226; PMID:10064602; DOI:10.1093/emboj/18.5.1367; local=data/raw/evidence/module20_24_supervised_cli_phase2/retry_B22B_PMC1171226_STAT5_Ccnd1.html; local PubMed=data/raw/evidence/module20_24_supervised_cli_phase2/retry_B22B_batch096_pubmed.xml	Official NCBI PMC full text and exact PubMed record retrieved; no SCI receiver-cell experiment or non-IL-3 receptor-complex inference was imported.	Direct TF-target promotion with IL-3 model boundary.
M22B-P2-R-000011-R097	22B	M22B-E000414	M22B-EVID-000011	downstream_or_functional	PMCID:PMC6606597; PMID:31266943; DOI:10.1038/s41467-019-10970-y	reuse_validated_observation	reuse_validated_observation	M22B-O-PH2-000011-R097	Reuse of the validated primary observation: basal ISG expression was associated with promoter-proximal STAT2-IRF9, whereas IFN-beta stimulation recruited canonical STAT1-STAT2-IRF9 ISGF3 to ISRE-containing genes in mouse MEFs and macrophages; chromatin, transcriptome, DNA-affinity, and perturbation assays supported the shared antiviral program.	Abstract; RESULTS: IFN-induced gene expression and STAT complexes; spatial proximity and complex formation of ISGF3 subunits	Figures 1-5	mouse; human comparator	Mouse embryonic fibroblasts; mouse bone-marrow-derived and Raw 264.7 macrophages; human THP-1 comparator	ChIP-seq; transcriptome analysis; ISRE DNA-affinity pull-down; ChIP-reChIP; BioID/proximity assays; knockout and IFN stimulation	IFN-beta; IFN-gamma comparator; Irf9 knockout; STAT1/STAT2 perturbation; ISRE oligonucleotides	VALIDATED_RECEPTOR_PATHWAY_BOUNDED	M22B-C-PH2-000011-R097	The primary study supports a shared type-I interferon STAT2-IRF9-to-ISGF3-to-ISRE program, but exact target induction for IFN-lambda handoffs and the IFN-gamma GAF branch remains unresolved; no ligand-specific target assignment is inferred from the shared edge.	Abstract; RESULTS; DISCUSSION	High for the shared type-I interferon pathway program; bounded for ligand-specific receptor transfer and SCI	This row reuses the validated PMCID:PMC6606597 record for the original unresolved evidence ID without creating a duplicate edge. Basal STAT2-IRF9, induced ISGF3, and ISRE output remain conceptually distinct.	PMCID:PMC6606597; PMID:31266943; DOI:10.1038/s41467-019-10970-y; local=data/raw/evidence/module20_24_supervised_cli_phase2/retry_B22B_PMC6606597_ISGF3.xml	Exact PMCID full text previously retrieved and reviewed; the mixed extra PMID:11440635 and IFN-lambda/IFN-gamma ligand-specific transfers were excluded.	Shared pathway reuse with explicit ligand boundary.
M22B-P2-R-000048	22B	M22B-E000414	M22B-EVID-000011	downstream_or_functional	PMID:31266943; PMCID:PMC6606597; DOI:10.1038/s41467-019-10970-y	validated_primary_paper	validated_primary_observation	CREATE_OBSERVATION_STAGING:M22B-O-PH2-000011	In mouse embryonic fibroblasts and bone-marrow-derived macrophages, basal ISG expression was associated with a preformed STAT2-IRF9 complex, whereas IFN-beta induced a switch to canonical ISGF3. ChIP-seq, transcriptome analysis, ISRE oligo pull-down, interaction/proximity assays, and perturbation of IRF9/STAT components supported ISGF3 association with ISRE-containing interferon-stimulated genes and IFN-induced transcription.	RESULTS: IFN-induced gene expression and STAT complexes in MEFs; RESULTS: Spatial proximity and complex formation of ISGF3 subunits; RESULTS: Signaling requirements for STAT2-IRF9 formation; relevant ChIP-seq and transcriptome sections	Figures 1-5	mouse	Mouse embryonic fibroblasts; wild-type and Irf9-null bone-marrow-derived macrophages; Raw 264.7 macrophages	ChIP-seq; transcriptome analysis; ISRE DNA-affinity pull-down; western blotting; proximity labeling/BioID; IFN stimulation; knockout and inhibitor experiments	IFN-beta; IFN-gamma comparator; Irf9 knockout; STAT2/STAT1 perturbation; P6 inhibitor; ISRE-containing oligonucleotides	validated_author_claim	CREATE_AUTHOR_CLAIM_STAGING:M22B-C-PH2-000011	The authors conclude that a preformed STAT2-IRF9 complex controls basal ISG expression and that IFN stimulation rapidly switches promoter-associated transcription to canonical ISGF3, providing a molecular switch for interferon-induced gene transcription.	Abstract; RESULTS; DISCUSSION	High	This validates the STAT2/IRF9/ISGF3-to-ISRE pathway in type-I interferon comparator systems, not IFN-lambda ligand-specific target induction and not the IFN-gamma STAT1 homodimer/GAF branch. Preserve basal STAT2-IRF9, induced ISGF3, and ISRE output separately; retain the pre-existing shared edge-key collision with M22B-EVID-000029 for future deduplicating materialization.	PMID:31266943; PMCID:PMC6606597; DOI:10.1038/s41467-019-10970-y; local full text=data/raw/evidence/module20_24_supervised_cli_phase2/retry_external_PMC6606597.html	PubMed XML and PMC article HTML retrieved by supervised external CLI on 2026-08-20; exact Results, Methods, figure-caption, Abstract, and Discussion passages reviewed. Type-I interferon evidence was not generalized to IFN-lambda or IFN-gamma receptor branches.	External recovery promotes EVID-000011 from unresolved to validated primary observation; shared edge-key collision remains documented and no canonical records were modified.
M22B-P2-R-000050	22B	M22B-E000352	M22B-EVID-000017	downstream_or_functional	PMID:19926752; PMCID:PMC2798829; DOI:10.1101/gr.092114.109	validated_primary_paper	validated_primary_observation	CREATE_OBSERVATION_STAGING:M22B-O-PH2-000017	In murine R1 embryonic stem cells, ChIP-seq mapped SMAD1/5 and SMAD4 occupancy near transcriptional start sites and oligonucleotide pull-down validated predicted SMAD motifs. BMP4 and noggin changed expression of SMAD-associated genes, and Smad1 or Smad4 knockdown altered BMP-responsive transcription and embryoid-body differentiation markers. Functional validation included Dpysl2/Crmp2 regulation during early neural differentiation.	RESULTS: Promoter occupancy of SMAD1/5 and SMAD4 in murine ES cells; RESULTS: SMAD co-occupancy and validation of cis SMAD-binding elements; RESULTS: Correlation of SMAD-DNA interaction with BMP-modulated expression; RESULTS: SMAD-mediated BMP signaling is largely required for early differentiation; RESULTS: Functional validation of SMAD target genes controlled by BMP signaling	Figures 1-6	mouse	R1 murine embryonic stem cells; day-8 embryoid bodies; neural precursor differentiation cultures	ChIP-seq; ChIP-site-specific PCR; oligonucleotide pull-down; microarray; qRT-PCR; Smad1/Smad4 shRNA; BMP4/noggin treatment; differentiation marker analysis	BMP4; noggin; Smad1 or Smad4 knockdown; embryoid-body formation; Dpysl2 shRNA	validated_author_claim	CREATE_AUTHOR_CLAIM_STAGING:M22B-C-PH2-000017	The authors conclude that SMAD1/5 and SMAD4 bind developmental regulatory regions and mediate BMP-modulated transcription, with SMAD signaling contributing primarily to early differentiation rather than direct maintenance of embryonic-stem-cell self-renewal.	Abstract; RESULTS; DISCUSSION	High	This is genome-wide SMAD occupancy and BMP functional evidence in embryonic stem cells, not a single ligand-receptor-specific SCI record. It does not resolve SMAD8/9 participation or prove every submitted BMP receptor complex uses the same target set; preserve occupancy, pathway regulation, and Dpysl2/neural differentiation output as distinct records.	PMID:19926752; PMCID:PMC2798829; DOI:10.1101/gr.092114.109; local full text=data/raw/evidence/module20_24_supervised_cli_phase2/retry_external_PMC2798829.html	PubMed XML and PMC article HTML retrieved by supervised external CLI on 2026-08-20; exact Results, Methods, figure-caption, Abstract, and Discussion passages reviewed. Genome-wide occupancy was not collapsed into a universal ligand/receptor edge.	External recovery promotes EVID-000017 from unresolved to validated primary observation; no canonical records were modified.
M22B-P2-R-000027-R089	22B	M22B-E000431	M22B-EVID-000027	ligand_receptor_or_direct_molecular	PMCID:PMC2441693; PMID:16718380; DOI:10.1007/s11010-006-9137-3	reuse_validated_observation	reuse_validated_observation	REUSE_OBSERVATION_STAGING:M22B-O-PH2-000001	Reuse the validated STAT3-to-Socs3 primary observation for the repeated handoff; the exact shared TF-level result is supported, but no new ligand-receptor-specific Socs3 experiment is created.	RESULTS: IL-6-dependent induction of SOCS3 by Delta133STAT3; RESULTS: STAT3 interacts with a single consensus binding site in the Socs3 proximal promoter	Figures 3-5	mouse	Stat3+/− and Stat3−/− mouse embryonic fibroblasts; Stat3-reconstituted MEFs; ER-S3/32D comparator cells	Northern blot; qRT-PCR; immunoblot; EMSA; promoter motif comparison	IL-6; STAT3 reconstitution; Delta133STAT3; ER-S3/EPO stimulation	REUSE_DIRECT_TF_TARGET	REUSE_AUTHOR_CLAIM_STAGING:M22B-C-PH2-000001	Reuse the validated direct STAT3-to-Socs3 promoter observation without asserting that each submitted IL-20/IL-21/IL-24/IL-6/LIF receptor handoff induces Socs3 in an SCI receiver cell.	Abstract; RESULTS; DISCUSSION	High for the shared STAT3-Socs3 observation; bounded for ligand-receptor transfer and SCI	The source is the same primary study already validated for M22B-EVID-000001. This row resolves the shared edge collision by reuse and creates no duplicate molecular edge.	PMCID:PMC2441693; PMID:16718380; DOI:10.1007/s11010-006-9137-3; local=data/raw/evidence/module20_24_supervised_cli_phase2/retry_external_PMC2441693.html	Exact PMCID/PMID full text retrieved and reviewed; reuse is limited to the shared STAT3-Socs3 finding and does not generalize the cytokine receptor handoff.	Shared-edge reuse; no new directness promotion.
M22B-P2-R-000029-R089	22B	M22B-E000414	M22B-EVID-000029	downstream_or_functional	PMCID:PMC6606597; PMID:31266943; DOI:10.1038/s41467-019-10970-y	reuse_validated_observation	reuse_validated_observation	REUSE_OBSERVATION_STAGING:M22B-O-PH2-000011	Reuse the validated full-text ISGF3/ISRE observation for the mixed-anchor handoff. Resting cells showed promoter-associated STAT2-IRF9, while interferon stimulation recruited canonical STAT1-STAT2-IRF9 ISGF3 to ISG promoters.	Abstract; RESULTS: IFN-induced gene expression and STAT complexes; RESULTS: spatial proximity and complex formation of ISGF3 subunits	Figures 1-5	mouse	Mouse BMDM and MEFs; Raw 264.7 macrophages; human THP-1 comparator	ChIP-seq; transcriptome analysis; ISRE DNA-affinity pull-down; ChIP-re-ChIP; BioID; knockout and IFN stimulation	IFN-beta; IFN-gamma comparator; Irf9 knockout; STAT1/STAT2 perturbation	REUSE_SHARED_PATHWAY_PROGRAM	REUSE_AUTHOR_CLAIM_STAGING:M22B-C-PH2-000011	Reuse the validated shared STAT2-IRF9-to-ISGF3-to-ISRE program, but do not assign exact target induction to every IFN-lambda handoff, the extra PMID:11440635 anchor, or the IFN-gamma GAF branch.	Abstract; RESULTS; DISCUSSION	High for the shared interferon pathway program; bounded for ligand-specific transfer	The mixed registered citation includes PMID:11440635, which was not used to broaden the claim. This row reuses the validated PMCID:PMC6606597 observation and creates no duplicate edge.	PMCID:PMC6606597; PMID:31266943; DOI:10.1038/s41467-019-10970-y; local=data/raw/evidence/module20_24_supervised_cli_phase2/retry_B22B_PMC6606597_ISGF3.xml	Exact PMCID full text retrieved and reviewed; type-I interferon comparator findings were not generalized to IFN-lambda or IFN-gamma receptor-specific target induction.	Mixed-anchor reuse with explicit boundary.
M22B-P2-R-000035-R099	22B	M22B-E000412	M22B-EVID-000035	downstream_or_functional	PMCID:PMC3623615; PMID:23645984; DOI:10.4137/GRSB.S11433; PMID:7777519	validated_primary_fulltext	validated_primary_observation	M22B-O-PH2-000035-R099	In IFN-gamma-stimulated HeLa S3 cells, a STAT1 ChIP-seq peak was mapped to the IRF1 promoter with a GAS element; IRF1 was among the interferon-regulated genes with promoter-localized STAT1 occupancy and increased expression in the paired transcriptome analysis.	RESULTS: Identification of genomic locations of ChIP-Seq peaks by GenomeJack; STAT1 target-gene analysis	Figure 2; Table 2	human	IFN-gamma-stimulated HeLa S3 cells and ENCODE-derived comparator data	STAT1 ChIP-seq; promoter/GAS inspection; transcriptome microarray; genomic peak analysis	IFN-gamma stimulation; STAT1 ChIP-seq; paired expression analysis	VALIDATED_DIRECT_TF_TARGET_BOUNDED	M22B-C-PH2-000035-R099	The primary study supports an IFN-gamma-associated STAT1-to-IRF1 promoter occupancy record. It does not assign every IFNGR1/IFNGR2 receptor-complex intermediate, does not test SCI receiver cells, and does not transfer this target to type-I interferon ISGF3 branches.	RESULTS; Discussion	High for STAT1 occupancy at the IRF1 promoter in the tested HeLa/ENCODE context; bounded for receptor-complex and SCI transfer	This supplemental primary study resolves a terminal STAT1 target for an IFN-gamma context while the queued PMID:7777519 paper remains receptor-complex evidence. The ChIP-seq paper reanalyzes ENCODE-derived IFN-gamma data and does not independently perturb IFNGR subunits or establish a single-gene causal reporter.	PMCID:PMC3623615; PMID:23645984; DOI:10.4137/GRSB.S11433; PMID:7777519; https://pmc.ncbi.nlm.nih.gov/articles/PMC3623615/; local full text=data/raw/evidence/module20_24_supervised_cli_phase2/retry_B22B_PMC3623615_STAT1_bioc.json	Exact PMID/PMCID retrieval succeeded through NCBI PubMed and PMC BioC. The cited IFN-gamma receptor paper was separately retrieved and retained as receptor-complex evidence; no type-I interferon target transfer was made.	Terminal TF evidence is separate from IFN-gamma receptor binding/activation.
M22B-P2-R-000041-R100	22B	M22B-E000396	M22B-EVID-000041	downstream_or_functional	PMCID:PMC1383672; PMID:16101586; DOI:10.1042/BJ20050327	validated_primary_fulltext	validated_primary_observation	M22B-O-PH2-000041-R100	BMP2/BMP4-responsive mouse Msx1 basal-promoter complexes contained SMAD8-associated protein components: the SMAD consensus was required for nuclear-protein binding and BMP4-enhanced luciferase activity, purified SMAD1/4 and SMAD1/5/8 supershift assays localized SMAD proteins to the complex, and proteomic analysis identified SMAD8 among activation components.	Abstract; Results: SMAD-binding site in Msx1 basal promoter; Results: transcriptional activity of Msx1 basal promoter	Figures 1-5; promoter constructs and EMSA panels	mouse	Mouse embryonic head/trunk nuclear extracts, mouse P19 cells, and embryonic comparator material	EMSA/gel shift; supershift; promoter deletion/mutagenesis; luciferase reporter; immunoprecipitation/proteomics	BMP4 stimulation; SMAD-consensus mutation; Msx1 promoter deletions; SMAD-containing complex analysis	VALIDATED_DIRECT_TF_TARGET_BOUNDED	M22B-C-PH2-000041-R100	The primary study supports a BMP2/BMP4-associated SMAD8-containing complex at the mouse Msx1 basal promoter. It does not establish a SMAD8-only complex, the exact submitted receptor complex, SMAD8 target specificity in SCI receiver cells, or transfer from the SMAD1/5/4 genome-wide comparator paper.	Abstract; Results; Discussion	High for SMAD8-containing Msx1 promoter complex and BMP-responsive reporter; bounded for paralog exclusivity, receptor-complex identity, and SCI transfer	This resolves the queued SMAD8 target question with a primary promoter record while preserving the distinction between a SMAD8-containing complex and a purified SMAD8-only DNA-binding claim.	PMCID:PMC1383672; PMID:16101586; DOI:10.1042/BJ20050327; https://pmc.ncbi.nlm.nih.gov/articles/PMC1383672/; local full text=data/raw/evidence/module20_24_supervised_cli_phase2/retry_B22B_PMC1383672_SMAD8_Msx1.xml	Exact PMID/PMCID full text retrieved directly from PMC after the BioC endpoint returned no result. The record was checked against the queued PMID:19926752 SMAD1/5/4 paper; SMAD8 evidence was not inferred from that comparator.	SMAD8-containing direct promoter evidence; receptor-proximal and functional layers remain separate.
