"module"	"canonical_paper_key"	"resolved_pmid"	"resolved_pmcid"	"resolved_doi"	"resolution_status"	"resolution_basis"	"authoritative_source"	"source_metadata_title"	"source_metadata_authors"	"source_metadata_year"	"source_metadata_journal"	"source_metadata_abstract"	"source_metadata_url"	"extraction_row_count"	"extraction_ids"
"20B"	"PMID:10214951; PMID:25086039; PMCID:PMC4176247; DOI:10.1016/S0014-5793(99)00283-5; DOI:10.1074/jbc.M114.586826"	"25086039"	"PMC4176247"	"10.1074/jbc.m114.586826"	"resolved_authoritative_local_artifact"	"one metadata-bearing local artifact record matched one PMID already explicit in canonical_paper_key"	"data/raw/evidence/module20_24_supervised_cli_phase2/module20b_PMC4176247_full.xml"	"Different Epidermal Growth Factor (EGF) Receptor Ligands Show Distinct Kinetics and Biased or Partial Agonism for Homodimer and Heterodimer Formation *"	"Jennifer L. Macdonald-Obermann; Linda J. Pike"	"2014"	""	"Background: The EGF receptor has multiple ligands that can induce different biological effects. Results: EGF and TGFα, but not BTC or AREG, bias the EGF receptor toward heterodimer formation with ErbB2. AREG induces dimerization with different kinetics than the other ligands. Conclusion: EGFR ligands differentially induce receptor dimerization. Significance: This contributes to the biological differences elicited by different ligands. The EGF receptor has seven different cognate ligands. Previous work has shown that these different ligands are capable of inducing different biological effects, even in the same cell. To begin to understand the molecular basis for this variation, we used luciferase fragment complementation to measure ligand-induced dimer formation and radioligand binding to study the effect of the ligands on subunit-subunit interactions in EGF receptor (EGFR) homodimers and EGFR/ErbB2 heterodimers. In luciferase fragment complementation imaging studies, amphiregulin (AREG) functioned as a partial agonist, inducing only about half as much total dimerization as the other three ligands. However, unlike the other ligands, AREG showed biphasic kinetics for dimer formation, suggesting that its path for EGF receptor activation involves binding to both monomers and preformed dimers. EGF, TGFα, and betacellulin (BTC) appear to mainly stimulate receptor activation through binding to and dimerization of receptor monomers. In radioligand binding assays, EGF and TGFα exhibited increased affinity for EGFR/ErbB2 heterodimers compared with EGFR homodimers. By contrast, BTC and AREG showed a similar affinity for both dimers. Thus, EGF and TGFα are biased agonists, whereas BTC and AREG are balanced agonists with respect to selectivity of dimer formation. These data suggest that the differences in biological response to different EGF receptor ligands may result from partial agonism for dimer formation, differences in the kinetic pathway utilized to generate activated receptor dimers, and biases in the formation of heterodimers versus homodimers."	"https://pubmed.ncbi.nlm.nih.gov/25086039/"	"1"	"M20B-P2-R-002061"
"20B"	"PMID:16517605; PMID:19200257; DOI:10.1074/jbc.M511367200"	"16517605"	""	"10.1074/jbc.m511367200"	"resolved_authoritative_local_artifact"	"one metadata-bearing local artifact record matched one PMID already explicit in canonical_paper_key"	"data/raw/evidence/module20_24_supervised_cli_phase2/retry_A20B_MIA_integrin_primary_records.xml"	"Regulation of integrin activity by MIA."	"Richard Bauer; Martin Humphries; Reinhard Fässler; Andreas Winklmeier; Sue E Craig; Anja-Katrin Bosserhoff"	"2006"	"The Journal of biological chemistry"	"MIA (melanoma inhibitory activity) has been identified as a small protein secreted from malignant melanoma cells, which interacts with extracellular matrix proteins including fibronectin. Here, we show that MIA negatively regulates the activity of the mitogen-activated protein kinase pathway in malignant melanoma. Using far Western blotting and co-immunoprecipitation we searched for MIA-binding cell surface proteins. We found that MIA interacts with integrin alpha4beta1 and alpha5beta1, leading to down-regulation of integrin activity and reduction of mitogen-activated protein kinase signaling. These findings also suggest that MIA may play a role in tumor progression and the spread of malignant melanomas via mediating detachment of cells from extracellular matrix molecules by modulating integrin activity. Inhibiting MIA functions in vivo may therefore provide a novel therapeutic strategy for metastatic melanoma disease."	"https://pubmed.ncbi.nlm.nih.gov/16517605/"	"1"	"M20B-P2-R-004244-R184C"
"20B"	"PMID:19608866; PMID:17234735; PMCID:PMC1885510; DOI:10.1182/blood-2006-10-054973"	"17234735"	"PMC1885510"	"10.1182/blood-2006-10-054973"	"resolved_authoritative_local_artifact"	"one metadata-bearing local artifact record matched one PMID already explicit in canonical_paper_key"	"data/raw/evidence/module20_24_supervised_cli_phase2/retry_A20B_IL21_batch125_PMID17234735.xml"	"The molecular basis of IL-21-mediated proliferation."	"Rong Zeng; Rosanne Spolski; Esther Casas; Wei Zhu; David E Levy; Warren J Leonard"	"2007"	"Blood"	"Interleukin-21 (IL-21) is a type I cytokine that modulates functions of T, B, natural killer (NK), and myeloid cells. The IL-21 receptor (IL-21R) is closely related to the IL-2 receptor beta chain and is capable of transducing signals through its dimerization with the common cytokine receptor gamma chain (gamma(c)), the protein whose expression is defective in humans with X-linked severe combined immunodeficiency. To clarify the molecular basis of IL-21 actions, we investigated the role of tyrosine residues in the IL-21R cytoplasmic domain. Simultaneous mutation of all 6 tyrosines greatly diminished IL-21-mediated proliferation, whereas retention of tyrosine 510 (Y510) allowed full proliferation. Y510 efficiently mediated IL-21-induced phosphorylation of Stat1 and Stat3, but not of Stat5, and CD8(+) T cells from Stat1/Stat3 double knock-out mice exhibited decreased proliferation in response to IL-21 + IL-15. In addition, IL-21 weakly induced phosphorylation of Shc and Akt, and consistent with this, specific inhibitors of the MAPK and PI3K pathways inhibited IL-21-mediated proliferation. Collectively, these data indicate the involvement of the Jak-STAT, MAPK, and PI3K pathways in IL-21 signaling."	"https://pubmed.ncbi.nlm.nih.gov/17234735/"	"1"	"M20B-P2-R-003964-R125C"
"20B"	"PMID:26124272; PMCID:not_cached; PMID:11927621; PMCID:PMC150926; DOI:10.1172/JCI14151"	"26124272"	"PMC4571854"	"10.1074/jbc.m114.629451"	"resolved_authoritative_local_artifact"	"one metadata-bearing local artifact record matched one PMID already explicit in canonical_paper_key"	"data/raw/evidence/module20_24_supervised_cli_phase2/gap001/psgl1_e_selectin_PMID26124272.xml"	"Quantitative Characterization of E-selectin Interaction with Native CD44 and P-selectin Glycoprotein Ligand-1 (PSGL-1) Using a Real Time Immunoprecipitation-based Binding Assay."	"Dina B AbuSamra; Alia Al-Kilani; Samir M Hamdan; Kosuke Sakashita; Samah Z Gadhoum; Jasmeen S Merzaban"	"2015"	"The Journal of biological chemistry"	"Selectins (E-, P-, and L-selectins) interact with glycoprotein ligands to mediate the essential tethering/rolling step in cell transport and delivery that captures migrating cells from the circulating flow. In this work, we developed a real time immunoprecipitation assay on a surface plasmon resonance chip that captures native glycoforms of two well known E-selectin ligands (CD44/hematopoietic cell E-/L-selectin ligand and P-selectin glycoprotein ligand-1) from hematopoietic cell extracts. Here we present a comprehensive characterization of their binding to E-selectin. We show that both ligands bind recombinant monomeric E-selectin transiently with fast on- and fast off-rates, whereas they bind dimeric E-selectin with remarkably slow on- and off-rates. This binding requires the sialyl Lewis x sugar moiety to be placed on both O- and N-glycans, and its association, but not dissociation, is sensitive to the salt concentration. Our results suggest a mechanism through which monomeric selectins mediate initial fast on and fast off kinetics to help capture cells out of the circulating shear flow; subsequently, tight binding by dimeric/oligomeric selectins is enabled to significantly slow rolling. © 2015 by The American Society for Biochemistry and Molecular Biology, Inc."	"https://pubmed.ncbi.nlm.nih.gov/26124272/"	"1"	"M20B-P2-R-002044"
"20B"	"PMID:38194969; PMCID:PMC10828548; DOI:10.1016/j.celrep.2023.113634; PMID:36828548; PMCID:PMC9997507; DOI:10.1083/jcb.202211031"	"36828548"	""	"10.1083/jcb.202211031"	"resolved_authoritative_local_artifact"	"one metadata-bearing local artifact record matched one PMID already explicit in canonical_paper_key"	"data/raw/evidence/module20_24_supervised_cli_phase2/retry_A20B_LGI2_ADAM23_PMID36828548_pmc.html"	"LGI3/2–ADAM23 interactions cluster Kv1 channels in myelinated axons to regulate refractory period"	"Nina Kozar-Gillan; Atanaska Velichkova; George Kanatouris; Yael Eshed-Eisenbach; Gavin Steel; Martine Jaegle; Eerik Aunin; Elior Peles; Carole Torsney; Dies N Meijer"	"2023"	"The Journal of Cell Biology"	""	"https://pmc.ncbi.nlm.nih.gov/articles/PMC9997507/"	"3"	"M20B-P2-R-004140-R154A;M20B-P2-R-004140-R154B;M20B-P2-R-004140-R154C"
"20B"	"PMID:38287195; DOI:10.1038/s41594-023-01190-6; PMID:12023369"	"38287195"	""	"10.1038/s41594-023-01190-6"	"resolved_authoritative_local_artifact"	"one metadata-bearing local artifact record matched one PMID already explicit in canonical_paper_key"	"data/raw/evidence/module20_24_supervised_cli_phase2/retry_A20B_PMID38287195_IL12_IL23_complex.xml"	"Structures of complete extracellular receptor assemblies mediated by IL-12 and IL-23."	"Yehudi Bloch; Jan Felix; Romain Merceron; Mathias Provost; Royan Alipour Symakani; Robin De Backer; Elisabeth Lambert; Ahmad R Mehdipour; Savvas N Savvides"	"2024"	"Nature structural & molecular biology"	"Cell-surface receptor complexes mediated by pro-inflammatory interleukin (IL)-12 and IL-23, both validated therapeutic targets, are incompletely understood due to the lack of structural insights into their complete extracellular assemblies. Furthermore, there is a paucity of structural details describing the IL-12-receptor interaction interfaces, in contrast to IL-23-receptor complexes. Here we report structures of fully assembled mouse IL-12/human IL-23-receptor complexes comprising the complete extracellular segments of the cognate receptors determined by electron cryo-microscopy. The structures reveal key commonalities but also surprisingly diverse features. Most notably, whereas IL-12 and IL-23 both utilize a conspicuously presented aromatic residue on their α-subunit as a hotspot to interact with the N-terminal Ig domain of their high-affinity receptors, only IL-12 juxtaposes receptor domains proximal to the cell membrane. Collectively, our findings will help to complete our understanding of cytokine-mediated assemblies of tall cytokine receptors and will enable a cytokine-specific interrogation of IL-12/IL-23 signaling in physiology and disease. © 2024. The Author(s), under exclusive licence to Springer Nature America, Inc."	"https://pubmed.ncbi.nlm.nih.gov/38287195/"	"1"	"M20B-P2-R-003912-R118A"
"20B"	"PMID:8663044; PMID:16597617; DOI:10.1074/jbc.271.25.15292; DOI:10.1074/jbc.M601252200"	"8663044"	""	"10.1074/jbc.271.25.15292"	"resolved_authoritative_local_artifact"	"one metadata-bearing local artifact record matched one PMID already explicit in canonical_paper_key"	"data/raw/evidence/module20_24_supervised_cli_phase2/gap004/fgf5_primary.xml"	"Receptor specificity of the fibroblast growth factor family."	"D M Ornitz; J Xu; J S Colvin; D G McEwen; C A MacArthur; F Coulier; G Gao; M Goldfarb"	"1996"	"The Journal of biological chemistry"	"Fibroblast growth factors (FGFs) are essential molecules for mammalian development. The nine known FGF ligands and the four signaling FGF receptors (and their alternatively spliced variants) are expressed in specific spatial and temporal patterns. The activity of this signaling pathway is regulated by ligand binding specificity, heparan sulfate proteoglycans, and the differential signaling capacity of individual FGF receptors. To determine potentially relevant ligand-receptor pairs we have engineered mitogenically responsive cell lines expressing the major splice variants of all the known FGF receptors. We have assayed the mitogenic activity of the nine known FGF ligands on these cell lines. These studies demonstrate that FGF 1 is the only FGF that can activate all FGF receptor splice variants. Using FGF 1 as an internal standard we have determined the relative activity of all the other members of the FGF family. These data should serve as a biochemical foundation for determining developmental, physiological, and pathophysiological processes that involve FGF signaling pathways."	"https://pubmed.ncbi.nlm.nih.gov/8663044/"	"1"	"M20B-P2-R-002070"
"21B"	"PMCID:PMC1291242; PMID:16287852; PMID:11376147; PMID:12374742; PMID:21775282"	"16287852"	""	"10.1128/mcb.25.23.10379-10390.2005"	"resolved_authoritative_local_artifact"	"one metadata-bearing local artifact record matched one PMID already explicit in canonical_paper_key"	"data/raw/evidence/module20_24_supervised_cli_phase2/retry_PMC1291242_article.html"	"RBP-Jκ/SHARP Recruits CtIP/CtBP Corepressors To Silence Notch Target Genes"	"Franz Oswald; Michael Winkler; Ying Cao; Kathy Astrahantseff; Soizic Bourteele; Walter Knöchel; Tilman Borggrefe"	"2005"	"Molecular and Cellular Biology"	""	"https://pmc.ncbi.nlm.nih.gov/articles/PMC1291242/"	"1"	"M21B-P2-R-000014"
"21B"	"PMCID:PMC1447428; PMID:16611992; PMID:8565075"	"16611992"	""	"10.1128/mcb.26.9.3505-3513.2006"	"resolved_authoritative_local_artifact"	"one metadata-bearing local artifact record matched one PMID already explicit in canonical_paper_key"	"data/raw/evidence/module20_24_supervised_cli_phase2/retry_PMC1447428_article.html"	"Competitive Control of Independent Programs of Tumor Necrosis Factor Receptor-Induced Cell Death by TRADD and RIP1"	"Lixin Zheng; Nicolas Bidere; David Staudt; Alan Cubre; Jan Orenstein; Francis K Chan; Michael Lenardo"	"2006"	"Molecular and Cellular Biology"	""	"https://pmc.ncbi.nlm.nih.gov/articles/PMC1447428/"	"1"	"M21B-P2-R-000004"
"21B"	"PMCID:PMC3082435; PMID:20878770; DOI:10.1002/glia.21076; PMCID:PMC3411314; PMID:22057682; DOI:10.1002/jnr.22758"	"20878770"	""	"10.1002/glia.21076"	"resolved_authoritative_local_artifact"	"one metadata-bearing local artifact record matched one PMID already explicit in canonical_paper_key"	"data/raw/evidence/module20_24_supervised_cli_phase2/retry_PMC3082435_article.html"	"Interferon Lambda Inhibits Herpes Simplex Virus Type I Infection of Human Astrocytes and Neurons"	"JIELIANG LI; SHUXIAN HU; LIN ZHOU; LI YE; XU WANG; JIE HO; WENZHE HO"	"2010"	"Glia"	""	"https://pmc.ncbi.nlm.nih.gov/articles/PMC3082435/"	"1"	"M21B-P2-R-000019"
