"identifier_type"	"identifier_value"	"canonical_identifier"	"resolved_pmid"	"resolved_pmcid"	"resolved_doi"	"resolution_status"	"resolution_basis"	"authoritative_source"	"source_metadata_title"	"source_metadata_authors"	"source_metadata_year"	"source_metadata_journal"	"source_metadata_url"	"resolution_reason"
"DOI"	"10.1002/advs.202002500"	"DOI:10.1002/advs.202002500"	"33643791"	"PMC7887579"	"10.1002/advs.202002500"	"resolved_authoritative_ncbi"	"exact PubMed DOI-field search with matching PubMed article DOI"	"https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi"	"Nidogen-1 Mitigates Ischemia and Promotes Tissue Survival and Regeneration."	"Zbinden A; Layland SL; Urbanczyk M; Carvajal Berrio DA; Marzi J; Zauner M; Hammerschmidt A; Brauchle EM; Sudrow K; Fink S; Templin M; Liebscher S; Klein G; Deb A; Duffy GP; Crooks GM; Eble JA; Mikkola HKA; Nsair A; Seifert M; Schenke-Layland K"	"2021"	"Advanced science (Weinheim, Baden-Wurttemberg, Germany)"	"https://pubmed.ncbi.nlm.nih.gov/33643791/"	""
"DOI"	"10.1002/jnr.490430103"	"DOI:10.1002/jnr.490430103"	"8838570"	""	"10.1002/jnr.490430103"	"resolved_authoritative_ncbi"	"exact PubMed DOI-field search with matching PubMed article DOI"	"https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi"	"CD9 of mouse brain is implicated in neurite outgrowth and cell migration in vitro and is associated with the alpha 6/beta 1 integrin and the neural adhesion molecule L1."	"Schmidt C; Künemund V; Wintergerst ES; Schmitz B; Schachner M"	"1996"	"Journal of neuroscience research"	"https://pubmed.ncbi.nlm.nih.gov/8838570/"	""
"DOI"	"10.1006/bbrc.2001.4718"	"DOI:10.1006/bbrc.2001.4718"	"11322762"	""	"10.1006/bbrc.2001.4718"	"resolved_authoritative_ncbi"	"exact PubMed DOI-field search with matching PubMed article DOI"	"https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi"	"Reduced adhesion of monocyte-derived macrophages from CD36-deficient patients to type I collagen."	"Janabi M; Yamashita S; Hirano K; Matsumoto K; Sakai N; Hiraoka H; Kashiwagi H; Tomiyama Y; Nozaki S; Matsuzawa Y"	"2001"	"Biochemical and biophysical research communications"	"https://pubmed.ncbi.nlm.nih.gov/11322762/"	""
"DOI"	"10.1016/j.abb.2022.109329"	"DOI:10.1016/j.abb.2022.109329"	"35738425"	""	"10.1016/j.abb.2022.109329"	"resolved_authoritative_ncbi"	"exact PubMed DOI-field search with matching PubMed article DOI"	"https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi"	"Heterophilic recognition between E-cadherin and N-cadherin relies on same canonical binding interface as required for E-cadherin homodimerization."	"Dash S; Duraivelan K; Hansda A; Kumari P; Chatterjee S; Mukherjee G; Samanta D"	"2022"	"Archives of biochemistry and biophysics"	"https://pubmed.ncbi.nlm.nih.gov/35738425/"	""
"DOI"	"10.1016/j.abb.2026.110820"	"DOI:10.1016/j.abb.2026.110820"	"41967236"	""	"10.1016/j.abb.2026.110820"	"resolved_authoritative_ncbi"	"exact PubMed DOI-field search with matching PubMed article DOI"	"https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi"	"Hepassocin drives EGFR-dependent endothelial atherogenic activation via NOX1/ROS amplification and p38 signaling."	"Pyo MK; Park HS; Ko JH; Lim DS; Gwon HJ; Abd El-Aty AM; Yağan R; Song JH; Shin YK; Jeong JH; Jung TW"	"2026"	"Archives of biochemistry and biophysics"	"https://pubmed.ncbi.nlm.nih.gov/41967236/"	""
"DOI"	"10.1016/j.ajpath.2011.01.039"	"DOI:10.1016/j.ajpath.2011.01.039"	"21457936"	"PMC3081198"	"10.1016/j.ajpath.2011.01.039"	"resolved_authoritative_ncbi"	"exact PubMed DOI-field search with matching PubMed article DOI"	"https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi"	"Physiological contribution of CD44 as a ligand for E-Selectin during inflammatory T-cell recruitment."	"Nácher M; Blázquez AB; Shao B; Matesanz A; Prophete C; Berin MC; Frenette PS; Hidalgo A"	"2011"	"The American journal of pathology"	"https://pubmed.ncbi.nlm.nih.gov/21457936/"	""
"DOI"	"10.1016/j.ajpath.2016.11.010"	"DOI:10.1016/j.ajpath.2016.11.010"	"28082119"	""	"10.1016/j.ajpath.2016.11.010"	"resolved_authoritative_ncbi"	"exact PubMed DOI-field search with matching PubMed article DOI"	"https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi"	"Periostin Promotes Scar Formation through the Interaction between Pericytes and Infiltrating Monocytes/Macrophages after Spinal Cord Injury."	"Yokota K; Kobayakawa K; Saito T; Hara M; Kijima K; Ohkawa Y; Harada A; Okazaki K; Ishihara K; Yoshida S; Kudo A; Iwamoto Y; Okada S"	"2017"	"The American journal of pathology"	"https://pubmed.ncbi.nlm.nih.gov/28082119/"	""
"DOI"	"10.1016/j.atherosclerosis.2012.08.017"	"DOI:10.1016/j.atherosclerosis.2012.08.017"	"23021490"	""	"10.1016/j.atherosclerosis.2012.08.017"	"resolved_authoritative_ncbi"	"exact PubMed DOI-field search with matching PubMed article DOI"	"https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi"	"In vitro functional characterization of missense mutations in the LDLR gene."	"Silva S; Alves AC; Patel D; Malhó R; Soutar AK; Bourbon M"	"2012"	"Atherosclerosis"	"https://pubmed.ncbi.nlm.nih.gov/23021490/"	""
"DOI"	"10.1016/j.bbrc.2005.04.006"	"DOI:10.1016/j.bbrc.2005.04.006"	"15850796"	""	"10.1016/j.bbrc.2005.04.006"	"resolved_authoritative_ncbi"	"exact PubMed DOI-field search with matching PubMed article DOI"	"https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi"	"Characterization of alphaX I-domain binding to Thy-1."	"Choi J; Leyton L; Nham SU"	"2005"	"Biochemical and biophysical research communications"	"https://pubmed.ncbi.nlm.nih.gov/15850796/"	""
"DOI"	"10.1016/j.bbrc.2008.09.138"	"DOI:10.1016/j.bbrc.2008.09.138"	"18851943"	""	"10.1016/j.bbrc.2008.09.138"	"resolved_authoritative_ncbi"	"exact PubMed DOI-field search with matching PubMed article DOI"	"https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi"	"Midkine promotes tetraspanin-integrin interaction and induces FAK-Stat1alpha pathway contributing to migration/invasiveness of human head and neck squamous cell carcinoma cells."	"Huang Y; Sook-Kim M; Ratovitski E"	"2008"	"Biochemical and biophysical research communications"	"https://pubmed.ncbi.nlm.nih.gov/18851943/"	""
