evidence_item_id	review_id	pair_key	pair_label	source_kind	source_locator	support_kind	species_support	source_scope	confidence_tier	citation_note	evidence_summary	limitations
M20A-NONDIRECTHIGH002-EVID-0001	M20A-EXT-0099	fgf18 fgfr4	Fgf18 Fgfr4	primary_literature_recovery	PMID:37701781; https://pubmed.ncbi.nlm.nih.gov/37701781/	validated_primary_receptor_proximal_assay	Human fetal lung fibroblasts	module20b_exact_primary_packet_reused_for_module20a_adjudication	high	PMID:37701781	FGF18-induced proliferation and migration in human fetal lung fibroblasts involved FGFR4 in a developmental-stage-dependent manner; FGFR4 knockdown reduced the corresponding FGF18 response in the tested stage.	Cell-context and developmental-stage specific; receptor knockdown is not purified binding and does not establish a complete intracellular relay or terminal TF. High is limited to the cited non-direct relay/function record; no binary binding or SCI-transfer inference is made.
M20A-NONDIRECTHIGH002-EVID-0002	M20A-EXT-0106	fgf21 fgfr1	Fgf21 Fgfr1	primary_literature_recovery	PMID:42479094; https://pubmed.ncbi.nlm.nih.gov/42479094/	validated_primary_receptor_proximal_assay	mouse; human comparator	module20b_exact_primary_packet_reused_for_module20a_adjudication	high	PMID:42479094	Recombinant human FGF21 and macrophage-derived FGF21 produced an FGFR1-associated protective signaling response in mouse endometrial inflammation models and human endometrial stromal-cell comparators.	The source is a non-SCI uterine model and the record is receptor-attributed rather than purified binding. Receptor complex, species, and tissue context remain explicit. High is limited to the cited non-direct relay/function record; no binary binding or SCI-transfer inference is made.
M20A-NONDIRECTHIGH002-EVID-0003	M20A-EXT-0110	fgf23 fgfr4	Fgf23 Fgfr4	primary_literature_recovery	PMID:41972542; https://pubmed.ncbi.nlm.nih.gov/41972542/	validated_primary_receptor_proximal_assay	mouse; human comparator	module20b_exact_primary_packet_reused_for_module20a_adjudication	high	PMID:41972542	Recombinant FGF23 promoted cardiac fibroblast proliferation and activation through an FGFR4-associated MAPK/ERK branch in mouse pressure-overload models and human cardiac fibroblasts.	This is a cardiac pressure-overload/fibrosis model and receptor-attributed pathway evidence rather than direct purified binding. No SCI transfer is inferred. High is limited to the cited non-direct relay/function record; no binary binding or SCI-transfer inference is made.
M20A-NONDIRECTHIGH002-EVID-0004	M20A-EXT-0126	fgf8 fgfr3	Fgf8 Fgfr3	primary_literature_recovery	PMID:38997225; DOI:10.1002/1873-3468.14976; https://pubmed.ncbi.nlm.nih.gov/38997225/	validated_primary_receptor_proximal_assay	Human FGF8b and FGFR3c cell/ectodomain systems	module20b_exact_primary_packet_reused_for_module20a_adjudication	high	PMID:38997225; DOI:10.1002/1873-3468.14976	FGF8b induced FGFR3-associated signaling in cell culture and interacted with the FGFR3c extracellular-domain context in NMR/biophysical analyses.	The study also examines an inhibitor and separate soluble domains; it is receptor-proximal evidence, not a complete pathway or terminal TF record. High is limited to the cited non-direct relay/function record; no binary binding or SCI-transfer inference is made.
M20A-NONDIRECTHIGH002-EVID-0005	M20A-EXT-0762	alb lrp2	Alb Lrp2	primary_literature_recovery	PMID:8898021; DOI:10.1152/ajprenal.1996.271.4.F900; https://pubmed.ncbi.nlm.nih.gov/8898021/; https://journals.physiology.org/doi/abs/10.1152/ajprenal.1996.271.4.F900	functional_transport_and_uptake	rat	module20b_exact_primary_packet_reused_for_module20a_adjudication	high	PMID:8898021; DOI:10.1152/ajprenal.1996.271.4.F900	Primary rat proximal-tubule study showed albumin uptake was megalin-dependent: albumin bound purified megalin/gp330 directly, and RAP, EDTA, albumin, megalin, cytochrome c, and gentamicin reduced proximal-tubule uptake.	validated_functional_output_support High is limited to the cited non-direct relay/function record; no binary binding or SCI-transfer inference is made.
M20A-NONDIRECTHIGH002-EVID-0006	M20A-EXT-1112	cd200 cd200r1	Cd200 Cd200r1	primary_literature_recovery	PMID:35759230; https://pubmed.ncbi.nlm.nih.gov/35759230/	validated_primary_receptor_proximal_assay	Human psoriasis skin and mouse psoriasis-like models	module20b_exact_primary_packet_reused_for_module20a_adjudication	high	PMID:35759230	CD200R1 signaling was associated with Dok1 phosphorylation and regulation of inflammatory-cell activity in human skin and mouse psoriasis-like models.	The study is receptor/pathway-function evidence and does not provide purified CD200-CD200R1 binding or a terminal TF edge. High is limited to the cited non-direct relay/function record; no binary binding or SCI-transfer inference is made.
M20A-NONDIRECTHIGH002-EVID-0007	M20A-EXT-2629	ntf3 ntrk2	Ntf3 Ntrk2	primary_literature_recovery	PMID:7556091; PMID:8621424; data/raw/evidence/module20_24_supervised_cli_phase2/retry_A20B_NTF3_NTF5_selected_primary_records.xml	qualified_NTF3_NTRK2_relay	mouse; chick; engineered receptor systems	module20b_exact_primary_packet_reused_for_module20a_adjudication	high	Selected embryonic and engineered systems support NT-3/TrkB receptor-proximal Ras/MAPK-type responses.	Qualified TrkB relay.	TrkB is not the dominant native NT-3 pathway; TrkC remains preferred in vivo. High is limited to the cited non-direct relay/function record; no binary binding or SCI-transfer inference is made.
M20A-NONDIRECTHIGH002-EVID-0008	M20A-EXT-2647	nts ntsr1	Nts Ntsr1	primary_literature_recovery	PMID:32275927; PMCID:PMC5815659; DOI:10.1016/j.neuropharm.2020.108069; data/raw/evidence/module20_24_supervised_cli_phase2/retry_A20B_NTS_receptor_targeted_primary_records.xml	NTS_NTSR1_calcium_synaptic_relay	mouse median preoptic nucleus neurons	module20b_exact_primary_packet_reused_for_module20a_adjudication	high	NTSR1 activation in preoptic neurons increased intracellular calcium and inhibitory synaptic-event frequency and amplitude.	Qualified NTSR1 calcium/synaptic relay.	Cell- and brain-region-specific; no universal Gq/PLC/ERK-to-TF chain. High is limited to the cited non-direct relay/function record; no binary binding or SCI-transfer inference is made.
M20A-NONDIRECTHIGH002-EVID-0009	M20A-EXT-2648	nts ntsr2	Nts Ntsr2	primary_literature_recovery	PMID:32275927; PMCID:PMC5815659; DOI:10.1016/j.neuropharm.2020.108069; PMID:11723247; DOI:10.1124/mol.60.6.1392; data/raw/evidence/module20_24_supervised_cli_phase2/retry_A20B_NTS_receptor_targeted_primary_records.xml	NTS_NTSR2_P2X4_IP_relay	mouse median preoptic nucleus; recombinant human NTSR2	module20b_exact_primary_packet_reused_for_module20a_adjudication	high	NTSR2 activation in astrocytes increased excitatory input to preoptic GABAergic neurons through P2X4-dependent signaling; recombinant human NTSR2 showed receptor-linked inositol-phosphate behavior and constitutive activity.	Qualified NTSR2 astrocyte/P2X4 and receptor-linked IP relay.	Constitutive activity and P2X4 branch are model-specific; no universal kinase or terminal TF. High is limited to the cited non-direct relay/function record; no binary binding or SCI-transfer inference is made.
M20A-NONDIRECTHIGH002-EVID-0010	M20A-EXT-2667	oxt avpr1a	Oxt Avpr1a	primary_literature_recovery	PMID:23723434; PMCID:PMC3716315; DOI:10.1124/jpet.113.202994; data/raw/evidence/module20_24_supervised_cli_phase2/PMC3716315_full_text.html	OXT_AVPR1A_Gq_IP1_relay	mouse AVPR1A-expressing HEK293 cells	module20b_exact_primary_packet_reused_for_module20a_adjudication	high	OXT-induced AVPR1A/V1aR signaling produced Gq-linked IP1 accumulation in transfected cells.	Qualified OXT-AVPR1A Gq/IP1 relay.	Proximal second-messenger assay; no physiological OXT-AVPR1A output or TF established. High is limited to the cited non-direct relay/function record; no binary binding or SCI-transfer inference is made.
