review_id	pair_key	pair_label_canonical	review_status	confidence_decision	mouse_confidence	mouse_confidence_rank	human_confidence	human_confidence_rank	human_evidence_present	receptor_state	receptor_role	directness	species_posture	decision_basis	evidence_register_ids	next_action
M20A-EXT-2545	nmb nmbr	Nmb Nmbr	reviewed	high	high	3	high	3	yes	membrane_bound_or_receptor_complex_context	ligand_receptor_or_receptor_complex_context	exact_primary_direct_binding_or_activation	species_scoped_to_exact_primary_packet; no_unlisted_species_inference	Exact pair-specific primary direct-molecular evidence was already validated at high tier in Module 20B. High applies to the ligand-receptor claim only; species, ligand processing, isoform, assay, receptor topology, and non-SCI limitations remain explicit. No relay, TF/program, cellular-output, or SCI context is inferred. Source packet: M20B-EVID-004320-P2-DIRECT.	M20A-MEDHIGH001-EVID-0001	retain_high_ligand_receptor_evidence; preserve_context; keep_relay_and_SCI_fields_separate
M20A-EXT-2549	nms nmur1	Nms Nmur1	reviewed	high	uncertain	0	high	3	yes	membrane_bound_or_receptor_complex_context	ligand_receptor_or_receptor_complex_context	exact_primary_direct_binding_or_activation	species_scoped_to_exact_primary_packet; no_unlisted_species_inference	Exact pair-specific primary direct-molecular evidence was already validated at high tier in Module 20B. High applies to the ligand-receptor claim only; species, ligand processing, isoform, assay, receptor topology, and non-SCI limitations remain explicit. No relay, TF/program, cellular-output, or SCI context is inferred. Source packet: M20B-EVID-004324-P2-DIRECT.	M20A-MEDHIGH001-EVID-0002	retain_high_ligand_receptor_evidence; preserve_context; keep_relay_and_SCI_fields_separate
M20A-EXT-2567	npb npbwr1	Npb Npbwr1	reviewed	high	high	3	high	3	yes	membrane_bound_or_receptor_complex_context	ligand_receptor_or_receptor_complex_context	exact_primary_direct_binding_or_activation	species_scoped_to_exact_primary_packet; no_unlisted_species_inference	Exact pair-specific primary direct-molecular evidence was already validated at high tier in Module 20B. High applies to the ligand-receptor claim only; species, ligand processing, isoform, assay, receptor topology, and non-SCI limitations remain explicit. No relay, TF/program, cellular-output, or SCI context is inferred. Source packet: M20B-EVID-004342-P2-DIRECT.	M20A-MEDHIGH001-EVID-0003	retain_high_ligand_receptor_evidence; preserve_context; keep_relay_and_SCI_fields_separate
M20A-EXT-2568	npff npffr1	Npff Npffr1	reviewed	high	uncertain	0	high	3	yes	membrane_bound_or_receptor_complex_context	ligand_receptor_or_receptor_complex_context	exact_primary_direct_binding_or_activation	species_scoped_to_exact_primary_packet; no_unlisted_species_inference	Exact pair-specific primary direct-molecular evidence was already validated at high tier in Module 20B. High applies to the ligand-receptor claim only; species, ligand processing, isoform, assay, receptor topology, and non-SCI limitations remain explicit. No relay, TF/program, cellular-output, or SCI context is inferred. Source packet: M20B-EVID-004343-P2-DIRECT.	M20A-MEDHIGH001-EVID-0004	retain_high_ligand_receptor_evidence; preserve_context; keep_relay_and_SCI_fields_separate
M20A-EXT-2569	npff npffr2	Npff Npffr2	reviewed	high	uncertain	0	high	3	yes	membrane_bound_or_receptor_complex_context	ligand_receptor_or_receptor_complex_context	exact_primary_direct_binding_or_activation	species_scoped_to_exact_primary_packet; no_unlisted_species_inference	Exact pair-specific primary direct-molecular evidence was already validated at high tier in Module 20B. High applies to the ligand-receptor claim only; species, ligand processing, isoform, assay, receptor topology, and non-SCI limitations remain explicit. No relay, TF/program, cellular-output, or SCI context is inferred. Source packet: M20B-EVID-004344-P2-DIRECT.	M20A-MEDHIGH001-EVID-0005	retain_high_ligand_receptor_evidence; preserve_context; keep_relay_and_SCI_fields_separate
M20A-EXT-2570	nppa npr1	Nppa Npr1	reviewed	high	uncertain	0	high	3	yes	membrane_bound_or_receptor_complex_context	ligand_receptor_or_receptor_complex_context	exact_primary_direct_binding_or_activation	species_scoped_to_exact_primary_packet; no_unlisted_species_inference	Exact pair-specific primary direct-molecular evidence was already validated at high tier in Module 20B. High applies to the ligand-receptor claim only; species, ligand processing, isoform, assay, receptor topology, and non-SCI limitations remain explicit. No relay, TF/program, cellular-output, or SCI context is inferred. Source packet: M20B-EVID-004345-P2-DIRECT.	M20A-MEDHIGH001-EVID-0006	retain_high_ligand_receptor_evidence; preserve_context; keep_relay_and_SCI_fields_separate
M20A-EXT-2574	nppc npr2	Nppc Npr2	reviewed	high	high	3	high	3	yes	membrane_bound_or_receptor_complex_context	ligand_receptor_or_receptor_complex_context	exact_primary_direct_binding_or_activation	species_scoped_to_exact_primary_packet; no_unlisted_species_inference	Exact pair-specific primary direct-molecular evidence was already validated at high tier in Module 20B. High applies to the ligand-receptor claim only; species, ligand processing, isoform, assay, receptor topology, and non-SCI limitations remain explicit. No relay, TF/program, cellular-output, or SCI context is inferred. Source packet: M20B-EVID-004349-P2-DIRECT.	M20A-MEDHIGH001-EVID-0007	retain_high_ligand_receptor_evidence; preserve_context; keep_relay_and_SCI_fields_separate
M20A-EXT-2581	nps npsr1	Nps Npsr1	reviewed	high	high	3	high	3	yes	membrane_bound_or_receptor_complex_context	ligand_receptor_or_receptor_complex_context	exact_primary_direct_binding_or_activation	species_scoped_to_exact_primary_packet; no_unlisted_species_inference	Exact pair-specific primary direct-molecular evidence was already validated at high tier in Module 20B. High applies to the ligand-receptor claim only; species, ligand processing, isoform, assay, receptor topology, and non-SCI limitations remain explicit. No relay, TF/program, cellular-output, or SCI context is inferred. Source packet: M20B-EVID-004356-P2-DIRECT.	M20A-MEDHIGH001-EVID-0008	retain_high_ligand_receptor_evidence; preserve_context; keep_relay_and_SCI_fields_separate
M20A-EXT-2589	npvf npffr1	Npvf Npffr1	reviewed	high	uncertain	0	high	3	yes	membrane_bound_or_receptor_complex_context	ligand_receptor_or_receptor_complex_context	exact_primary_direct_binding_or_activation	species_scoped_to_exact_primary_packet; no_unlisted_species_inference	Exact pair-specific primary direct-molecular evidence was already validated at high tier in Module 20B. High applies to the ligand-receptor claim only; species, ligand processing, isoform, assay, receptor topology, and non-SCI limitations remain explicit. No relay, TF/program, cellular-output, or SCI context is inferred. Source packet: M20B-EVID-004364-P2-DIRECT.	M20A-MEDHIGH001-EVID-0009	retain_high_ligand_receptor_evidence; preserve_context; keep_relay_and_SCI_fields_separate
M20A-EXT-2590	npvf npffr2	Npvf Npffr2	reviewed	high	uncertain	0	high	3	yes	membrane_bound_or_receptor_complex_context	ligand_receptor_or_receptor_complex_context	exact_primary_direct_binding_or_activation	species_scoped_to_exact_primary_packet; no_unlisted_species_inference	Exact pair-specific primary direct-molecular evidence was already validated at high tier in Module 20B. High applies to the ligand-receptor claim only; species, ligand processing, isoform, assay, receptor topology, and non-SCI limitations remain explicit. No relay, TF/program, cellular-output, or SCI context is inferred. Source packet: M20B-EVID-004365-P2-DIRECT.	M20A-MEDHIGH001-EVID-0010	retain_high_ligand_receptor_evidence; preserve_context; keep_relay_and_SCI_fields_separate
