evidence_item_id	review_id	pair_key	pair_label	source_kind	source_locator	support_kind	species_support	source_scope	confidence_tier	citation_note	evidence_summary	limitations
M20A-MEDHIGH012-EVID-0001	M20A-EXT-2123	ihh hhip	Ihh Hhip	primary_literature_recovery	PMID:10050855; DOI:10.1038/17611	direct_family_binding	mouse mammalian-family evidence	module20b_exact_primary_packet_reused_for_module20a_adjudication	high	Primary Nature study reports that mouse Hip/HHIP binds all three mammalian Hedgehog proteins, including Ihh, with affinity comparable to Ptch1.	Direct mammalian Ihh–HHIP binding/sequestration as an antagonist or decoy-receptor interaction.	The retrieved stable record is abstract-bounded for Ihh-specific assay geometry and affinity; no purified exact Ihh-only affinity value was imported. High is limited to the tested direct molecular or preserved complex interaction; no downstream or SCI inference is made.
M20A-MEDHIGH012-EVID-0002	M20A-EXT-2830	psap gpr37	Psap Gpr37	primary_literature_recovery	PMID:23690594; PMCID:PMC3677493; DOI:10.1073/pnas.1219004110; data/raw/evidence/module20_24_supervised_cli_phase2/retry_A20B_PSAP_GPR37_selected_records.xml	qualified_primary_direct_binding_review	human receptor constructs; rodent astrocyte comparator	module20b_exact_primary_packet_reused_for_module20a_adjudication	high	PMID:23690594; PMCID:PMC3677493; DOI:10.1073/pnas.1219004110	Prosaptide bound GPR37 and full-length prosaposin stimulated GPR37 signaling in receptor-expressing cells, establishing a qualified direct extracellular ligand-receptor interaction.	The study supports binding and receptor-dependent activation but uses prosaptide and full-length prosaposin in distinct assays. It does not establish a universal receptor stoichiometry or SCI-specific terminal TF. High is limited to the tested direct molecular or preserved complex interaction; no downstream or SCI inference is made.
M20A-MEDHIGH012-EVID-0003	M20A-EXT-2833	psap sort1	Psap Sort1	primary_literature_recovery	PMID:14657016; DOI:10.1093/emboj/cdg629; PMID:19934382; DOI:10.1369/jhc.2009.955203; PMID:25519158; DOI:10.14670/HH-30.647; data/raw/evidence/module20_24_supervised_cli_phase2/retry_A20B_PSAP_SORT1_selected_records.xml	qualified_primary_sorting_receptor_binding_review	human; mouse; rat comparator	module20b_exact_primary_packet_reused_for_module20a_adjudication	high	PMID:14657016; DOI:10.1093/emboj/cdg629; PMID:19934382; DOI:10.1369/jhc.2009.955203; PMID:25519158; DOI:10.14670/HH-30.647	Prosaposin co-immunoprecipitated with sortilin, and C-terminal prosaposin motifs were required for sortilin binding and lysosomal targeting; the interaction is an intracellular sorting-receptor interaction.	Primary studies support a C-terminal prosaposin sorting motif and sortilin interaction, but this is mainly Golgi/lysosomal cargo trafficking rather than surface signal transduction. No universal TF or SCI transfer is established. High is limited to the tested direct molecular or preserved complex interaction; no downstream or SCI inference is made.
M20A-MEDHIGH012-EVID-0004	M20A-EXT-2866	pth2 pth1r	Pth2 Pth1r	primary_literature_recovery	PMID:11159842; DOI:10.1210/endo.142.2.7945; data/raw/evidence/module20_24_supervised_cli_phase2/retry_A20B_PTH2_PTH1R_selected_records.xml	qualified_primary_peptide_receptor_binding_review	human receptor; rat/human peptide comparators	module20b_exact_primary_packet_reused_for_module20a_adjudication	high	PMID:11159842; DOI:10.1210/endo.142.2.7945	TIP39/PTH2 bound PTH1R-expressing cells with weak apparent affinity of approximately 210–243 nM in radioreceptor assays, while retaining preferential activity at PTH2R.	The direct interaction is weak and pharmacologically nonproductive for full-length TIP39; the ligand identity is TIP39/PTH2 rather than canonical PTH. No SCI-specific or terminal-TF claim is established. High is limited to the tested direct molecular or preserved complex interaction; no downstream or SCI inference is made.
M20A-MEDHIGH012-EVID-0005	M20A-EXT-3026	scube2 kdr	Scube2 Kdr	primary_literature_recovery	PMID:27834687; DOI:10.1161/ATVBAHA.116.308546; PMID:29545238; DOI:10.1161/ATVBAHA.117.310506; data/raw/evidence/module20_24_supervised_cli_phase2/retry_A20B_SCUBE2_KDR_selected_records.xml	qualified_primary_coreceptor_binding_review	human; mouse	module20b_exact_primary_packet_reused_for_module20a_adjudication	high	PMID:27834687; DOI:10.1161/ATVBAHA.116.308546; PMID:29545238; DOI:10.1161/ATVBAHA.117.310506	Co-immunoprecipitation and ligand-binding assays showed that endothelial SCUBE2 forms a complex with VEGF and VEGFR2/KDR and functions as a VEGFR2 coreceptor.	The studies support complex formation and coreceptor function but do not establish a purified binary SCUBE2-KDR affinity or a direct SCUBE2-to-TF interaction. High is limited to the tested direct molecular or preserved complex interaction; no downstream or SCI inference is made.
M20A-MEDHIGH012-EVID-0006	M20A-EXT-3074	sema3f nrp2_plxna3	Sema3f NRP2_PLXNA3	primary_literature_recovery	PMID:20010807; PMCID:PMC2842559; DOI:10.1038/nature08628; data/raw/evidence/module20_24_supervised_cli_phase2/retry_A20B_SEMA3F_NRP2_PLXNA3_PMC2842559_fulltext.xml	qualified_primary_semaphorin_complex_review	mouse	module20b_exact_primary_packet_reused_for_module20a_adjudication	high	PMID:20010807; PMCID:PMC2842559; DOI:10.1038/nature08628	Primary cortical and hippocampal studies identify NRP2/PlexinA3 as the SEMA3F holoreceptor complex and show SEMA3F-dependent receptor-specific structural and synaptic responses.	The primary study establishes the holoreceptor components and ligand-dependent response but does not provide a purified affinity measurement for SEMA3F binding to PlexinA3 itself. NRP2 and PlexinA3 remain distinct receptor-complex nodes. High is limited to the tested direct molecular or preserved complex interaction; no downstream or SCI inference is made.
M20A-MEDHIGH012-EVID-0007	M20A-EXT-3079	sema3g nrp2_plxna2	Sema3g NRP2_PLXNA2	primary_literature_recovery	PMID:26319580; PMCID:PMC4582121; DOI:10.1242/bio.012302; data/raw/evidence/module20_24_supervised_cli_phase2/retry_A20B_SEMA3G_NRP2_PMC4582121_fulltext.xml	qualified_primary_semaphorin_complex_review	mouse; human	module20b_exact_primary_packet_reused_for_module20a_adjudication	high	PMID:26319580; PMCID:PMC4582121; DOI:10.1242/bio.012302	The primary lymphatic-development study identifies NRP2 as a receptor for SEMA3G and places PlexinA2 in the SEMA3 receptor complex; receptor assignment is retained as qualified complex-level molecular evidence.	The study supports NRP2 receptor assignment and PlexinA2 complex participation in lymphatic development, but ligand-to-PlexinA2 binary binding is not isolated. SEMA3F and SEMA3G can share NRP2 but have distinct plexin contexts. High is limited to the tested direct molecular or preserved complex interaction; no downstream or SCI inference is made.
M20A-MEDHIGH012-EVID-0008	M20A-EXT-3135	shh boc	Shh Boc	primary_literature_recovery	PMID:17086203; DOI:10.1038/nature05246; data/raw/evidence/module20_24_supervised_cli_phase2/retry_A20B_SHH_BOC_selected_records.xml	validated_primary_direct_review	mouse; rat comparator	module20b_exact_primary_packet_reused_for_module20a_adjudication	high	PMID:17086203; DOI:10.1038/nature05246	BOC and CDON bound Sonic hedgehog specifically in primary biochemical assays; BOC was expressed by commissural neurons and functionally behaved as a Shh receptor in the axon-guidance system.	The PubMed abstract establishes specific BOC/SHH binding and receptor-dependent axon guidance, but the retrieved packet does not provide a purified affinity constant or native SCI injury model. BOC is a coreceptor/receptor component rather than a standalone canonical GPCR or kinase. High is limited to the tested direct molecular or preserved complex interaction; no downstream or SCI inference is made.
M20A-MEDHIGH012-EVID-0009	M20A-EXT-3138	shh gpc1	Shh Gpc1	primary_literature_recovery	PMID:23931997; DOI:10.1016/j.neuron.2013.05.025; data/raw/evidence/module20_24_supervised_cli_phase2/retry_A20B_SHH_GPC1_selected_records.xml	validated_primary_coreceptor_direct_review	mouse; chick or rat comparator not established in abstract	module20b_exact_primary_packet_reused_for_module20a_adjudication	high	PMID:23931997; DOI:10.1016/j.neuron.2013.05.025	The primary study reports that SHH binds to the heparan-sulfate proteoglycan GPC1 in commissural neurons and uses GPC1 as a coreceptor for SHH-dependent induction of Hhip.	The accessible primary abstract establishes SHH/GPC1 binding and coreceptor function but does not provide a purified affinity measurement in the retrieved packet. GPC1 is a heparan-sulfate proteoglycan and its presentation/ECM context is important. High is limited to the tested direct molecular or preserved complex interaction; no downstream or SCI inference is made.
M20A-MEDHIGH012-EVID-0010	M20A-EXT-3140	shh hhip	Shh Hhip	primary_literature_recovery	PMID:11472839; DOI:10.1016/S0925-4773(01)00427-0; data/raw/evidence/module20_24_supervised_cli_phase2/retry_A20B_SHH_HHIP_selected_records.xml	qualified_primary_antagonist_direct_review	human recombinant proteins	module20b_exact_primary_packet_reused_for_module20a_adjudication	high	PMID:11472839; DOI:10.1016/S0925-4773(01)00427-0	Comparative recombinant Hedgehog assays report that HHIP/Hip binds SHH, with related Hedgehog ligands showing similar binding responses to Hip and PTCH.	The retrieved primary abstract supports direct binding in a comparative Hh-binding assay but does not provide a purified affinity constant in the accessible record. HHIP is an extracellular antagonist/modulator, and the exact stoichiometry and tissue-specific contribution remain context-dependent. High is limited to the tested direct molecular or preserved complex interaction; no downstream or SCI inference is made.
M20A-MEDHIGH012-EVID-0011	M20A-EXT-3144	shh scube2	Shh Scube2	primary_literature_recovery	PMID:19480626; DOI:10.1042/BJ20090341; data/raw/evidence/module20_24_supervised_cli_phase2/retry_A20B_SHH_SCUBE2_selected_records.xml	qualified_primary_carrier_direct_review	human recombinant protein; mouse developmental comparator	module20b_exact_primary_packet_reused_for_module20a_adjudication	high	PMID:19480626; DOI:10.1042/BJ20090341	Recombinant human SCUBE2 specifically interacted with SHH and the SHH receptor PTCH1 in biochemical assays, and SCUBE2 enhanced SHH reporter activity.	The primary abstract supports biochemical interaction and enhanced reporter activity, but the accessible record does not resolve a complete ternary-complex stoichiometry or a direct SCUBE2-to-PTCH1 intracellular relay. SCUBE2 is secreted and membrane-associated, not a catalytic kinase. High is limited to the tested direct molecular or preserved complex interaction; no downstream or SCI inference is made.
M20A-MEDHIGH012-EVID-0012	M20A-EXT-3179	sost lrp5	Sost Lrp5	primary_literature_recovery	PMID:22696217; DOI:10.1074/jbc.M112.350108; PMID:21944579; DOI:10.1016/j.str.2011.07.005; data/raw/evidence/module20_24_supervised_cli_phase2/retry_A20B_SOST_LRP4_LRP5_selected_records.xml	qualified_primary_sclerostin_binding_review	human recombinant proteins	module20b_exact_primary_packet_reused_for_module20a_adjudication	high	PMID:22696217; DOI:10.1074/jbc.M112.350108; PMID:21944579; DOI:10.1016/j.str.2011.07.005	Structural and NMR studies showed that the central sclerostin core, including an NXI motif, interacts with LRP5 and LRP6 β-propeller domains and that the motif is required for SOST binding to LRP5/6.	The structural and biochemical studies establish SOST binding to LRP5/6 and motif dependence, but do not establish a full-length receptor signaling conformation or a terminal TF. High is limited to the tested direct molecular or preserved complex interaction; no downstream or SCI inference is made.
