review_id	pair_key	pair_label_canonical	review_status	confidence_decision	mouse_confidence	mouse_confidence_rank	human_confidence	human_confidence_rank	human_evidence_present	receptor_state	receptor_role	directness	species_posture	decision_basis	evidence_register_ids	next_action
M20A-EXT-2884	ptn alk	Ptn Alk	reviewed	high	uncertain	0	uncertain	0	no	membrane_bound_or_receptor_complex_context	receptor_proximal_or_functional_context	non_direct_exact_pair_relay_or_functional_support	species_scoped_to_exact_primary_packet; no_unlisted_species_inference	Exact pair-specific primary receptor-proximal relay or functional evidence was adjudicated high at the preserved non-direct layer. High does not establish isolated binary binding, a terminal TF, SCI relevance, or any outcome beyond the cited record; complex, isoform, ligand-form, species, assay, and model limits remain explicit. Source packet: M20B-EVID-004659-P2-RELAY.	M20A-NONDIRECTHIGH004-EVID-0001	retain_high_non_direct_support; preserve_directness_and_context_boundary; keep_TF_and_SCI_fields_separate
M20A-EXT-2981	rtn4 ngfr	Rtn4 Ngfr	reviewed	high	high	3	high	3	yes	membrane_bound_or_receptor_complex_context	receptor_proximal_or_functional_context	non_direct_exact_pair_relay_or_functional_support	species_scoped_to_exact_primary_packet; no_unlisted_species_inference	Exact pair-specific primary receptor-proximal relay or functional evidence was adjudicated high at the preserved non-direct layer. High does not establish isolated binary binding, a terminal TF, SCI relevance, or any outcome beyond the cited record; complex, isoform, ligand-form, species, assay, and model limits remain explicit. Source packet: M20B-EVID-004756-P2-RELAY.	M20A-NONDIRECTHIGH004-EVID-0002	retain_high_non_direct_support; preserve_directness_and_context_boundary; keep_TF_and_SCI_fields_separate
M20A-EXT-2989	s100a1 tlr4	S100a1 Tlr4	reviewed	high	high	3	high	3	yes	membrane_bound_or_receptor_complex_context	receptor_proximal_or_functional_context	non_direct_exact_pair_relay_or_functional_support	species_scoped_to_exact_primary_packet; no_unlisted_species_inference	Exact pair-specific primary receptor-proximal relay or functional evidence was adjudicated high at the preserved non-direct layer. High does not establish isolated binary binding, a terminal TF, SCI relevance, or any outcome beyond the cited record; complex, isoform, ligand-form, species, assay, and model limits remain explicit. Source packet: M20B-EVID-004764-P2-RELAY.	M20A-NONDIRECTHIGH004-EVID-0003	retain_high_non_direct_support; preserve_directness_and_context_boundary; keep_TF_and_SCI_fields_separate
M20A-EXT-3008	saa1 fpr2	Saa1 Fpr2	reviewed	high	uncertain	0	high	3	yes	membrane_bound_or_receptor_complex_context	receptor_proximal_or_functional_context	non_direct_exact_pair_relay_or_functional_support	species_scoped_to_exact_primary_packet; no_unlisted_species_inference	Exact pair-specific primary receptor-proximal relay or functional evidence was adjudicated high at the preserved non-direct layer. High does not establish isolated binary binding, a terminal TF, SCI relevance, or any outcome beyond the cited record; complex, isoform, ligand-form, species, assay, and model limits remain explicit. Source packet: M20B-EVID-004783-P2-RELAY.	M20A-NONDIRECTHIGH004-EVID-0004	retain_high_non_direct_support; preserve_directness_and_context_boundary; keep_TF_and_SCI_fields_separate
M20A-EXT-3015	saa2 fpr2	Saa2 Fpr2	reviewed	high	uncertain	0	high	3	yes	membrane_bound_or_receptor_complex_context	receptor_proximal_or_functional_context	non_direct_exact_pair_relay_or_functional_support	species_scoped_to_exact_primary_packet; no_unlisted_species_inference	Exact pair-specific primary receptor-proximal relay or functional evidence was adjudicated high at the preserved non-direct layer. High does not establish isolated binary binding, a terminal TF, SCI relevance, or any outcome beyond the cited record; complex, isoform, ligand-form, species, assay, and model limits remain explicit. Source packet: M20B-EVID-004790-P2-RELAY.	M20A-NONDIRECTHIGH004-EVID-0005	retain_high_non_direct_support; preserve_directness_and_context_boundary; keep_TF_and_SCI_fields_separate
M20A-EXT-3019	saa2 tlr2	Saa2 Tlr2	reviewed	high	uncertain	0	high	3	yes	membrane_bound_or_receptor_complex_context	receptor_proximal_or_functional_context	non_direct_exact_pair_relay_or_functional_support	species_scoped_to_exact_primary_packet; no_unlisted_species_inference	Exact pair-specific primary receptor-proximal relay or functional evidence was adjudicated high at the preserved non-direct layer. High does not establish isolated binary binding, a terminal TF, SCI relevance, or any outcome beyond the cited record; complex, isoform, ligand-form, species, assay, and model limits remain explicit. Source packet: M20B-EVID-004794-P2-RELAY.	M20A-NONDIRECTHIGH004-EVID-0006	retain_high_non_direct_support; preserve_directness_and_context_boundary; keep_TF_and_SCI_fields_separate
M20A-EXT-3088	sema4d cd72	Sema4d Cd72	reviewed	high	high	3	uncertain	0	no	membrane_bound_or_receptor_complex_context	receptor_proximal_or_functional_context	non_direct_exact_pair_relay_or_functional_support	species_scoped_to_exact_primary_packet; no_unlisted_species_inference	Exact pair-specific primary receptor-proximal relay or functional evidence was adjudicated high at the preserved non-direct layer. High does not establish isolated binary binding, a terminal TF, SCI relevance, or any outcome beyond the cited record; complex, isoform, ligand-form, species, assay, and model limits remain explicit. Source packet: M20B-EVID-004863-P2-RELAY.	M20A-NONDIRECTHIGH004-EVID-0007	retain_high_non_direct_support; preserve_directness_and_context_boundary; keep_TF_and_SCI_fields_separate
M20A-EXT-3097	sema5b plxna1	Sema5b Plxna1	reviewed	high	high	3	uncertain	0	no	membrane_bound_or_receptor_complex_context	receptor_proximal_or_functional_context	non_direct_exact_pair_relay_or_functional_support	species_scoped_to_exact_primary_packet; no_unlisted_species_inference	Exact pair-specific primary receptor-proximal relay or functional evidence was adjudicated high at the preserved non-direct layer. High does not establish isolated binary binding, a terminal TF, SCI relevance, or any outcome beyond the cited record; complex, isoform, ligand-form, species, assay, and model limits remain explicit. Source packet: M20B-EVID-004872-P2-FUNC.	M20A-NONDIRECTHIGH004-EVID-0008	retain_high_non_direct_support; preserve_directness_and_context_boundary; keep_TF_and_SCI_fields_separate
M20A-EXT-3103	sema7a plxnc1	Sema7a Plxnc1	reviewed	high	high	3	uncertain	0	no	membrane_bound_or_receptor_complex_context	receptor_proximal_or_functional_context	non_direct_exact_pair_relay_or_functional_support	species_scoped_to_exact_primary_packet; no_unlisted_species_inference	Exact pair-specific primary receptor-proximal relay or functional evidence was adjudicated high at the preserved non-direct layer. High does not establish isolated binary binding, a terminal TF, SCI relevance, or any outcome beyond the cited record; complex, isoform, ligand-form, species, assay, and model limits remain explicit. Source packet: M20B-EVID-004878-P2-FUNC.	M20A-NONDIRECTHIGH004-EVID-0009	retain_high_non_direct_support; preserve_directness_and_context_boundary; keep_TF_and_SCI_fields_separate
M20A-EXT-3360	trf tfr2	Trf Tfr2	reviewed	high	high	3	uncertain	0	no	membrane_bound_or_receptor_complex_context	receptor_proximal_or_functional_context	non_direct_exact_pair_relay_or_functional_support	species_scoped_to_exact_primary_packet; no_unlisted_species_inference	Exact pair-specific primary receptor-proximal relay or functional evidence was adjudicated high at the preserved non-direct layer. High does not establish isolated binary binding, a terminal TF, SCI relevance, or any outcome beyond the cited record; complex, isoform, ligand-form, species, assay, and model limits remain explicit. Source packet: M20B-EVID-005135-P2-RELAY.	M20A-NONDIRECTHIGH004-EVID-0010	retain_high_non_direct_support; preserve_directness_and_context_boundary; keep_TF_and_SCI_fields_separate
