review_id	pair_key	pair_label_canonical	review_status	confidence_decision	mouse_confidence	mouse_confidence_rank	human_confidence	human_confidence_rank	human_evidence_present	receptor_state	receptor_role	directness	species_posture	decision_basis	evidence_register_ids	next_action
M20A-EXT-0017	slit2 robo2	Slit2 Robo2	reviewed	high	high	3	uncertain	0	no	membrane_bound_or_receptor_complex_context	ligand_receptor_or_receptor_complex_context	exact_pair_supported	mouse_release_scope_from_staged_record; no_unlisted_species_inference	Reconciled the existing Module 20B staged high decision into Module 20A. The staged record states exact pair support and preserves complex, splice, cofactor, ligand-polarity, species, and context boundaries.	M20A-STAGEDHIGH001-EVID-0001	retain_high_ligand_receptor_evidence; preserve_context; keep_relay_and_SCI_fields_separate
M20A-EXT-0018	slitrk1 ptprs	Slitrk1 Ptprs	reviewed	high	high	3	uncertain	0	no	membrane_bound_or_receptor_complex_context	ligand_receptor_or_receptor_complex_context	exact_pair_supported_splice_preserved	mouse_release_scope_from_staged_record; no_unlisted_species_inference	Reconciled the existing Module 20B staged high decision into Module 20A. The staged record states exact pair support and preserves complex, splice, cofactor, ligand-polarity, species, and context boundaries.	M20A-STAGEDHIGH001-EVID-0002	retain_high_ligand_receptor_evidence; preserve_context; keep_relay_and_SCI_fields_separate
M20A-EXT-0023	amh amhr2_bmpr1b	Amh AMHR2_BMPR1B	reviewed	high	high	3	uncertain	0	no	membrane_bound_or_receptor_complex_context	ligand_receptor_or_receptor_complex_context	exact_complex_supported	mouse_release_scope_from_staged_record; no_unlisted_species_inference	Reconciled the existing Module 20B staged high decision into Module 20A. The staged record states exact pair support and preserves complex, splice, cofactor, ligand-polarity, species, and context boundaries.	M20A-STAGEDHIGH001-EVID-0003	retain_high_ligand_receptor_evidence; preserve_context; keep_relay_and_SCI_fields_separate
M20A-EXT-0024	areg egfr_erbb2	Areg EGFR_ERBB2	reviewed	high	high	3	uncertain	0	no	membrane_bound_or_receptor_complex_context	ligand_receptor_or_receptor_complex_context	exact_complex_supported	mouse_release_scope_from_staged_record; no_unlisted_species_inference	Reconciled the existing Module 20B staged high decision into Module 20A. The staged record states exact pair support and preserves complex, splice, cofactor, ligand-polarity, species, and context boundaries.	M20A-STAGEDHIGH001-EVID-0004	retain_high_ligand_receptor_evidence; preserve_context; keep_relay_and_SCI_fields_separate
M20A-EXT-0028	bmp10 acvrl1_acvr2a	Bmp10 ACVRL1_ACVR2A	reviewed	high	high	3	uncertain	0	no	membrane_bound_or_receptor_complex_context	ligand_receptor_or_receptor_complex_context	exact_complex_supported	mouse_release_scope_from_staged_record; no_unlisted_species_inference	Reconciled the existing Module 20B staged high decision into Module 20A. The staged record states exact pair support and preserves complex, splice, cofactor, ligand-polarity, species, and context boundaries.	M20A-STAGEDHIGH001-EVID-0005	retain_high_ligand_receptor_evidence; preserve_context; keep_relay_and_SCI_fields_separate
M20A-EXT-0029	bmp10 acvrl1_bmpr2	Bmp10 ACVRL1_BMPR2	reviewed	high	high	3	uncertain	0	no	membrane_bound_or_receptor_complex_context	ligand_receptor_or_receptor_complex_context	exact_complex_supported	mouse_release_scope_from_staged_record; no_unlisted_species_inference	Reconciled the existing Module 20B staged high decision into Module 20A. The staged record states exact pair support and preserves complex, splice, cofactor, ligand-polarity, species, and context boundaries.	M20A-STAGEDHIGH001-EVID-0006	retain_high_ligand_receptor_evidence; preserve_context; keep_relay_and_SCI_fields_separate
M20A-EXT-0031	bmp2 bmpr1a_acvr2a	Bmp2 BMPR1A_ACVR2A	reviewed	high	high	3	uncertain	0	no	membrane_bound_or_receptor_complex_context	ligand_receptor_or_receptor_complex_context	exact_complex_supported	mouse_release_scope_from_staged_record; no_unlisted_species_inference	Reconciled the existing Module 20B staged high decision into Module 20A. The staged record states exact pair support and preserves complex, splice, cofactor, ligand-polarity, species, and context boundaries.	M20A-STAGEDHIGH001-EVID-0007	retain_high_ligand_receptor_evidence; preserve_context; keep_relay_and_SCI_fields_separate
M20A-EXT-0032	bmp2 bmpr1a_acvr2b	Bmp2 BMPR1A_ACVR2B	reviewed	high	high	3	uncertain	0	no	membrane_bound_or_receptor_complex_context	ligand_receptor_or_receptor_complex_context	exact_complex_supported	mouse_release_scope_from_staged_record; no_unlisted_species_inference	Reconciled the existing Module 20B staged high decision into Module 20A. The staged record states exact pair support and preserves complex, splice, cofactor, ligand-polarity, species, and context boundaries.	M20A-STAGEDHIGH001-EVID-0008	retain_high_ligand_receptor_evidence; preserve_context; keep_relay_and_SCI_fields_separate
M20A-EXT-0033	bmp2 bmpr1a_bmpr2	Bmp2 BMPR1A_BMPR2	reviewed	high	high	3	uncertain	0	no	membrane_bound_or_receptor_complex_context	ligand_receptor_or_receptor_complex_context	exact_complex_supported	mouse_release_scope_from_staged_record; no_unlisted_species_inference	Reconciled the existing Module 20B staged high decision into Module 20A. The staged record states exact pair support and preserves complex, splice, cofactor, ligand-polarity, species, and context boundaries.	M20A-STAGEDHIGH001-EVID-0009	retain_high_ligand_receptor_evidence; preserve_context; keep_relay_and_SCI_fields_separate
M20A-EXT-0037	bmp4 bmpr1a_acvr2a	Bmp4 BMPR1A_ACVR2A	reviewed	high	high	3	uncertain	0	no	membrane_bound_or_receptor_complex_context	ligand_receptor_or_receptor_complex_context	exact_complex_supported	mouse_release_scope_from_staged_record; no_unlisted_species_inference	Reconciled the existing Module 20B staged high decision into Module 20A. The staged record states exact pair support and preserves complex, splice, cofactor, ligand-polarity, species, and context boundaries.	M20A-STAGEDHIGH001-EVID-0010	retain_high_ligand_receptor_evidence; preserve_context; keep_relay_and_SCI_fields_separate
