evidence_item_id	review_id	pair_key	pair_label	source_kind	source_locator	support_kind	species_support	source_scope	confidence_tier	citation_note	evidence_summary	limitations
M20A-MEDHIGH002-EVID-0001	M20A-EXT-2115	igfl3 igflr1	Igfl3 Igflr1	primary_literature_recovery	PMID:21454693; PMCID:PMC3099712; DOI:10.1074/jbc.M111.224626	direct_binding	human exact pair	module20b_exact_primary_packet_reused_for_module20a_adjudication	high	Primary JBC study reports concentration-dependent SPR binding of recombinant human IGFL3 to immobilized human IGFLR1 ectodomain with subnanomolar apparent affinity.	Direct human IGFL3–IGFLR1 extracellular binding; exact primary observation supports the ligand–receptor layer.	No IGFL3-induced receptor signaling, downstream TF, or cellular-function assay was reported; mouse-normalized edge transfer is not independently tested. High is limited to the exact LR or preserved receptor-complex claim; no SCI-context or downstream relay inference is made.
M20A-MEDHIGH002-EVID-0002	M20A-EXT-2121	ihh boc	Ihh Boc	primary_literature_recovery	PMID:20519495; PMCID:PMC2915694; DOI:10.1074/jbc.M110.131680	direct_structural_binding	human exact pair	module20b_exact_primary_packet_reused_for_module20a_adjudication	high	Primary structural/thermodynamic study reports a calcium-dependent 1:1 complex between human IhhN and the human BOC FNIII3 domain.	Direct human Ihh–BOC extracellular binding in a co-receptor domain context.	IhhN and BOCFn3 fragments were used; no full-length cellular signaling or terminal-TF assay was imported. High is limited to the exact LR or preserved receptor-complex claim; no SCI-context or downstream relay inference is made.
M20A-MEDHIGH002-EVID-0003	M20A-EXT-2122	ihh cdon	Ihh Cdon	primary_literature_recovery	PMID:20519495; PMCID:PMC2915694; DOI:10.1074/jbc.M110.131680	direct_structural_binding	human exact pair	module20b_exact_primary_packet_reused_for_module20a_adjudication	high	Primary structural study reports a calcium-dependent IhhN–CDOFn3 complex and conserved interaction mode among mammalian Hedgehog ligands and CDO-family co-receptors.	Direct human Ihh–CDON extracellular binding in a co-receptor domain context.	IhhN and CDOFn3 fragments were used; no full-length cellular signaling or terminal-TF assay was imported. High is limited to the exact LR or preserved receptor-complex claim; no SCI-context or downstream relay inference is made.
M20A-MEDHIGH002-EVID-0004	M20A-EXT-2129	il11 il11ra1_il6st	Il11 Il11ra1_Il6st	primary_literature_recovery	PMID:10948192; DOI:10.1074/jbc.M004648200	direct_receptor_complex_assembly	human receptor-complex study	module20b_exact_primary_packet_reused_for_module20a_adjudication	high	Primary biochemical study shows IL-11/IL-11R/gp130 assembly into a stable hexameric complex with two copies of each component and requires IL-11 receptor-binding sites II/III for gp130 dimerization.	Direct IL-11 engagement of the IL11RA1_IL6ST/gp130 receptor complex.	Soluble receptor components and immunoprecipitation/native-gel complex assays; no single-subunit-only affinity claim. High is limited to the exact LR or preserved receptor-complex claim; no SCI-context or downstream relay inference is made.
M20A-MEDHIGH002-EVID-0005	M20A-EXT-2134	il12a_il12b il12rb1_il12rb2	Il12a_Il12b Il12rb1_Il12rb2	primary_literature_recovery	PMID:39111304; DOI:10.1016/j.str.2024.07.010	direct_receptor_complex_assembly	human exact receptor complex	module20b_exact_primary_packet_reused_for_module20a_adjudication	high	Primary cryo-EM and biochemical study shows human IL-12 assembled with IL-12Rbeta1 and IL-12Rbeta2 and identifies p35 residues contributing to receptor binding.	Direct IL-12 engagement of the IL12RB1_IL12RB2 receptor complex.	Recombinant soluble receptor-complex components and structural/biochemical assays; no terminal TF or SCI-specific function. High is limited to the exact LR or preserved receptor-complex claim; no SCI-context or downstream relay inference is made.
M20A-MEDHIGH002-EVID-0006	M20A-EXT-2137	il12b_il23a il12rb1_il23r	Il12b_Il23a Il12rb1_Il23r	primary_literature_recovery	PMID:38287195; DOI:10.1038/s41594-023-01190-6; PMID:12023369; DOI:10.4049/jimmunol.168.11.5699	direct_receptor_complex_assembly	mixed mouse/human receptor-complex systems	module20b_exact_primary_packet_reused_for_module20a_adjudication	high	Primary structural and receptor-identification studies support IL-23 engagement of the IL23R_IL12RB1 receptor complex and distinguish it from IL12RB2-containing IL-12 recognition.	Direct IL-23 engagement of the IL12RB1_IL23R receptor complex.	The structural record uses mixed species and the original receptor-identification study uses human and mouse systems; exact species boundaries retained. High is limited to the exact LR or preserved receptor-complex claim; no SCI-context or downstream relay inference is made.
M20A-MEDHIGH002-EVID-0007	M20A-EXT-2138	il13 il13_il13ra1_il4ra	Il13 Il13_Il13ra1_Il4ra	primary_literature_recovery	PMID:12354755; DOI:10.1074/jbc.M209560200	direct_receptor_complex_assembly	human recombinant receptor ectodomains	module20b_exact_primary_packet_reused_for_module20a_adjudication	high	Primary kinetic study shows IL-13 binds IL-13Ralpha1 and recruits IL-4Ralpha to stabilize a high-affinity signaling complex.	Direct IL-13 engagement of the Il13_Il13ra1_Il4ra receptor-complex candidate.	Purified ectodomain system; IL-13Ralpha2 is a distinct decoy branch and no terminal TF or SCI function was tested. High is limited to the exact LR or preserved receptor-complex claim; no SCI-context or downstream relay inference is made.
M20A-MEDHIGH002-EVID-0008	M20A-EXT-2139	il13 il13ra1_il4ra	Il13 Il13ra1_Il4ra	primary_literature_recovery	PMID:18467124; DOI:10.1016/j.pep.2008.03.020; PMID:12354755; DOI:10.1074/jbc.M209560200	direct_receptor_complex_assembly	human recombinant receptor ectodomains	module20b_exact_primary_packet_reused_for_module20a_adjudication	high	Primary ectodomain studies show sequential IL-13 binding to IL-13Ralpha1 followed by IL-4Ralpha recruitment into the signaling receptor complex.	Direct IL-13 engagement of the Il13ra1_Il4ra receptor complex.	Recombinant ectodomain assays; IL-4Ralpha-alone binding was not detected and IL-13Ralpha2 was not merged into the signaling complex. High is limited to the exact LR or preserved receptor-complex claim; no SCI-context or downstream relay inference is made.
M20A-MEDHIGH002-EVID-0009	M20A-EXT-2143	il15 il15ra_il2rb_il2rg	Il15 Il15ra_Il2rb_Il2rg	primary_literature_recovery	PMID:8580082; DOI:10.1093/intimm/7.11.1839	direct_receptor_complex_assembly	mouse and human recombinant receptor ectodomains	module20b_exact_primary_packet_reused_for_module20a_adjudication	high	Primary SPR study supports IL-15 binding to heteromeric alpha/beta/gamma receptor assemblies and measures component-dependent assembly kinetics and stoichiometry.	Direct IL-15 engagement of the Il15ra_Il2rb_Il2rg receptor complex.	Purified ectodomain and mixed-species/hybrid receptor system; no terminal TF or SCI function. High is limited to the exact LR or preserved receptor-complex claim; no SCI-context or downstream relay inference is made.
M20A-MEDHIGH002-EVID-0010	M20A-EXT-2159	il17a_il17f il17ra_il17rc	Il17a_Il17f Il17ra_Il17rc	primary_literature_recovery	PMID:18684971; DOI:10.4049/jimmunol.181.4.2799; PMID:23695682; DOI:10.1038/ncomms2880	direct_receptor_complex_assembly	human recombinant and bronchial epithelial receptor systems	module20b_exact_primary_packet_reused_for_module20a_adjudication	high	Primary IL-17A/F study supports IL-17RA/IL-17RC-dependent heterodimer activity and receptor-component binding; structural IL-17A work supports the RA/RC receptor architecture.	Direct/complex IL-17A/F engagement of Il17ra_Il17rc.	Exact heterodimer study does not provide a single purified full-complex affinity; structural work also reports alternative IL-17RC-only assemblies. High is limited to the exact LR or preserved receptor-complex claim; no SCI-context or downstream relay inference is made.
