evidence_item_id	review_id	pair_key	pair_label	source_kind	source_locator	support_kind	species_support	source_scope	confidence_tier	citation_note	evidence_summary	limitations
M20A-CHILDSTRONG01-EVID-0001	M20A-CELLCHAT-REMAINING-0450	egf egfr	egf egfr	primary_literature	https://pubmed.ncbi.nlm.nih.gov/28988771/	child_adjudicated_exact_primary_support	human;recombinant EGFR systems	child_task_slices_exact_pair_review_batch001	high	The structural study directly compares EGF-bound EGFR dimers and shows ligand-dependent EGFR dimer stabilization and signaling kinetics.	The structural study directly compares EGF-bound EGFR dimers and shows ligand-dependent EGFR dimer stabilization and signaling kinetics.	EGFR dimer composition and ligand presentation affect stability and downstream kinetics. No SCI-specific context or intracellular relay inference is asserted by this batch.
M20A-CHILDSTRONG01-EVID-0002	M20A-CELLCHAT-REMAINING-0452	ereg egfr	ereg egfr	primary_literature	https://pubmed.ncbi.nlm.nih.gov/14572630/;https://pubmed.ncbi.nlm.nih.gov/28988771/	child_adjudicated_exact_primary_support	human;recombinant ErbB systems	child_task_slices_exact_pair_review_batch001	high	Epiregulin is directly identified as a ligand for ErbB1/EGFR and is structurally shown to stabilize EGFR dimers.	Epiregulin is directly identified as a ligand for ErbB1/EGFR and is structurally shown to stabilize EGFR dimers.	Epiregulin is released from a membrane precursor and produces ligand-specific dimer stability and partial-agonist behavior. No SCI-specific context or intracellular relay inference is asserted by this batch.
M20A-CHILDSTRONG01-EVID-0003	M20A-CELLCHAT-REMAINING-1250	hbegf egfr	hbegf egfr	primary_literature	https://pubmed.ncbi.nlm.nih.gov/9135143/;https://pubmed.ncbi.nlm.nih.gov/12621152/;https://pubmed.ncbi.nlm.nih.gov/26016774/	child_adjudicated_exact_primary_support	human;mouse;recombinant EGFR/ERBB systems	child_task_slices_exact_pair_review_batch001	high	HB-EGF binds and activates HER1/EGFR in binding, phosphorylation, chemotaxis, and receptor-dependent assays.	HB-EGF binds and activates HER1/EGFR in binding, phosphorylation, chemotaxis, and receptor-dependent assays.	HB-EGF is a membrane precursor that can be shed as a soluble ligand; ligand presentation and receptor abundance affect response. No SCI-specific context or intracellular relay inference is asserted by this batch.
M20A-CHILDSTRONG01-EVID-0004	M20A-CELLCHAT-REMAINING-1251	hbegf erbb4	hbegf erbb4	primary_literature	https://pubmed.ncbi.nlm.nih.gov/9135143/;https://pubmed.ncbi.nlm.nih.gov/12621152/;https://pubmed.ncbi.nlm.nih.gov/26016774/	child_adjudicated_exact_primary_support	human;mouse;recombinant HER4/ERBB4 systems	child_task_slices_exact_pair_review_batch001	high	HB-EGF directly binds HER4/ErbB4 and induces receptor phosphorylation and receptor-dependent chemotaxis.	HB-EGF directly binds HER4/ErbB4 and induces receptor phosphorylation and receptor-dependent chemotaxis.	HB-EGF is a membrane precursor/soluble cleaved ligand and HER4 signaling differs from EGFR mitogenic responses. No SCI-specific context or intracellular relay inference is asserted by this batch.
M20A-CHILDSTRONG01-EVID-0005	M20A-LIANA-REMAINING-0046	ccl5 ccr5	ccl5 ccr5	primary_literature	https://pubmed.ncbi.nlm.nih.gov/11700073/;https://pubmed.ncbi.nlm.nih.gov/9312096/	child_adjudicated_exact_primary_support	human;CCR5-mutant/transfected systems	child_task_slices_exact_pair_review_batch001	high	RANTES/CCL5 binds CCR5 and receptor mutagenesis maps engagement; signaling and HIV-coreceptor assays establish receptor-dependent function.	RANTES/CCL5 binds CCR5 and receptor mutagenesis maps engagement; signaling and HIV-coreceptor assays establish receptor-dependent function.	Chemokine receptor activation and coreceptor assays are context-dependent. No SCI-specific context or intracellular relay inference is asserted by this batch.
M20A-CHILDSTRONG01-EVID-0006	M20A-LIANA-REMAINING-0057	cxcl10 cxcr3	cxcl10 cxcr3	primary_literature	https://pubmed.ncbi.nlm.nih.gov/16847335/	child_adjudicated_exact_primary_support	human	child_task_slices_exact_pair_review_batch001	high	Primary CXCR3 ligand studies tested CXCL10 with receptor binding, mutagenesis, and receptor-dependent chemotactic/signaling assays.	Primary CXCR3 ligand studies tested CXCL10 with receptor binding, mutagenesis, and receptor-dependent chemotactic/signaling assays.	Chemokine processing and assay cell background can affect potency. No SCI-specific context or intracellular relay inference is asserted by this batch.
M20A-CHILDSTRONG01-EVID-0007	M20A-LIANA-REMAINING-0058	cxcl12 ackr3	cxcl12 ackr3	primary_literature	https://pubmed.ncbi.nlm.nih.gov/31506383/	child_adjudicated_exact_primary_support	human	child_task_slices_exact_pair_review_batch001	high	CXCL12 bound ACKR3/CXCR7 and supported receptor-dependent beta-arrestin/scavenging behavior.	CXCL12 bound ACKR3/CXCR7 and supported receptor-dependent beta-arrestin/scavenging behavior.	ACKR3 is atypical and does not signal like a canonical G-protein chemokine receptor. No SCI-specific context or intracellular relay inference is asserted by this batch.
M20A-CHILDSTRONG01-EVID-0008	M20A-LIANA-REMAINING-0059	cxcl12 cxcr4	cxcl12 cxcr4	primary_literature	https://pubmed.ncbi.nlm.nih.gov/19837984/;https://pubmed.ncbi.nlm.nih.gov/39093700/	child_adjudicated_exact_primary_support	human	child_task_slices_exact_pair_review_batch001	high	Structural and functional studies directly characterized CXCL12 binding to CXCR4 and receptor activation.	Structural and functional studies directly characterized CXCL12 binding to CXCR4 and receptor activation.	Chemokine oligomerization and receptor conformation influence the measured interaction. No SCI-specific context or intracellular relay inference is asserted by this batch.
M20A-CHILDSTRONG01-EVID-0009	M20A-LIANA-REMAINING-0080	efna2 epha4	efna2 epha4	primary_literature	https://pubmed.ncbi.nlm.nih.gov/19836338/;https://pubmed.ncbi.nlm.nih.gov/41516312/	child_adjudicated_exact_primary_support	human recombinant ectodomains	child_task_slices_exact_pair_review_batch001	high	Crystal structures of EPHA4 with ephrin-A2 and in-vitro binding data directly establish the EFNA2-EPHA4 interaction.	Crystal structures of EPHA4 with ephrin-A2 and in-vitro binding data directly establish the EFNA2-EPHA4 interaction.	Structural/recombinant evidence does not establish mouse or SCI-specific function; EphA4 can also bind B-class ephrins and requires membrane clustering for many signaling outputs. No SCI-specific context or intracellular relay inference is asserted by this batch.
M20A-CHILDSTRONG01-EVID-0010	M20A-LIANA-REMAINING-0093	efna5 epha4	efna5 epha4	primary_literature	https://pubmed.ncbi.nlm.nih.gov/23959867/;https://pubmed.ncbi.nlm.nih.gov/23812375/;https://pubmed.ncbi.nlm.nih.gov/41516312/	child_adjudicated_exact_primary_support	human recombinant ectodomains and cell assays	child_task_slices_exact_pair_review_batch001	high	EPHA4-ephrin-A5 complexes were resolved structurally, and clustered ephrin-A5 binding activates EPHA4 with cell-collapse/adhesion readouts.	EPHA4-ephrin-A5 complexes were resolved structurally, and clustered ephrin-A5 binding activates EPHA4 with cell-collapse/adhesion readouts.	EphA4 signaling is contact- and clustering-dependent; no mouse SCI-specific validation was shown. No SCI-specific context or intracellular relay inference is asserted by this batch.
