evidence_item_id	review_id	pair_key	pair_label	source_kind	source_locator	support_kind	species_support	source_scope	confidence_tier	citation_note	evidence_summary	limitations
M20A-NONDIRECTHIGH001-EVID-0001	M20A-CELLCHAT-REMAINING-1576	pgd2-ptgds ptgdr	PGD2-PTGDS Ptgdr	primary_literature_recovery	PMID:15765187; https://pubmed.ncbi.nlm.nih.gov/15765187/	validated_primary_receptor_proximal_assay	Human primary osteoblasts and human bone tissue	module20b_exact_primary_packet_reused_for_module20a_adjudication	high	PMID:15765187	PGD2 stimulation of the DP1/PTGDR receptor increased intracellular cAMP in human osteoblasts.	Primary osteoblast model and pharmacological agonist attribution; no purified PGD2-DP1 affinity or terminal TF is established. High is limited to the cited non-direct relay/function record; no binary binding or SCI-transfer inference is made.
M20A-NONDIRECTHIGH001-EVID-0002	M20A-CELLCHAT-REMAINING-1577	pgd2-ptgds ptgdr2	PGD2-PTGDS Ptgdr2	primary_literature_recovery	PMID:12466225; PMID:15765187; https://pubmed.ncbi.nlm.nih.gov/12466225/	validated_primary_receptor_proximal_assay	Human recombinant CRTH2/DP2 in HEK293 cells and primary osteoblasts	module20b_exact_primary_packet_reused_for_module20a_adjudication	high	PMID:12466225; PMID:15765187	PGD2 activated CRTH2/DP2 through Gi/o-coupled signaling and reduced cAMP in recombinant receptor assays; CRTH2 stimulation increased intracellular calcium in human osteoblasts.	Recombinant and primary-cell pharmacology; DP2/CRTH2 is distinct from DP1 and no terminal TF is established. High is limited to the cited non-direct relay/function record; no binary binding or SCI-transfer inference is made.
M20A-NONDIRECTHIGH001-EVID-0003	M20A-EXT-0022	amh amhr2_bmpr1a	Amh AMHR2_BMPR1A	primary_literature_recovery	PMID:24312319; PMCID:PMC3892417; https://pubmed.ncbi.nlm.nih.gov/24312319/	validated_primary_receptor_proximal_assay	Immature human granulosa cells and AMHR2/BMPR1A signaling systems	module20b_exact_primary_packet_reused_for_module20a_adjudication	high	PMID:24312319; PMCID:PMC3892417	AMH recruited BMPR1A downstream of AMHR2 in immature granulosa cells and activated SMAD1/5 signaling; BMPR1A was the principal type-I receptor in the tested cells.	Granulosa-cell model and receptor-complex recruitment evidence; no direct binary AMH-BMPR1A interaction is inferred. High is limited to the cited non-direct relay/function record; no binary binding or SCI-transfer inference is made.
M20A-NONDIRECTHIGH001-EVID-0004	M20A-EXT-0030	bmp15 bmpr1b_bmpr2	Bmp15 BMPR1B_BMPR2	primary_literature_recovery	PMID:22294741; DOI:10.1210/en.2010-1390; https://pubmed.ncbi.nlm.nih.gov/22294741/	validated_primary_receptor_proximal_assay	human BMP15; human COV434 granulosa tumor cells and COS cells	module20b_exact_primary_packet_reused_for_module20a_adjudication	high	PMID:22294741; DOI:10.1210/en.2010-1390	Covalent BMP15 dimer receptor binding to BMPR1B/BMPR2 in granulosa-cell and receptor-reconstitution systems was associated with activation of a Smad1/5/8 reporter branch.	The binding reagent was an engineered covalent BMP15 dimer because iodination otherwise impaired binding. Reporter activation is downstream of the receptor complex but does not identify a terminal TF or establish SCI transfer. High is limited to the cited non-direct relay/function record; no binary binding or SCI-transfer inference is made.
M20A-NONDIRECTHIGH001-EVID-0005	M20A-EXT-0090	fgf15 fgfr4	Fgf15 Fgfr4	primary_literature_recovery	PMID:36386580; DOI:10.2147/JIR.S387613; https://pubmed.ncbi.nlm.nih.gov/36386580/	validated_primary_receptor_proximal_assay	Mouse sepsis model; mouse hepatic NCTC 1469 and CD4 T-cell co-culture	module20b_exact_primary_packet_reused_for_module20a_adjudication	high	PMID:36386580; DOI:10.2147/JIR.S387613	Recombinant FGF15 reduced inflammatory and Treg-associated responses in septic mice and in vitro, with the effect lost after FGFR4 silencing in the co-culture system.	Receptor-silencing evidence is pathway/function attribution rather than purified binding; no complete intracellular relay or terminal TF is established. High is limited to the cited non-direct relay/function record; no binary binding or SCI-transfer inference is made.
M20A-NONDIRECTHIGH001-EVID-0006	M20A-EXT-0119	fgf6 fgfr1	Fgf6 Fgfr1	primary_literature_recovery	PMID:36650549; https://pubmed.ncbi.nlm.nih.gov/36650549/	validated_primary_receptor_proximal_assay	Primary rhesus microglia	module20b_exact_primary_packet_reused_for_module20a_adjudication	high	PMID:36650549	Recombinant FGF6 increased phospho-FGFR1 in primary rhesus microglia and its inflammatory output was reduced by FGFR1 inhibition.	Primary microglia and receptor-inhibitor context; no purified binding, complete intracellular relay, or terminal TF. High is limited to the cited non-direct relay/function record; no binary binding or SCI-transfer inference is made.
M20A-NONDIRECTHIGH001-EVID-0007	M20A-EXT-0808	apln aplnr	Apln Aplnr	primary_literature_recovery	PMID:27683264; DOI:10.1095/biolreprod.116.141754; https://pubmed.ncbi.nlm.nih.gov/27683264/	validated_primary_receptor_proximal_assay	Primary human luteinized granulosa cells	module20b_exact_primary_packet_reused_for_module20a_adjudication	high	PMID:27683264; DOI:10.1095/biolreprod.116.141754	Recombinant APLN-induced granulosa-cell steroidogenesis was reversed by an APLNR antagonist and involved AKT and MAPK3/1 pathway inhibition.	Primary ovarian model; pharmacological antagonist and pathway inhibitors do not establish purified binding or a terminal TF. High is limited to the cited non-direct relay/function record; no binary binding or SCI-transfer inference is made.
M20A-NONDIRECTHIGH001-EVID-0008	M20A-EXT-1375	crh crhr1	Crh Crhr1	primary_literature_recovery	PMID:12485415; https://pubmed.ncbi.nlm.nih.gov/12485415/	validated_primary_receptor_proximal_assay	Rat cultured microglia	module20b_exact_primary_packet_reused_for_module20a_adjudication	high	PMID:12485415	CRH stimulation of cultured rat microglia caused rapid ERK and p38 phosphorylation; CRH antagonist and MEK/p38 inhibitors attenuated the response, supporting a CRHR1-associated MAPK relay.	The receptor attribution uses an antagonist rather than a purified CRH-CRHR1 binding assay; cultured rat microglia are not an SCI receiver model. High is limited to the cited non-direct relay/function record; no binary binding or SCI-transfer inference is made.
M20A-NONDIRECTHIGH001-EVID-0009	M20A-EXT-1376	crh crhr2	Crh Crhr2	primary_literature_recovery	PMID:18048641; https://pubmed.ncbi.nlm.nih.gov/18048641/	validated_primary_receptor_proximal_assay	HEK293 cells expressing recombinant human CRHR2β	module20b_exact_primary_packet_reused_for_module20a_adjudication	high	PMID:18048641	CRH activated recombinant CRHR2β-associated adenylyl cyclase, beta-arrestin recruitment/endocytosis, and transient ERK1/2 and p38 MAPK signaling.	Heterologous CRHR2β overexpression; the study addresses receptor signaling and desensitization rather than an SCI cell or a terminal TF. High is limited to the cited non-direct relay/function record; no binary binding or SCI-transfer inference is made.
M20A-NONDIRECTHIGH001-EVID-0010	M20A-EXT-1496	edn1 ednra	Edn1 Ednra	primary_literature_recovery	PMID:32133772; https://pubmed.ncbi.nlm.nih.gov/32133772/	validated_primary_receptor_proximal_assay	Human EDNRA variant and transfected HEK293T/MC3T3-E1 cells	module20b_exact_primary_packet_reused_for_module20a_adjudication	high	PMID:32133772	EDN1 activated wild-type EDNRA with G-protein recruitment in BRET assays; the pathogenic EDNRA variant lost ligand-induced G-protein recruitment and receptor signaling.	The disease study focuses on a receptor variant and craniofacial signaling; it does not provide a purified EDN1-EDNRA affinity measurement or SCI context. High is limited to the cited non-direct relay/function record; no binary binding or SCI-transfer inference is made.
