review_id	pair_key	pair_label_canonical	review_status	confidence_decision	mouse_confidence	mouse_confidence_rank	human_confidence	human_confidence_rank	human_evidence_present	receptor_state	receptor_role	directness	species_posture	decision_basis	evidence_register_ids	next_action
M20A-EXT-2953	rspo1 lgr4	Rspo1 Lgr4	reviewed	high	high	3	high	3	yes	membrane_bound_or_receptor_complex_context	noncanonical_or_receptor_associated_molecular_role	exact_primary_direct_molecular_or_preserved_complex	species_scoped_to_exact_primary_packet; no_unlisted_species_inference	Exact pair-specific primary direct-molecular evidence was validated at high tier in Module 20B. High applies only to the tested molecular interaction or explicitly preserved receptor-associated complex; noncanonical receptor, effector, adhesion, ligand-form, isoform, species, assay, and non-SCI limitations remain explicit. No canonical-receptor, relay, TF/program, cellular-output, or SCI context is inferred. Source packet: M20B-EVID-004728-P2-DIRECT.	M20A-MEDHIGH005-EVID-0001	retain_high_direct_molecular_evidence; preserve_noncanonical_role; keep_relay_and_SCI_fields_separate
M20A-EXT-2954	rspo1 lgr5	Rspo1 Lgr5	reviewed	high	high	3	high	3	yes	membrane_bound_or_receptor_complex_context	noncanonical_or_receptor_associated_molecular_role	exact_primary_direct_molecular_or_preserved_complex	species_scoped_to_exact_primary_packet; no_unlisted_species_inference	Exact pair-specific primary direct-molecular evidence was validated at high tier in Module 20B. High applies only to the tested molecular interaction or explicitly preserved receptor-associated complex; noncanonical receptor, effector, adhesion, ligand-form, isoform, species, assay, and non-SCI limitations remain explicit. No canonical-receptor, relay, TF/program, cellular-output, or SCI context is inferred. Source packet: M20B-EVID-004729-P2-DIRECT.	M20A-MEDHIGH005-EVID-0002	retain_high_direct_molecular_evidence; preserve_noncanonical_role; keep_relay_and_SCI_fields_separate
M20A-EXT-2955	rspo1 lgr6	Rspo1 Lgr6	reviewed	high	high	3	high	3	yes	membrane_bound_or_receptor_complex_context	noncanonical_or_receptor_associated_molecular_role	exact_primary_direct_molecular_or_preserved_complex	species_scoped_to_exact_primary_packet; no_unlisted_species_inference	Exact pair-specific primary direct-molecular evidence was validated at high tier in Module 20B. High applies only to the tested molecular interaction or explicitly preserved receptor-associated complex; noncanonical receptor, effector, adhesion, ligand-form, isoform, species, assay, and non-SCI limitations remain explicit. No canonical-receptor, relay, TF/program, cellular-output, or SCI context is inferred. Source packet: M20B-EVID-004730-P2-DIRECT.	M20A-MEDHIGH005-EVID-0003	retain_high_direct_molecular_evidence; preserve_noncanonical_role; keep_relay_and_SCI_fields_separate
M20A-EXT-2957	rspo1 rnf43	Rspo1 Rnf43	reviewed	high	high	3	high	3	yes	membrane_bound_or_receptor_complex_context	noncanonical_or_receptor_associated_molecular_role	exact_primary_direct_molecular_or_preserved_complex	species_scoped_to_exact_primary_packet; no_unlisted_species_inference	Exact pair-specific primary direct-molecular evidence was validated at high tier in Module 20B. High applies only to the tested molecular interaction or explicitly preserved receptor-associated complex; noncanonical receptor, effector, adhesion, ligand-form, isoform, species, assay, and non-SCI limitations remain explicit. No canonical-receptor, relay, TF/program, cellular-output, or SCI context is inferred. Source packet: M20B-EVID-004732-P2-DIRECT.	M20A-MEDHIGH005-EVID-0004	retain_high_direct_molecular_evidence; preserve_noncanonical_role; keep_relay_and_SCI_fields_separate
M20A-EXT-2958	rspo1 znrf3	Rspo1 Znrf3	reviewed	high	high	3	high	3	yes	membrane_bound_or_receptor_complex_context	noncanonical_or_receptor_associated_molecular_role	exact_primary_direct_molecular_or_preserved_complex	species_scoped_to_exact_primary_packet; no_unlisted_species_inference	Exact pair-specific primary direct-molecular evidence was validated at high tier in Module 20B. High applies only to the tested molecular interaction or explicitly preserved receptor-associated complex; noncanonical receptor, effector, adhesion, ligand-form, isoform, species, assay, and non-SCI limitations remain explicit. No canonical-receptor, relay, TF/program, cellular-output, or SCI context is inferred. Source packet: M20B-EVID-004733-P2-DIRECT.	M20A-MEDHIGH005-EVID-0005	retain_high_direct_molecular_evidence; preserve_noncanonical_role; keep_relay_and_SCI_fields_separate
M20A-EXT-2960	rspo2 lgr5	Rspo2 Lgr5	reviewed	high	high	3	high	3	yes	membrane_bound_or_receptor_complex_context	noncanonical_or_receptor_associated_molecular_role	exact_primary_direct_molecular_or_preserved_complex	species_scoped_to_exact_primary_packet; no_unlisted_species_inference	Exact pair-specific primary direct-molecular evidence was validated at high tier in Module 20B. High applies only to the tested molecular interaction or explicitly preserved receptor-associated complex; noncanonical receptor, effector, adhesion, ligand-form, isoform, species, assay, and non-SCI limitations remain explicit. No canonical-receptor, relay, TF/program, cellular-output, or SCI context is inferred. Source packet: M20B-EVID-004735-P2-DIRECT.	M20A-MEDHIGH005-EVID-0006	retain_high_direct_molecular_evidence; preserve_noncanonical_role; keep_relay_and_SCI_fields_separate
M20A-EXT-2961	rspo2 lgr6	Rspo2 Lgr6	reviewed	high	high	3	high	3	yes	membrane_bound_or_receptor_complex_context	noncanonical_or_receptor_associated_molecular_role	exact_primary_direct_molecular_or_preserved_complex	species_scoped_to_exact_primary_packet; no_unlisted_species_inference	Exact pair-specific primary direct-molecular evidence was validated at high tier in Module 20B. High applies only to the tested molecular interaction or explicitly preserved receptor-associated complex; noncanonical receptor, effector, adhesion, ligand-form, isoform, species, assay, and non-SCI limitations remain explicit. No canonical-receptor, relay, TF/program, cellular-output, or SCI context is inferred. Source packet: M20B-EVID-004736-P2-DIRECT.	M20A-MEDHIGH005-EVID-0007	retain_high_direct_molecular_evidence; preserve_noncanonical_role; keep_relay_and_SCI_fields_separate
M20A-EXT-2962	rspo2 rnf43	Rspo2 Rnf43	reviewed	high	high	3	high	3	yes	membrane_bound_or_receptor_complex_context	noncanonical_or_receptor_associated_molecular_role	exact_primary_direct_molecular_or_preserved_complex	species_scoped_to_exact_primary_packet; no_unlisted_species_inference	Exact pair-specific primary direct-molecular evidence was validated at high tier in Module 20B. High applies only to the tested molecular interaction or explicitly preserved receptor-associated complex; noncanonical receptor, effector, adhesion, ligand-form, isoform, species, assay, and non-SCI limitations remain explicit. No canonical-receptor, relay, TF/program, cellular-output, or SCI context is inferred. Source packet: M20B-EVID-004737-P2-DIRECT.	M20A-MEDHIGH005-EVID-0008	retain_high_direct_molecular_evidence; preserve_noncanonical_role; keep_relay_and_SCI_fields_separate
M20A-EXT-2963	rspo2 znrf3	Rspo2 Znrf3	reviewed	high	high	3	high	3	yes	membrane_bound_or_receptor_complex_context	noncanonical_or_receptor_associated_molecular_role	exact_primary_direct_molecular_or_preserved_complex	species_scoped_to_exact_primary_packet; no_unlisted_species_inference	Exact pair-specific primary direct-molecular evidence was validated at high tier in Module 20B. High applies only to the tested molecular interaction or explicitly preserved receptor-associated complex; noncanonical receptor, effector, adhesion, ligand-form, isoform, species, assay, and non-SCI limitations remain explicit. No canonical-receptor, relay, TF/program, cellular-output, or SCI context is inferred. Source packet: M20B-EVID-004738-P2-DIRECT.	M20A-MEDHIGH005-EVID-0009	retain_high_direct_molecular_evidence; preserve_noncanonical_role; keep_relay_and_SCI_fields_separate
M20A-EXT-2964	rspo3 lgr4	Rspo3 Lgr4	reviewed	high	high	3	high	3	yes	membrane_bound_or_receptor_complex_context	noncanonical_or_receptor_associated_molecular_role	exact_primary_direct_molecular_or_preserved_complex	species_scoped_to_exact_primary_packet; no_unlisted_species_inference	Exact pair-specific primary direct-molecular evidence was validated at high tier in Module 20B. High applies only to the tested molecular interaction or explicitly preserved receptor-associated complex; noncanonical receptor, effector, adhesion, ligand-form, isoform, species, assay, and non-SCI limitations remain explicit. No canonical-receptor, relay, TF/program, cellular-output, or SCI context is inferred. Source packet: M20B-EVID-004739-P2-DIRECT.	M20A-MEDHIGH005-EVID-0010	retain_high_direct_molecular_evidence; preserve_noncanonical_role; keep_relay_and_SCI_fields_separate
