evidence_item_id	review_id	pair_key	pair_label	source_kind	source_locator	support_kind	species_support	source_scope	confidence_tier	citation_note	evidence_summary	limitations
M20A-LOWDIRECTHIGH013-EVID-0001	M20A-EXT-2423	ltf ager	Ltf Ager	primary_literature_recovery	PMID:8144581; PMID:8144582; PMID:8387541; data/raw/evidence/module20_24_supervised_cli_phase2/retry_A20B_LTF_AGER_primary_records.xml	direct_receptor_binding_or_complex_association	human lactoferrin; human and bovine endothelial comparator systems	module20b_exact_primary_packet_reused_for_module20a_adjudication	high	Radiolabeled lactoferrin ligand blotting, solid-state competition, receptor binding, and chemical cross-linking assays	Radiolabeled lactoferrin bound RAGE in ligand-blot and solid-state competition assays with a high-affinity component, and chemical cross-linking produced an LTF/RAGE complex; the binding site included a carboxyl-terminal lactoferrin region.	RAGE occurs within a larger AGE-binding complex with a lactoferrin-like polypeptide. The biochemical association does not establish free lactoferrin as a canonical inflammatory agonist or define a unique downstream LTF/RAGE pathway. High is limited to the tested direct, processing, or preserved complex interaction; no downstream or SCI inference is made.
M20A-LOWDIRECTHIGH013-EVID-0002	M20A-EXT-2442	mbl2 lrp1	Mbl2 Lrp1	primary_literature_recovery	PMID:21054788; PMID:35381393; data/raw/evidence/module20_24_supervised_cli_phase2/retry_A20B_MBL2_LRP1_exact_search.json; data/raw/evidence/module20_24_supervised_cli_phase2/retry_A20B_MBL2_exact_primary_records.xml	direct_receptor_complex_binding	human; mouse	module20b_exact_primary_packet_reused_for_module20a_adjudication	high	PMID:21054788; PMID:35381393	MBL binds CD91/LRP1 directly in concentration- and time-dependent assays and interacts with calreticulin associated with LRP1 on hepatic stellate cells.	CD91/LRP1 and calreticulin form a receptor-complex context; isolated LRP1 versus calreticulin contribution is model-dependent. High is limited to the tested direct, processing, or preserved complex interaction; no downstream or SCI inference is made.
M20A-LOWDIRECTHIGH013-EVID-0003	M20A-EXT-2445	mdk itga4_itgb1	Mdk ITGA4_ITGB1	primary_literature_recovery	PMID:15466886; data/raw/evidence/module20_24_supervised_cli_phase2/retry_A20B_MDK_ITGA4_exact_search.json; data/raw/evidence/module20_24_supervised_cli_phase2/retry_A20B_MDK_selected_primary_records.xml	direct_integrin_complex_binding	mouse	module20b_exact_primary_packet_reused_for_module20a_adjudication	high	PMID:15466886	Purified alpha4beta1 binds midkine; beta1 is recovered from midkine-binding proteins.	Receptor-complex evidence; isolated beta1 binding not claimed. High is limited to the tested direct, processing, or preserved complex interaction; no downstream or SCI inference is made.
M20A-LOWDIRECTHIGH013-EVID-0004	M20A-EXT-2446	mdk itga6_itgb1	Mdk ITGA6_ITGB1	primary_literature_recovery	PMID:15466886; data/raw/evidence/module20_24_supervised_cli_phase2/retry_A20B_MDK_ITGA6_exact_search.json; data/raw/evidence/module20_24_supervised_cli_phase2/retry_A20B_MDK_selected_primary_records.xml	direct_integrin_complex_binding	mouse	module20b_exact_primary_packet_reused_for_module20a_adjudication	high	PMID:15466886	Purified alpha6beta1 binds midkine; alpha6 is the alpha subunit capable of binding in the tested system.	Receptor-complex evidence; isolated beta1 binding not claimed. High is limited to the tested direct, processing, or preserved complex interaction; no downstream or SCI inference is made.
M20A-LOWDIRECTHIGH013-EVID-0005	M20A-EXT-2454	mdk sdc3	Mdk Sdc3	primary_literature_recovery	PMID:9089390; PMID:12084985; data/raw/evidence/module20_24_supervised_cli_phase2/retry_A20B_MDK_SDC3_boundary_search.json; data/raw/evidence/module20_24_supervised_cli_phase2/retry_A20B_MDK_LRP2_SDC3_TSPAN1_primary_records.xml	direct_glycosaminoglycan_proteoglycan_binding	rat; mouse	module20b_exact_primary_packet_reused_for_module20a_adjudication	high	PMID:9089390; PMID:12084985	Midkine binds syndecan-3-associated glycosaminoglycan chains in isolated and cell-surface assays.	No unique core-protein interface or intracellular relay. High is limited to the tested direct, processing, or preserved complex interaction; no downstream or SCI inference is made.
M20A-LOWDIRECTHIGH013-EVID-0006	M20A-EXT-2457	mdk tspan1	Mdk Tspan1	primary_literature_recovery	PMID:18851943; data/raw/evidence/module20_24_supervised_cli_phase2/retry_A20B_MDK_TSPAN1_boundary_search.json; data/raw/evidence/module20_24_supervised_cli_phase2/retry_A20B_MDK_LRP2_SDC3_TSPAN1_primary_records.xml	direct_tetraspanin_integrin_complex_association	human	module20b_exact_primary_packet_reused_for_module20a_adjudication	high	PMID:18851943	MDK interacts with TSPAN1 and organizes association with alpha6beta1 integrin proteins.	Cell-based interaction; TSPAN1 may be an organizer rather than stand-alone receptor. High is limited to the tested direct, processing, or preserved complex interaction; no downstream or SCI inference is made.
M20A-LOWDIRECTHIGH013-EVID-0007	M20A-EXT-2475	mmp12 plaur	Mmp12 Plaur	primary_literature_recovery	PMID:11342439; PMID:12195704; data/raw/evidence/module20_24_supervised_cli_phase2/retry_A20B_MMP12_PLAUR_exact_search.json; data/raw/evidence/module20_24_supervised_cli_phase2/retry_A20B_MMP12_MMP13_selected_primary_records.xml	direct_MMP12_uPAR_PLAUR_proteolytic_processing	human; mouse	module20b_exact_primary_packet_reused_for_module20a_adjudication	high	PMID:11342439; PMID:12195704	MMP-12 directly cleaves uPAR/PLAUR in the D1-D2 linker and releases the principal uPA-binding domain.	Proteolytic processing, not conventional ligand binding or agonism. High is limited to the tested direct, processing, or preserved complex interaction; no downstream or SCI inference is made.
M20A-LOWDIRECTHIGH013-EVID-0008	M20A-EXT-2480	mmp2 fgfr1	Mmp2 Fgfr1	primary_literature_recovery	PMID:8692946; data/raw/evidence/module20_24_supervised_cli_phase2/retry_A20B_MMP2_FGFR1_exact_search.json; data/raw/evidence/module20_24_supervised_cli_phase2/retry_A20B_MMP2_selected_primary_records.xml	direct_MMP2_FGFR1_ectodomain_cleavage	human; hamster	module20b_exact_primary_packet_reused_for_module20a_adjudication	high	PMID:8692946	MMP2 cleaves FGFR1 ectodomain and releases soluble FGFR1.	Proteolytic receptor shedding, not conventional receptor agonism. High is limited to the tested direct, processing, or preserved complex interaction; no downstream or SCI inference is made.
M20A-LOWDIRECTHIGH013-EVID-0009	M20A-EXT-2482	mmp7 cd151	Mmp7 Cd151	primary_literature_recovery	PMID:16200075; PMID:17009258; data/raw/evidence/module20_24_supervised_cli_phase2/retry_A20B_MMP7_CD151_exact_search.json; data/raw/evidence/module20_24_supervised_cli_phase2/retry_A20B_MMP7_selected_primary_records.xml	direct_proMMP7_CD151_capture	human	module20b_exact_primary_packet_reused_for_module20a_adjudication	high	PMID:16200075; PMID:17009258	ProMMP7 interacts with CD151 and is captured/activated at CD151-positive cell membranes.	Protease-activation scaffold rather than conventional agonist receptor. High is limited to the tested direct, processing, or preserved complex interaction; no downstream or SCI inference is made.
M20A-LOWDIRECTHIGH013-EVID-0010	M20A-EXT-2483	mmp7 cd44	Mmp7 Cd44	primary_literature_recovery	PMID:11825873; data/raw/evidence/module20_24_supervised_cli_phase2/retry_A20B_MMP7_CD44_exact_search.json; data/raw/evidence/module20_24_supervised_cli_phase2/retry_A20B_MMP7_selected_primary_records.xml	direct_MMP7_CD44HSPG_surface_complex	human; mouse	module20b_exact_primary_packet_reused_for_module20a_adjudication	high	PMID:11825873	CD44HSPG recruits active MMP7 to a surface complex with pro-HB-EGF and ErbB4.	Complex/scaffold association rather than isolated CD44 affinity. High is limited to the tested direct, processing, or preserved complex interaction; no downstream or SCI inference is made.
