expansion_id	source_queue_id	path_expression	route_tier	known_layers	missing_layers	intracellular_status	ligand_node_id	ligand_label	ligand_receptor_edge_id	receptor_node_id	receptor_label	receptor_intracellular_edge_id	intracellular_continuation_node_id	intracellular_continuation_label	transcription_factor_node_id	transcription_factor_label	target_gene_node_id	target_gene_label	intracellular_tf_edge_id	tf_target_edge_id	target_output_form_id	output_node_id	output_label	output_form_id	bridge_id	pathway_name	input_evidence_type	output_evidence_type	evidence_ids	source_evidence_record_id	route_linkage_status	causal_status	traversal_status	source_chain_id	route_status	evidence_contract_version	evidence_polarity	negative_evidence_status	evidence_directness	output_class	species_context	cell_type_context	compartment_context	injury_context	context_scope	assay_or_perturbation	effect_polarity	source_scope	primary_locator	citation_note	evidence_summary	limitations	curation_status	route_evidence_id
M21B-LITEXP-0775	M21B-DOWNSTREAM:00839	ligand>receptor>intracellular>????>output	ligand_receptor_intracellular_output_missing_tf	ligand|receptor|intracellular_continuation|output	transcription_factor|target_gene_expression	source_supported	NODE08953	Phosphatidylserine/PtdSer	M21B-E000905	NODE01852	CD300B/LMIR5	M21B-E001933	NODE02768	DAP12/TYROBP									PtdSer-CD300B-DAP12-associated PI3K-Akt, efferocytosis and myeloid functional output			PtdSer-CD300B-DAP12-efferocytosis	primary_literature_route_expansion	composite_primary_receptor_adaptor_route_output	M21B-E000905;M21B-EVID-000848;M21B-E001933;M21B-EVID-001876;M21B-DOWNSTREAM-EVID:001389;PMID:25034781;PMCID:PMC4211373	M21B-DOWNSTREAM-EVID:001389	literature_expansion:primary_route_annotation	not_asserted	evidence_route_not_causal	M21B-LITEXP-0775	retained_evidence_route	mechanism_evidence_v1	supports	not_evaluated	composite_source_claim	phosphorylation_or_activation_readout	mouse	Mouse myeloid cells, apoptotic thymocytes and CD300b-expressing L929/BaF3 systems; PtdSer binding, DAP12 association and ITAM-dependent PI3K-Akt/efferocytosis assays	Extracellular externalized PtdSer engagement of CD300B with DAP12-associated receptor-proximal output	No SCI transfer inferred; primary model context only	Primary evidence supports PtdSer-CD300B input and DAP12-associated output in apoptotic-cell/myeloid models; no terminal TF is assigned.	CD300b-Fc/PtdSer binding, co-immunoprecipitation, DAP12-ITAM perturbation, PI3K-Akt and efferocytosis assays	activating	composite_primary_evidence	PMID:25034781; PMCID:PMC4211373	Primary CD300b-PtdSer recognition and DAP12/PI3K-Akt efferocytosis study	Primary evidence supports externalized PtdSer recognition by CD300B, CD300B-DAP12 association, DAP12-ITAM dependence, PI3K-Akt activation and apoptotic-cell engulfment; the DAP12 continuation is retained without assigning a terminal TF.	Preserve mouse CD300B/LMIR5, externalized PtdSer and apoptotic-cell context; distinguish this route from TIM1/TIM4 and do not infer SCI or terminal-TF output.	curated_primary_route	LITEXP:000775
M21B-LITEXP-0776	M21B-DOWNSTREAM:00831	ligand>receptor>intracellular>????>output	ligand_receptor_intracellular_output_missing_tf	ligand|receptor|intracellular_continuation|output	transcription_factor|target_gene_expression	source_supported	NODE03414	Extracellular HSP70/HSPA1A	M21B-E002990	NODE10288	SIGLEC14	M21B-E001924	NODE02768	DAP12/TYROBP									HSP70-SIGLEC14-DAP12-associated inflammatory IL-8/TNF output			HSP70-SIGLEC14-DAP12-paired-receptor-immunomodulation	primary_literature_route_expansion	composite_primary_receptor_adaptor_route_output	M21B-E002990;M21B-EVID-002933;M21B-E001924;M21B-EVID-001867;M21B-DOWNSTREAM-EVID:001372;PMID:26459514;PMCID:PMC4682649;PMID:17012248	M21B-DOWNSTREAM-EVID:001372	literature_expansion:primary_route_annotation	not_asserted	evidence_route_not_causal	M21B-LITEXP-0776	retained_evidence_route	mechanism_evidence_v1	supports	not_evaluated	composite_source_claim	gene_expression_or_transcription	human	Human Siglec-5/14-Fc and THP-1/primary monocyte systems; HSP70 affinity/competition, receptor-specific inflammatory readouts and DAP12 co-association	Extracellular HSP70 engagement of human SIGLEC14 with paired-receptor DAP12 continuation	No SCI transfer inferred; primary model context only	The HSP70-SIGLEC14 input and SIGLEC14-DAP12 association are separately supported composite layers; preserve paired SIGLEC5/14 semantics and do not infer a universal glycan or SCI route.	Siglec-Fc binding/competition, THP-1/monocyte receptor-specific IL-8/TNF assays and DAP12 co-association	activating	composite_primary_evidence	PMID:26459514; PMCID:PMC4682649; PMID:17012248	Primary HSP70-SIGLEC14 paired-receptor and SIGLEC14-DAP12 evidence	Primary studies support extracellular HSP70 interaction with SIGLEC14 in human paired-receptor systems and inflammatory IL-8/TNF readouts; the independently supported SIGLEC14-DAP12 association is retained as the receptor-proximal continuation.	Preserve human/primate SIGLEC14 versus inhibitory SIGLEC5 semantics and the HSP70 assay context; do not infer a specific physiological glycan ligand, universal activation, SCI branch or terminal-TF effect.	curated_primary_route	LITEXP:000776
M21B-LITEXP-0777	M21B-DOWNSTREAM:00831	ligand>receptor>intracellular>????>output	ligand_receptor_intracellular_output_missing_tf	ligand|receptor|intracellular_continuation|output	transcription_factor|target_gene_expression	source_supported	NODE01569	Cardiolipin	M21B-E002992	NODE10288	SIGLEC14	M21B-E001924	NODE02768	DAP12/TYROBP									Cardiolipin-SIGLEC14-DAP12-associated IL-8 inflammatory output			Cardiolipin-SIGLEC14-DAP12-lipophilic-ligand-immunomodulation	primary_literature_route_expansion	composite_primary_receptor_adaptor_route_output	M21B-E002992;M21B-EVID-002935;M21B-E001924;M21B-EVID-001867;M21B-DOWNSTREAM-EVID:001372;PMID:31551352;PMCID:PMC6851322;PMID:17012248	M21B-DOWNSTREAM-EVID:001372	literature_expansion:primary_route_annotation	not_asserted	evidence_route_not_causal	M21B-LITEXP-0777	retained_evidence_route	mechanism_evidence_v1	supports	not_evaluated	composite_source_claim	gene_expression_or_transcription	human	Human SIGLEC14 reporter and monocytic systems; cardiolipin-coated reporter assays, paired-receptor comparison, SIGLEC14 expression and IL-8 induction	Extracellular cardiolipin engagement of human SIGLEC14 with paired-receptor DAP12 continuation	No SCI transfer inferred; primary model context only	The cardiolipin-SIGLEC14 input and SIGLEC14-DAP12 association are retained as separate primary-supported layers; route output remains bounded to the tested reporter/monocytic context.	Cardiolipin-coated reporter assays, paired SIGLEC5/14 comparison and IL-8 induction	activating	composite_primary_evidence	PMID:31551352; PMCID:PMC6851322; PMID:17012248	Primary cardiolipin-SIGLEC14 and SIGLEC14-DAP12 evidence	Primary evidence supports cardiolipin interaction with SIGLEC14 in human reporter/monocytic systems and an IL-8 readout; the validated SIGLEC14-DAP12 paired-receptor association is retained as an intracellular continuation without assigning a terminal TF.	Preserve human SIGLEC14 paired-receptor, lipid-presentation and reporter-cell context; do not infer a universal cardiolipin ligand mechanism, SCI branch or terminal-TF effect.	curated_primary_route	LITEXP:000777
M21B-LITEXP-0778	M21B-DOWNSTREAM:00831	ligand>receptor>intracellular>????>output	ligand_receptor_intracellular_output_missing_tf	ligand|receptor|intracellular_continuation|output	transcription_factor|target_gene_expression	source_supported	NODE11722	Vimentin	M21B-E002993	NODE10288	SIGLEC14	M21B-E001924	NODE02768	DAP12/TYROBP									Vimentin-SIGLEC14-DAP12-associated p38/AKT and NLRP3-IL-1β output			Vimentin-SIGLEC14-DAP12-NLRP3-inflammasome	primary_literature_route_expansion	composite_primary_receptor_adaptor_route_output	M21B-E002993;M21B-EVID-002936;M21B-E001924;M21B-EVID-001867;M21B-DOWNSTREAM-EVID:001372;PMID:31805552;PMCID:PMC7383293;PMID:17012248	M21B-DOWNSTREAM-EVID:001372	literature_expansion:primary_route_annotation	not_asserted	evidence_route_not_causal	M21B-LITEXP-0778	retained_evidence_route	mechanism_evidence_v1	supports	not_evaluated	composite_source_claim	phosphorylation_or_activation_readout	human	Human THP-1 macrophages expressing SIGLEC14 or SIGLEC5; recombinant vimentin/Siglec-Fc binding, co-immunoprecipitation, p38/AKT and NLRP3-dependent IL-1β secretion assays	Extracellular vimentin engagement of human SIGLEC14 with paired-receptor DAP12 continuation	No SCI transfer inferred; primary model context only	The vimentin-SIGLEC14 binding/functional layer and SIGLEC14-DAP12 association are combined only as bounded evidence for plausibility; no terminal TF is assigned.	Recombinant vimentin/Siglec-Fc binding, co-immunoprecipitation, p38/AKT readouts and NLRP3/IL-1β perturbation	activating	composite_primary_evidence	PMID:31805552; PMCID:PMC7383293; PMID:17012248	Primary vimentin-SIGLEC14 inflammatory signaling and SIGLEC14-DAP12 evidence	Primary studies support vimentin interaction with SIGLEC14 and p38/AKT plus NLRP3-dependent IL-1β output in human THP-1 macrophage models; the validated SIGLEC14-DAP12 association is retained as receptor-proximal continuation.	Preserve human THP-1 macrophage, recombinant-vimentin and paired SIGLEC5/14 context; do not infer universal vimentin signaling, SCI transfer or terminal-TF output.	curated_primary_route	LITEXP:000778
M21B-LITEXP-0779	M21B-DOWNSTREAM:00834	ligand>receptor>intracellular>????>output	ligand_receptor_intracellular_output_missing_tf	ligand|receptor|intracellular_continuation|output	transcription_factor|target_gene_expression	source_supported	NODE01906	CD44/sialylated glycoprotein glycoform	M21B-E002851	NODE10289	SIGLEC15	M21B-E001927	NODE02768	DAP12/TYROBP									CD44 glycoform-SIGLEC15-DAP12-associated Akt and osteoclast-fusion output			CD44-SIGLEC15-DAP12-osteoclast-glycoimmune-edge	primary_literature_route_expansion	composite_primary_receptor_adaptor_route_output	M21B-E002851;M21B-EVID-002794;M21B-E001927;M21B-EVID-001870;M21B-DOWNSTREAM-EVID:001379;PMID:28899088;DOI:10.1021/acs.jproteome.7b00625;PMID:24446437;PMCID:PMC3945315	M21B-DOWNSTREAM-EVID:001379	literature_expansion:primary_route_annotation	not_asserted	evidence_route_not_causal	M21B-LITEXP-0779	retained_evidence_route	mechanism_evidence_v1	supports	not_evaluated	composite_source_claim	phosphorylation_or_activation_readout	mouse	Mouse RAW264.7-derived osteoclast precursors; CD44 identification/knockdown, Siglec15 binding, osteoclast-fusion assays and separate clustered-Siglec15/DAP12 Akt evidence	Sialylated CD44 glycoform engagement of SIGLEC15 with DAP12-associated receptor-proximal output	No SCI transfer inferred; primary model context only	CD44 glycoform-SIGLEC15 binding and clustered SIGLEC15-DAP12 signaling are retained as composite, model-bounded evidence; ligand-induced signaling and terminal TF remain unassigned.	Proximity labeling, CD44 knockdown, Siglec15 binding, osteoclast-fusion assays and clustered-receptor Akt readout	unknown	composite_primary_evidence	PMID:28899088; DOI:10.1021/acs.jproteome.7b00625; PMID:24446437; PMCID:PMC3945315	Primary CD44 glycoform-SIGLEC15 interaction and SIGLEC15-DAP12/Akt evidence	Primary evidence identifies a sialylated CD44 glycoform associated with SIGLEC15 in mouse osteoclast precursors; separate primary evidence supports clustered SIGLEC15-DAP12 interaction and Akt/osteoclast output, retained here as a non-causal composite route.	Preserve mouse RAW264.7 osteoclast-precursor, glycoform and receptor-clustering context; do not treat CD44 binding as proof of ligand-induced DAP12 signaling, and do not infer SCI or terminal-TF output.	curated_primary_route	LITEXP:000779
M21B-LITEXP-0780	M21B-DOWNSTREAM:00834	ligand>receptor>intracellular>????>output	ligand_receptor_intracellular_output_missing_tf	ligand|receptor|intracellular_continuation|output	transcription_factor|target_gene_expression	source_supported	NODE05852	ITGAM/CD11b-CD18 sialylated glycoform	M21B-E002852	NODE10289	SIGLEC15	M21B-E001927	NODE02768	DAP12/TYROBP									CD11b-CD18 glycoform-SIGLEC15-DAP12-associated Akt and immune-cell functional output			CD11b-SIGLEC15-DAP12-glycoimmune-edge	primary_literature_route_expansion	composite_primary_receptor_adaptor_route_output	M21B-E002852;M21B-EVID-002795;M21B-E001927;M21B-EVID-001870;M21B-DOWNSTREAM-EVID:001379;PMID:37311743;PMCID:PMC10264397;DOI:10.1038/s41467-023-39119-8;PMID:24446437;PMCID:PMC3945315	M21B-DOWNSTREAM-EVID:001379	literature_expansion:primary_route_annotation	not_asserted	evidence_route_not_causal	M21B-LITEXP-0780	retained_evidence_route	mechanism_evidence_v1	supports	not_evaluated	composite_source_claim	phosphorylation_or_activation_readout	human	Human activated T cells and recombinant SIGLEC15/CD11b-CD18 systems; glycoform-dependent binding, CD11b enrichment, immunoprecipitation/ELISA and separate clustered-SIGLEC15/DAP12 Akt evidence	Sialylated CD11b-CD18 glycoform engagement of SIGLEC15 with DAP12-associated receptor-proximal output	No SCI transfer inferred; primary model context only	CD11b glycoform-SIGLEC15 binding and clustered SIGLEC15-DAP12 signaling are retained as separate composite evidence layers; no ligand-induced signaling or terminal TF is assigned.	Siglec15-Fc binding, sialidase/R143A controls, CD11b enrichment, immunoprecipitation/ELISA and clustered-receptor Akt readout	unknown	composite_primary_evidence	PMID:37311743; PMCID:PMC10264397; DOI:10.1038/s41467-023-39119-8; PMID:24446437; PMCID:PMC3945315	Primary CD11b glycoform-SIGLEC15 interaction and SIGLEC15-DAP12/Akt evidence	Primary evidence supports glycosylation-dependent CD11b-CD18 interaction with SIGLEC15 in human activated T-cell/recombinant systems; separate primary evidence supports clustered SIGLEC15-DAP12 Akt output, retained as bounded non-causal route evidence.	Preserve human activated-T-cell, CD11b-CD18 glycoform and receptor-clustering context; do not infer CD11b ligand-induced DAP12 signaling, SCI transfer or terminal-TF output.	curated_primary_route	LITEXP:000780
M21B-LITEXP-0781	M21B-DOWNSTREAM:00462	ligand>receptor>intracellular>????>output	ligand_receptor_intracellular_output_missing_tf	ligand|receptor|intracellular_continuation|output	transcription_factor|target_gene_expression	source_supported	NODE00640	APOE	M21B-E000180	NODE11376	TREM2	M21B-E001120	NODE02768	DAP12/TYROBP									APOE-TREM2-DAP12-associated DOK3 phosphorylation/translocation and ERK/cytokine output			APOE-TREM2-DAP12-DOK3-myeloid-relay	primary_literature_route_expansion	composite_primary_receptor_adaptor_route_output	M21B-E000180;M21B-EVID-000123;M21B-E001120;M21B-EVID-001063;M21B-E001122;M21B-EVID-001065;M21B-DOWNSTREAM-EVID:000812;PMID:26374897;PMID:11602640;PMCID:PMC2193511;PMCID:PMC3923308	M21B-DOWNSTREAM-EVID:000812	literature_expansion:primary_route_annotation	not_asserted	evidence_route_not_causal	M21B-LITEXP-0781	retained_evidence_route	mechanism_evidence_v1	supports	not_evaluated	composite_source_claim	phosphorylation_or_activation_readout	human and mouse comparator models	TREM2 binding systems and human dendritic-cell models with separate mouse macrophage DAP12-DOK3 phosphorylation/translocation, ERK and cytokine evidence	Extracellular APOE-TREM2 input with separately supported TREM2-DAP12 and DAP12-DOK3 receptor-proximal relay	No SCI transfer inferred; primary model context only	APOE-TREM2 binding, TREM2-DAP12 association and DAP12-DOK3 output are composite evidence layers; no direct APOE-to-DOK3 causality or terminal TF is asserted.	TREM2-Ig/APOE binding and affinity assays; TREM2-DAP12 association; DAP12-DOK3 phosphorylation/translocation, ERK and cytokine readouts	unknown	composite_primary_evidence	PMID:26374897; PMID:11602640; PMCID:PMC2193511; PMCID:PMC3923308	Primary APOE-TREM2 binding, TREM2-DAP12 association and DAP12-DOK3 output evidence	Primary evidence supports APOE-TREM2 binding, TREM2-DAP12 association and a separate DAP12-DOK3 macrophage relay with DOK3 phosphorylation/translocation and ERK/cytokine readouts; the composite route remains non-causal.	Preserve APOE isoform/lipidation, TREM2 model, human/mouse and macrophage-context boundaries; do not claim direct APOE-TREM2-DOK3 causality, universal suppression, SCI transfer or terminal-TF output.	curated_primary_route	LITEXP:000781
M21B-LITEXP-0782	M21B-DOWNSTREAM:00462	ligand>receptor>intracellular>????>output	ligand_receptor_intracellular_output_missing_tf	ligand|receptor|intracellular_continuation|output	transcription_factor|target_gene_expression	source_supported	NODE08953	Phosphatidylserine/PtdSer	M21B-E001117	NODE11376	TREM2	M21B-E001120	NODE02768	DAP12/TYROBP									PtdSer-TREM2-DAP12-associated phagocytic and DOK3 phosphorylation/translocation output			PtdSer-TREM2-DAP12-DOK3-myeloid-relay	primary_literature_route_expansion	composite_primary_receptor_adaptor_route_output	M21B-E001117;M21B-EVID-001060;M21B-E001120;M21B-EVID-001063;M21B-E001122;M21B-EVID-001065;M21B-DOWNSTREAM-EVID:000812;PMID:31101881;PMCID:PMC6525155;PMID:11602640;PMCID:PMC2193511;PMCID:PMC3923308	M21B-DOWNSTREAM-EVID:000812	literature_expansion:primary_route_annotation	not_asserted	evidence_route_not_causal	M21B-LITEXP-0782	retained_evidence_route	mechanism_evidence_v1	supports	not_evaluated	composite_source_claim	phagocytosis_or_engulfment	mouse comparator models	TREM2-DAP12 reporter and apoptotic-neural-cell systems with separate mouse macrophage DAP12-DOK3 phosphorylation/translocation, ERK and cytokine evidence	Extracellular externalized PtdSer-TREM2 input with separately supported TREM2-DAP12 and DAP12-DOK3 relay	No SCI transfer inferred; primary model context only	PtdSer-TREM2/DAP12 reporter and phagocytic evidence is combined with a separate DAP12-DOK3 macrophage output only as bounded plausibility evidence; no terminal TF is assigned.	TREM2-DAP12 reporter, PtdSer wells, apoptotic Neuro2a uptake, TREM2 perturbation and separate DAP12-DOK3 phosphorylation/translocation assays	activating	composite_primary_evidence	PMID:31101881; PMCID:PMC6525155; PMID:11602640; PMCID:PMC2193511; PMCID:PMC3923308	Primary PtdSer-TREM2-DAP12 reporter/phagocytic and DAP12-DOK3 output evidence	Primary evidence supports externalized PtdSer engagement of TREM2 in DAP12-dependent reporter/phagocytic systems; separate DAP12-DOK3 evidence supplies phosphorylation/translocation and inflammatory output as a composite receptor-proximal layer.	Preserve externalized/apoptotic PtdSer, TREM2-DAP12 reporter and mouse macrophage contexts; do not infer direct PtdSer-to-DOK3 causality, SCI transfer or terminal-TF output.	curated_primary_route	LITEXP:000782
M21B-LITEXP-0783	M21B-DOWNSTREAM:00462	ligand>receptor>intracellular>????>output	ligand_receptor_intracellular_output_missing_tf	ligand|receptor|intracellular_continuation|output	transcription_factor|target_gene_expression	source_supported	NODE01417	C1q/complement component 1q	M21B-E001118	NODE11376	TREM2	M21B-E001120	NODE02768	DAP12/TYROBP									C1q-TREM2-DAP12-associated myeloid relay and complement-suppressive output			C1q-TREM2-DAP12-DOK3-myeloid-relay	primary_literature_route_expansion	composite_primary_receptor_adaptor_route_output	M21B-E001118;M21B-EVID-001061;M21B-E001120;M21B-EVID-001063;M21B-E001122;M21B-EVID-001065;M21B-DOWNSTREAM-EVID:000812;PMID:37442133;DOI:10.1016/j.immuni.2023.06.016;PMCID:PMC2193511;PMCID:PMC3923308	M21B-DOWNSTREAM-EVID:000812	literature_expansion:primary_route_annotation	not_asserted	evidence_route_not_causal	M21B-LITEXP-0783	retained_evidence_route	mechanism_evidence_v1	supports	not_evaluated	composite_source_claim	gene_expression_or_transcription	mouse and human comparator models	TREM2/C1q binding and Alzheimer-brain/mutant-tau models with separate human dendritic-cell TREM2-DAP12 and mouse macrophage DAP12-DOK3 output evidence	Extracellular C1q-TREM2 input with separately supported TREM2-DAP12 and DAP12-DOK3 receptor-proximal relay	No SCI transfer inferred; primary model context only	C1q-TREM2 binding/function, TREM2-DAP12 association and DAP12-DOK3 output are retained as composite evidence layers; polarity remains context-bound and no terminal TF is assigned.	TREM2/C1q binding, brain-complex and mutant-tau mouse studies, TREM2-DAP12 association and separate DAP12-DOK3 phosphorylation/translocation assays	inhibitory	composite_primary_evidence	PMID:37442133; DOI:10.1016/j.immuni.2023.06.016; PMID:11602640; PMCID:PMC2193511; PMCID:PMC3923308	Primary C1q-TREM2 complement-suppressive and TREM2-DAP12/DAP12-DOK3 output evidence	Primary evidence supports C1q-TREM2 binding and complement-suppressive function in disease models; separate TREM2-DAP12 and DAP12-DOK3 studies provide receptor-proximal relay evidence without asserting a direct C1q-to-DOK3 chain.	Preserve C1q/TREM2 complement, Alzheimer/mutant-tau, dendritic-cell and macrophage contexts; do not infer direct C1q-DAP12-DOK3 causality, SCI transfer or terminal-TF output.	curated_primary_route	LITEXP:000783
M21B-LITEXP-0784	M21B-DOWNSTREAM:00462	ligand>receptor>intracellular>????>output	ligand_receptor_intracellular_output_missing_tf	ligand|receptor|intracellular_continuation|output	transcription_factor|target_gene_expression	source_supported	NODE10528	Sphingosine-1-phosphate/S1P	M21B-E001119	NODE11376	TREM2	M21B-E001120	NODE02768	DAP12/TYROBP									S1P-TREM2-DAP12-associated ERK/Akt and DOK3 phosphorylation/translocation output			S1P-TREM2-DAP12-DOK3-myeloid-relay	primary_literature_route_expansion	composite_primary_receptor_adaptor_route_output	M21B-E001119;M21B-EVID-001062;M21B-E001120;M21B-EVID-001063;M21B-E001122;M21B-EVID-001065;M21B-DOWNSTREAM-EVID:000812;PMID:35847502;PMCID:PMC9279640;DOI:10.1016/j.apsb.2021.10.012;PMID:11602640;PMCID:PMC2193511;PMCID:PMC3923308	M21B-DOWNSTREAM-EVID:000812	literature_expansion:primary_route_annotation	not_asserted	evidence_route_not_causal	M21B-LITEXP-0784	retained_evidence_route	mechanism_evidence_v1	supports	not_evaluated	composite_source_claim	phosphorylation_or_activation_readout	mouse and human comparator models	TREM2-DAP12 binding, reporter and ischemic-stroke models with separate human dendritic-cell TREM2-DAP12 and mouse macrophage DAP12-DOK3 output evidence	Extracellular S1P-TREM2 input with separately supported TREM2-DAP12 and DAP12-DOK3 receptor-proximal relay	No SCI transfer inferred; primary model context only	S1P-TREM2 binding/function, TREM2-DAP12 association and DAP12-DOK3 output are retained as composite evidence layers; preserve S1P versus FTY720 distinctions and do not assign a terminal TF.	TREM2/S1P MST/SPR/LC-MS/MS, TREM2-DAP12 reporter and ischemic-stroke perturbation, plus separate DAP12-DOK3 phosphorylation/translocation assays	activating	composite_primary_evidence	PMID:35847502; PMCID:PMC9279640; DOI:10.1016/j.apsb.2021.10.012; PMID:11602640; PMCID:PMC2193511; PMCID:PMC3923308	Primary S1P-TREM2 receptor evidence and TREM2-DAP12/DAP12-DOK3 output evidence	Primary evidence supports S1P-TREM2 interaction and TREM2-associated signaling/functional effects in biochemical and ischemic-stroke models; separate TREM2-DAP12 and DAP12-DOK3 studies supply the retained receptor-proximal output layer.	Preserve S1P/FTY720, TREM2 reporter, ischemic-stroke and macrophage-context boundaries; do not infer direct S1P-to-DOK3 causality, traumatic-SCI transfer or terminal-TF output.	curated_primary_route	LITEXP:000784
