source_row_id	module	regulator	target	curation_status	traversal_eligibility	review_disposition	search_status	search_scope	search_manifest_id	search_layers	search_terms	exact_pair_evidence	binding_evidence	functional_evidence	species	tissue_cell_context	sci_context	effect_direction	confidence	primary_citation	source_record_id	source_provenance	limitations	reviewer_notes	reviewed_at
PTF-SCREEN-PTF-MODULE-20B-000062	20B	ARNT2	A2m	candidate_only	not_traversable	retain_candidate_only_no_exact_pair_promotion	expanded_alias_and_primary_source_search_completed_no_exact_primary_evidence_identified	All 112 mouse canonical-TF/direct-binding queue rows were covered by grouped searches using regulator aliases, target aliases/full names, mouse, ChIP-seq/ChIP-qPCR, promoter, reporter, knockdown, knockout, loss-of-function, and direct-target terms; surfaced primary papers and local source provenance were checked for exact regulator-target support.	public_tf_queue_expanded_search_2026-09-04	local_tflink_gtrd_provenance;gtrd_resource_review;grouped_exact_pair_search;near_match_primary_paper_review;exact_alias_followups	"""ARNT2"" ""A2m"" mouse direct binding functional target"	not_identified	TFLink/GTRD source-table association only; underlying primary occupancy record not identified	not_identified	mouse	unknown	unknown	unknown	low_expanded_search_only	unknown	tflink:mouse:000856:ade019945ee8	tflink:mouse:000856:ade019945ee8; TFLink source PMID 27924024 is source-database metadata, not exact-pair validation	No exact-pair primary citation with direct sequence-specific binding and functional target response was identified in the expanded pass; full-text review, additional databases, and underlying GTRD experiment accession remain possible follow-up work.	No exact-pair promotion basis identified; preserve unknown values.	2026-09-04
PTF-SCREEN-PTF-MODULE-20B-000063	20B	ARNT2	Abca1	candidate_only	not_traversable	retain_candidate_only_no_exact_pair_promotion	expanded_alias_and_primary_source_search_completed_no_exact_primary_evidence_identified	All 112 mouse canonical-TF/direct-binding queue rows were covered by grouped searches using regulator aliases, target aliases/full names, mouse, ChIP-seq/ChIP-qPCR, promoter, reporter, knockdown, knockout, loss-of-function, and direct-target terms; surfaced primary papers and local source provenance were checked for exact regulator-target support.	public_tf_queue_expanded_search_2026-09-04	local_tflink_gtrd_provenance;gtrd_resource_review;grouped_exact_pair_search;near_match_primary_paper_review;exact_alias_followups	"""ARNT2"" ""Abca1"" mouse direct binding functional target"	not_identified	TFLink/GTRD source-table association only; underlying primary occupancy record not identified	not_identified	mouse	unknown	unknown	unknown	low_expanded_search_only	unknown	tflink:mouse:000856:ade019945ee8	tflink:mouse:000856:ade019945ee8; TFLink source PMID 27924024 is source-database metadata, not exact-pair validation	No exact-pair primary citation with direct sequence-specific binding and functional target response was identified in the expanded pass; full-text review, additional databases, and underlying GTRD experiment accession remain possible follow-up work.	No exact-pair promotion basis identified; preserve unknown values.	2026-09-04
PTF-SCREEN-PTF-MODULE-20B-000064	20B	ARNT2	Ackr3	candidate_only	not_traversable	retain_candidate_only_no_exact_pair_promotion	expanded_alias_and_primary_source_search_completed_no_exact_primary_evidence_identified	All 112 mouse canonical-TF/direct-binding queue rows were covered by grouped searches using regulator aliases, target aliases/full names, mouse, ChIP-seq/ChIP-qPCR, promoter, reporter, knockdown, knockout, loss-of-function, and direct-target terms; surfaced primary papers and local source provenance were checked for exact regulator-target support.	public_tf_queue_expanded_search_2026-09-04	local_tflink_gtrd_provenance;gtrd_resource_review;grouped_exact_pair_search;near_match_primary_paper_review;exact_alias_followups	"""ARNT2"" ""Ackr3"" mouse direct binding functional target"	not_identified	TFLink/GTRD source-table association only; underlying primary occupancy record not identified	not_identified	mouse	unknown	unknown	unknown	low_expanded_search_only	unknown	tflink:mouse:000856:ade019945ee8	tflink:mouse:000856:ade019945ee8; TFLink source PMID 27924024 is source-database metadata, not exact-pair validation	No exact-pair primary citation with direct sequence-specific binding and functional target response was identified in the expanded pass; full-text review, additional databases, and underlying GTRD experiment accession remain possible follow-up work.	No exact-pair promotion basis identified; preserve unknown values.	2026-09-04
PTF-SCREEN-PTF-MODULE-20B-000065	20B	ARNT2	Actr2	candidate_only	not_traversable	retain_candidate_only_no_exact_pair_promotion	expanded_alias_and_primary_source_search_completed_no_exact_primary_evidence_identified	All 112 mouse canonical-TF/direct-binding queue rows were covered by grouped searches using regulator aliases, target aliases/full names, mouse, ChIP-seq/ChIP-qPCR, promoter, reporter, knockdown, knockout, loss-of-function, and direct-target terms; surfaced primary papers and local source provenance were checked for exact regulator-target support.	public_tf_queue_expanded_search_2026-09-04	local_tflink_gtrd_provenance;gtrd_resource_review;grouped_exact_pair_search;near_match_primary_paper_review;exact_alias_followups	"""ARNT2"" ""Actr2"" mouse direct binding functional target"	not_identified	TFLink/GTRD source-table association only; underlying primary occupancy record not identified	not_identified	mouse	unknown	unknown	unknown	low_expanded_search_only	unknown	tflink:mouse:000856:ade019945ee8	tflink:mouse:000856:ade019945ee8; TFLink source PMID 27924024 is source-database metadata, not exact-pair validation	No exact-pair primary citation with direct sequence-specific binding and functional target response was identified in the expanded pass; full-text review, additional databases, and underlying GTRD experiment accession remain possible follow-up work.	No exact-pair promotion basis identified; preserve unknown values.	2026-09-04
PTF-SCREEN-PTF-MODULE-20B-000075	20B	ASCL2	Ackr4	candidate_only	not_traversable	retain_candidate_only_no_exact_pair_promotion	expanded_alias_and_primary_source_search_completed_no_exact_primary_evidence_identified	All 112 mouse canonical-TF/direct-binding queue rows were covered by grouped searches using regulator aliases, target aliases/full names, mouse, ChIP-seq/ChIP-qPCR, promoter, reporter, knockdown, knockout, loss-of-function, and direct-target terms; surfaced primary papers and local source provenance were checked for exact regulator-target support.	public_tf_queue_expanded_search_2026-09-04	local_tflink_gtrd_provenance;gtrd_resource_review;grouped_exact_pair_search;near_match_primary_paper_review;exact_alias_followups	"""ASCL2"" ""Ackr4"" mouse direct binding functional target"	not_identified	TFLink/GTRD source-table association only; underlying primary occupancy record not identified	not_identified	mouse	unknown	unknown	unknown	low_expanded_search_only	unknown	tflink:mouse:000953:3231da0bbb17	tflink:mouse:000953:3231da0bbb17; TFLink source PMID 27924024 is source-database metadata, not exact-pair validation	No exact-pair primary citation with direct sequence-specific binding and functional target response was identified in the expanded pass; full-text review, additional databases, and underlying GTRD experiment accession remain possible follow-up work.	No exact-pair promotion basis identified; preserve unknown values.	2026-09-04
PTF-SCREEN-PTF-MODULE-20B-000077	20B	ASCL2	Actr2	candidate_only	not_traversable	retain_candidate_only_no_exact_pair_promotion	expanded_alias_and_primary_source_search_completed_no_exact_primary_evidence_identified	All 112 mouse canonical-TF/direct-binding queue rows were covered by grouped searches using regulator aliases, target aliases/full names, mouse, ChIP-seq/ChIP-qPCR, promoter, reporter, knockdown, knockout, loss-of-function, and direct-target terms; surfaced primary papers and local source provenance were checked for exact regulator-target support.	public_tf_queue_expanded_search_2026-09-04	local_tflink_gtrd_provenance;gtrd_resource_review;grouped_exact_pair_search;near_match_primary_paper_review;exact_alias_followups	"""ASCL2"" ""Actr2"" mouse direct binding functional target"	not_identified	TFLink/GTRD source-table association only; underlying primary occupancy record not identified	not_identified	mouse	unknown	unknown	unknown	low_expanded_search_only	unknown	tflink:mouse:000953:3231da0bbb17	tflink:mouse:000953:3231da0bbb17; TFLink source PMID 27924024 is source-database metadata, not exact-pair validation	No exact-pair primary citation with direct sequence-specific binding and functional target response was identified in the expanded pass; full-text review, additional databases, and underlying GTRD experiment accession remain possible follow-up work.	No exact-pair promotion basis identified; preserve unknown values.	2026-09-04
PTF-SCREEN-PTF-MODULE-20B-000078	20B	ASCL2	Adam17	candidate_only	not_traversable	retain_candidate_only_no_exact_pair_promotion	expanded_alias_and_primary_source_search_completed_no_exact_primary_evidence_identified	All 112 mouse canonical-TF/direct-binding queue rows were covered by grouped searches using regulator aliases, target aliases/full names, mouse, ChIP-seq/ChIP-qPCR, promoter, reporter, knockdown, knockout, loss-of-function, and direct-target terms; surfaced primary papers and local source provenance were checked for exact regulator-target support.	public_tf_queue_expanded_search_2026-09-04	local_tflink_gtrd_provenance;gtrd_resource_review;grouped_exact_pair_search;near_match_primary_paper_review;exact_alias_followups	"""ASCL2"" ""Adam17"" mouse direct binding functional target"	not_identified	TFLink/GTRD source-table association only; underlying primary occupancy record not identified	not_identified	mouse	unknown	unknown	unknown	low_expanded_search_only	unknown	tflink:mouse:000953:3231da0bbb17	tflink:mouse:000953:3231da0bbb17; TFLink source PMID 27924024 is source-database metadata, not exact-pair validation	No exact-pair primary citation with direct sequence-specific binding and functional target response was identified in the expanded pass; full-text review, additional databases, and underlying GTRD experiment accession remain possible follow-up work.	No exact-pair promotion basis identified; preserve unknown values.	2026-09-04
PTF-SCREEN-PTF-MODULE-20B-000079	20B	ASCL2	Adam9	candidate_only	not_traversable	retain_candidate_only_no_exact_pair_promotion	expanded_alias_and_primary_source_search_completed_no_exact_primary_evidence_identified	All 112 mouse canonical-TF/direct-binding queue rows were covered by grouped searches using regulator aliases, target aliases/full names, mouse, ChIP-seq/ChIP-qPCR, promoter, reporter, knockdown, knockout, loss-of-function, and direct-target terms; surfaced primary papers and local source provenance were checked for exact regulator-target support.	public_tf_queue_expanded_search_2026-09-04	local_tflink_gtrd_provenance;gtrd_resource_review;grouped_exact_pair_search;near_match_primary_paper_review;exact_alias_followups	"""ASCL2"" ""Adam9"" mouse direct binding functional target"	not_identified	TFLink/GTRD source-table association only; underlying primary occupancy record not identified	not_identified	mouse	unknown	unknown	unknown	low_expanded_search_only	unknown	tflink:mouse:000953:3231da0bbb17	tflink:mouse:000953:3231da0bbb17; TFLink source PMID 27924024 is source-database metadata, not exact-pair validation	No exact-pair primary citation with direct sequence-specific binding and functional target response was identified in the expanded pass; full-text review, additional databases, and underlying GTRD experiment accession remain possible follow-up work.	No exact-pair promotion basis identified; preserve unknown values.	2026-09-04
PTF-SCREEN-PTF-MODULE-20B-000125	20B	BHLHA15	Abca1	candidate_only	not_traversable	retain_candidate_only_no_exact_pair_promotion	expanded_alias_and_primary_source_search_completed_no_exact_primary_evidence_identified	All 112 mouse canonical-TF/direct-binding queue rows were covered by grouped searches using regulator aliases, target aliases/full names, mouse, ChIP-seq/ChIP-qPCR, promoter, reporter, knockdown, knockout, loss-of-function, and direct-target terms; surfaced primary papers and local source provenance were checked for exact regulator-target support.	public_tf_queue_expanded_search_2026-09-04	local_tflink_gtrd_provenance;gtrd_resource_review;grouped_exact_pair_search;near_match_primary_paper_review;exact_alias_followups	"""BHLHA15"" ""Abca1"" mouse direct binding functional target"	not_identified	TFLink/GTRD source-table association only; underlying primary occupancy record not identified	not_identified	mouse	unknown	unknown	unknown	low_expanded_search_only	unknown	tflink:mouse:000903:ae4339786317	tflink:mouse:000903:ae4339786317; TFLink source PMID 27924024 is source-database metadata, not exact-pair validation	No exact-pair primary citation with direct sequence-specific binding and functional target response was identified in the expanded pass; full-text review, additional databases, and underlying GTRD experiment accession remain possible follow-up work.	No exact-pair promotion basis identified; preserve unknown values.	2026-09-04
PTF-SCREEN-PTF-MODULE-20B-000126	20B	BHLHA15	Acvr1	candidate_only	not_traversable	retain_candidate_only_no_exact_pair_promotion	expanded_alias_and_primary_source_search_completed_no_exact_primary_evidence_identified	All 112 mouse canonical-TF/direct-binding queue rows were covered by grouped searches using regulator aliases, target aliases/full names, mouse, ChIP-seq/ChIP-qPCR, promoter, reporter, knockdown, knockout, loss-of-function, and direct-target terms; surfaced primary papers and local source provenance were checked for exact regulator-target support.	public_tf_queue_expanded_search_2026-09-04	local_tflink_gtrd_provenance;gtrd_resource_review;grouped_exact_pair_search;near_match_primary_paper_review;exact_alias_followups	"""BHLHA15"" ""Acvr1"" mouse direct binding functional target"	not_identified	TFLink/GTRD source-table association only; underlying primary occupancy record not identified	not_identified	mouse	unknown	unknown	unknown	low_expanded_search_only	unknown	tflink:mouse:000903:ae4339786317	tflink:mouse:000903:ae4339786317; TFLink source PMID 27924024 is source-database metadata, not exact-pair validation	No exact-pair primary citation with direct sequence-specific binding and functional target response was identified in the expanded pass; full-text review, additional databases, and underlying GTRD experiment accession remain possible follow-up work.	No exact-pair promotion basis identified; preserve unknown values.	2026-09-04
