regulator	target	old_edge_ids	new_edge_ids	semantic_mapping_status
5-lo products/ltb4/pge2	cyslt1-linked inflammatory injury	M24B-E000010	M24B-E000010	exact_label_relation_match
a-saa/saa2 context	scarb1	M23B-E000848;M23B-E000849;M23B-E000850	M23B-E000848;M23B-E000849;M23B-E000850	exact_label_relation_match
a2m	lrp1	M20B-E002399	M20B-E002399	exact_label_relation_match
activated a2m/rbd	erk/akt-creb neurite/survival function	M23B-E000096	M23B-E000096	exact_label_relation_match
activated a2m/rbd	lrp1-src-trk-erk/akt relay	M23B-E000095	M23B-E000095	exact_label_relation_match
activated a2m/rbd fragment	lrp1	M23B-E000094	M23B-E000094	exact_label_relation_match
activated alpha9 integrin plus kindlin-1	laminin-111/tenascin-c matrix bridges and sensory axon regeneration	M23B-E000019	M23B-E000019	exact_label_relation_match
activated alpha9 integrin plus kindlin-1	sensory axon regeneration through matrix bridges	M23B-E000006	M23B-E000006	exact_label_relation_match
activated protein c	extracellular histone h3 neurite inhibition	M24B-E000013	M24B-E000013	exact_label_relation_match
activated protein c	par1/epcr complex	M24B-E000036	M24B-E000036	exact_label_relation_match
activated protein c/par1 axis	locomotor recovery and blood-spinal-cord barrier integrity	M24B-E000037	M24B-E000037	exact_label_relation_match
ada	dpp4	M20B-E002407	M20B-E002407	exact_label_relation_match
adam10	cadm1	M23B-E000452	M23B-E000452	exact_label_relation_match
adam10	cadm1-dependent adhesion	M23B-E000453	M23B-E000453	exact_label_relation_match
adam10	cd44	M23B-E000454	M23B-E000454	exact_label_relation_match
adam10	cd44-dependent adhesion/migration	M23B-E000455	M23B-E000455	exact_label_relation_match
adam10	nrcam	M23B-E000456	M23B-E000456	exact_label_relation_match
adam10	nrcam-dependent neuronal adhesion/remodeling	M23B-E000457	M23B-E000457	exact_label_relation_match
adam12	itga9:itgb1	M23B-E000460	M23B-E000460	exact_label_relation_match
adam12	myogenic adhesion/fusion	M23B-E000461	M23B-E000461	exact_label_relation_match
adam12	sdc4	M20B-E002428	M20B-E002428	exact_label_relation_match
adam12	sdc4-beta1 integrin cytoskeletal relay	M23B-E000463	M23B-E000463	exact_label_relation_match
adam12 cysteine-rich domain	sdc4	M23B-E000462	M23B-E000462	exact_label_relation_match
adam15	itga5:itgb1	M23B-E000464	M23B-E000464	exact_label_relation_match
adam17	itgb1	M20B-E002437	M20B-E002437	exact_label_relation_match
adam2	cd9	M20B-E002441	M20B-E002441	exact_label_relation_match
adam2	itga6:itgb1:cd9	M23B-E000466	M23B-E000466	exact_label_relation_match
adam2	itga9	M20B-E002443	M20B-E002443	exact_label_relation_match
adam2	itgb7	M20B-E002445	M20B-E002445	exact_label_relation_match
adam9	itga3	M20B-E002453	M20B-E002453	exact_label_relation_match
adam9	itga6	M20B-E002454	M20B-E002454	exact_label_relation_match
adam9	itgav	M20B-E002455	M20B-E002455	exact_label_relation_match
adam9	itgb1	M20B-E002456	M20B-E002456	exact_label_relation_match
adcyap1	adcyap1r1	M20B-E002459	M20B-E002459	exact_label_relation_match
adcyap1	vipr1	M20B-E002470	M20B-E002470	exact_label_relation_match
adcyap1	vipr2	M20B-E002471	M20B-E002471	exact_label_relation_match
adgre5/cd97	itgav:itgb3 (αvβ3)	M23B-E000576;M23B-E000577	M23B-E000576;M23B-E000577	exact_label_relation_match
adipoq	adipor1	M20B-E002472	M20B-E002472	exact_label_relation_match
adipoq	adipor1-appl1-ampk/erk/enos relay	M23B-E000103	M23B-E000103	exact_label_relation_match
adipoq	adipor2	M20B-E002473	M20B-E002473	exact_label_relation_match
adipoq	adipor2-appl1/ampk-src/ras/erk relay	M23B-E000104	M23B-E000104	exact_label_relation_match
adm	ackr3	M20B-E002478	M20B-E002478	exact_label_relation_match
adm	calcrl	M20B-E002483	M20B-E002483	exact_label_relation_match
adm	ramp2	M20B-E002492	M20B-E002492	exact_label_relation_match
adm	ramp3	M20B-E002493	M20B-E002493	exact_label_relation_match
adm2	calcrl	M20B-E002500	M20B-E002500	exact_label_relation_match
adm2	ramp1	M20B-E002505	M20B-E002505	exact_label_relation_match
adm2	ramp2	M20B-E002506	M20B-E002506	exact_label_relation_match
adm2	ramp3	M20B-E002507	M20B-E002507	exact_label_relation_match
ado	adora1	M20B-E002510	M20B-E002510	exact_label_relation_match
ado	adora2a	M20B-E002511	M20B-E002511	exact_label_relation_match
ado	adora2b	M20B-E002512	M20B-E002512	exact_label_relation_match
ado	adora3	M20B-E002513	M20B-E002513	exact_label_relation_match
agrn	achr clustering/nmj organization	M23B-E000468	M23B-E000468	exact_label_relation_match
agrn	atp1a3	M20B-E002514	M20B-E002514	exact_label_relation_match
agrn	dag1	M20B-E001922	M20B-E001922	exact_label_relation_match
agrn	dag1/dystroglycan	M23B-E000021	M23B-E000021	exact_label_relation_match
agrn	inhibitory synapse organization	M23B-E000022	M23B-E000022	exact_label_relation_match
agrn	itgav:itgb1	M23B-E000467	M23B-E000467	exact_label_relation_match
agrn	lrp4	M20B-E002518	M20B-E002518	exact_label_relation_match
agrn	musk	M20B-E002519	M20B-E002519	exact_label_relation_match
agrn/c-terminal agrin	atp1a3-containing na+/k+-atpase complex	M23B-E000917;M23B-E000918;M23B-E000919	M23B-E000917;M23B-E000918;M23B-E000919	exact_label_relation_match
agrp	mc3r	M20B-E002521	M20B-E002521	exact_label_relation_match
agrp	mc4r	M20B-E002522	M20B-E002522	exact_label_relation_match
agt/angii	agtr1b/at1b	M23B-E000105	M23B-E000105	exact_label_relation_match
ahsg	insr	M20B-E002534	M20B-E002534	exact_label_relation_match
alb	b2m_fcgrt	M20B-E002536	M20B-E002536	exact_label_relation_match
alb	lrp2	M20B-E002537	M20B-E002537	exact_label_relation_match
alcam	cd6	M20B-E002538	M20B-E002538	exact_label_relation_match
alcam	chl1	M20B-E002539	M20B-E002539	exact_label_relation_match
alcam	nrp1	M23B-E000469	M23B-E000469	exact_label_relation_match
alcam	semaphorin-response neurite outgrowth	M23B-E000470	M23B-E000470	exact_label_relation_match
ambn	cd63	M20B-E002540	M20B-E002540	exact_label_relation_match
ambn	cd63/itgb1-src/rhoa/erk complex	M23B-E000106	M23B-E000106	exact_label_relation_match
amelx	cd63	M20B-E002541;M23B-E000471	M20B-E002541;M23B-E000471	exact_label_relation_match
amelx	lamp1	M20B-E002542;M23B-E000473	M20B-E002542;M23B-E000473	exact_label_relation_match
amelx	lamp2	M20B-E002543;M23B-E000474	M20B-E002543;M23B-E000474	exact_label_relation_match
amelx	matrix-protein clearance	M23B-E000472	M23B-E000472	exact_label_relation_match
amh	acvr1_amhr2	M20B-E002544	M20B-E002544	exact_label_relation_match
amh	amhr2_bmpr1a	M20B-E001797	M20B-E001797	exact_label_relation_match
amh	amhr2_bmpr1b	M20B-E001798	M20B-E001798	exact_label_relation_match
ang	egfr	M20B-E002547	M20B-E002547	exact_label_relation_match
ang	plxnb2	M20B-E002548	M20B-E002548	exact_label_relation_match
angpt1	itga5	M20B-E002549	M20B-E002549	exact_label_relation_match
angpt1	itga5:itgb1/tek-fak/pi3k-akt complex	M23B-E000107	M23B-E000107	exact_label_relation_match
angpt1	itga5:itgb1/tie2 neurite function	M23B-E000108	M23B-E000108	exact_label_relation_match
angpt1	tek	M20B-E002550	M20B-E002550	exact_label_relation_match
angpt1	tie1	M20B-E002551	M20B-E002551	exact_label_relation_match
