source_row_id	source_layer_membership	source_traversal_status	regulator	raw_regulator	target	module	module_route	target_graph_modules	curation_status	traversal_eligibility	traversable_general_mouse	traversable_neural	traversable_sci	evidence_basis	evidence_confidence_tier	evidence_type	assay_type	independent_literature_support_status	independent_literature_source_count	exact_pair_status	binding_or_association_status	species	tissue_cell_context	context_level_regulator	context_level_target	context_level_exact_pair	sci_context	context_evidence_scope	context_evidence_basis	context_promotion_lane	effect_direction	confidence	source_locator_status	citation_provenance	limitations	reviewer_notes	source_materialization_status	source_module_materialization_allowed	source_canonical_materialization_allowed	source_screening_decision	source_registry	source_record_id	source_record_ids	active_graph_pair_status	active_graph_edge_ids	active_graph_node_resolution	duplicate_pair_row_count	duplicate_module_count	method_label_adjudication_status	source_text_for_validation
PTF-SCREEN-PTF-MODULE-20B-000001	evidence_candidate	not_traversable	ABCC9/SUR2	Abcc9	Abca1	20B	20B_target_interaction	20B	candidate_only	not_traversable	False	False	False	A/B/C evidence has an explicit target_graph_modules assignment; candidate remains pending module-owner approval.;promoted overlay evidence tier;tflink_source_table_exact_pair;expression_or_perturbation_association	C_tflink_source_table_only	expression_or_perturbation_association	chromatin immunoprecipitation assay	not_identified_outside_tflink_source_table	0	tflink_source_table_exact_pair	Exact TFLink target-table row; detection_method=chromatin immunoprecipitation assay; source_database=GTRD; large-scale association record.	mouse	unknown_not_structured_in_candidate_layer	L3_spinal_cord_tissue_context	L4_SCI_context	L0_no_context_evidence	indirect_sci_context	pathway_or_component_only	Mouse Abcc9/SUR2 has independent spinal-cord expression evidence in mouse vascular and nerve-injury studies, establishing L3 regulator-component context. Mouse Abca1 has independent mouse SCI evidence in microglia/macrophages and lipid-clearance studies, establishing L4 target-component context. The reviewed ABCC9-to-Abca1 source-table relationship was not established as an SCI mechanism, so the exact pair remains L0.	sci_relevant_component_context	unknown	tflink_exact_high_throughput_binding_record_primary_source_metadata	citation_and_source_record	https://pubmed.ncbi.nlm.nih.gov/27924024/;tflink:mouse:000941:00eb4586fdbc;tflink:mouse:000941:00eb4586fdbc;https://cdn.netbiol.org/tflink/proteinDownload_targets/TFLink_targets_of_P70170.tsv;data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_protein_targets_v1/mouse_P70170_targets.tsv	Exact TFLink organism match; no cross-species or reverse-direction inference. ChIP-seq association does not establish causal expression or activation direction.;candidate-only rows are non-traversable	Recovered from the TFLink per-protein target table rather than GMT membership alone. The attached PubMed ID identifies the source database paper; the underlying experiment accession/original paper was not supplied in this TFLink row.	pending_module_owner_approval	false	false	module_fit_candidate	TFLink	tflink:mouse:000941:00eb4586fdbc	tflink:mouse:000941:00eb4586fdbc	not_found_in_active_graph	unknown	one_endpoint_symbol_present	1	1	not_eligible_without_independent_evidence_and_dependency_metadata	tflink:mouse:000941:00eb4586fdbc tflink:mouse:000941:00eb4586fdbc https://pubmed.ncbi.nlm.nih.gov/27924024/  https://cdn.netbiol.org/tflink/proteinDownload_targets/TFLink_targets_of_P70170.tsv
PTF-SCREEN-PTF-MODULE-20B-000002	evidence_candidate	not_traversable	ABCC9/SUR2	Abcc9	Ackr4	20B	20B_target_interaction	20B	candidate_only	not_traversable	False	False	False	A/B/C evidence has an explicit target_graph_modules assignment; candidate remains pending module-owner approval.;promoted overlay evidence tier;tflink_source_table_exact_pair;expression_or_perturbation_association	C_tflink_source_table_only	expression_or_perturbation_association	chromatin immunoprecipitation assay	not_identified_outside_tflink_source_table	0	tflink_source_table_exact_pair	Exact TFLink target-table row; detection_method=chromatin immunoprecipitation assay; source_database=GTRD; large-scale association record.	mouse	unknown_not_structured_in_candidate_layer	L3_spinal_cord_tissue_context	L3_spinal_cord_tissue_context	L0_no_context_evidence	non_sci_transferable_context	pathway_or_component_only	Mouse Abcc9/SUR2 has independent spinal-cord expression evidence, establishing L3 regulator-component context. Mouse Ackr4 has authoritative MGI/GXD RNA in situ evidence in future spinal cord, establishing L3 target-component context. No SCI-specific or direct contextual ABCC9-to-Ackr4 mechanism was verified, so the exact pair remains L0.	sci_relevant_component_context	unknown	tflink_exact_high_throughput_binding_record_primary_source_metadata	citation_and_source_record	https://pubmed.ncbi.nlm.nih.gov/27924024/;tflink:mouse:000941:00eb4586fdbc;tflink:mouse:000941:00eb4586fdbc;https://cdn.netbiol.org/tflink/proteinDownload_targets/TFLink_targets_of_P70170.tsv;data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_protein_targets_v1/mouse_P70170_targets.tsv	Exact TFLink organism match; no cross-species or reverse-direction inference. ChIP-seq association does not establish causal expression or activation direction.;candidate-only rows are non-traversable	Recovered from the TFLink per-protein target table rather than GMT membership alone. The attached PubMed ID identifies the source database paper; the underlying experiment accession/original paper was not supplied in this TFLink row.	pending_module_owner_approval	false	false	module_fit_candidate	TFLink	tflink:mouse:000941:00eb4586fdbc	tflink:mouse:000941:00eb4586fdbc	not_found_in_active_graph	unknown	one_endpoint_symbol_present	1	1	not_eligible_without_independent_evidence_and_dependency_metadata	tflink:mouse:000941:00eb4586fdbc tflink:mouse:000941:00eb4586fdbc https://pubmed.ncbi.nlm.nih.gov/27924024/  https://cdn.netbiol.org/tflink/proteinDownload_targets/TFLink_targets_of_P70170.tsv
PTF-SCREEN-PTF-MODULE-20B-000003	evidence_candidate	not_traversable	ABCC9/SUR2	Abcc9	Acvr1	20B	20B_target_interaction	20B	candidate_only	not_traversable	False	False	False	A/B/C evidence has an explicit target_graph_modules assignment; candidate remains pending module-owner approval.;promoted overlay evidence tier;tflink_source_table_exact_pair;expression_or_perturbation_association	C_tflink_source_table_only	expression_or_perturbation_association	chromatin immunoprecipitation assay	not_identified_outside_tflink_source_table	0	tflink_source_table_exact_pair	Exact TFLink target-table row; detection_method=chromatin immunoprecipitation assay; source_database=GTRD; large-scale association record.	mouse	unknown_not_structured_in_candidate_layer	L3_spinal_cord_tissue_context	L3_spinal_cord_tissue_context	L0_no_context_evidence	non_sci_transferable_context	pathway_or_component_only	Mouse Abcc9/SUR2 has independent spinal-cord expression evidence, establishing L3 regulator-component context. Mouse Acvr1 has an Allen Institute mouse spinal-cord expression record, establishing L3 target-component context. No SCI-specific or direct contextual ABCC9-to-Acvr1 mechanism was verified, so the exact pair remains L0.	sci_relevant_component_context	unknown	tflink_exact_high_throughput_binding_record_primary_source_metadata	citation_and_source_record	https://pubmed.ncbi.nlm.nih.gov/27924024/;tflink:mouse:000941:00eb4586fdbc;tflink:mouse:000941:00eb4586fdbc;https://cdn.netbiol.org/tflink/proteinDownload_targets/TFLink_targets_of_P70170.tsv;data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_protein_targets_v1/mouse_P70170_targets.tsv	Exact TFLink organism match; no cross-species or reverse-direction inference. ChIP-seq association does not establish causal expression or activation direction.;candidate-only rows are non-traversable	Recovered from the TFLink per-protein target table rather than GMT membership alone. The attached PubMed ID identifies the source database paper; the underlying experiment accession/original paper was not supplied in this TFLink row.	pending_module_owner_approval	false	false	module_fit_candidate	TFLink	tflink:mouse:000941:00eb4586fdbc	tflink:mouse:000941:00eb4586fdbc	not_found_in_active_graph	unknown	one_endpoint_symbol_present	1	1	not_eligible_without_independent_evidence_and_dependency_metadata	tflink:mouse:000941:00eb4586fdbc tflink:mouse:000941:00eb4586fdbc https://pubmed.ncbi.nlm.nih.gov/27924024/  https://cdn.netbiol.org/tflink/proteinDownload_targets/TFLink_targets_of_P70170.tsv
PTF-SCREEN-PTF-MODULE-20B-000004	evidence_candidate	not_traversable	ABCC9/SUR2	Abcc9	Adam17	20B	20B_target_interaction	20B	candidate_only	not_traversable	False	False	False	A/B/C evidence has an explicit target_graph_modules assignment; candidate remains pending module-owner approval.;promoted overlay evidence tier;tflink_source_table_exact_pair;expression_or_perturbation_association	C_tflink_source_table_only	expression_or_perturbation_association	chromatin immunoprecipitation assay	not_identified_outside_tflink_source_table	0	tflink_source_table_exact_pair	Exact TFLink target-table row; detection_method=chromatin immunoprecipitation assay; source_database=GTRD; large-scale association record.	mouse	unknown_not_structured_in_candidate_layer	L3_spinal_cord_tissue_context	L4_SCI_context	L0_no_context_evidence	indirect_sci_context	pathway_or_component_only	Mouse Abcc9/SUR2 has independent spinal-cord expression evidence, establishing L3 regulator-component context. Mouse Adam17 has independent expression and functional evidence in spinal-cord injury models, establishing L4 target-component context. The reviewed ABCC9-to-Adam17 source-table relationship was not established as an SCI mechanism, so the exact pair remains L0.	sci_relevant_component_context	unknown	tflink_exact_high_throughput_binding_record_primary_source_metadata	citation_and_source_record	https://pubmed.ncbi.nlm.nih.gov/27924024/;tflink:mouse:000941:00eb4586fdbc;tflink:mouse:000941:00eb4586fdbc;https://cdn.netbiol.org/tflink/proteinDownload_targets/TFLink_targets_of_P70170.tsv;data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_protein_targets_v1/mouse_P70170_targets.tsv	Exact TFLink organism match; no cross-species or reverse-direction inference. ChIP-seq association does not establish causal expression or activation direction.;candidate-only rows are non-traversable	Recovered from the TFLink per-protein target table rather than GMT membership alone. The attached PubMed ID identifies the source database paper; the underlying experiment accession/original paper was not supplied in this TFLink row.	pending_module_owner_approval	false	false	module_fit_candidate	TFLink	tflink:mouse:000941:00eb4586fdbc	tflink:mouse:000941:00eb4586fdbc	not_found_in_active_graph	unknown	one_endpoint_symbol_present	1	1	not_eligible_without_independent_evidence_and_dependency_metadata	tflink:mouse:000941:00eb4586fdbc tflink:mouse:000941:00eb4586fdbc https://pubmed.ncbi.nlm.nih.gov/27924024/  https://cdn.netbiol.org/tflink/proteinDownload_targets/TFLink_targets_of_P70170.tsv
PTF-SCREEN-PTF-MODULE-20B-000005	evidence_candidate	not_traversable	ADA2/CECR1	ADA2	ANXA2	20B	20B_secreted_factor_association;23B_secreted_factor_association;24B_secreted_factor_association	20B;23B;24B	unresolved	not_traversable	False	False	False	Explicit module route is retained, but the reviewed mechanism class is noncanonical and is not a canonical TF/module candidate.;promoted overlay evidence tier;expression_association_not_promotable;extracellular_signal_or_receptor_relay	B_independent_literature_single_source	extracellular_signal_or_receptor_relay	unknown	independent_literature_single_source	1	expression_association_not_promotable	ADA2_and_ANXA2_co-occurrence_without_binding_or_protein_interaction_assay	human	unknown_not_structured_in_candidate_layer	L1_non_CNS_context	L1_non_CNS_context	L1_non_CNS_context	non_sci_context_limited	exact_pair	The recorded exact-pair model (human_sepsis_time_series_biomarker_analysis_not_SCI_target_cell) is non-CNS and does not provide CNS, spinal-cord-tissue, or SCI context. It therefore supports L1 non-CNS context for the exact pair, but no higher context level. This is a bounded screen result, not a claim of exhaustive literature absence.	non_cns_context_candidate	unknown	broad_human_secreted_factor_expression_association_primary_only	citation_and_source_record	https://pubmed.ncbi.nlm.nih.gov/32845709/;tflink:human:001336:43f9f0d36efa;tflink:human:001336:43f9f0d36efa	A biomarker/co-expression association does not establish ADA2 regulation of ANXA2 RNA, protein or locus.;not in validated overlay; retained unresolved pending exact-pair adjudication	Weak association was preserved without promotion; ADA2 was not confused with TADA2A. ADA2 in this queue is CECR1/adenosine deaminase 2, a secreted enzyme; it is not TADA2A and not a TF.	separate_noncanonical_layer_pending_approval	false	false	retain_for_context_only	TFLink	tflink:human:001336:43f9f0d36efa	tflink:human:001336:43f9f0d36efa	not_found_in_active_graph	unknown	one_endpoint_symbol_present	3	3	not_eligible_without_independent_evidence_and_dependency_metadata	tflink:human:001336:43f9f0d36efa tflink:human:001336:43f9f0d36efa https://pubmed.ncbi.nlm.nih.gov/32845709/
PTF-SCREEN-PTF-MODULE-20B-000006	evidence_candidate	not_traversable	ADA2/CECR1	ADA2	CCKBR	20B	20B_target_interaction	20B	candidate_only	not_traversable	False	False	False	A/B/C evidence has an explicit target_graph_modules assignment; candidate remains pending module-owner approval.;promoted overlay evidence tier;tflink_source_table_exact_pair;expression_or_perturbation_association	C_tflink_source_table_only	expression_or_perturbation_association	chromatin immunoprecipitation assay	not_identified_outside_tflink_source_table	0	tflink_source_table_exact_pair	Exact TFLink target-table row; detection_method=chromatin immunoprecipitation assay; source_database=GTRD; large-scale association record.	human	unknown_not_structured_in_candidate_layer	L1_non_CNS_context	L3_spinal_cord_tissue_context	L0_no_context_evidence	non_sci_transferable_context	pathway_or_component_only	Human ADA2/CECR1 has independent non-CNS monocyte/macrophage expression evidence, establishing L1 regulator-component context. Human CCKBR has direct HPA spinal-cord tissue RNA representation, establishing L3 target-component context. Exact-pair checks found no direct contextual ADA2-to-CCKBR mechanism, so the exact pair remains L0.	sci_relevant_component_context	unknown	tflink_exact_high_throughput_binding_record_primary_source_metadata	citation_and_source_record	https://pubmed.ncbi.nlm.nih.gov/27924024/;tflink:human:001336:43f9f0d36efa;tflink:human:001336:43f9f0d36efa;https://cdn.netbiol.org/tflink/proteinDownload_targets/TFLink_targets_of_Q9NZK5.tsv;data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_protein_targets_v1/human_Q9NZK5_targets.tsv	Exact TFLink organism match; no cross-species or reverse-direction inference. ChIP-seq association does not establish causal expression or activation direction.;candidate-only rows are non-traversable	Recovered from the TFLink per-protein target table rather than GMT membership alone. The attached PubMed ID identifies the source database paper; the underlying experiment accession/original paper was not supplied in this TFLink row.	pending_module_owner_approval	false	false	module_fit_candidate	TFLink	tflink:human:001336:43f9f0d36efa	tflink:human:001336:43f9f0d36efa	not_found_in_active_graph	unknown	one_endpoint_symbol_present	1	1	not_eligible_without_independent_evidence_and_dependency_metadata	tflink:human:001336:43f9f0d36efa tflink:human:001336:43f9f0d36efa https://pubmed.ncbi.nlm.nih.gov/27924024/  https://cdn.netbiol.org/tflink/proteinDownload_targets/TFLink_targets_of_Q9NZK5.tsv
PTF-SCREEN-PTF-MODULE-20B-000007	evidence_candidate	not_traversable	ADA2/CECR1	ADA2	FGF7	20B	20B_target_interaction	20B	candidate_only	not_traversable	False	False	False	A/B/C evidence has an explicit target_graph_modules assignment; candidate remains pending module-owner approval.;promoted overlay evidence tier;tflink_source_table_exact_pair;expression_or_perturbation_association	C_tflink_source_table_only	expression_or_perturbation_association	chromatin immunoprecipitation assay	not_identified_outside_tflink_source_table	0	tflink_source_table_exact_pair	Exact TFLink target-table row; detection_method=chromatin immunoprecipitation assay; source_database=GTRD; large-scale association record.	human	unknown_not_structured_in_candidate_layer	L1_non_CNS_context	L1_non_CNS_context	L0_no_context_evidence	non_sci_transferable_context	pathway_or_component_only	Human ADA2/CECR1 has independent non-CNS monocyte/macrophage expression evidence, establishing L1 regulator-component context. Human FGF7 has independent non-CNS mesenchymal/epithelial and skin expression evidence, establishing L1 target-component context. Exact-pair searches found no direct contextual ADA2-to-FGF7 mechanism, so the exact pair remains L0.	sci_relevant_component_context	unknown	tflink_exact_high_throughput_binding_record_primary_source_metadata	citation_and_source_record	https://pubmed.ncbi.nlm.nih.gov/27924024/;tflink:human:001336:43f9f0d36efa;tflink:human:001336:43f9f0d36efa;https://cdn.netbiol.org/tflink/proteinDownload_targets/TFLink_targets_of_Q9NZK5.tsv;data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_protein_targets_v1/human_Q9NZK5_targets.tsv	Exact TFLink organism match; no cross-species or reverse-direction inference. ChIP-seq association does not establish causal expression or activation direction.;candidate-only rows are non-traversable	Recovered from the TFLink per-protein target table rather than GMT membership alone. The attached PubMed ID identifies the source database paper; the underlying experiment accession/original paper was not supplied in this TFLink row.	pending_module_owner_approval	false	false	module_fit_candidate	TFLink	tflink:human:001336:43f9f0d36efa	tflink:human:001336:43f9f0d36efa	not_found_in_active_graph	unknown	one_endpoint_symbol_present	1	1	not_eligible_without_independent_evidence_and_dependency_metadata	tflink:human:001336:43f9f0d36efa tflink:human:001336:43f9f0d36efa https://pubmed.ncbi.nlm.nih.gov/27924024/  https://cdn.netbiol.org/tflink/proteinDownload_targets/TFLink_targets_of_Q9NZK5.tsv
PTF-SCREEN-PTF-MODULE-20B-000008	evidence_candidate	not_traversable	ADCYAP1	ADCYAP1	DIP2A	20B	20B_target_interaction	20B	candidate_only	not_traversable	False	False	False	A/B/C evidence has an explicit target_graph_modules assignment; candidate remains pending module-owner approval.;promoted overlay evidence tier;tflink_source_table_exact_pair;expression_or_perturbation_association	C_tflink_source_table_only	expression_or_perturbation_association	chromatin immunoprecipitation assay	not_identified_outside_tflink_source_table	0	tflink_source_table_exact_pair	Exact TFLink target-table row; detection_method=chromatin immunoprecipitation assay; source_database=GTRD; large-scale association record.	human	unknown_not_structured_in_candidate_layer	L4_SCI_context	L3_spinal_cord_tissue_context	L0_no_context_evidence	indirect_sci_context	pathway_or_component_only	Human/mouse PACAP (ADCYAP1) has independent spinal-cord injury evidence, establishing L4 regulator-component context. Human DIP2A has direct HPA spinal-cord RNA expression, establishing L3 target-component context. Exact-pair checks found no direct contextual ADCYAP1-to-DIP2A mechanism, so the exact pair remains L0.	sci_relevant_component_context	unknown	tflink_exact_high_throughput_binding_record_primary_source_metadata	citation_and_source_record	https://pubmed.ncbi.nlm.nih.gov/27924024/;tflink:human:001561:a510b1da4da0;tflink:human:001561:a510b1da4da0;https://cdn.netbiol.org/tflink/proteinDownload_targets/TFLink_targets_of_P18509.tsv;data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_protein_targets_v1/human_P18509_targets.tsv	Exact TFLink organism match; no cross-species or reverse-direction inference. ChIP-seq association does not establish causal expression or activation direction.;candidate-only rows are non-traversable	Recovered from the TFLink per-protein target table rather than GMT membership alone. The attached PubMed ID identifies the source database paper; the underlying experiment accession/original paper was not supplied in this TFLink row.	pending_module_owner_approval	false	false	module_fit_candidate	TFLink	tflink:human:001561:a510b1da4da0	tflink:human:001561:a510b1da4da0	regulator_and_target_nodes_present	unknown	both_endpoint_symbols_present	1	1	not_eligible_without_independent_evidence_and_dependency_metadata	tflink:human:001561:a510b1da4da0 tflink:human:001561:a510b1da4da0 https://pubmed.ncbi.nlm.nih.gov/27924024/  https://cdn.netbiol.org/tflink/proteinDownload_targets/TFLink_targets_of_P18509.tsv
PTF-SCREEN-PTF-MODULE-20B-000009	evidence_candidate	not_traversable	ADNP	unknown	ADA	20B	adjudicated_database_archive	20B	candidate_only	not_traversable	False	False	False	Reviewed D/E evidence is retained for provenance/context but excluded from module support and materialization.;completed search found only database/profile/membership evidence;binding_profile_only_not_promotable;unresolved_mechanism	D_database_only_no_pair_evidence	unresolved_mechanism	unknown	unknown	unknown	binding_profile_only_not_promotable	unknown	human	unknown_not_structured_in_candidate_layer	L0_no_context_evidence	L0_no_context_evidence	L0_no_context_evidence	not_assessed	not_assessed	No graded CNS/spinal-cord context adjudication has been completed for this row; do not infer context from regulator or target identity alone.	screened_out_low_tier	unknown	D_database_only_no_pair_evidence	citation_and_source_record	tflink:human:001059:68b0d35ff216	candidate-only rows are non-traversable	Retain the adjudicated database/profile-only provenance; do not promote or repeat the search unless a new traceable source is found.	screened_out_low_tier	false	false	screen_out_low_tier	unknown	unknown	tflink:human:001059:68b0d35ff216	not_found_in_active_graph	unknown	one_endpoint_symbol_present	1	1	not_eligible_without_independent_evidence_and_dependency_metadata	tflink:human:001059:68b0d35ff216
PTF-SCREEN-PTF-MODULE-20B-000010	evidence_candidate	not_traversable	ADNP	unknown	ANG	20B	adjudicated_database_archive	20B	candidate_only	not_traversable	False	False	False	Reviewed D/E evidence is retained for provenance/context but excluded from module support and materialization.;completed search found only database/profile/membership evidence;binding_profile_only_not_promotable;unresolved_mechanism	D_database_only_no_pair_evidence	unresolved_mechanism	unknown	unknown	unknown	binding_profile_only_not_promotable	unknown	human	unknown_not_structured_in_candidate_layer	L0_no_context_evidence	L0_no_context_evidence	L0_no_context_evidence	not_assessed	not_assessed	No graded CNS/spinal-cord context adjudication has been completed for this row; do not infer context from regulator or target identity alone.	screened_out_low_tier	unknown	D_database_only_no_pair_evidence	citation_and_source_record	tflink:human:001059:68b0d35ff216	candidate-only rows are non-traversable	Retain the adjudicated database/profile-only provenance; do not promote or repeat the search unless a new traceable source is found.	screened_out_low_tier	false	false	screen_out_low_tier	unknown	unknown	tflink:human:001059:68b0d35ff216	not_found_in_active_graph	unknown	one_endpoint_symbol_present	1	1	not_eligible_without_independent_evidence_and_dependency_metadata	tflink:human:001059:68b0d35ff216
