source_row_id	module	module_route	regulator	raw_regulator	target	species	review_status	traversal_eligibility	evidence_confidence_tier	exact_pair_status	binding_or_association_status	assay_type	tflink_source_database	tflink_pubmed_id	primary_citation	source_record_id	source_record_ids	tflink_raw_snapshot_path	context_level_exact_pair	sci_context_status	effect_direction	missing_evidence	review_notes
PTF-SCREEN-PTF-MODULE-20B-000062	20B	20B_target_interaction	ARNT2	Arnt2	A2m	mouse	candidate_only	not_traversable	C_tflink_source_table_only	tflink_source_table_exact_pair	Exact TFLink target-table row; detection_method=chromatin immunoprecipitation assay; source_database=GTRD; large-scale association record.	chromatin immunoprecipitation assay	GTRD	27924024	https://pubmed.ncbi.nlm.nih.gov/27924024/	tflink:mouse:000856:ade019945ee8	tflink:mouse:000856:ade019945ee8	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_protein_targets_v1/mouse_Q61324_targets.tsv	L0_no_context_evidence	indirect_sci_context	unknown	underlying primary exact-pair citation; functional perturbation or target-expression response; supported effect direction; neural/SCI context if required	Recovered from the TFLink per-protein target table rather than GMT membership alone. The attached PubMed ID identifies the source database paper; the underlying experiment accession/original paper was not supplied in this TFLink row.
PTF-SCREEN-PTF-MODULE-20B-000063	20B	20B_target_interaction	ARNT2	Arnt2	Abca1	mouse	candidate_only	not_traversable	C_tflink_source_table_only	tflink_source_table_exact_pair	Exact TFLink target-table row; detection_method=chromatin immunoprecipitation assay; source_database=GTRD; large-scale association record.	chromatin immunoprecipitation assay	GTRD	27924024	https://pubmed.ncbi.nlm.nih.gov/27924024/	tflink:mouse:000856:ade019945ee8	tflink:mouse:000856:ade019945ee8	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_protein_targets_v1/mouse_Q61324_targets.tsv	L0_no_context_evidence	indirect_sci_context	unknown	underlying primary exact-pair citation; functional perturbation or target-expression response; supported effect direction; neural/SCI context if required	Recovered from the TFLink per-protein target table rather than GMT membership alone. The attached PubMed ID identifies the source database paper; the underlying experiment accession/original paper was not supplied in this TFLink row.
PTF-SCREEN-PTF-MODULE-20B-000064	20B	20B_target_interaction	ARNT2	Arnt2	Ackr3	mouse	candidate_only	not_traversable	C_tflink_source_table_only	tflink_source_table_exact_pair	Exact TFLink target-table row; detection_method=chromatin immunoprecipitation assay; source_database=GTRD; large-scale association record.	chromatin immunoprecipitation assay	GTRD	27924024	https://pubmed.ncbi.nlm.nih.gov/27924024/	tflink:mouse:000856:ade019945ee8	tflink:mouse:000856:ade019945ee8	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_protein_targets_v1/mouse_Q61324_targets.tsv	L0_no_context_evidence	non_sci_transferable_context	unknown	underlying primary exact-pair citation; functional perturbation or target-expression response; supported effect direction; neural/SCI context if required	Recovered from the TFLink per-protein target table rather than GMT membership alone. The attached PubMed ID identifies the source database paper; the underlying experiment accession/original paper was not supplied in this TFLink row.
PTF-SCREEN-PTF-MODULE-20B-000065	20B	20B_target_interaction	ARNT2	Arnt2	Actr2	mouse	candidate_only	not_traversable	C_tflink_source_table_only	tflink_source_table_exact_pair	Exact TFLink target-table row; detection_method=chromatin immunoprecipitation assay; source_database=GTRD; large-scale association record.	chromatin immunoprecipitation assay	GTRD	27924024	https://pubmed.ncbi.nlm.nih.gov/27924024/	tflink:mouse:000856:ade019945ee8	tflink:mouse:000856:ade019945ee8	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_protein_targets_v1/mouse_Q61324_targets.tsv	L0_no_context_evidence	non_sci_transferable_context	unknown	underlying primary exact-pair citation; functional perturbation or target-expression response; supported effect direction; neural/SCI context if required	Recovered from the TFLink per-protein target table rather than GMT membership alone. The attached PubMed ID identifies the source database paper; the underlying experiment accession/original paper was not supplied in this TFLink row.
PTF-SCREEN-PTF-MODULE-20B-000075	20B	20B_target_interaction	ASCL2	Ascl2	Ackr4	mouse	candidate_only	not_traversable	C_tflink_source_table_only	tflink_source_table_exact_pair	Exact TFLink target-table row; detection_method=chromatin immunoprecipitation assay; source_database=GTRD; large-scale association record.	chromatin immunoprecipitation assay	GTRD	27924024	https://pubmed.ncbi.nlm.nih.gov/27924024/	tflink:mouse:000953:3231da0bbb17	tflink:mouse:000953:3231da0bbb17	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_protein_targets_v1/mouse_O35885_targets.tsv	L0_no_context_evidence	non_sci_transferable_context	unknown	underlying primary exact-pair citation; functional perturbation or target-expression response; supported effect direction; neural/SCI context if required	Recovered from the TFLink per-protein target table rather than GMT membership alone. The attached PubMed ID identifies the source database paper; the underlying experiment accession/original paper was not supplied in this TFLink row.
PTF-SCREEN-PTF-MODULE-20B-000077	20B	20B_target_interaction	ASCL2	Ascl2	Actr2	mouse	candidate_only	not_traversable	C_tflink_source_table_only	tflink_source_table_exact_pair	Exact TFLink target-table row; detection_method=chromatin immunoprecipitation assay; source_database=GTRD; large-scale association record.	chromatin immunoprecipitation assay	GTRD	27924024	https://pubmed.ncbi.nlm.nih.gov/27924024/	tflink:mouse:000953:3231da0bbb17	tflink:mouse:000953:3231da0bbb17	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_protein_targets_v1/mouse_O35885_targets.tsv	L0_no_context_evidence	non_sci_transferable_context	unknown	underlying primary exact-pair citation; functional perturbation or target-expression response; supported effect direction; neural/SCI context if required	Recovered from the TFLink per-protein target table rather than GMT membership alone. The attached PubMed ID identifies the source database paper; the underlying experiment accession/original paper was not supplied in this TFLink row.
PTF-SCREEN-PTF-MODULE-20B-000078	20B	20B_target_interaction	ASCL2	Ascl2	Adam17	mouse	candidate_only	not_traversable	C_tflink_source_table_only	tflink_source_table_exact_pair	Exact TFLink target-table row; detection_method=chromatin immunoprecipitation assay; source_database=GTRD; large-scale association record.	chromatin immunoprecipitation assay	GTRD	27924024	https://pubmed.ncbi.nlm.nih.gov/27924024/	tflink:mouse:000953:3231da0bbb17	tflink:mouse:000953:3231da0bbb17	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_protein_targets_v1/mouse_O35885_targets.tsv	L0_no_context_evidence	indirect_sci_context	unknown	underlying primary exact-pair citation; functional perturbation or target-expression response; supported effect direction; neural/SCI context if required	Recovered from the TFLink per-protein target table rather than GMT membership alone. The attached PubMed ID identifies the source database paper; the underlying experiment accession/original paper was not supplied in this TFLink row.
PTF-SCREEN-PTF-MODULE-20B-000079	20B	20B_target_interaction	ASCL2	Ascl2	Adam9	mouse	candidate_only	not_traversable	C_tflink_source_table_only	tflink_source_table_exact_pair	Exact TFLink target-table row; detection_method=chromatin immunoprecipitation assay; source_database=GTRD; large-scale association record.	chromatin immunoprecipitation assay	GTRD	27924024	https://pubmed.ncbi.nlm.nih.gov/27924024/	tflink:mouse:000953:3231da0bbb17	tflink:mouse:000953:3231da0bbb17	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_protein_targets_v1/mouse_O35885_targets.tsv	L0_no_context_evidence	non_sci_transferable_context	unknown	underlying primary exact-pair citation; functional perturbation or target-expression response; supported effect direction; neural/SCI context if required	Recovered from the TFLink per-protein target table rather than GMT membership alone. The attached PubMed ID identifies the source database paper; the underlying experiment accession/original paper was not supplied in this TFLink row.
PTF-SCREEN-PTF-MODULE-20B-000125	20B	20B_target_interaction	BHLHA15	Bhlha15	Abca1	mouse	candidate_only	not_traversable	C_tflink_source_table_only	tflink_source_table_exact_pair	Exact TFLink target-table row; detection_method=chromatin immunoprecipitation assay; source_database=GTRD; large-scale association record.	chromatin immunoprecipitation assay	GTRD	27924024	https://pubmed.ncbi.nlm.nih.gov/27924024/	tflink:mouse:000903:ae4339786317	tflink:mouse:000903:ae4339786317	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_protein_targets_v1/mouse_Q9QYC3_targets.tsv	L0_no_context_evidence	indirect_sci_context	unknown	underlying primary exact-pair citation; functional perturbation or target-expression response; supported effect direction; neural/SCI context if required	Recovered from the TFLink per-protein target table rather than GMT membership alone. The attached PubMed ID identifies the source database paper; the underlying experiment accession/original paper was not supplied in this TFLink row.
PTF-SCREEN-PTF-MODULE-20B-000126	20B	20B_target_interaction	BHLHA15	Bhlha15	Acvr1	mouse	candidate_only	not_traversable	C_tflink_source_table_only	tflink_source_table_exact_pair	Exact TFLink target-table row; detection_method=chromatin immunoprecipitation assay; source_database=GTRD; large-scale association record.	chromatin immunoprecipitation assay	GTRD	27924024	https://pubmed.ncbi.nlm.nih.gov/27924024/	tflink:mouse:000903:ae4339786317	tflink:mouse:000903:ae4339786317	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_protein_targets_v1/mouse_Q9QYC3_targets.tsv	L0_no_context_evidence	non_sci_transferable_context	unknown	underlying primary exact-pair citation; functional perturbation or target-expression response; supported effect direction; neural/SCI context if required	Recovered from the TFLink per-protein target table rather than GMT membership alone. The attached PubMed ID identifies the source database paper; the underlying experiment accession/original paper was not supplied in this TFLink row.
