packet_id	row_count	first_pair_key	last_pair_key	packet_path	report_path	status
M20A-CELLCHAT-REMAINING-01	200	12oxoltb4-ptgr1 ltb4r1	apob trem2_tyrobp	work/module20_db_seed/evidence_search_agents/cellchat_remaining_batch_001/M20A-CELLCHAT-REMAINING-01.tsv	work/module20_db_seed/evidence_search_agents/cellchat_remaining_batch_001/M20A-CELLCHAT-REMAINING-01.report.tsv	assigned
M20A-CELLCHAT-REMAINING-02	200	apoe trem2_tyrobp	col4a4 itga3_itgb1	work/module20_db_seed/evidence_search_agents/cellchat_remaining_batch_001/M20A-CELLCHAT-REMAINING-02.tsv	work/module20_db_seed/evidence_search_agents/cellchat_remaining_batch_001/M20A-CELLCHAT-REMAINING-02.report.tsv	assigned
M20A-CELLCHAT-REMAINING-03	200	col4a4 itga9_itgb1	gaba-gad1_slc6a13 gabr_a4b2d	work/module20_db_seed/evidence_search_agents/cellchat_remaining_batch_001/M20A-CELLCHAT-REMAINING-03.tsv	work/module20_db_seed/evidence_search_agents/cellchat_remaining_batch_001/M20A-CELLCHAT-REMAINING-03.report.tsv	assigned
M20A-CELLCHAT-REMAINING-04	200	gaba-gad1_slc6a13 gabr_a4b3d	gja3 gja1	work/module20_db_seed/evidence_search_agents/cellchat_remaining_batch_001/M20A-CELLCHAT-REMAINING-04.tsv	work/module20_db_seed/evidence_search_agents/cellchat_remaining_batch_001/M20A-CELLCHAT-REMAINING-04.report.tsv	assigned
M20A-CELLCHAT-REMAINING-05	200	gja3 gja3	glu-slc1a1_gls2 grik3_grik5	work/module20_db_seed/evidence_search_agents/cellchat_remaining_batch_001/M20A-CELLCHAT-REMAINING-05.tsv	work/module20_db_seed/evidence_search_agents/cellchat_remaining_batch_001/M20A-CELLCHAT-REMAINING-05.report.tsv	assigned
M20A-CELLCHAT-REMAINING-06	200	glu-slc1a1_gls2 grin1_grin2a	glu-slc1a7_gls2 grik3_grik5	work/module20_db_seed/evidence_search_agents/cellchat_remaining_batch_001/M20A-CELLCHAT-REMAINING-06.tsv	work/module20_db_seed/evidence_search_agents/cellchat_remaining_batch_001/M20A-CELLCHAT-REMAINING-06.report.tsv	assigned
M20A-CELLCHAT-REMAINING-07	200	glu-slc1a7_gls2 grin1_grin2a	jam2 jam3	work/module20_db_seed/evidence_search_agents/cellchat_remaining_batch_001/M20A-CELLCHAT-REMAINING-07.tsv	work/module20_db_seed/evidence_search_agents/cellchat_remaining_batch_001/M20A-CELLCHAT-REMAINING-07.report.tsv	assigned
M20A-CELLCHAT-REMAINING-08	200	jam3 f11r	pcdhb4 pcdhb12	work/module20_db_seed/evidence_search_agents/cellchat_remaining_batch_001/M20A-CELLCHAT-REMAINING-08.tsv	work/module20_db_seed/evidence_search_agents/cellchat_remaining_batch_001/M20A-CELLCHAT-REMAINING-08.report.tsv	assigned
M20A-CELLCHAT-REMAINING-09	200	pcdhb4 pcdhb4	tenm4 adgrl2	work/module20_db_seed/evidence_search_agents/cellchat_remaining_batch_001/M20A-CELLCHAT-REMAINING-09.tsv	work/module20_db_seed/evidence_search_agents/cellchat_remaining_batch_001/M20A-CELLCHAT-REMAINING-09.report.tsv	assigned
M20A-CELLCHAT-REMAINING-10	69	tenm4 adgrl3	wnt9a fzd9_lrp6	work/module20_db_seed/evidence_search_agents/cellchat_remaining_batch_001/M20A-CELLCHAT-REMAINING-10.tsv	work/module20_db_seed/evidence_search_agents/cellchat_remaining_batch_001/M20A-CELLCHAT-REMAINING-10.report.tsv	assigned
