pair_key	pair_label_canonical	cellchat_status	module20a_status	review_id	current_confidence	prior_notes
glu-slc1a7_gls2 grin1_grin2a	Glu-SLC1A7_GLS2 GRIN1_GRIN2A	cellchat_full	no		unreviewed	not_in_module20a_review_queue
glu-slc1a7_gls2 grin1_grin2b	Glu-SLC1A7_GLS2 GRIN1_GRIN2B	cellchat_full	no		unreviewed	not_in_module20a_review_queue
glu-slc1a7_gls2 grin1_grin2c	Glu-SLC1A7_GLS2 GRIN1_GRIN2C	cellchat_full	no		unreviewed	not_in_module20a_review_queue
glu-slc1a7_gls2 grin1_grin2d	Glu-SLC1A7_GLS2 GRIN1_GRIN2D	cellchat_full	no		unreviewed	not_in_module20a_review_queue
glu-slc1a7_gls2 grm1	Glu-SLC1A7_GLS2 Grm1	cellchat_full	no		unreviewed	not_in_module20a_review_queue
glu-slc1a7_gls2 grm2	Glu-SLC1A7_GLS2 Grm2	cellchat_full	no		unreviewed	not_in_module20a_review_queue
glu-slc1a7_gls2 grm3	Glu-SLC1A7_GLS2 Grm3	cellchat_full	no		unreviewed	not_in_module20a_review_queue
glu-slc1a7_gls2 grm4	Glu-SLC1A7_GLS2 Grm4	cellchat_full	no		unreviewed	not_in_module20a_review_queue
glu-slc1a7_gls2 grm5	Glu-SLC1A7_GLS2 Grm5	cellchat_full	no		unreviewed	not_in_module20a_review_queue
glu-slc1a7_gls2 grm6	Glu-SLC1A7_GLS2 Grm6	cellchat_full	no		unreviewed	not_in_module20a_review_queue
glu-slc1a7_gls2 grm7	Glu-SLC1A7_GLS2 Grm7	cellchat_full	no		unreviewed	not_in_module20a_review_queue
glu-slc1a7_gls2 grm8	Glu-SLC1A7_GLS2 Grm8	cellchat_full	no		unreviewed	not_in_module20a_review_queue
gly-shmt1_slc6a5 glra1_glrb	Gly-SHMT1_SLC6A5 GLRA1_GLRB	cellchat_full	no		unreviewed	not_in_module20a_review_queue
gly-shmt1_slc6a5 glra2	Gly-SHMT1_SLC6A5 Glra2	cellchat_full	no		unreviewed	not_in_module20a_review_queue
gly-shmt1_slc6a9 glra1_glrb	Gly-SHMT1_SLC6A9 GLRA1_GLRB	cellchat_full	no		unreviewed	not_in_module20a_review_queue
gly-shmt1_slc6a9 glra2	Gly-SHMT1_SLC6A9 Glra2	cellchat_full	no		unreviewed	not_in_module20a_review_queue
gly-shmt2_slc6a5 glra1_glrb	Gly-SHMT2_SLC6A5 GLRA1_GLRB	cellchat_full	no		unreviewed	not_in_module20a_review_queue
gly-shmt2_slc6a5 glra2	Gly-SHMT2_SLC6A5 Glra2	cellchat_full	no		unreviewed	not_in_module20a_review_queue
gly-shmt2_slc6a9 glra1_glrb	Gly-SHMT2_SLC6A9 GLRA1_GLRB	cellchat_full	no		unreviewed	not_in_module20a_review_queue
gly-shmt2_slc6a9 glra2	Gly-SHMT2_SLC6A9 Glra2	cellchat_full	no		unreviewed	not_in_module20a_review_queue
gm10499 cd8a	Gm10499 Cd8a	cellchat_full	no		unreviewed	not_in_module20a_review_queue
gm10499 cd8b1	Gm10499 Cd8b1	cellchat_full	no		unreviewed	not_in_module20a_review_queue
gphb5_gpha2 tshr	GPHB5_GPHA2 Tshr	cellchat_full	no		unreviewed	not_in_module20a_review_queue
h2-bl cd8a	H2-Bl Cd8a	cellchat_full	no		unreviewed	not_in_module20a_review_queue
h2-bl cd8b1	H2-Bl Cd8b1	cellchat_full	no		unreviewed	not_in_module20a_review_queue
h2-d klra	H2-D Klra	cellchat_full	no		unreviewed	not_in_module20a_review_queue
h2-d1 cd8a	H2-D1 Cd8a	cellchat_full	no		unreviewed	not_in_module20a_review_queue
h2-d1 cd8b1	H2-D1 Cd8b1	cellchat_full	no		unreviewed	not_in_module20a_review_queue
h2-d1 kir3dl1	H2-D1 Kir3dl1	cellchat_full	no		unreviewed	not_in_module20a_review_queue
h2-ea cd4	H2-Ea Cd4	cellchat_full	no		unreviewed	not_in_module20a_review_queue
h2-k1 kir3dl1	H2-K1 Kir3dl1	cellchat_full	no		unreviewed	not_in_module20a_review_queue
h2-k1 klra	H2-K1 Klra	cellchat_full	no		unreviewed	not_in_module20a_review_queue
h2-l cd8a	H2-L Cd8a	cellchat_full	no		unreviewed	not_in_module20a_review_queue
h2-l cd8b1	H2-L Cd8b1	cellchat_full	no		unreviewed	not_in_module20a_review_queue
h2-m1 cd8a	H2-M1 Cd8a	cellchat_full	no		unreviewed	not_in_module20a_review_queue
h2-m1 cd8b1	H2-M1 Cd8b1	cellchat_full	no		unreviewed	not_in_module20a_review_queue
h2-m10.1 cd8a	H2-M10.1 Cd8a	cellchat_full	no		unreviewed	not_in_module20a_review_queue
h2-m10.1 cd8b1	H2-M10.1 Cd8b1	cellchat_full	no		unreviewed	not_in_module20a_review_queue
h2-m10.2 cd8a	H2-M10.2 Cd8a	cellchat_full	no		unreviewed	not_in_module20a_review_queue
h2-m10.2 cd8b1	H2-M10.2 Cd8b1	cellchat_full	no		unreviewed	not_in_module20a_review_queue
h2-m10.3 cd8a	H2-M10.3 Cd8a	cellchat_full	no		unreviewed	not_in_module20a_review_queue
h2-m10.3 cd8b1	H2-M10.3 Cd8b1	cellchat_full	no		unreviewed	not_in_module20a_review_queue
h2-m10.4 cd8a	H2-M10.4 Cd8a	cellchat_full	no		unreviewed	not_in_module20a_review_queue
h2-m10.4 cd8b1	H2-M10.4 Cd8b1	cellchat_full	no		unreviewed	not_in_module20a_review_queue
