pair_key	pair_label_canonical	cellchat_status	module20a_status	review_id	current_confidence	prior_notes
jam3 f11r	Jam3 F11r	cellchat_full	no		unreviewed	not_in_module20a_review_queue
jam3 itgam_itgb2l	Jam3 ITGAM_ITGB2L	cellchat_full	no		unreviewed	not_in_module20a_review_queue
jam3 jam3	Jam3 Jam3	cellchat_full	no		unreviewed	not_in_module20a_review_queue
klk1 f2r	Klk1 F2r	cellchat_full	no		unreviewed	not_in_module20a_review_queue
klk14 f2r	Klk14 F2r	cellchat_full	no		unreviewed	not_in_module20a_review_queue
klk14 f2rl1	Klk14 F2rl1	cellchat_full	no		unreviewed	not_in_module20a_review_queue
klk1b4 ngfr	Klk1b4 Ngfr	cellchat_full	yes		unreviewed	not_in_module20a_review_queue
klk1b4 ntrk1	Klk1b4 Ntrk1	cellchat_full	yes		unreviewed	not_in_module20a_review_queue
klk4 f2r	Klk4 F2r	cellchat_full	no		unreviewed	not_in_module20a_review_queue
klk4 f2rl1	Klk4 F2rl1	cellchat_full	no		unreviewed	not_in_module20a_review_queue
klk5 f2rl1	Klk5 F2rl1	cellchat_full	no		unreviewed	not_in_module20a_review_queue
klk6 f2r	Klk6 F2r	cellchat_full	no		unreviewed	not_in_module20a_review_queue
klk6 f2rl1	Klk6 F2rl1	cellchat_full	no		unreviewed	not_in_module20a_review_queue
klk7 f2rl1	Klk7 F2rl1	cellchat_full	no		unreviewed	not_in_module20a_review_queue
klk8 f2r	Klk8 F2r	cellchat_full	no		unreviewed	not_in_module20a_review_queue
l1cam l1cam	L1cam L1cam	cellchat_full	no		unreviewed	not_in_module20a_review_queue
lair1 lilrb4a	Lair1 Lilrb4a	cellchat_full	no		unreviewed	not_in_module20a_review_queue
lair1 pira2	Lair1 Pira2	cellchat_full	no		unreviewed	not_in_module20a_review_queue
lama2 adgrg6	Lama2 Adgrg6	cellchat_full	no		unreviewed	not_in_module20a_review_queue
lck cd8 receptor	Lck CD8 receptor	cellchat_full	no		unreviewed	not_in_module20a_review_queue
lgals9 bcr_cd45_cd22	Lgals9 BCR_CD45_CD22	cellchat_full	no		unreviewed	not_in_module20a_review_queue
lgals9 cd44	Lgals9 Cd44	cellchat_full	no		unreviewed	not_in_module20a_review_queue
lgals9 havcr2	Lgals9 Havcr2	cellchat_full	yes		unreviewed	not_in_module20a_review_queue
lgals9 ighm	Lgals9 Ighm	cellchat_full	no		unreviewed	not_in_module20a_review_queue
lgals9 p4hb	Lgals9 P4hb	cellchat_full	no		unreviewed	not_in_module20a_review_queue
lgals9 ptprc	Lgals9 Ptprc	cellchat_full	no		unreviewed	not_in_module20a_review_queue
lif lifr_il6st	Lif LIFR_IL6ST	cellchat_full	no		unreviewed	not_in_module20a_review_queue
lpar1 adgre5	Lpar1 Adgre5	cellchat_full	no		unreviewed	not_in_module20a_review_queue
lpar2 adgre5	Lpar2 Adgre5	cellchat_full	no		unreviewed	not_in_module20a_review_queue
lpar3 adgre5	Lpar3 Adgre5	cellchat_full	no		unreviewed	not_in_module20a_review_queue
lrfn4 ptprd	Lrfn4 Ptprd	cellchat_full	no		unreviewed	not_in_module20a_review_queue
lrfn4 ptprf	Lrfn4 Ptprf	cellchat_full	no		unreviewed	not_in_module20a_review_queue
lrfn4 ptprs	Lrfn4 Ptprs	cellchat_full	no		unreviewed	not_in_module20a_review_queue
lrfn5 ptprd	Lrfn5 Ptprd	cellchat_full	no		unreviewed	not_in_module20a_review_queue
lrfn5 ptprf	Lrfn5 Ptprf	cellchat_full	no		unreviewed	not_in_module20a_review_queue
