expansion_id	source_queue_id	path_expression	route_tier	known_layers	missing_layers	intracellular_status	ligand_node_id	ligand_label	ligand_receptor_edge_id	receptor_node_id	receptor_label	transcription_factor_node_id	transcription_factor_label	target_gene_node_id	target_gene_label	output_label	pathway_name	input_evidence_type	output_evidence_type	evidence_ids	source_evidence_record_id	route_linkage_status	causal_status	traversal_status	source_chain_id	evidence_contract_version	evidence_polarity	negative_evidence_status	evidence_directness	output_class	species_context	cell_type_context	context_scope	effect_polarity	primary_locator	citation_note	evidence_summary	limitations	curation_status	route_evidence_id
M21B-LITEXP-3494	M21B-DOWNSTREAM:00016	ligand>receptor>output	ligand_receptor_output_annotation_missing_intracellular_and_tf	ligand|receptor|cellular_functional_readout	intracellular_continuation|transcription_factor|target_gene_expression	not_mapped	NODE02631	CXCL12	M21B-E000158	NODE02704	CXCR4					CXCL12-CXCR4 G-protein/beta-arrestin and migration readout	CXCL12-CXCR4-GPCR	primary_literature_route_expansion	primary_receptor_functional_output	M21B-EVID-000101; PMID:28325822; PMCID:PMC5648539	M21B-DOWNSTREAM-EVID:000036	literature_expansion:primary_route_annotation	not_asserted	evidence_route_not_causal	M21B-LITEXP-3494	mechanism_evidence_v1	supports	not_evaluated	source_claim	cellular_functional_readout	human; rat	Human CXCL12 monomer/dimer and CXCR4 structural or receptor-reconstitution systems with G-protein, beta-arrestin or migration readouts	Primary structural and receptor-functional evidence; no SCI receiver assignment	activating	PMID:28325822	Primary CXCL12-CXCR4 structural and receptor-functional evidence	The retained route links the canonical CXCL12-CXCR4 entry to source-supported receptor-dependent G-protein, beta-arrestin and migration readouts.	Preserve CXCL12 monomer/dimer and biased-signaling boundaries; no universal G-protein route or SCI glial claim is asserted.	curated_primary_route	LITEXP:003544
M21B-LITEXP-3495	M21B-DOWNSTREAM:00025	ligand>receptor>output	ligand_receptor_output_annotation_missing_intracellular_and_tf	ligand|receptor|phosphorylation_or_activation_readout|cellular_functional_readout	intracellular_continuation|transcription_factor|target_gene_expression	not_mapped	NODE04257	GM-CSF/CSF2	M21B-E000177	NODE02519	CSF2RA:CSF2RB receptor complex					CSF2RA:CSF2RB-associated JAK2/SHC/SHIP phosphorylation and proliferation/colony output	CSF2-CSF2RA-CSF2RB	primary_literature_route_expansion	primary_receptor_functional_output	M21B-EVID-000120; PMID:1460041; PMID:11721371	M21B-DOWNSTREAM-EVID:000052	literature_expansion:primary_route_annotation	not_asserted	evidence_route_not_causal	M21B-LITEXP-3495	mechanism_evidence_v1	supports	not_evaluated	source_claim	cellular_functional_readout	human; mouse; rat	Mouse and human cytokine-receptor reconstitution systems with GM-CSF binding, JAK2/SHC/SHIP phosphorylation, proliferation and colony assays	Primary receptor-reconstitution evidence; species and common-beta-chain boundaries retained	activating	PMID:1460041; PMID:11721371	Primary GM-CSF receptor-complex and signaling-competence evidence	The retained route links GM-CSF engagement of the CSF2RA plus CSF2RB complex to ligand-dependent receptor-proximal phosphorylation and proliferative or colony outputs.	Preserve ligand-specific CSF2RA plus common-beta CSF2RB topology and reconstitution limits; do not merge IL3RA or IL5RA branches.	curated_primary_route	LITEXP:003545
M21B-LITEXP-3496	M21B-DOWNSTREAM:00029	ligand>receptor>output	ligand_receptor_output_annotation_missing_intracellular_and_tf	ligand|receptor|gene_expression_or_transcription	intracellular_continuation|transcription_factor|specific_target_gene	not_mapped	NODE05475	IL37	M21B-E000188	NODE05342	IL18R1/IL-18Ralpha:IL1R8/SIGIRR					IL-37 receptor-complex and phosphoproteomic/transcriptomic anti-inflammatory output	IL37-IL18R1-SIGIRR	primary_literature_route_expansion	primary_receptor_transcriptional_output	M21B-EVID-000131; PMID:25729923; DOI:10.1038/ni.3103	M21B-DOWNSTREAM-EVID:000058	literature_expansion:primary_route_annotation	not_asserted	evidence_route_not_causal	M21B-LITEXP-3496	mechanism_evidence_v1	supports	not_evaluated	source_claim	gene_expression_or_transcription	human; mouse	Human PBMC, THP-1, A549 and HEK293 receptor-expression systems with receptor proximity, silencing, phosphoproteomic and transcriptomic readouts	Primary receptor-complex and anti-inflammatory output evidence; no SCI receiver assignment	inhibitory	PMID:25729923; DOI:10.1038/ni.3103	Primary IL-37 IL-18Ralpha/SIGIRR receptor-complex and output evidence	The retained route links IL-37 engagement of IL-18Ralpha with SIGIRR/IL-1R8 recruitment and source-supported phosphoproteomic or transcriptomic output.	Preserve SIGIRR as the inhibitory co-receptor and extracellular-versus-intracellular IL-37 mechanisms; no terminal TF or SCI-specific inference is asserted.	curated_primary_route	LITEXP:003546
M21B-LITEXP-3497	M21B-DOWNSTREAM:00099	ligand>receptor>output	ligand_receptor_output_annotation_missing_intracellular_and_tf	ligand|receptor|phosphorylation_or_activation_readout|cellular_functional_readout	intracellular_continuation|transcription_factor|target_gene_expression	not_mapped	NODE01176	BDNF	M21B-E000318	NODE08406	NTRK2/TrkB receptor					BDNF-TrkB tyrosine phosphorylation and receptor-dependent DNA-synthesis/neurotrophic output	BDNF-TrkB-RTK	primary_literature_route_expansion	primary_receptor_functional_output	M21B-EVID-000261; PMID:1710174; PMID:1649702; PMCID:PMC2710095	M21B-DOWNSTREAM-EVID:000185	literature_expansion:primary_route_annotation	not_asserted	evidence_route_not_causal	M21B-LITEXP-3497	mechanism_evidence_v1	supports	not_evaluated	source_claim	phosphorylation_or_activation_readout	mouse; rat	Rat PC12 and mouse NIH3T3 cells expressing full-length or truncated TrkB with binding, receptor-tyrosine-phosphorylation, DNA-synthesis and neurotrophin-dependent assays	Primary BDNF-TrkB receptor and functional evidence; no SCI receiver assignment	activating	PMID:1710174; PMID:1649702; PMCID:PMC2710095	Primary BDNF-TrkB binding, phosphorylation and functional-response evidence	The retained route links the canonical BDNF-TrkB entry to source-supported TrkB tyrosine phosphorylation and receptor-dependent DNA-synthesis or neurotrophic outputs.	Preserve mature BDNF versus proBDNF, full-length versus truncated TrkB and heterologous versus neuronal context; no terminal TF inference is asserted.	curated_primary_route	LITEXP:003547
M21B-LITEXP-3498	M21B-DOWNSTREAM:00108	ligand>receptor>output	ligand_receptor_output_annotation_missing_intracellular_and_tf	ligand|receptor|reporter_readout|phosphorylation_or_activation_readout	intracellular_continuation|transcription_factor|target_gene_expression	not_mapped	NODE08330	NRTN	M21B-E000328	NODE04071	GFRA2:RET receptor complex					NRTN-GFRA2-RET complex formation and RET activity-reporter/phosphorylation output	NRTN-GFRA2-RET	primary_literature_route_expansion	primary_receptor_functional_output	M21B-EVID-000271; PMID:31392261; PMID:29414779	M21B-DOWNSTREAM-EVID:000198	literature_expansion:primary_route_annotation	not_asserted	evidence_route_not_causal	M21B-LITEXP-3498	mechanism_evidence_v1	supports	not_evaluated	source_claim	reporter_readout	human	Reconstituted human NRTN-GFRA2-RET structural and biophysical systems with interface, mutagenesis, avidity and RET activity-reporter assays	Primary tripartite receptor-complex evidence; no SCI receiver assignment	activating	PMID:31392261; PMID:29414779	Primary NRTN-GFRA2-RET assembly and activation evidence	The retained route links NRTN engagement of the GFRA2-RET complex to source-supported receptor-complex formation and RET activity or phosphorylation readouts.	Preserve NRTN homodimer, GPI-linked GFRA2, RET tripartite topology and avidity context; NCAM remains an alternative branch.	curated_primary_route	LITEXP:003548
M21B-LITEXP-3499	M21B-DOWNSTREAM:00109	ligand>receptor>output	ligand_receptor_output_annotation_missing_intracellular_and_tf	ligand|receptor|gene_expression_or_transcription|cellular_functional_readout|phosphorylation_or_activation_readout	intracellular_continuation|transcription_factor|target_gene_expression	not_mapped	NODE00769	ARTN	M21B-E000329	NODE04074	GFRA3:RET receptor complex					ARTN-GFRA3-RET phosphorylation/activation and neuronal-survival output	ARTN-GFRA3-RET	primary_literature_route_expansion	primary_receptor_functional_output	M21B-EVID-000272; PMID:9883723; PMID:17013378; PMID:16765900	M21B-DOWNSTREAM-EVID:000200	literature_expansion:primary_route_annotation	not_asserted	evidence_route_not_causal	M21B-LITEXP-3499	mechanism_evidence_v1	supports	not_evaluated	source_claim	gene_expression_or_transcription	mouse; rat	Rat and mouse neuronal or heterologous RET/GFRA3 systems with receptor binding, RET phosphorylation, receptor kinetics and neuronal-survival assays	Primary ARTN-GFRA3-RET receptor and functional evidence; no SCI receiver assignment	activating	PMID:9883723; PMID:17013378; PMID:16765900	Primary ARTN-GFRA3-RET complex, phosphorylation and neuronal-output evidence	The retained route links ARTN engagement of the GFRA3-RET complex to source-supported receptor formation, RET activation and neuronal functional output.	Preserve ARTN homodimer, preferred GFRA3 specificity, documented alternative GFRA1 activity and tripartite RET topology; no terminal TF inference is asserted.	curated_primary_route	LITEXP:003549
M21B-LITEXP-3500	M21B-DOWNSTREAM:00112	ligand>receptor>output	ligand_receptor_output_annotation_missing_intracellular_and_tf	ligand|receptor|reporter_readout|phosphorylation_or_activation_readout	intracellular_continuation|transcription_factor|target_gene_expression	not_mapped	NODE10978	TGFB3	M21B-E000342	NODE10983	TGFBR1:TGFBR2 receptor complex					TGFBR1/TGFBR2 assembly and Smad reporter activation	TGFB3-TGFBR1-TGFBR2	primary_literature_route_expansion	primary_receptor_reporter_output	M21B-EVID-000285; PMID:18243111; DOI:10.1016/j.molcel.2007.11.039	M21B-DOWNSTREAM-EVID:000205	literature_expansion:primary_route_annotation	not_asserted	evidence_route_not_causal	M21B-LITEXP-3500	mechanism_evidence_v1	supports	not_evaluated	source_claim	reporter_readout	human	Human TGF-beta3 with recombinant TGFBR1/TGFBR2 ectodomains, interface mutagenesis, receptor-complex assembly and Smad reporter assays	Primary receptor-complex and Smad-reporter evidence; no SCI receiver assignment	activating	PMID:18243111; DOI:10.1016/j.molcel.2007.11.039	Primary TGF-beta3 receptor-complex assembly and Smad-reporter evidence	The retained route links TGFB3 engagement of the TGFBR1/TGFBR2 complex to source-supported receptor assembly and Smad reporter output.	Preserve mature TGFB3 dimer, cooperative type-II-first assembly and ectodomain/Smad assay boundaries; no terminal TF inference is asserted.	curated_primary_route	LITEXP:003550
M21B-LITEXP-3501	M21B-DOWNSTREAM:00113	ligand>receptor>output	ligand_receptor_output_annotation_missing_intracellular_and_tf	ligand|receptor|reporter_readout|gene_expression_or_transcription|phosphorylation_or_activation_readout	intracellular_continuation|transcription_factor|target_gene_expression	not_mapped	NODE05572	INHBA/Activin A	M21B-E000347	NODE00191	ACVR1B:ACVR2B receptor complex					Activin A receptor assembly, phosphorylation and reporter/transcriptional output	ActivinA-ACVR1B-ACVR2B	primary_literature_route_expansion	primary_receptor_reporter_output	M21B-EVID-000290; PMID:8622651	M21B-DOWNSTREAM-EVID:000207	literature_expansion:primary_route_annotation	not_asserted	evidence_route_not_causal	M21B-LITEXP-3501	mechanism_evidence_v1	supports	not_evaluated	source_claim	reporter_readout	human	Human activin-receptor expression and biochemical systems with ligand binding/cross-linking, receptor association, phosphorylation and reporter/function assays	Primary activin receptor-complex evidence; no SCI receiver assignment	activating	PMID:8622651	Primary Activin A ACVR2B-to-ACVR1B assembly and phosphorylation evidence	The retained route links Activin A engagement of the ACVR1B/ACVR2B complex to source-supported receptor association, phosphorylation and reporter or transcriptional output.	Preserve mature Activin A, ACVR2B-first binding and ACVR1B downstream-transducer semantics; no terminal TF or SCI-specific inference is asserted.	curated_primary_route	LITEXP:003551
M21B-LITEXP-3502	M21B-DOWNSTREAM:00115	ligand>receptor>output	ligand_receptor_output_annotation_missing_intracellular_and_tf	ligand|receptor|phosphorylation_or_activation_readout	intracellular_continuation|transcription_factor|target_gene_expression	not_mapped	NODE08143	NODAL	M21B-E000351	NODE02477	CRIPTO/TDGF1:ACVR1B:ACVR2B receptor complex					CRIPTO-dependent NODAL receptor-complex assembly and Smad2/3 phosphorylation	NODAL-CRIPTO-ACVR1B-ACVR2B	primary_literature_route_expansion	primary_receptor_phosphorylation_output	M21B-EVID-000294; PMID:18089557; PMID:11024047	M21B-DOWNSTREAM-EVID:000212	literature_expansion:primary_route_annotation	not_asserted	evidence_route_not_causal	M21B-LITEXP-3502	mechanism_evidence_v1	supports	not_evaluated	source_claim	phosphorylation_or_activation_readout	human; mouse	Human and mouse 293T or P19 systems expressing NODAL, CRIPTO, ACVR1B and activin type-II receptors with cross-linking, co-immunoprecipitation, reporters and Smad2/3 phosphorylation	Primary Cripto-dependent NODAL receptor-complex evidence; no SCI receiver assignment	activating	PMID:18089557; PMID:11024047	Primary NODAL-CRIPTO receptor-complex and Smad2/3 evidence	The retained route links NODAL engagement of the Cripto-associated ACVR1B/ACVR2B complex to source-supported receptor association and Smad2/3 phosphorylation.	Preserve Cripto-dependent membrane-associated receptor-complex semantics and ACVR1B plus ActRII/IIB topology; no Cripto-independent or terminal-TF claim is asserted.	curated_primary_route	LITEXP:003552
M21B-LITEXP-3503	M21B-DOWNSTREAM:00119	ligand>receptor>output	ligand_receptor_output_annotation_missing_intracellular_and_tf	ligand|receptor|phosphorylation_or_activation_readout|second_messenger_readout	intracellular_continuation|transcription_factor|target_gene_expression	not_mapped	NODE08285	NRG1-beta	M21B-E000362	NODE03338	ERBB3/HER3					NRG1-beta ERBB3 phosphorylation with AKT/ERK signaling output	NRG1-ERBB3	primary_literature_route_expansion	primary_receptor_phosphorylation_output	M21B-EVID-000305; PMID:20682778; PMID:34759323	M21B-DOWNSTREAM-EVID:000220	literature_expansion:primary_route_annotation	not_asserted	evidence_route_not_causal	M21B-LITEXP-3503	mechanism_evidence_v1	supports	not_evaluated	source_claim	phosphorylation_or_activation_readout	human	Human recombinant NRG1 EGF-like domain and ERBB3 systems with binding, ERBB3 phosphorylation, AKT/ERK readouts and HER2-HER3 structural analysis	Primary NRG1-ERBB3 receptor and phosphorylation evidence; HER2 coreceptor boundary retained	activating	PMID:20682778; PMID:34759323	Primary NRG1-beta ERBB3 binding, phosphorylation and AKT/ERK evidence	The retained route links NRG1-beta engagement of ERBB3 to source-supported receptor phosphorylation and AKT/ERK signaling readouts.	Preserve NRG1 isoform and EGF-domain context; ERBB2 is a coreceptor in the structural complex and no neural or SCI receiver claim is made.	curated_primary_route	LITEXP:003553
