pair_key	pair_label_canonical	final_verdict	source_locators	species_support	support_kind	evidence_summary	limitations	audit_notes
apoe lrp1	Apoe Lrp1	retain_low	PMID:40882623 https://pubmed.ncbi.nlm.nih.gov/40882623/; PMID:39577706 https://pubmed.ncbi.nlm.nih.gov/39577706/; PMID:41315858 https://pubmed.ncbi.nlm.nih.gov/41315858/	murine model and review-level human/mouse discussion	contextual receptor-dependent_function	The cited SeNExo study describes an APOE-LRP1 interaction for exosome blood-brain-barrier penetration, while the other cited records are reviews discussing APOE and LRP1.	The tested entity is an APOE-bearing exosome rather than purified APOE; no cited source provides a direct purified APOE-LRP1 binding assay or defined complex stoichiometry.	Pair is biologically plausible but the submitted direct-primary claim is overstated; retain as contextual.
bdnf ngfr	Bdnf Ngfr	retain_low	PMID:36834612 https://pubmed.ncbi.nlm.nih.gov/36834612/; PMID:39027123 https://pubmed.ncbi.nlm.nih.gov/39027123/; PMID:41142167 https://pubmed.ncbi.nlm.nih.gov/41142167/	human and mouse review/expression literature	contextual receptor_activation	The cited NGFR review identifies p75NTR as a low-affinity receptor for mammalian neurotrophins including BDNF; the other cited studies are expression or biomarker studies.	No cited primary record tests BDNF or proBDNF binding to NGFR in a defined assay; p75NTR signaling is also context- and co-receptor-dependent.	Real pair, but cited evidence does not meet the exact-pair primary-evidence threshold for approval.
bgn tlr2	Bgn Tlr2	retain_low	PMID:27849015 https://pubmed.ncbi.nlm.nih.gov/27849015/; PMID:32050430 https://pubmed.ncbi.nlm.nih.gov/32050430/; PMID:36632455 https://pubmed.ncbi.nlm.nih.gov/36632455/	human primary cells and mixed review/cancer contexts	receptor_activation	Human testicular peritubular cells treated with recombinant BGN showed inflammatory outputs and the paper proposed BGN as a TLR2 ligand; other citations provide pathway or review context.	The cited human study did not demonstrate direct BGN-TLR2 binding or a TLR2-specific loss-of-function for the BGN response.	Retain low: exact relationship is plausible and supported functionally only at an unresolved receptor level.
bgn tlr4	Bgn Tlr4	approve_candidate	PMID:41465449 https://pubmed.ncbi.nlm.nih.gov/41465449/; PMID:32050430 https://pubmed.ncbi.nlm.nih.gov/32050430/	human ESCC cell lines, human MSC-derived CAF-like cells	 receptor-dependent_function	Recombinant human BGN increased ESCC proliferation and migration, and TLR4 blockade abrogated the effects; the study also used BGN knockdown and TLR4 readouts.	Evidence is receptor-dependent activation rather than purified-protein binding, and the cancer-stroma assay does not define a universal TLR4 complex.	Exact BGN-TLR4 functional evidence is present in a primary study; approve under the contract's receptor-function criterion.
bmp2 acvr2a_bmpr1a	Bmp2 Acvr2a_Bmpr1a	approve_candidate	PMID:28977600 https://pubmed.ncbi.nlm.nih.gov/28977600/	human granulosa-lutein cells	receptor-dependent_function	BMP2-induced SMAD1/5/8 signaling and PTX3 suppression were reversed by knockdown of ALK2/ALK3 and BMPR2/ACVR2A, directly supporting the submitted type-I/type-II receptor scope.	The study uses receptor knockdown and pathway output rather than purified binding; ACVR1/BMPR1A and ACVR2A/BMPR2 are not separated into one uniquely proven tetramer.	Exact ligand and receptor components are functionally tested in a primary human-cell assay.
bmp2 acvr2a_bmpr1b	Bmp2 Acvr2a_Bmpr1b	no_evidence	PMID:18436533 https://pubmed.ncbi.nlm.nih.gov/18436533/; PMID:42234754 https://pubmed.ncbi.nlm.nih.gov/42234754/; PMID:35494490 https://pubmed.ncbi.nlm.nih.gov/35494490/	human MSCs plus unrelated human single-cell/expression studies	none	The receptor-utilization study supports BMP2 with BMPR1A and type-II receptors but did not support BMPR1B as the relevant type-I receptor; the other citations are unrelated expression/inference records.	No exact BMP2-ACVR2A-BMPR1B functional or binding assay was identified.	Cited evidence does not support the submitted receptor complex; use no_evidence rather than approving a family-level inference.
bmp2 acvr2b_bmpr1a	Bmp2 Acvr2b_Bmpr1a	no_evidence	PMID:28977600 https://pubmed.ncbi.nlm.nih.gov/28977600/; PMID:18780779 https://pubmed.ncbi.nlm.nih.gov/18780779/; PMID:35494490 https://pubmed.ncbi.nlm.nih.gov/35494490/	human granulosa-lutein cells and mixed expression studies	contextual_expression/inference	The cited BMP2 functional study tested ACVR2A/BMPR2 with ALK2/ALK3, not ACVR2B with BMPR1A; the remaining records do not test this complex.	No cited assay establishes BMP2 signaling through ACVR2B-BMPR1A.	The candidate appears to have been assembled by swapping receptor subunits across family-level evidence.
bmp2 acvr2b_bmpr1b	Bmp2 Acvr2b_Bmpr1b	no_evidence	PMID:16622178 https://pubmed.ncbi.nlm.nih.gov/16622178/; PMID:18436533 https://pubmed.ncbi.nlm.nih.gov/18436533/; PMID:35494490 https://pubmed.ncbi.nlm.nih.gov/35494490/	mouse/human podocytes and human MSCs	contextual_expression/inference	The podocyte study reports BMP2 responses and receptor expression, while the MSC receptor-utilization study found weak or non-significant use of the ACVR2B/BMPR1B combination.	Expression of receptor transcripts is not evidence for a ligand-bound complex; no exact pair assay was cited.	No evidence for the submitted complex in the cited sources.
bmp3 acvr2b	Bmp3 Acvr2b	approve_candidate	PMID:22074949 https://pubmed.ncbi.nlm.nih.gov/22074949/	mouse bone-marrow stromal cells	receptor-dependent_function	BMP3 suppressed osteoblast differentiation, and Acvr2b knockdown reduced the BMP3 effect; the paper explicitly assigns the functional interaction to ACVR2B.	The study defines receptor-dependent function rather than a purified binding constant and does not resolve a type-I partner.	Exact BMP3-ACVR2B primary functional evidence; approve the simple receptor edge.
bmp4 acvr2a_bmpr1a	Bmp4 Acvr2a_Bmpr1a	no_evidence	PMID:18436533 https://pubmed.ncbi.nlm.nih.gov/18436533/; PMID:17004110 https://pubmed.ncbi.nlm.nih.gov/17004110/; PMID:41111476 https://pubmed.ncbi.nlm.nih.gov/41111476/	human MSCs and human cancer/bioinformatic contexts	contextual_expression/inference	The cited BMP4 receptor study is not among the submitted locators; the submitted BMP4 sources are expression, review, or bioinformatic records and do not test the exact complex.	No cited primary assay establishes BMP4-ACVR2A-BMPR1A.	The pair is plausible in the BMP receptor family, but the submitted citations do not validate it.
