pair_key	pair_label_canonical	agent_verdict	source_locators	species_support	support_kind	evidence_summary	limitations	search_notes
apoe lrp1	Apoe Lrp1	promote_candidate	PubMed:https://pubmed.ncbi.nlm.nih.gov/?term=apoe%20AND%20lrp1;EuropePMC:https://europepmc.org/search?query=apoe%20AND%20lrp1;PMID:41315858 (PubMed/Europe PMC);PMID:39577706 (PubMed/Europe PMC);PMID:40882623 (PubMed/Europe PMC);PMID:35257044 (PubMed/Europe PMC)	human and mouse/mixed primary literature where reported	direct_primary_binding_activation_or_adhesion	Primary lipoprotein-uptake literature supports APOE as an LRP1 ligand.	Species, receptor stoichiometry, and signaling outcome vary; composite rows denote receptor complexes and are not independent simple receptor edges.	PubMed and Europe PMC searched; exact symbols plus official/historical aliases and protein names; mature/processed/cleaved ligand forms; receptor subunits, heterodimers, holoreceptors, and co-receptors; structure, binding, activation, adhesion, receptor-dependent function, and citation-trail leads screened; family/database/expression/pathway evidence not transferred to exact pair; EuropePMC_hits=3621; PubMed_hits=199; composite_component_search=no
bdnf ngfr	Bdnf Ngfr	promote_candidate	PubMed:https://pubmed.ncbi.nlm.nih.gov/?term=bdnf%20AND%20ngfr;EuropePMC:https://europepmc.org/search?query=bdnf%20AND%20ngfr;PMID:36834612 (PubMed/Europe PMC);PMID:39027123 (PubMed/Europe PMC);PMID:35657457 (PubMed/Europe PMC);PMID:41142167 (PubMed/Europe PMC)	human and mouse/mixed primary literature where reported	direct_primary_binding_activation_or_adhesion	Primary neurotrophin literature supports BDNF/proBDNF engagement of p75NTR/NGFR and receptor-dependent neuronal function.	Species, receptor stoichiometry, and signaling outcome vary; composite rows denote receptor complexes and are not independent simple receptor edges.	PubMed and Europe PMC searched; exact symbols plus official/historical aliases and protein names; mature/processed/cleaved ligand forms; receptor subunits, heterodimers, holoreceptors, and co-receptors; structure, binding, activation, adhesion, receptor-dependent function, and citation-trail leads screened; family/database/expression/pathway evidence not transferred to exact pair; EuropePMC_hits=1458; PubMed_hits=81; composite_component_search=no
bgn tlr2	Bgn Tlr2	promote_candidate	PubMed:https://pubmed.ncbi.nlm.nih.gov/?term=bgn%20AND%20tlr2;EuropePMC:https://europepmc.org/search?query=bgn%20AND%20tlr2;PMID:36632455 (PubMed/Europe PMC);PMID:32050430 (PubMed/Europe PMC);PMID:27849015 (PubMed/Europe PMC);PMID:40387439 (PubMed/Europe PMC)	human and mouse/mixed primary literature where reported	direct_primary_binding_activation_or_adhesion	Primary DAMP literature links extracellular biglycan to the submitted TLR activation pathway.	Species, receptor stoichiometry, and signaling outcome vary; composite rows denote receptor complexes and are not independent simple receptor edges.	PubMed and Europe PMC searched; exact symbols plus official/historical aliases and protein names; mature/processed/cleaved ligand forms; receptor subunits, heterodimers, holoreceptors, and co-receptors; structure, binding, activation, adhesion, receptor-dependent function, and citation-trail leads screened; family/database/expression/pathway evidence not transferred to exact pair; EuropePMC_hits=622; PubMed_hits=11; composite_component_search=no
bgn tlr4	Bgn Tlr4	promote_candidate	PubMed:https://pubmed.ncbi.nlm.nih.gov/?term=bgn%20AND%20tlr4;EuropePMC:https://europepmc.org/search?query=bgn%20AND%20tlr4;PMID:30855801 (PubMed/Europe PMC);PMID:36632455 (PubMed/Europe PMC);PMID:32050430 (PubMed/Europe PMC);PMID:41465449 (PubMed/Europe PMC)	human and mouse/mixed primary literature where reported	direct_primary_binding_activation_or_adhesion	Primary DAMP literature links extracellular biglycan to the submitted TLR activation pathway.	Species, receptor stoichiometry, and signaling outcome vary; composite rows denote receptor complexes and are not independent simple receptor edges.	PubMed and Europe PMC searched; exact symbols plus official/historical aliases and protein names; mature/processed/cleaved ligand forms; receptor subunits, heterodimers, holoreceptors, and co-receptors; structure, binding, activation, adhesion, receptor-dependent function, and citation-trail leads screened; family/database/expression/pathway evidence not transferred to exact pair; EuropePMC_hits=666; PubMed_hits=13; composite_component_search=no
bmp2 acvr2a_bmpr1a	Bmp2 Acvr2a_Bmpr1a	promote_candidate	PubMed:https://pubmed.ncbi.nlm.nih.gov/?term=bmp2%20AND%20acvr2a_bmpr1a;EuropePMC:https://europepmc.org/search?query=bmp2%20AND%20acvr2a_bmpr1a;PMID:41111476 (PubMed/Europe PMC);PMID:28977600 (PubMed/Europe PMC);PMID:30576023 (PubMed/Europe PMC);PMID:35494490 (PubMed/Europe PMC)	human and mouse/mixed primary literature where reported	direct_primary_binding_activation_or_adhesion	Primary BMP literature supports ligand binding/signaling through the submitted type-I/type-II receptor complex.	Species, receptor stoichiometry, and signaling outcome vary; composite rows denote receptor complexes and are not independent simple receptor edges.	PubMed and Europe PMC searched; exact symbols plus official/historical aliases and protein names; mature/processed/cleaved ligand forms; receptor subunits, heterodimers, holoreceptors, and co-receptors; structure, binding, activation, adhesion, receptor-dependent function, and citation-trail leads screened; family/database/expression/pathway evidence not transferred to exact pair; EuropePMC_hits=255; PubMed_hits=9; composite_component_search=yes
bmp2 acvr2a_bmpr1b	Bmp2 Acvr2a_Bmpr1b	promote_candidate	PubMed:https://pubmed.ncbi.nlm.nih.gov/?term=bmp2%20AND%20acvr2a_bmpr1b;EuropePMC:https://europepmc.org/search?query=bmp2%20AND%20acvr2a_bmpr1b;PMID:42234754 (PubMed/Europe PMC);PMID:35494490 (PubMed/Europe PMC);PMID:18780779 (PubMed/Europe PMC);PMID:18436533 (PubMed/Europe PMC)	human and mouse/mixed primary literature where reported	direct_primary_binding_activation_or_adhesion	Primary BMP literature supports ligand binding/signaling through the submitted type-I/type-II receptor complex.	Species, receptor stoichiometry, and signaling outcome vary; composite rows denote receptor complexes and are not independent simple receptor edges.	PubMed and Europe PMC searched; exact symbols plus official/historical aliases and protein names; mature/processed/cleaved ligand forms; receptor subunits, heterodimers, holoreceptors, and co-receptors; structure, binding, activation, adhesion, receptor-dependent function, and citation-trail leads screened; family/database/expression/pathway evidence not transferred to exact pair; EuropePMC_hits=214; PubMed_hits=5; composite_component_search=yes
bmp2 acvr2b_bmpr1a	Bmp2 Acvr2b_Bmpr1a	promote_candidate	PubMed:https://pubmed.ncbi.nlm.nih.gov/?term=bmp2%20AND%20acvr2b_bmpr1a;EuropePMC:https://europepmc.org/search?query=bmp2%20AND%20acvr2b_bmpr1a;PMID:28977600 (PubMed/Europe PMC);PMID:37793513 (PubMed/Europe PMC);PMID:35494490 (PubMed/Europe PMC);PMID:18780779 (PubMed/Europe PMC)	human and mouse/mixed primary literature where reported	direct_primary_binding_activation_or_adhesion	Primary BMP literature supports ligand binding/signaling through the submitted type-I/type-II receptor complex.	Species, receptor stoichiometry, and signaling outcome vary; composite rows denote receptor complexes and are not independent simple receptor edges.	PubMed and Europe PMC searched; exact symbols plus official/historical aliases and protein names; mature/processed/cleaved ligand forms; receptor subunits, heterodimers, holoreceptors, and co-receptors; structure, binding, activation, adhesion, receptor-dependent function, and citation-trail leads screened; family/database/expression/pathway evidence not transferred to exact pair; EuropePMC_hits=248; PubMed_hits=10; composite_component_search=yes
bmp2 acvr2b_bmpr1b	Bmp2 Acvr2b_Bmpr1b	promote_candidate	PubMed:https://pubmed.ncbi.nlm.nih.gov/?term=bmp2%20AND%20acvr2b_bmpr1b;EuropePMC:https://europepmc.org/search?query=bmp2%20AND%20acvr2b_bmpr1b;PMID:37333824 (PubMed/Europe PMC);PMID:35494490 (PubMed/Europe PMC);PMID:16622178 (PubMed/Europe PMC);PMID:18780779 (PubMed/Europe PMC)	human and mouse/mixed primary literature where reported	direct_primary_binding_activation_or_adhesion	Primary BMP literature supports ligand binding/signaling through the submitted type-I/type-II receptor complex.	Species, receptor stoichiometry, and signaling outcome vary; composite rows denote receptor complexes and are not independent simple receptor edges.	PubMed and Europe PMC searched; exact symbols plus official/historical aliases and protein names; mature/processed/cleaved ligand forms; receptor subunits, heterodimers, holoreceptors, and co-receptors; structure, binding, activation, adhesion, receptor-dependent function, and citation-trail leads screened; family/database/expression/pathway evidence not transferred to exact pair; EuropePMC_hits=216; PubMed_hits=8; composite_component_search=yes
bmp3 acvr2b	Bmp3 Acvr2b	promote_candidate	PubMed:https://pubmed.ncbi.nlm.nih.gov/?term=bmp3%20AND%20acvr2b;EuropePMC:https://europepmc.org/search?query=bmp3%20AND%20acvr2b;PMID:22074949 (PubMed/Europe PMC);PMID:25027287 (PubMed/Europe PMC);PMID:26689798 (PubMed/Europe PMC);PMID:25401122 (PubMed/Europe PMC)	human and mouse/mixed primary literature where reported	direct_primary_binding_activation_or_adhesion	Primary BMP literature supports ligand binding/signaling through the submitted type-I/type-II receptor complex.	Species, receptor stoichiometry, and signaling outcome vary; composite rows denote receptor complexes and are not independent simple receptor edges.	PubMed and Europe PMC searched; exact symbols plus official/historical aliases and protein names; mature/processed/cleaved ligand forms; receptor subunits, heterodimers, holoreceptors, and co-receptors; structure, binding, activation, adhesion, receptor-dependent function, and citation-trail leads screened; family/database/expression/pathway evidence not transferred to exact pair; EuropePMC_hits=116; PubMed_hits=3; composite_component_search=no
bmp4 acvr2a_bmpr1a	Bmp4 Acvr2a_Bmpr1a	promote_candidate	PubMed:https://pubmed.ncbi.nlm.nih.gov/?term=bmp4%20AND%20acvr2a_bmpr1a;EuropePMC:https://europepmc.org/search?query=bmp4%20AND%20acvr2a_bmpr1a;PMID:41111476 (PubMed/Europe PMC);PMID:17004110 (PubMed/Europe PMC);PMID:36153796 (PubMed/Europe PMC);PMID:37793513 (PubMed/Europe PMC)	human and mouse/mixed primary literature where reported	direct_primary_binding_activation_or_adhesion	Primary BMP literature supports ligand binding/signaling through the submitted type-I/type-II receptor complex.	Species, receptor stoichiometry, and signaling outcome vary; composite rows denote receptor complexes and are not independent simple receptor edges.	PubMed and Europe PMC searched; exact symbols plus official/historical aliases and protein names; mature/processed/cleaved ligand forms; receptor subunits, heterodimers, holoreceptors, and co-receptors; structure, binding, activation, adhesion, receptor-dependent function, and citation-trail leads screened; family/database/expression/pathway evidence not transferred to exact pair; EuropePMC_hits=233; PubMed_hits=7; composite_component_search=yes
