pair_key	pair_label_canonical	final_verdict	source_locators	species_support	support_kind	evidence_summary	limitations	audit_notes
il17c il17ra_il17re	Il17c Il17ra_il17re	no_evidence	https://pubmed.ncbi.nlm.nih.gov/39875232/;https://pubmed.ncbi.nlm.nih.gov/31372022/;https://pubmed.ncbi.nlm.nih.gov/30661290/	human clinical/review systems	no exact-pair assay	The cited records are an IL-17 family review and brodalumab clinical/pharmacokinetic papers; they discuss IL17RA blockade or family members but do not test IL17C with the IL17RA/IL17RE complex.	No direct binding, reconstituted complex, or receptor-dependent IL17C assay was located in the cited records.	Search and review leads were not treated as primary evidence; family-level IL17RA statements do not validate this exact complex.
il19 il20ra_il20rb	Il19 Il20ra_il20rb	no_evidence	https://pubmed.ncbi.nlm.nih.gov/29436412/;https://pubmed.ncbi.nlm.nih.gov/28932356/;https://pubmed.ncbi.nlm.nih.gov/25794104/	mouse	contextual expression/function only	The mouse microglia paper reports IL19 receptor heterodimer expression and IL19 treatment, but the cited cardiac paper reports receptor isoform expression and the other paper concerns IL24 expression; none provides direct IL19 binding or receptor-dependent testing of IL20RA/IL20RB.	The receptor pair is biologically plausible, but the submitted source set lacks an exact-pair assay.	No approval from co-clustered cytokine genes or receptor expression.
il1a il1r1_il1rap	Il1a Il1r1_il1rap	no_evidence	https://pubmed.ncbi.nlm.nih.gov/42031999/;https://pubmed.ncbi.nlm.nih.gov/38225348/;https://pubmed.ncbi.nlm.nih.gov/34919894/	bovine; human	no exact-pair assay	The cited papers concern cannabinoid receptor 2 pharmacology, IL1A nuclear import by importin alpha, and plasma cytokine associations; none tests IL1A with IL1R1/IL1RAP.	No receptor binding, receptor-complex activation, or receptor-dependent function for the submitted pair.	Importin-alpha binding and cytokine abundance are unrelated to IL1 receptor engagement.
il1b il1r1_il1rap	Il1b Il1r1_il1rap	no_evidence	https://pubmed.ncbi.nlm.nih.gov/42565029/;https://pubmed.ncbi.nlm.nih.gov/42401226/;https://pubmed.ncbi.nlm.nih.gov/41637922/	human review; quail; rat	no exact-pair assay	The cited records concern tocotrienol review, T-2 toxin neurotoxicity in quail, and tapentadol hepatotoxicity; IL1B is only a downstream inflammatory readout and the IL1R1/IL1RAP complex is not tested.	No direct or receptor-dependent evidence for IL1B–IL1R1/IL1RAP.	Downstream cytokine measurement was not transferred to receptor-pair evidence.
il20 il20ra_il20rb	Il20 Il20ra_il20rb	approve_candidate	https://pubmed.ncbi.nlm.nih.gov/22802649/	human recombinant structural system	direct structural binding; receptor-complex activation	The crystal structure directly resolves IL20 bound to the IL20RA/IL20RB (IL20R1/IL20R2) type-I receptor complex and describes affinity-tuned signaling through the shared complex.	The evidence uses recombinant extracellular domains and does not establish tissue-specific SCI relevance.	Exact ligand, both receptor chains, and complex scope are all represented in the primary source.
il24 il20ra_il20rb	Il24 Il20ra_il20rb	no_evidence	https://pubmed.ncbi.nlm.nih.gov/32246006/;https://pubmed.ncbi.nlm.nih.gov/29436412/;https://pubmed.ncbi.nlm.nih.gov/25351727/	human; mouse	contextual expression/function only	The cited melanoma transcriptomic, macrophage/NK expression, and Chikungunya neuroinfection papers do not test IL24 binding or activation of the IL20RA/IL20RB complex.	No exact-pair binding, reconstitution, or receptor-dependent assay in the cited records.	IL24 family biology and receptor expression were insufficient for approval.
il25 il17ra_il17rb	Il25 Il17ra_il17rb	no_evidence	https://pubmed.ncbi.nlm.nih.gov/39875232/;https://pubmed.ncbi.nlm.nih.gov/37524666/;https://pubmed.ncbi.nlm.nih.gov/33968043/	human; mouse	contextual receptor expression/function only	The CLL paper uses recombinant IL25 and measures IL17RB expression/viability, while the other cited records are a family review and a rhinovirus inflammation model; none directly establishes IL25 signaling through the complete IL17RA/IL17RB complex.	IL17RB expression and disease inflammation do not demonstrate receptor-complex engagement or chain scope.	The submitted heterodimer was not directly assayed.
jag1 notch1	Jag1 Notch1	no_evidence	https://pubmed.ncbi.nlm.nih.gov/42587759/;https://pubmed.ncbi.nlm.nih.gov/42543369/;https://pubmed.ncbi.nlm.nih.gov/42543307/	no usable record; recent search results	no evidence	The cited PMID 42587759 is not available in the checked Europe PMC record, and the other records are unrelated Notch-pathway studies; no JAG1–NOTCH1 assay was available.	No primary pair-specific source with a usable citation.	Search-page hits and unavailable/future-looking records were not accepted as evidence.
jag1 notch2	Jag1 Notch2	no_evidence	https://pubmed.ncbi.nlm.nih.gov/42400660/;https://pubmed.ncbi.nlm.nih.gov/42377562/;https://pubmed.ncbi.nlm.nih.gov/42232620/	human; mouse; clinical genetic systems	contextual Notch expression only	The cited papers concern COMP/NOTCH2/SMAD3 in gastric cancer, Alagille variants, and a cholestasis gene panel; none tests JAG1 binding or NOTCH2 activation.	No direct ligand-receptor assay and no demonstrated JAG1–NOTCH2 receptor dependence.	NOTCH2 pathway or variant observations were not treated as JAG1 evidence.
jag1 notch3	Jag1 Notch3	no_evidence	https://pubmed.ncbi.nlm.nih.gov/41806331/;https://pubmed.ncbi.nlm.nih.gov/41767099/;https://pubmed.ncbi.nlm.nih.gov/41672774/	human; mouse	contextual Notch expression/function only	The cited records concern NOTCH3 receptor aggregation, pulmonary vascular remodeling, and an osteoarthritis network study; none tests JAG1 with NOTCH3.	No exact-pair binding, adhesion, activation, or receptor-dependent assay.	Notch3 biology without the submitted ligand was excluded.
