pair_key	pair_label_canonical	final_verdict	source_locators	species_support	support_kind	evidence_summary	limitations	audit_notes
tnfsf14 tnfrsf14	Tnfsf14 Tnfrsf14	approve_candidate	https://pubmed.ncbi.nlm.nih.gov/16547002/;https://doi.org/10.1074/jbc.M601553200	human and mouse TNFSF/TNFRSF reagent panels; exact pair detected	flow-cytometry ligand-receptor binding	The primary ligand-receptor survey detected LIGHT/TNFSF14 binding to HVEM/TNFRSF14 in the mouse and human panels.	This source establishes binding, not a dedicated downstream costimulation assay; LIGHT also binds LTBR and HVEM has other ligands.	Exact ligand and receptor symbols verified; receptor is HVEM/TNFRSF14, not LTBR/TNFRSF3.
tnfsf15 tnfrsf25	Tnfsf15 Tnfrsf25	approve_candidate	https://pubmed.ncbi.nlm.nih.gov/16547002/;https://doi.org/10.1074/jbc.M601553200	human and mouse TNFSF/TNFRSF reagent panels; exact pair detected	flow-cytometry ligand-receptor binding	The primary survey detected TL1A/TNFSF15 binding to DR3/TNFRSF25; the pair is also the established DR3 costimulatory axis.	The cited survey is a binding assay and does not by itself establish every inflammatory or T-cell output; soluble DcR3/TNFRSF6B is an additional TL1A-binding decoy.	Exact pair verified; membrane-bound and soluble TL1A forms are biologically relevant but do not change the receptor symbol.
tnfsf18 tnfrsf18	Tnfsf18 Tnfrsf18	approve_candidate	https://pubmed.ncbi.nlm.nih.gov/16547002/;https://doi.org/10.1074/jbc.M601553200	human and mouse, with strict species-matched GITRL/GITR binding in the primary survey	flow-cytometry ligand-receptor binding	The primary survey detected GITRL/TNFSF18 binding to GITR/TNFRSF18 and specifically identified this interaction as species-specific.	The source supports binding rather than a standalone costimulation experiment; human and mouse ligand-receptor reagents should not be treated as interchangeable.	Exact pair and species scope verified; retain species-matched notation in downstream use.
tnfsf4 tnfrsf4	Tnfsf4 Tnfrsf4	approve_candidate	https://pubmed.ncbi.nlm.nih.gov/16547002/;https://doi.org/10.1074/jbc.M601553200	human and mouse panels; OX40L/OX40 cross-reactivity is partial rather than universally interchangeable	flow-cytometry ligand-receptor binding	The primary survey detected OX40L/TNFSF4 binding to OX40/TNFRSF4, consistent with the canonical T-cell costimulatory pair.	The cited experiment measures ligand binding and species cross-reactivity, not the full membrane-clustering and costimulation mechanism.	Exact pair verified; do not infer complete human-mouse interchangeability from the family-level label.
tnfsf8 tnfrsf8	Tnfsf8 Tnfrsf8	approve_candidate	https://pubmed.ncbi.nlm.nih.gov/16547002/;https://doi.org/10.1074/jbc.M601553200	human and mouse TNFSF/TNFRSF reagent panels	flow-cytometry ligand-receptor binding	The primary survey included CD30L/TNFSF8 and detected its cognate CD30/TNFRSF8 interaction in the TNFSF-TNFRSF binding matrix.	The source establishes binding, not a dedicated inflammatory or costimulatory signaling assay; ligand multimerization can affect apparent strength.	Exact pair verified from the primary interaction matrix; CD30/TNFRSF8 is the receptor, not another TNFRSF costimulator.
vegfa nrp1	Vegfa Nrp1	approve_candidate	https://pubmed.ncbi.nlm.nih.gov/9529250/;https://pubmed.ncbi.nlm.nih.gov/11948691/;https://doi.org/10.1016/S0092-8674(00)81402-6	human VEGF165/NRP1 primary evidence; mouse support is not established by the cited exact sources	direct isoform-specific binding; VEGFR2 co-receptor function	Human NRP1 was purified/cloned as a VEGF165-binding receptor, and VEGF165-NRP1-KDR complexes enhanced VEGF165 binding and endothelial chemotaxis.	NRP1 is a noncatalytic co-receptor; the evidence is isoform-dependent, especially VEGF165, and the cited primary records do not establish the submitted mouse species claim.	Exact VEGFA-NRP1 pair verified; report the VEGF isoform and VEGFR2/KDR complex scope rather than treating NRP1 as an isolated signaling kinase.
wnt1 fzd8_lrp6	Wnt1 Fzd8_lrp6	approve_candidate	https://pubmed.ncbi.nlm.nih.gov/11029007/;https://doi.org/10.1038/35035117	Xenopus embryos plus mammalian FZD8/LRP6 receptor constructs	WNT-dependent receptor-complex association; direct LRP6 binding; canonical activation	The primary study showed LRP6 extracellular binding to Wnt1 and Wnt-dependent association with Fz/FZD8, with LRP6-dependent Wnt-Fz signaling in Xenopus embryos.	The experiments use ectodomains and receptor constructs and do not define a universal full-length ternary stoichiometry across species or tissues.	Exact Wnt1-LRP6 and Wnt-dependent FZD8/LRP6 complex scope supported; generic Fz wording in the abstract is narrowed by the construct-level assay context.
wnt1 ryk	Wnt1 Ryk	approve_candidate	https://pubmed.ncbi.nlm.nih.gov/15454084/;https://doi.org/10.1016/j.cell.2004.09.019	mammalian cells and mouse transgenic neural/axon-guidance systems	coreceptor association; receptor-dependent TCF activation and neurite function	The primary study identifies mammalian RYK as a Wnt coreceptor with Frizzled and shows Wnt1-dependent TCF activation together with Wnt-dependent neurite/axon phenotypes.	RYK is not presented as an isolated canonical receptor; its activity is coupled to Frizzled and Dishevelled, and the cited functional paper is not a purified Wnt1-RYK affinity study.	Exact Wnt1-RYK receptor assignment verified; preserve coreceptor rather than standalone-receptor scope.
wnt11 fzd4	Wnt11 Fzd4	approve_candidate	https://pubmed.ncbi.nlm.nih.gov/21041481/;https://pmc.ncbi.nlm.nih.gov/articles/PMC3019854/	mouse P19 cardiac cell model	cell-associated interaction; receptor-dependent PKC activation and differentiation	The primary study pulled down Wnt11-mycHis with endogenous Fzd4 and showed Fzd4 blockade suppressed Wnt11-dependent PKC activation and cardiomyocyte differentiation.	The assay is cell-based and noncanonical; antibody blockade and endogenous receptor context do not establish purified affinity or universal tissue specificity.	Exact Wnt11-Fzd4 pair and mouse assay scope verified.
wnt11 fzd7	Wnt11 Fzd7	approve_candidate	https://pubmed.ncbi.nlm.nih.gov/33082334/;https://doi.org/10.1038/s41467-020-18951-2;https://pmc.ncbi.nlm.nih.gov/articles/PMC7575593/	human and mouse melanoma cells and xenograft models	receptor-dependent signaling and invasion function	The primary melanoma study assigns WNT11-FZD7-DAAM1 signaling upstream of Rho-ROCK1/2-Myosin II and links FZD7 dependence to tumor initiation, invasion, and metastasis.	This is a tumor-context functional assignment rather than purified ligand-receptor affinity or a general physiological receptor-complex study.	Exact WNT11-FZD7 functional axis verified; DAAM1 is a downstream effector, not part of the submitted ligand-receptor pair.
