path	artifact_class	retention_recommendation	database_reference_count	database_link_status	size_bytes	sha256
.mcp.json	local_configuration	keep_local_do_not_publish	0	not_referenced_by_current_db_notes	315	6cc644824f6c351dc57fa104fafefa133b42b5b346687c285581d605360c1d2d
.repowise/centrality_cache.pkl	local_cache	safe_to_remove_after_index_review	0	not_referenced_by_current_db_notes	835178	d29e57a94e7d0e6a7460ced7c9141808a2c3032b04ab7bd021ad12ece6a9ef15
.repowise/config.yaml	local_cache	safe_to_remove_after_index_review	0	not_referenced_by_current_db_notes	84	65d4912ddc3fb1880c15a17f9ecbf9764ebe2d0f7c986a91b76d7d7f44a6ca9b
.repowise/duplication_cache.pkl	local_cache	safe_to_remove_after_index_review	0	not_referenced_by_current_db_notes	17280101	1a88032d863ad79330af235e09a88262e3903bee2cc38685a6e4169f17eba461
.repowise/duplication_pairs.pkl	local_cache	safe_to_remove_after_index_review	0	not_referenced_by_current_db_notes	4031624	c76a150bd2a04ea87638281f2b889341c49c92f91c72cc89801e9bb7ebe5853d
.repowise/jobs/2e69df5e-774b-4568-a22f-4aefaef6fffb.json	local_cache	safe_to_remove_after_index_review	0	not_referenced_by_current_db_notes	14262	4a28172cec5ad3a4def3d1e68aeb39bf441b8b79e2d22f3164b7a7366b6a5517
.repowise/jobs/4de2f3b5-1cc9-4dd2-9565-5c3158b1e9d5.json	local_cache	safe_to_remove_after_index_review	0	not_referenced_by_current_db_notes	5813	acabb16667a1dd363252a6dc2080bf41bfad330d835980696de7aaf00f8f82a7
.repowise/knowledge-graph.json	local_cache	safe_to_remove_after_index_review	0	not_referenced_by_current_db_notes	2939597	ed03b71eaa6aedc651eb19cca30784a92efefe74515add503f689e194fd5c4f8
.repowise/lancedb/wiki_pages.lance/_deletions/10-21-7431549289383082792.arrow	local_cache	safe_to_remove_after_index_review	0	not_referenced_by_current_db_notes	698	2de597a6f136d0963f78aa59770a25c951fd634f449f72432a6df7080c53d296
.repowise/lancedb/wiki_pages.lance/_deletions/10-23-1988677024803190057.arrow	local_cache	safe_to_remove_after_index_review	0	not_referenced_by_current_db_notes	698	eef690b9264f5297e9144331101347b5bfcd6e22a5397548d1377a5b6c22af5b
.repowise/lancedb/wiki_pages.lance/_deletions/10-24-6036652028166488955.arrow	local_cache	safe_to_remove_after_index_review	0	not_referenced_by_current_db_notes	698	752c2cbce4d610d3aab5ab8ef867bbdf05836b0c7072db8c16a37f0e9c95cb39
.repowise/lancedb/wiki_pages.lance/_deletions/10-26-13337697076660721344.arrow	local_cache	safe_to_remove_after_index_review	0	not_referenced_by_current_db_notes	698	c03689756a242e5c4340900b369676a8a97a1a731b9d5437369f1fe34b423d32
.repowise/lancedb/wiki_pages.lance/_deletions/10-27-17435416428973760940.arrow	local_cache	safe_to_remove_after_index_review	0	not_referenced_by_current_db_notes	698	4ecb457ad4664eeb65093f9c43469ceb2c7381bcc77670719bb224b0d61e1090
.repowise/lancedb/wiki_pages.lance/_deletions/10-28-10830905720723092890.arrow	local_cache	safe_to_remove_after_index_review	0	not_referenced_by_current_db_notes	762	6d96539c73f38435a17319c2aee7603b4f74d2c64d804508a0e0fffd6138c853
.repowise/lancedb/wiki_pages.lance/_deletions/3-10-2986840278665515381.arrow	local_cache	safe_to_remove_after_index_review	0	not_referenced_by_current_db_notes	698	c4f37cd02d7ce0b49d79dd901cc0edd02eca640da79cbd6dd3ac860a7aa973ec
.repowise/lancedb/wiki_pages.lance/_deletions/6-11-16680747135503090180.arrow	local_cache	safe_to_remove_after_index_review	0	not_referenced_by_current_db_notes	698	065aa7a9ac6aff2c3dc78f735d4b721528c12bafd2b9f6af50b0cf70e1971a0c
.repowise/lancedb/wiki_pages.lance/_deletions/7-13-8961551945242234031.arrow	local_cache	safe_to_remove_after_index_review	0	not_referenced_by_current_db_notes	698	47ecb1c29ba9230993924435a8a795fbbfd99ac376349c72162726f06973db40
.repowise/lancedb/wiki_pages.lance/_deletions/8-14-9689594723700284950.arrow	local_cache	safe_to_remove_after_index_review	0	not_referenced_by_current_db_notes	698	9fff4de22fa4e4d3fa0648609a152c0c77e24a87085d66f30ea6eaadf05a709f
.repowise/lancedb/wiki_pages.lance/_deletions/9-15-13272325131279714326.arrow	local_cache	safe_to_remove_after_index_review	0	not_referenced_by_current_db_notes	698	cbce64341fae50e7f924b68d8800ebdb98a8395dfdffe73fb5af372139545007
.repowise/lancedb/wiki_pages.lance/_deletions/9-16-11749082574840432548.arrow	local_cache	safe_to_remove_after_index_review	0	not_referenced_by_current_db_notes	698	8234d46b96ea0ee6332908941e6cd19de7a6175e91917f86a27200d152377532
.repowise/lancedb/wiki_pages.lance/_deletions/9-20-14144418377191780369.arrow	local_cache	safe_to_remove_after_index_review	0	not_referenced_by_current_db_notes	762	ee42d1df5468b7dbe5977d6229671cb1e042fdfc1cc39db42f5ab8ae5d7b2b9b
.repowise/lancedb/wiki_pages.lance/_transactions/0-d5932d69-ce50-4c13-92ca-2139f9bb7e6d.txn	local_cache	safe_to_remove_after_index_review	0	not_referenced_by_current_db_notes	284	8e85cdd1387906cd1817a7dc37c78b126d7ec0c43ec5a720bb292e69317956ba
.repowise/lancedb/wiki_pages.lance/_transactions/1-c8562757-1040-4e84-9604-07158f4dcf97.txn	local_cache	safe_to_remove_after_index_review	0	not_referenced_by_current_db_notes	138	ed9b7a629693f0bbd0a61a2fa14a0f791666a54149d0bf238dad4b36cf6dff35
