candidate_unit_id	source_databases	ligand_components	receptor_components	source_ligand	source_receptor	source_record_ids	pathways	annotations	evidence_notes	primary_evidence_gate	independent_public_source_count	independent_public_sources	primary_locator_count	review_priority_score	normalized_ligand_key	normalized_receptor_key	normalization_match	review_lane	matched_graph_edge_ids	matched_graph_edges	review_priority_rank_value	review_batch	prior_harvest_disposition	prior_harvest_primary_locators	review_status	reason	review_resolution	review_resolution_primary_locators	review_resolution_notes	review_resolution_status
LR:F11>GP1BA	NicheNet.neutral_v1;master_LR_union	F11	GP1BA	F11	Gp1ba					no_primary_locator_in_public_snapshot	2		0		F11	GP1BA	novel_candidate	discovery_review			20	batch_041			candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit				
LR:F11R>ITGB2L	NicheNet.neutral_v1;master_LR_union	F11R	ITGB2L	F11r	Itgb2l					no_primary_locator_in_public_snapshot	2		0		F11R	ITGB2L	novel_candidate	discovery_review			20	batch_041			candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit				
LR:F11R>JAM2	NicheNet.neutral_v1;master_LR_union	F11R	JAM2	F11r	Jam2					no_primary_locator_in_public_snapshot	2		0		F11R	JAM2	novel_candidate	discovery_review			20	batch_041			candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit				
LR:F11R>JAM3	NicheNet.neutral_v1;master_LR_union	F11R	JAM3	F11r	Jam3					no_primary_locator_in_public_snapshot	2		0		F11R	JAM3	novel_candidate	discovery_review			20	batch_041			candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit				
LR:F11R>ROBO3	NicheNet.neutral_v1;master_LR_union	F11R	ROBO3	F11r	Robo3					no_primary_locator_in_public_snapshot	2		0		F11R	ROBO3	novel_candidate	discovery_review			20	batch_041			candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit				
LR:F12>F11	NicheNet.neutral_v1;master_LR_union	F12	F11	F12	F11					no_primary_locator_in_public_snapshot	2		0		F12	F11	novel_candidate	discovery_review			20	batch_041			candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit				
LR:F12>GP1BA	NicheNet.neutral_v1;master_LR_union	F12	GP1BA	F12	Gp1ba					no_primary_locator_in_public_snapshot	2		0		F12	GP1BA	novel_candidate	discovery_review			20	batch_041			candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit				
LR:F12>KLKB1	NicheNet.neutral_v1;master_LR_union	F12	KLKB1	F12	Klkb1					no_primary_locator_in_public_snapshot	2		0		F12	KLKB1	novel_candidate	discovery_review			20	batch_041			candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit				
LR:F2>F5	NicheNet.neutral_v1;master_LR_union	F2	F5	F2	F5					no_primary_locator_in_public_snapshot	2		0		F2	F5	novel_candidate	discovery_review			20	batch_041			candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit				
LR:F2>F8	NicheNet.neutral_v1;master_LR_union	F2	F8	F2	F8					no_primary_locator_in_public_snapshot	2		0		F2	F8	novel_candidate	discovery_review			20	batch_041			candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit				
LR:F2>GP1BB	LIANA.mouseconsensus;master_LR_union	F2	GP1BB	F2	Gp1bb					no_primary_locator_in_public_snapshot	2		0		F2	GP1BB	novel_candidate	discovery_review			20	batch_041			candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit				
LR:F2>PARD3	CellChatDB.mouse;master_LR_union	F2	PARD3	F2	Pard3	F2_PARD3	PARs	Secreted Signaling	KEGG: mmu04080	no_primary_locator_in_public_snapshot	2		0		F2	PARD3	novel_candidate	discovery_review			20	batch_041			candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit				
LR:F5>PROC	NicheNet.neutral_v1;master_LR_union	F5	PROC	F5	Proc					no_primary_locator_in_public_snapshot	2		0		F5	PROC	novel_candidate	discovery_review			20	batch_041			candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit				
LR:F7>F10	NicheNet.neutral_v1;master_LR_union	F7	F10	F7	F10					no_primary_locator_in_public_snapshot	2		0		F7	F10	novel_candidate	discovery_review			20	batch_041			candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit				
LR:F7>F9	NicheNet.neutral_v1;master_LR_union	F7	F9	F7	F9					no_primary_locator_in_public_snapshot	2		0		F7	F9	novel_candidate	discovery_review			20	batch_041			candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit				
LR:F8>F10	NicheNet.neutral_v1;master_LR_union	F8	F10	F8	F10					no_primary_locator_in_public_snapshot	2		0		F8	F10	novel_candidate	discovery_review			20	batch_041			candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit				
LR:F9>F7	NicheNet.neutral_v1;master_LR_union	F9	F7	F9	F7					no_primary_locator_in_public_snapshot	2		0		F9	F7	novel_candidate	discovery_review			20	batch_041			candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit				
LR:FABP5>RXRA	LIANA.mouseconsensus;master_LR_union	FABP5	RXRA	Fabp5	Rxra					no_primary_locator_in_public_snapshot	2		0		FABP5	RXRA	novel_candidate	discovery_review			20	batch_041			candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit				
LR:FADD>ABCA1	LIANA.mouseconsensus;master_LR_union	FADD	ABCA1	Fadd	Abca1					no_primary_locator_in_public_snapshot	2		0		FADD	ABCA1	novel_candidate	discovery_review			20	batch_041			candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit				
LR:FADD>FAS	LIANA.mouseconsensus;master_LR_union	FADD	FAS	Fadd	Fas					no_primary_locator_in_public_snapshot	2		0		FADD	FAS	novel_candidate	discovery_review			20	batch_041			candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit				
LR:FADD>TRADD	LIANA.mouseconsensus;master_LR_union	FADD	TRADD	Fadd	Tradd					no_primary_locator_in_public_snapshot	2		0		FADD	TRADD	novel_candidate	discovery_review			20	batch_041			candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit				
