candidate_unit_id	normalized_ligand_key	normalized_receptor_key	matched_graph_edge_ids	evidence_notes	review_lane	review_batch
LR:IL12B>IL12RB1	IL12B	IL12RB1	M20B-E003909;M20B-E003912;M21B-E000725;M21B-E000726;M21B-E001767;M21B-E001768		represented_graph_alias	batch_158
LR:IL12B>IL12RB2	IL12B	IL12RB2	M20B-E003909;M21B-E000727;M21B-E001767		represented_graph_alias	batch_158
LR:IL12B>IL23R	IL12B	IL23R	M20B-E003912;M21B-E000724;M21B-E001768		represented_graph_alias	batch_158
LR:IL13>IL4RA	IL13	IL4RA	M20B-E003913;M20B-E003914;M21B-E000740		represented_graph_alias	batch_158
LR:IL15>IL2RB	IL15	IL2RB	M20B-E003918;M20B-E000246;M20B-E000973;M21B-E001755		represented_graph_alias	batch_158
LR:IL15>IL2RG	IL15	IL2RG	M20B-E003918;M20B-E000246;M20B-E000974;M21B-E001755		represented_graph_alias	batch_158
LR:IL17C>IL17RA	IL17C	IL17RA	M21B-E000749		represented_graph_alias	batch_158
LR:IL17C>IL17RE	IL17C	IL17RE	M21B-E000749		represented_graph_alias	batch_158
LR:IL18>IL18R1	IL18	IL18R1	M20B-E003935;M20B-E003937;M21B-E000176;M21B-E000274;M21B-E001752		represented_graph_alias	batch_158
LR:IL18>IL18RAP	IL18	IL18RAP	M20B-E003935;M20B-E000971;M21B-E001752		represented_graph_alias	batch_158
