candidate_unit_id	source_databases	ligand_components	receptor_components	source_ligand	source_receptor	source_record_ids	pathways	annotations	evidence_notes	primary_evidence_gate	independent_public_source_count	independent_public_sources	primary_locator_count	review_priority_score	normalized_ligand_key	normalized_receptor_key	normalization_match	review_lane	matched_graph_edge_ids	matched_graph_edges	review_priority_rank_value	review_batch	prior_harvest_disposition	prior_harvest_primary_locators	review_status	reason
LR:PYY>GRM7	LIANA.mouseconsensus;master_LR_union	PYY	GRM7	Pyy	Grm7					no_primary_locator_in_public_snapshot	2		0		PYY	GRM7	novel_candidate	discovery_review			20	batch_066			candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit
LR:PYY>MTNR1A	LIANA.mouseconsensus;master_LR_union	PYY	MTNR1A	Pyy	Mtnr1a					no_primary_locator_in_public_snapshot	2		0		PYY	MTNR1A	novel_candidate	discovery_review			20	batch_066			candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit
LR:PYY>NPY6R	CellChatDB.mouse;master_LR_union	PYY	NPY6R	Pyy	Npy6r	PYY_NPY6R	NPY	Secreted Signaling	KEGG: mmu04080	no_primary_locator_in_public_snapshot	2		0		PYY	NPY6R	novel_candidate	discovery_review			20	batch_066			candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit
LR:PYY>PGR15L	CellChatDB.mouse;master_LR_union	PYY	PGR15L	Pyy	Pgr15l	PYY_PGR15L	NPY	Secreted Signaling	KEGG: mmu04080	no_primary_locator_in_public_snapshot	2		0		PYY	PGR15L	novel_candidate	discovery_review			20	batch_066			candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit
LR:QDPR>DYSF	LIANA.mouseconsensus;master_LR_union	QDPR	DYSF	Qdpr	Dysf					no_primary_locator_in_public_snapshot	2		0		QDPR	DYSF	novel_candidate	discovery_review			20	batch_066			candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit
LR:QRFP>QRFPRL	NicheNet.neutral_v1;master_LR_union	QRFP	QRFPRL	Qrfp	Qrfprl					no_primary_locator_in_public_snapshot	2		0		QRFP	QRFPRL	novel_candidate	discovery_review			20	batch_066			candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit
LR:RAET1D>HCST	NicheNet.neutral_v1;master_LR_union	RAET1D	HCST	Raet1d	Hcst					no_primary_locator_in_public_snapshot	2		0		RAET1D	HCST	novel_candidate	discovery_review			20	batch_066			candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit
LR:RAET1D>KLRK1	NicheNet.neutral_v1;master_LR_union	RAET1D	KLRK1	Raet1d	Klrk1					no_primary_locator_in_public_snapshot	2		0		RAET1D	KLRK1	novel_candidate	discovery_review			20	batch_066			candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit
LR:RAET1E>HCST	NicheNet.neutral_v1;master_LR_union	RAET1E	HCST	Raet1e	Hcst					no_primary_locator_in_public_snapshot	2		0		RAET1E	HCST	novel_candidate	discovery_review			20	batch_066			candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit
LR:RARRES2>GPR1	NicheNet.neutral_v1;master_LR_union	RARRES2	GPR1	Rarres2	Gpr1					no_primary_locator_in_public_snapshot	2		0		RARRES2	GPR1	novel_candidate	discovery_review			20	batch_066			candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit
