candidate_unit_id	normalized_ligand_key	normalized_receptor_key	matched_graph_edge_ids	evidence_notes	review_lane	review_batch
LR:COL3A1>ITGB1	COL3A1	ITGB1	M20B-E003077;M20B-E003078;M20B-E003079;M20B-E003080;M21B-E006236		represented_graph_alias	batch_144
LR:COL4A1>ITGA1	COL4A1	ITGA1	M20B-E001961;M21B-E002695;M21B-E002697		represented_graph_alias	batch_144
LR:COL4A1>ITGA2	COL4A1	ITGA2	M20B-E001962;M21B-E002696		represented_graph_alias	batch_144
LR:COL4A1>ITGB1	COL4A1	ITGB1	M20B-E001961;M20B-E001962;M21B-E002695;M21B-E002696;M21B-E002697;M21B-E011642		represented_graph_alias	batch_144
LR:COL4A2>DDR1	COL4A2	DDR1	M21B-E003214		represented_graph_alias	batch_144
LR:COL4A2>ITGA1	COL4A2	ITGA1	M20B-E001971;M21B-E002695		represented_graph_alias	batch_144
LR:COL4A2>ITGA2	COL4A2	ITGA2	M20B-E002696		represented_graph_alias	batch_144
LR:COL4A2>ITGB1	COL4A2	ITGB1	M20B-E001971;M21B-E002695;M21B-E002696		represented_graph_alias	batch_144
LR:COL4A3>ITGAV	COL4A3	ITGAV	M21B-E002198;M23B-E000950		represented_graph_alias	batch_144
LR:COL4A3>ITGB1	COL4A3	ITGB1	M20B-E001983;M21B-E011643;M23B-E000392		represented_graph_alias	batch_144
