round_id	queue_rank	promotion_id	regulator_symbol	target_symbol	species_scope	search_scope	search_queries	search_outcome	grade_action	context_level_regulator	context_level_target	context_level_exact_pair	context_evidence_scope	context_evidence_basis	context_evidence_citations	review_status
223	2739	public_tf_comprehensive_2021	SRSF9	ANO5	human	regulator_component_and_exact_pair;round_241_tflink_gtrd_source_chain	SRSF9 ANO5 human spinal cord injury;SRSF9 ANO5 human spinal cord;SRSF9 ANO5 direct mechanism;SRSF9 human brain;ANO5 human brain;TFLink raw snapshot exact-pair checksum organism and source-metadata audit	HPA brain resources support independent human CNS context for SRSF9 and ANO5, including direct ANO5 midbrain expression; no authoritative SRSF9-to-ANO5 mechanism or occupancy was verified; exact pair remains L0.;verified_tflink_gtrd_snapshot_pair	upgrade_components_only;retain_exact_pair_L0_source_chain_verified	L2	L2	L0	component_only	SRSF9 and ANO5 have independent human CNS context; exact pair remains unverified.;Round 241 verified the exact source-table pair in its species-specific TFLink raw snapshot, including checksum and GTRD/source metadata; this is provenance verification only and does not upgrade context or establish causality.	https://www.proteinatlas.org/ENSG00000111786-SRSF9/brain;https://www.proteinatlas.org/ENSG00000171714-ANO5/brain/Midbrain	adjudicated;round_241_tflink_gtrd_source_chain
223	2740	public_tf_comprehensive_2057	STN1	ACD	human	regulator_component_and_exact_pair;round_241_tflink_gtrd_source_chain	STN1 ACD human spinal cord injury;STN1 ACD human spinal cord;STN1 ACD direct mechanism;STN1 human brain;ACD human brain;TFLink raw snapshot exact-pair checksum organism and source-metadata audit	HPA provides direct human cerebellar RNA context for STN1 and substantia-nigra RNA context for ACD; no authoritative STN1-to-ACD mechanism or occupancy was verified; exact pair remains L0.;verified_tflink_gtrd_snapshot_pair	upgrade_components_only;retain_exact_pair_L0_source_chain_verified	L2	L2	L0	component_only	STN1 and ACD have independent human CNS context; exact pair remains unverified.;Round 241 verified the exact source-table pair in its species-specific TFLink raw snapshot, including checksum and GTRD/source metadata; this is provenance verification only and does not upgrade context or establish causality.	https://www.proteinatlas.org/ENSG00000107960-STN1/tissue/cerebellum;https://www.proteinatlas.org/ENSG00000102977-ACD/brain/substantia%2Bnigra	adjudicated;round_241_tflink_gtrd_source_chain
223	2741	public_tf_comprehensive_2058	STN1	ARF3	human	regulator_component_and_exact_pair;round_241_tflink_gtrd_source_chain	STN1 ARF3 human spinal cord injury;STN1 ARF3 human spinal cord;STN1 ARF3 direct mechanism;STN1 human brain;ARF3 human spinal cord;TFLink raw snapshot exact-pair checksum organism and source-metadata audit	HPA provides independent brain context for STN1 and direct human cervical spinal-cord RNA expression for ARF3; no authoritative STN1-to-ARF3 mechanism or occupancy was verified; exact pair remains L0.;verified_tflink_gtrd_snapshot_pair	upgrade_components_only;retain_exact_pair_L0_source_chain_verified	L2	L3	L0	component_only	STN1 has CNS context and ARF3 has spinal-cord-tissue context; exact pair remains unverified.;Round 241 verified the exact source-table pair in its species-specific TFLink raw snapshot, including checksum and GTRD/source metadata; this is provenance verification only and does not upgrade context or establish causality.	https://www.proteinatlas.org/ENSG00000107960-STN1/tissue/cerebellum;https://www.proteinatlas.org/ENSG00000134287-ARF3/brain/spinal%2Bcord	adjudicated;round_241_tflink_gtrd_source_chain
223	2742	public_tf_comprehensive_2059	STN1	CUEDC2	human	regulator_component_and_exact_pair;round_241_tflink_gtrd_source_chain	STN1 CUEDC2 human spinal cord injury;STN1 CUEDC2 human spinal cord;STN1 CUEDC2 direct mechanism;STN1 human brain;CUEDC2 human brain;TFLink raw snapshot exact-pair checksum organism and source-metadata audit	HPA brain resources support independent human CNS context for STN1 and CUEDC2; no authoritative STN1-to-CUEDC2 mechanism or occupancy was verified; exact pair remains L0.;verified_tflink_gtrd_snapshot_pair	upgrade_components_only;retain_exact_pair_L0_source_chain_verified	L2	L2	L0	component_only	STN1 and CUEDC2 have independent human CNS context; exact pair remains unverified.;Round 241 verified the exact source-table pair in its species-specific TFLink raw snapshot, including checksum and GTRD/source metadata; this is provenance verification only and does not upgrade context or establish causality.	https://www.proteinatlas.org/ENSG00000107960-STN1/tissue/cerebellum;https://www.proteinatlas.org/ENSG00000107874-CUEDC2/brain	adjudicated;round_241_tflink_gtrd_source_chain
223	2743	public_tf_comprehensive_2060	STN1	DR1	human	regulator_component_and_exact_pair;round_241_tflink_gtrd_source_chain	STN1 DR1 human spinal cord injury;STN1 DR1 human spinal cord;STN1 DR1 direct mechanism;STN1 human brain;DR1 human spinal cord;TFLink raw snapshot exact-pair checksum organism and source-metadata audit	HPA provides independent brain context for STN1 and direct human spinal-cord RNA expression for DR1; no authoritative STN1-to-DR1 mechanism or occupancy was verified; exact pair remains L0.;verified_tflink_gtrd_snapshot_pair	upgrade_components_only;retain_exact_pair_L0_source_chain_verified	L2	L3	L0	component_only	STN1 has CNS context and DR1 has spinal-cord-tissue context; exact pair remains unverified.;Round 241 verified the exact source-table pair in its species-specific TFLink raw snapshot, including checksum and GTRD/source metadata; this is provenance verification only and does not upgrade context or establish causality.	https://www.proteinatlas.org/ENSG00000107960-STN1/tissue/cerebellum;https://v23.proteinatlas.org/ENSG00000117505-DR1/brain/spinal%2Bcord	adjudicated;round_241_tflink_gtrd_source_chain
223	2744	public_tf_comprehensive_2094	SVIL	ATP6V0D1	human	regulator_component_and_exact_pair;round_241_tflink_gtrd_source_chain	SVIL ATP6V0D1 human spinal cord injury;SVIL ATP6V0D1 human spinal cord;SVIL ATP6V0D1 direct mechanism;SVIL human brain;ATP6V0D1 human brain;TFLink raw snapshot exact-pair checksum organism and source-metadata audit	HPA brain resources support independent human CNS context for SVIL and ATP6V0D1, including direct ATP6V0D1 midbrain expression; no authoritative SVIL-to-ATP6V0D1 mechanism or occupancy was verified; exact pair remains L0.;verified_tflink_gtrd_snapshot_pair	upgrade_components_only;retain_exact_pair_L0_source_chain_verified	L2	L2	L0	component_only	SVIL and ATP6V0D1 have independent human CNS context; exact pair remains unverified.;Round 241 verified the exact source-table pair in its species-specific TFLink raw snapshot, including checksum and GTRD/source metadata; this is provenance verification only and does not upgrade context or establish causality.	https://www.proteinatlas.org/ENSG00000197321-SVIL/brain;https://www.proteinatlas.org/ENSG00000159720-ATP6V0D1/tissue/midbrain	adjudicated;round_241_tflink_gtrd_source_chain
223	2745	public_tf_comprehensive_2095	SVIL	DDIT3	human	regulator_component_and_exact_pair;round_241_tflink_gtrd_source_chain	SVIL DDIT3 human spinal cord injury;SVIL DDIT3 human spinal cord;SVIL DDIT3 direct mechanism;SVIL human brain;DDIT3 human brain;TFLink raw snapshot exact-pair checksum organism and source-metadata audit	HPA brain resources support independent human CNS context for SVIL and DDIT3; no authoritative SVIL-to-DDIT3 mechanism or occupancy was verified; exact pair remains L0.;verified_tflink_gtrd_snapshot_pair	upgrade_components_only;retain_exact_pair_L0_source_chain_verified	L2	L2	L0	component_only	SVIL and DDIT3 have independent human CNS context; exact pair remains unverified.;Round 241 verified the exact source-table pair in its species-specific TFLink raw snapshot, including checksum and GTRD/source metadata; this is provenance verification only and does not upgrade context or establish causality.	https://www.proteinatlas.org/ENSG00000197321-SVIL/brain;https://v24.proteinatlas.org/ENSG00000175197-DDIT3/brain	adjudicated;round_241_tflink_gtrd_source_chain
223	2746	public_tf_comprehensive_2096	SVIL	ELAVL4	human	regulator_component_and_exact_pair;round_241_tflink_gtrd_source_chain	SVIL ELAVL4 human spinal cord injury;SVIL ELAVL4 human spinal cord;SVIL ELAVL4 direct mechanism;SVIL human brain;ELAVL4 human brain;TFLink raw snapshot exact-pair checksum organism and source-metadata audit	HPA brain resources support independent human CNS context for SVIL and ELAVL4; no authoritative SVIL-to-ELAVL4 mechanism or occupancy was verified; exact pair remains L0.;verified_tflink_gtrd_snapshot_pair	upgrade_components_only;retain_exact_pair_L0_source_chain_verified	L2	L2	L0	component_only	SVIL and ELAVL4 have independent human CNS context; exact pair remains unverified.;Round 241 verified the exact source-table pair in its species-specific TFLink raw snapshot, including checksum and GTRD/source metadata; this is provenance verification only and does not upgrade context or establish causality.	https://www.proteinatlas.org/ENSG00000197321-SVIL/brain;https://www.proteinatlas.org/ENSG00000162374-ELAVL4/brain	adjudicated;round_241_tflink_gtrd_source_chain
223	2747	public_tf_comprehensive_2097	SVIL	IL2RA	human	regulator_component_and_exact_pair;round_241_tflink_gtrd_source_chain	SVIL IL2RA human spinal cord injury;SVIL IL2RA human spinal cord;SVIL IL2RA direct mechanism;SVIL human brain;IL2RA human brain;TFLink raw snapshot exact-pair checksum organism and source-metadata audit	HPA brain resources support independent human CNS context for SVIL and IL2RA; no authoritative SVIL-to-IL2RA mechanism or occupancy was verified; exact pair remains L0.;verified_tflink_gtrd_snapshot_pair	upgrade_components_only;retain_exact_pair_L0_source_chain_verified	L2	L2	L0	component_only	SVIL and IL2RA have independent human CNS context; exact pair remains unverified.;Round 241 verified the exact source-table pair in its species-specific TFLink raw snapshot, including checksum and GTRD/source metadata; this is provenance verification only and does not upgrade context or establish causality.	https://www.proteinatlas.org/ENSG00000197321-SVIL/brain;https://www.proteinatlas.org/ENSG00000134460-IL2RA/brain	adjudicated;round_241_tflink_gtrd_source_chain
223	2748	public_tf_comprehensive_2132	TASOR	AASDH	human	regulator_component_and_exact_pair;round_241_tflink_gtrd_source_chain	TASOR AASDH human spinal cord injury;TASOR AASDH human spinal cord;TASOR AASDH direct mechanism;TASOR human brain;AASDH human brain;TFLink raw snapshot exact-pair checksum organism and source-metadata audit	HPA supports human brain context for TASOR, but the bounded authoritative search did not verify qualifying CNS, spinal-cord-tissue, or non-CNS context for AASDH; exact pair remains L0.;verified_tflink_gtrd_snapshot_pair	upgrade_regulator_only;retain_exact_pair_L0_source_chain_verified	L2	L0	L0	component_only	TASOR has CNS context; AASDH remains context-unverifiable; exact pair remains unverified.;Round 241 verified the exact source-table pair in its species-specific TFLink raw snapshot, including checksum and GTRD/source metadata; this is provenance verification only and does not upgrade context or establish causality.	https://www.proteinatlas.org/ENSG00000163946-TASOR/brain	adjudicated;round_241_tflink_gtrd_source_chain
