round_id	queue_rank	promotion_id	regulator_symbol	target_symbol	species_scope	search_scope	search_queries	search_outcome	grade_action	context_level_regulator	context_level_target	context_level_exact_pair	context_evidence_scope	context_evidence_basis	context_evidence_citations	review_status
135	1298	public_tf_comprehensive_843	HMG20A	ACKR2	human	regulator_component;target_component;exact_pair;round_241_tflink_gtrd_source_chain	HMG20A human HPA spinal cord;ACKR2 human HPA spinal cord;HMG20A ACKR2 human regulation;TFLink raw snapshot exact-pair checksum organism and source-metadata audit	Human HMG20A and ACKR2 each have direct spinal-cord tissue context; exact-pair searches found no direct contextual HMG20A-to-ACKR2 mechanism.;verified_tflink_gtrd_snapshot_pair	component_context_only;retain_exact_pair_L0_source_chain_verified	L3_spinal_cord_tissue_context	L3_spinal_cord_tissue_context	L0_no_context_evidence	component_only	Independent component evidence supports L3 for both genes; targeted exact-pair searches found no direct contextual mechanism.;Round 241 verified the exact source-table pair in its species-specific TFLink raw snapshot, including checksum and GTRD/source metadata; this is provenance verification only and does not upgrade context or establish causality.	https://www.proteinatlas.org/ENSG00000140382-HMG20A/brain;https://www.uniprot.org/uniprotkb/Q9NP66/entry;https://www.proteinatlas.org/ENSG00000144648-ACKR2/tissue/spinal%2Bcord;https://www.ncbi.nlm.nih.gov/gene/10363	adjudicated;round_241_tflink_gtrd_source_chain
135	1299	public_tf_comprehensive_844	HMG20A	ACVR1	human	regulator_component;target_component;exact_pair;round_241_tflink_gtrd_source_chain	HMG20A human HPA spinal cord;ACVR1 human HPA spinal cord;HMG20A ACVR1 human regulation;TFLink raw snapshot exact-pair checksum organism and source-metadata audit	Human HMG20A and ACVR1 each have direct spinal-cord tissue context; exact-pair searches found no direct contextual HMG20A-to-ACVR1 mechanism.;verified_tflink_gtrd_snapshot_pair	component_context_only;retain_exact_pair_L0_source_chain_verified	L3_spinal_cord_tissue_context	L3_spinal_cord_tissue_context	L0_no_context_evidence	component_only	Independent component evidence supports L3 for both genes; targeted exact-pair searches found no direct contextual mechanism.;Round 241 verified the exact source-table pair in its species-specific TFLink raw snapshot, including checksum and GTRD/source metadata; this is provenance verification only and does not upgrade context or establish causality.	https://www.proteinatlas.org/ENSG00000140382-HMG20A/brain;https://www.uniprot.org/uniprotkb/Q9NP66/entry;https://www.proteinatlas.org/ENSG00000115170-ACVR1/brain/Spinal%2Bcord	adjudicated;round_241_tflink_gtrd_source_chain
135	1300	public_tf_comprehensive_845	HMG20A	ADAM10	human	regulator_component;target_component;exact_pair;round_241_tflink_gtrd_source_chain	HMG20A human HPA spinal cord;ADAM10 human HPA spinal cord;HMG20A ADAM10 human regulation;TFLink raw snapshot exact-pair checksum organism and source-metadata audit	Human HMG20A and ADAM10 each have direct spinal-cord tissue context; ADAM10 regulatory literature identified other regulators, not HMG20A, and exact-pair searches found no contextual HMG20A-to-ADAM10 mechanism.;verified_tflink_gtrd_snapshot_pair	component_context_only;retain_exact_pair_L0_source_chain_verified	L3_spinal_cord_tissue_context	L3_spinal_cord_tissue_context	L0_no_context_evidence	component_only	Independent component evidence supports L3 for both genes; the exact-pair search did not establish HMG20A regulation of ADAM10.;Round 241 verified the exact source-table pair in its species-specific TFLink raw snapshot, including checksum and GTRD/source metadata; this is provenance verification only and does not upgrade context or establish causality.	https://www.proteinatlas.org/ENSG00000140382-HMG20A/brain;https://www.uniprot.org/uniprotkb/Q9NP66/entry;https://www.proteinatlas.org/ENSG00000137845-ADAM10/tissue/spinal%2Bcord;https://pmc.ncbi.nlm.nih.gov/articles/PMC5355436/	adjudicated;round_241_tflink_gtrd_source_chain
135	1301	public_tf_comprehensive_846	HMGB1	ACVR1C	human	regulator_component;target_component;exact_pair;round_241_tflink_gtrd_source_chain	HMGB1 human SCI;ACVR1C human HPA spinal cord;HMGB1 ACVR1C human regulation;TFLink raw snapshot exact-pair checksum organism and source-metadata audit	Human HMGB1 has clinical traumatic SCI evidence and ACVR1C has spinal-cord tissue context; exact-pair searches found no direct contextual HMGB1-to-ACVR1C mechanism.;verified_tflink_gtrd_snapshot_pair	component_context_only;retain_exact_pair_L0_source_chain_verified	L4_SCI_context	L3_spinal_cord_tissue_context	L0_no_context_evidence	component_only	Independent component evidence supports L4 for HMGB1 and L3 for ACVR1C; SCI evidence is component-only and does not establish the exact pair.;Round 241 verified the exact source-table pair in its species-specific TFLink raw snapshot, including checksum and GTRD/source metadata; this is provenance verification only and does not upgrade context or establish causality.	https://pubmed.ncbi.nlm.nih.gov/27673428/;https://pubmed.ncbi.nlm.nih.gov/30391318/;https://www.proteinatlas.org/ENSG00000189403-HMGB1/brain/spinal%2Bcord;https://v22.proteinatlas.org/ENSG00000123612-ACVR1C/tissue/spinal%2Bcord	adjudicated;round_241_tflink_gtrd_source_chain
135	1302	public_tf_comprehensive_847	HMGB1	ADA	human	regulator_component;target_component;exact_pair;round_241_tflink_gtrd_source_chain	HMGB1 human SCI;ADA human HPA spinal cord;HMGB1 ADA human regulation;TFLink raw snapshot exact-pair checksum organism and source-metadata audit	Human HMGB1 has clinical traumatic SCI evidence and ADA has spinal-cord tissue context; exact-pair searches found no direct contextual HMGB1-to-ADA mechanism.;verified_tflink_gtrd_snapshot_pair	component_context_only;retain_exact_pair_L0_source_chain_verified	L4_SCI_context	L3_spinal_cord_tissue_context	L0_no_context_evidence	component_only	Independent component evidence supports L4 for HMGB1 and L3 for ADA; SCI evidence is component-only and does not establish the exact pair.;Round 241 verified the exact source-table pair in its species-specific TFLink raw snapshot, including checksum and GTRD/source metadata; this is provenance verification only and does not upgrade context or establish causality.	https://pubmed.ncbi.nlm.nih.gov/27673428/;https://pubmed.ncbi.nlm.nih.gov/30391318/;https://www.proteinatlas.org/ENSG00000189403-HMGB1/brain/spinal%2Bcord;https://www.proteinatlas.org/ENSG00000196839-ADA/tissue/spinal%2Bcord	adjudicated;round_241_tflink_gtrd_source_chain
135	1303	public_tf_comprehensive_848	HMGB1	ADGRB1	human	regulator_component;target_component;exact_pair;round_241_tflink_gtrd_source_chain	HMGB1 human SCI;ADGRB1 human HPA spinal cord;HMGB1 ADGRB1 human regulation;TFLink raw snapshot exact-pair checksum organism and source-metadata audit	Human HMGB1 has clinical traumatic SCI evidence and ADGRB1 has spinal-cord tissue context; exact-pair searches found no direct contextual HMGB1-to-ADGRB1 mechanism.;verified_tflink_gtrd_snapshot_pair	component_context_only;retain_exact_pair_L0_source_chain_verified	L4_SCI_context	L3_spinal_cord_tissue_context	L0_no_context_evidence	component_only	Independent component evidence supports L4 for HMGB1 and L3 for ADGRB1; SCI evidence is component-only and does not establish the exact pair.;Round 241 verified the exact source-table pair in its species-specific TFLink raw snapshot, including checksum and GTRD/source metadata; this is provenance verification only and does not upgrade context or establish causality.	https://pubmed.ncbi.nlm.nih.gov/27673428/;https://pubmed.ncbi.nlm.nih.gov/30391318/;https://www.proteinatlas.org/ENSG00000189403-HMGB1/brain/spinal%2Bcord;https://www.proteinatlas.org/ENSG00000181790-ADGRB1/brain	adjudicated;round_241_tflink_gtrd_source_chain
135	1304	public_tf_comprehensive_849	HMGXB4/HMG2L1	A2M	human	regulator_component;target_component;exact_pair;round_241_tflink_gtrd_source_chain	HMGXB4 human UniProt/HPA;A2M human HPA spinal cord;HMGXB4 A2M human regulation;TFLink raw snapshot exact-pair checksum organism and source-metadata audit	HMGXB4/HMG2L1 has authoritative non-CNS molecular-function and tissue-expression evidence, while A2M has spinal-cord tissue context; exact-pair searches found no direct contextual mechanism.;verified_tflink_gtrd_snapshot_pair	component_context_only;retain_exact_pair_L0_source_chain_verified	L1_non_CNS_context	L3_spinal_cord_tissue_context	L0_no_context_evidence	component_only	Independent component evidence supports L1 for HMGXB4/HMG2L1 and L3 for A2M; no species-matched CNS or spinal-cord-specific regulator record was verified.;Round 241 verified the exact source-table pair in its species-specific TFLink raw snapshot, including checksum and GTRD/source metadata; this is provenance verification only and does not upgrade context or establish causality.	https://www.uniprot.org/uniprotkb/Q9UGU5/entry;https://www.proteinatlas.org/ENSG00000100281-HMGXB4/tissue;https://www.proteinatlas.org/ENSG00000175899-A2M/brain/spinal%2Bcord	adjudicated;round_241_tflink_gtrd_source_chain
135	1305	public_tf_comprehensive_851	HMGXB4/HMG2L1	ACVR1C	human	regulator_component;target_component;exact_pair;round_241_tflink_gtrd_source_chain	HMGXB4 human UniProt/HPA;ACVR1C human HPA spinal cord;HMGXB4 ACVR1C human regulation;TFLink raw snapshot exact-pair checksum organism and source-metadata audit	HMGXB4/HMG2L1 has authoritative non-CNS molecular-function and tissue-expression evidence, while ACVR1C has spinal-cord tissue context; exact-pair searches found no direct contextual mechanism.;verified_tflink_gtrd_snapshot_pair	component_context_only;retain_exact_pair_L0_source_chain_verified	L1_non_CNS_context	L3_spinal_cord_tissue_context	L0_no_context_evidence	component_only	Independent component evidence supports L1 for HMGXB4/HMG2L1 and L3 for ACVR1C; no species-matched CNS or spinal-cord-specific regulator record was verified.;Round 241 verified the exact source-table pair in its species-specific TFLink raw snapshot, including checksum and GTRD/source metadata; this is provenance verification only and does not upgrade context or establish causality.	https://www.uniprot.org/uniprotkb/Q9UGU5/entry;https://www.proteinatlas.org/ENSG00000100281-HMGXB4/tissue;https://v22.proteinatlas.org/ENSG00000123612-ACVR1C/tissue/spinal%2Bcord	adjudicated;round_241_tflink_gtrd_source_chain
135	1306	public_tf_comprehensive_850	HMGXB4/HMG2L1	ACVR1	human	regulator_component;target_component;exact_pair;round_241_tflink_gtrd_source_chain	HMGXB4 human UniProt/HPA;ACVR1 human HPA spinal cord;HMGXB4 ACVR1 human regulation;TFLink raw snapshot exact-pair checksum organism and source-metadata audit	HMGXB4/HMG2L1 has authoritative non-CNS molecular-function and tissue-expression evidence, while ACVR1 has spinal-cord tissue context; exact-pair searches found no direct contextual mechanism.;verified_tflink_gtrd_snapshot_pair	component_context_only;retain_exact_pair_L0_source_chain_verified	L1_non_CNS_context	L3_spinal_cord_tissue_context	L0_no_context_evidence	component_only	Independent component evidence supports L1 for HMGXB4/HMG2L1 and L3 for ACVR1; no species-matched CNS or spinal-cord-specific regulator record was verified.;Round 241 verified the exact source-table pair in its species-specific TFLink raw snapshot, including checksum and GTRD/source metadata; this is provenance verification only and does not upgrade context or establish causality.	https://www.uniprot.org/uniprotkb/Q9UGU5/entry;https://www.proteinatlas.org/ENSG00000100281-HMGXB4/tissue;https://www.proteinatlas.org/ENSG00000115170-ACVR1/brain/Spinal%2Bcord	adjudicated;round_241_tflink_gtrd_source_chain
135	1307	public_tf_comprehensive_852	HMGXB4/HMG2L1	ADA	human	regulator_component;target_component;exact_pair;round_241_tflink_gtrd_source_chain	HMGXB4 human UniProt/HPA;ADA human HPA spinal cord;HMGXB4 ADA human regulation;TFLink raw snapshot exact-pair checksum organism and source-metadata audit	HMGXB4/HMG2L1 has authoritative non-CNS molecular-function and tissue-expression evidence, while ADA has spinal-cord tissue context; exact-pair searches found no direct contextual mechanism.;verified_tflink_gtrd_snapshot_pair	component_context_only;retain_exact_pair_L0_source_chain_verified	L1_non_CNS_context	L3_spinal_cord_tissue_context	L0_no_context_evidence	component_only	Independent component evidence supports L1 for HMGXB4/HMG2L1 and L3 for ADA; no species-matched CNS or spinal-cord-specific regulator record was verified.;Round 241 verified the exact source-table pair in its species-specific TFLink raw snapshot, including checksum and GTRD/source metadata; this is provenance verification only and does not upgrade context or establish causality.	https://www.uniprot.org/uniprotkb/Q9UGU5/entry;https://www.proteinatlas.org/ENSG00000100281-HMGXB4/tissue;https://www.proteinatlas.org/ENSG00000196839-ADA/tissue/spinal%2Bcord	adjudicated;round_241_tflink_gtrd_source_chain
