decision_id	module	integration_id	queue_key	promotion_id	review_id	regulator_key	regulator_symbol	raw_tf_symbol	target_symbol	species_scope	target_graph_modules	module_route	priority_tier	queue_state	search_lane	promotion_scope	promotion_class	promotion_confidence	evidence_confidence_tier	evidence_weight_tier	evidence_weight_rank	evidence_tier_basis	disposition	primary_citation	corroborating_citation	primary_and_corroborating_citations	source_registry	source_record_id	source_registries	source_record_ids	source_exportable	module_stage_status	screening_decision	context_retention_status	module_fit_status	module_owner_review_status	candidate_for_later_materialization	canonical_materialization_allowed	decision_basis	regulatory_role	role_subcategory	canonical_tf_eligible	module_context_eligible	noncanonical_context_candidate	materialization_status	regulator_role_class	canonical_role_status	sci_context_status	sci_context_required	materialization_lane	mechanism_evidence_type	mechanism_evidence_definition	context_level_regulator	context_level_target	context_level_exact_pair	context_evidence_scope	context_evidence_basis	context_promotion_lane
PTF-SCREEN-PTF-MODULE-20B-000001	20B	PTF-MODULE-20B-000001	abcc9/sur2|abca1|mouse	public_tf_comprehensive_062	tflink_source_abcc9/sur2_abca1_mouse_tflink_mouse_000941_00eb4586fdbc	abcc9/sur2	ABCC9/SUR2	Abcc9	Abca1	mouse	20B	20B_target_interaction	Z_already_promoted	already_promoted_followup	promoted_followup_queue	comprehensive_public_interaction_catalog	tflink_source_table_high_throughput_association	tflink_exact_high_throughput_binding_record_primary_source_metadata	C_tflink_source_table_only	C_tflink_source_table_only	1	promoted overlay evidence tier	promote_to_comprehensive_binding_association_catalog	https://pubmed.ncbi.nlm.nih.gov/27924024/		https://tflink.net/download/#interaction-gmt	TFLink	tflink:mouse:000941:00eb4586fdbc	TFLink	tflink:mouse:000941:00eb4586fdbc	true	staged_review_only	module_fit_candidate	not_applicable	explicit_target_graph_modules	pending_module_owner_approval	true	false	A/B/C evidence has an explicit target_graph_modules assignment; candidate remains pending module-owner approval.	public_tf_evidence_candidate	tflink_source_table_high_throughput_association	pending	true	false	pending_module_owner_approval	unresolved_regulator_role	unresolved	indirect_sci_context	true	external_regulatory_evidence_candidate	expression_or_perturbation_association	Expression or perturbation changes associate the regulator and target, but the causal molecular bridge remains unresolved.	L3_spinal_cord_tissue_context	L4_SCI_context	L0_no_context_evidence	pathway_or_component_only	Mouse Abcc9/SUR2 has independent spinal-cord expression evidence in mouse vascular and nerve-injury studies, establishing L3 regulator-component context. Mouse Abca1 has independent mouse SCI evidence in microglia/macrophages and lipid-clearance studies, establishing L4 target-component context. The reviewed ABCC9-to-Abca1 source-table relationship was not established as an SCI mechanism, so the exact pair remains L0.	sci_relevant_component_context
PTF-SCREEN-PTF-MODULE-20B-000002	20B	PTF-MODULE-20B-000002	abcc9/sur2|ackr4|mouse	public_tf_comprehensive_063	tflink_source_abcc9/sur2_ackr4_mouse_tflink_mouse_000941_00eb4586fdbc	abcc9/sur2	ABCC9/SUR2	Abcc9	Ackr4	mouse	20B	20B_target_interaction	Z_already_promoted	already_promoted_followup	promoted_followup_queue	comprehensive_public_interaction_catalog	tflink_source_table_high_throughput_association	tflink_exact_high_throughput_binding_record_primary_source_metadata	C_tflink_source_table_only	C_tflink_source_table_only	1	promoted overlay evidence tier	promote_to_comprehensive_binding_association_catalog	https://pubmed.ncbi.nlm.nih.gov/27924024/		https://tflink.net/download/#interaction-gmt	TFLink	tflink:mouse:000941:00eb4586fdbc	TFLink	tflink:mouse:000941:00eb4586fdbc	true	staged_review_only	module_fit_candidate	not_applicable	explicit_target_graph_modules	pending_module_owner_approval	true	false	A/B/C evidence has an explicit target_graph_modules assignment; candidate remains pending module-owner approval.	public_tf_evidence_candidate	tflink_source_table_high_throughput_association	pending	true	false	pending_module_owner_approval	unresolved_regulator_role	unresolved	non_sci_transferable_context	true	external_regulatory_evidence_candidate	expression_or_perturbation_association	Expression or perturbation changes associate the regulator and target, but the causal molecular bridge remains unresolved.	L3_spinal_cord_tissue_context	L3_spinal_cord_tissue_context	L0_no_context_evidence	pathway_or_component_only	Mouse Abcc9/SUR2 has independent spinal-cord expression evidence, establishing L3 regulator-component context. Mouse Ackr4 has authoritative MGI/GXD RNA in situ evidence in future spinal cord, establishing L3 target-component context. No SCI-specific or direct contextual ABCC9-to-Ackr4 mechanism was verified, so the exact pair remains L0.	sci_relevant_component_context
PTF-SCREEN-PTF-MODULE-20B-000003	20B	PTF-MODULE-20B-000003	abcc9/sur2|acvr1|mouse	public_tf_comprehensive_064	tflink_source_abcc9/sur2_acvr1_mouse_tflink_mouse_000941_00eb4586fdbc	abcc9/sur2	ABCC9/SUR2	Abcc9	Acvr1	mouse	20B	20B_target_interaction	Z_already_promoted	already_promoted_followup	promoted_followup_queue	comprehensive_public_interaction_catalog	tflink_source_table_high_throughput_association	tflink_exact_high_throughput_binding_record_primary_source_metadata	C_tflink_source_table_only	C_tflink_source_table_only	1	promoted overlay evidence tier	promote_to_comprehensive_binding_association_catalog	https://pubmed.ncbi.nlm.nih.gov/27924024/		https://tflink.net/download/#interaction-gmt	TFLink	tflink:mouse:000941:00eb4586fdbc	TFLink	tflink:mouse:000941:00eb4586fdbc	true	staged_review_only	module_fit_candidate	not_applicable	explicit_target_graph_modules	pending_module_owner_approval	true	false	A/B/C evidence has an explicit target_graph_modules assignment; candidate remains pending module-owner approval.	public_tf_evidence_candidate	tflink_source_table_high_throughput_association	pending	true	false	pending_module_owner_approval	unresolved_regulator_role	unresolved	non_sci_transferable_context	true	external_regulatory_evidence_candidate	expression_or_perturbation_association	Expression or perturbation changes associate the regulator and target, but the causal molecular bridge remains unresolved.	L3_spinal_cord_tissue_context	L3_spinal_cord_tissue_context	L0_no_context_evidence	pathway_or_component_only	Mouse Abcc9/SUR2 has independent spinal-cord expression evidence, establishing L3 regulator-component context. Mouse Acvr1 has an Allen Institute mouse spinal-cord expression record, establishing L3 target-component context. No SCI-specific or direct contextual ABCC9-to-Acvr1 mechanism was verified, so the exact pair remains L0.	sci_relevant_component_context
PTF-SCREEN-PTF-MODULE-20B-000004	20B	PTF-MODULE-20B-000004	abcc9/sur2|adam17|mouse	public_tf_comprehensive_065	tflink_source_abcc9/sur2_adam17_mouse_tflink_mouse_000941_00eb4586fdbc	abcc9/sur2	ABCC9/SUR2	Abcc9	Adam17	mouse	20B	20B_target_interaction	Z_already_promoted	already_promoted_followup	promoted_followup_queue	comprehensive_public_interaction_catalog	tflink_source_table_high_throughput_association	tflink_exact_high_throughput_binding_record_primary_source_metadata	C_tflink_source_table_only	C_tflink_source_table_only	1	promoted overlay evidence tier	promote_to_comprehensive_binding_association_catalog	https://pubmed.ncbi.nlm.nih.gov/27924024/		https://tflink.net/download/#interaction-gmt	TFLink	tflink:mouse:000941:00eb4586fdbc	TFLink	tflink:mouse:000941:00eb4586fdbc	true	staged_review_only	module_fit_candidate	not_applicable	explicit_target_graph_modules	pending_module_owner_approval	true	false	A/B/C evidence has an explicit target_graph_modules assignment; candidate remains pending module-owner approval.	public_tf_evidence_candidate	tflink_source_table_high_throughput_association	pending	true	false	pending_module_owner_approval	unresolved_regulator_role	unresolved	indirect_sci_context	true	external_regulatory_evidence_candidate	expression_or_perturbation_association	Expression or perturbation changes associate the regulator and target, but the causal molecular bridge remains unresolved.	L3_spinal_cord_tissue_context	L4_SCI_context	L0_no_context_evidence	pathway_or_component_only	Mouse Abcc9/SUR2 has independent spinal-cord expression evidence, establishing L3 regulator-component context. Mouse Adam17 has independent expression and functional evidence in spinal-cord injury models, establishing L4 target-component context. The reviewed ABCC9-to-Adam17 source-table relationship was not established as an SCI mechanism, so the exact pair remains L0.	sci_relevant_component_context
PTF-SCREEN-PTF-MODULE-20B-000005	20B	PTF-MODULE-20B-000005	ada2/cecr1|anxa2|human	public_tf_comprehensive_047	public_tf_evidence_batch030_pair_14_1	ada2	ADA2/CECR1	ADA2	ANXA2	human	20B;23B;24B	20B_secreted_factor_association;23B_secreted_factor_association;24B_secreted_factor_association	Z_already_promoted	already_promoted_followup	promoted_followup_queue	comprehensive_public_interaction_catalog	role_specific_noncanonical_secreted_factor_expression_association	broad_human_secreted_factor_expression_association_primary_only	B_independent_literature_single_source	B_independent_literature_single_source	2	promoted overlay evidence tier	retain_weak_expression_association_separately	https://pubmed.ncbi.nlm.nih.gov/32845709/		https://pubmed.ncbi.nlm.nih.gov/32845709/	TFLink	tflink:human:001336:43f9f0d36efa	TFLink	tflink:human:001336:43f9f0d36efa	true	staged_review_only	retain_for_context_only	retain_for_context_only	explicit_route_noncanonical	not_selected_noncanonical_role	false	false	Explicit module route is retained, but the reviewed mechanism class is noncanonical and is not a canonical TF/module candidate.	noncanonical_gene_expression_regulator	upstream_signaling_or_relay	false	true	true	separate_noncanonical_layer_pending_approval	noncanonical_gene_expression_regulator	noncanonical_regulator	non_sci_context_limited	true	noncanonical_module_context_candidate	extracellular_signal_or_receptor_relay	An extracellular ligand, receptor, or pathway relay is supported, without claiming direct regulation of the target gene locus.	L1_non_CNS_context	L1_non_CNS_context	L1_non_CNS_context	exact_pair	The recorded exact-pair model (human_sepsis_time_series_biomarker_analysis_not_SCI_target_cell) is non-CNS and does not provide CNS, spinal-cord-tissue, or SCI context. It therefore supports L1 non-CNS context for the exact pair, but no higher context level. This is a bounded screen result, not a claim of exhaustive literature absence.	non_cns_context_candidate
PTF-SCREEN-PTF-MODULE-20B-000006	20B	PTF-MODULE-20B-000006	ada2/cecr1|cckbr|human	public_tf_comprehensive_066	tflink_source_ada2/cecr1_cckbr_human_tflink_human_001336_43f9f0d36efa	ada2/cecr1	ADA2/CECR1	ADA2	CCKBR	human	20B	20B_target_interaction	Z_already_promoted	already_promoted_followup	promoted_followup_queue	comprehensive_public_interaction_catalog	tflink_source_table_high_throughput_association	tflink_exact_high_throughput_binding_record_primary_source_metadata	C_tflink_source_table_only	C_tflink_source_table_only	1	promoted overlay evidence tier	promote_to_comprehensive_binding_association_catalog	https://pubmed.ncbi.nlm.nih.gov/27924024/		https://tflink.net/download/	TFLink	tflink:human:001336:43f9f0d36efa	TFLink	tflink:human:001336:43f9f0d36efa	true	staged_review_only	module_fit_candidate	not_applicable	explicit_target_graph_modules	pending_module_owner_approval	true	false	A/B/C evidence has an explicit target_graph_modules assignment; candidate remains pending module-owner approval.	public_tf_evidence_candidate	tflink_source_table_high_throughput_association	pending	true	false	pending_module_owner_approval	unresolved_regulator_role	unresolved	non_sci_transferable_context	true	external_regulatory_evidence_candidate	expression_or_perturbation_association	Expression or perturbation changes associate the regulator and target, but the causal molecular bridge remains unresolved.	L1_non_CNS_context	L3_spinal_cord_tissue_context	L0_no_context_evidence	pathway_or_component_only	Human ADA2/CECR1 has independent non-CNS monocyte/macrophage expression evidence, establishing L1 regulator-component context. Human CCKBR has direct HPA spinal-cord tissue RNA representation, establishing L3 target-component context. Exact-pair checks found no direct contextual ADA2-to-CCKBR mechanism, so the exact pair remains L0.	sci_relevant_component_context
PTF-SCREEN-PTF-MODULE-20B-000007	20B	PTF-MODULE-20B-000007	ada2/cecr1|fgf7|human	public_tf_comprehensive_067	tflink_source_ada2/cecr1_fgf7_human_tflink_human_001336_43f9f0d36efa	ada2/cecr1	ADA2/CECR1	ADA2	FGF7	human	20B	20B_target_interaction	Z_already_promoted	already_promoted_followup	promoted_followup_queue	comprehensive_public_interaction_catalog	tflink_source_table_high_throughput_association	tflink_exact_high_throughput_binding_record_primary_source_metadata	C_tflink_source_table_only	C_tflink_source_table_only	1	promoted overlay evidence tier	promote_to_comprehensive_binding_association_catalog	https://pubmed.ncbi.nlm.nih.gov/27924024/		https://tflink.net/download/	TFLink	tflink:human:001336:43f9f0d36efa	TFLink	tflink:human:001336:43f9f0d36efa	true	staged_review_only	module_fit_candidate	not_applicable	explicit_target_graph_modules	pending_module_owner_approval	true	false	A/B/C evidence has an explicit target_graph_modules assignment; candidate remains pending module-owner approval.	public_tf_evidence_candidate	tflink_source_table_high_throughput_association	pending	true	false	pending_module_owner_approval	unresolved_regulator_role	unresolved	non_sci_transferable_context	true	external_regulatory_evidence_candidate	expression_or_perturbation_association	Expression or perturbation changes associate the regulator and target, but the causal molecular bridge remains unresolved.	L1_non_CNS_context	L1_non_CNS_context	L0_no_context_evidence	pathway_or_component_only	Human ADA2/CECR1 has independent non-CNS monocyte/macrophage expression evidence, establishing L1 regulator-component context. Human FGF7 has independent non-CNS mesenchymal/epithelial and skin expression evidence, establishing L1 target-component context. Exact-pair searches found no direct contextual ADA2-to-FGF7 mechanism, so the exact pair remains L0.	sci_relevant_component_context
PTF-SCREEN-PTF-MODULE-20B-000008	20B	PTF-MODULE-20B-000008	adcyap1|dip2a|human	public_tf_comprehensive_069	tflink_source_adcyap1_dip2a_human_tflink_human_001561_a510b1da4da0	adcyap1	ADCYAP1	ADCYAP1	DIP2A	human	20B	20B_target_interaction	Z_already_promoted	already_promoted_followup	promoted_followup_queue	comprehensive_public_interaction_catalog	tflink_source_table_high_throughput_association	tflink_exact_high_throughput_binding_record_primary_source_metadata	C_tflink_source_table_only	C_tflink_source_table_only	1	promoted overlay evidence tier	promote_to_comprehensive_binding_association_catalog	https://pubmed.ncbi.nlm.nih.gov/27924024/		https://tflink.net/download/#interaction-gmt	TFLink	tflink:human:001561:a510b1da4da0	TFLink	tflink:human:001561:a510b1da4da0	true	staged_review_only	module_fit_candidate	not_applicable	explicit_target_graph_modules	pending_module_owner_approval	true	false	A/B/C evidence has an explicit target_graph_modules assignment; candidate remains pending module-owner approval.	public_tf_evidence_candidate	tflink_source_table_high_throughput_association	pending	true	false	pending_module_owner_approval	unresolved_regulator_role	unresolved	indirect_sci_context	true	external_regulatory_evidence_candidate	expression_or_perturbation_association	Expression or perturbation changes associate the regulator and target, but the causal molecular bridge remains unresolved.	L4_SCI_context	L3_spinal_cord_tissue_context	L0_no_context_evidence	pathway_or_component_only	Human/mouse PACAP (ADCYAP1) has independent spinal-cord injury evidence, establishing L4 regulator-component context. Human DIP2A has direct HPA spinal-cord RNA expression, establishing L3 target-component context. Exact-pair checks found no direct contextual ADCYAP1-to-DIP2A mechanism, so the exact pair remains L0.	sci_relevant_component_context
PTF-SCREEN-PTF-MODULE-20B-000009	20B	PTF-MODULE-20B-000009	adnp|ada|human		public_tf_evidence_batch023_pair_23_1	adnp	ADNP		ADA	human	20B	adjudicated_database_archive	Z_adjudicated_database_only	archive_or_hold	adjudicated_database_archive				D_database_only_no_pair_evidence	D_database_only_no_pair_evidence	0	completed search found only database/profile/membership evidence	retain_human_binding_profile_lead_separately			https://www.gsea-msigdb.org/gsea/msigdb/cards/ADNP_TARGET_GENES;https://pubmed.ncbi.nlm.nih.gov/30445619/			TFLink	tflink:human:001059:68b0d35ff216	false	staged_low_tier_screening_only	screen_out_low_tier	retain_for_context_only	not_eligible_low_tier	screened_out_low_tier	false	false	Reviewed D/E evidence is retained for provenance/context but excluded from module support and materialization.	reviewed_low_tier_evidence	D	false	false	false	screened_out_low_tier	low_tier_role_unassigned	not_assigned_low_tier	not_assessed	false	screened_out_low_tier	unresolved_mechanism	The record supports a regulator-target relationship, but the available evidence does not resolve the molecular mechanism.	L0_no_context_evidence	L0_no_context_evidence	L0_no_context_evidence	not_assessed	No graded CNS/spinal-cord context adjudication has been completed for this row; do not infer context from regulator or target identity alone.	screened_out_low_tier
PTF-SCREEN-PTF-MODULE-20B-000010	20B	PTF-MODULE-20B-000010	adnp|ang|human		public_tf_evidence_batch023_pair_23_2	adnp	ADNP		ANG	human	20B	adjudicated_database_archive	Z_adjudicated_database_only	archive_or_hold	adjudicated_database_archive				D_database_only_no_pair_evidence	D_database_only_no_pair_evidence	0	completed search found only database/profile/membership evidence	retain_human_binding_profile_lead_separately			https://www.gsea-msigdb.org/gsea/msigdb/cards/ADNP_TARGET_GENES;https://pubmed.ncbi.nlm.nih.gov/30445619/			TFLink	tflink:human:001059:68b0d35ff216	false	staged_low_tier_screening_only	screen_out_low_tier	retain_for_context_only	not_eligible_low_tier	screened_out_low_tier	false	false	Reviewed D/E evidence is retained for provenance/context but excluded from module support and materialization.	reviewed_low_tier_evidence	D	false	false	false	screened_out_low_tier	low_tier_role_unassigned	not_assigned_low_tier	not_assessed	false	screened_out_low_tier	unresolved_mechanism	The record supports a regulator-target relationship, but the available evidence does not resolve the molecular mechanism.	L0_no_context_evidence	L0_no_context_evidence	L0_no_context_evidence	not_assessed	No graded CNS/spinal-cord context adjudication has been completed for this row; do not infer context from regulator or target identity alone.	screened_out_low_tier
