promotion_id	regulator_symbol	target_symbol	species_scope	evidence_weight_tier	context_level_regulator	context_level_target	context_level_exact_pair	context_evidence_scope	context_evidence_basis	context_evidence_citations	context_promotion_lane	sci_context_status	context_review_status
public_tf_comprehensive_001	ZNF580	ABCA1	human	B_independent_literature_single_source	L1_non_CNS_context	L1_non_CNS_context	L1_non_CNS_context	exact_pair	The recorded exact-pair model (supported_human_thp1_oxldl_foam_cells) is non-CNS and does not provide CNS, spinal-cord-tissue, or SCI context. It therefore supports L1 non-CNS context for the exact pair, but no higher context level. This is a bounded screen result, not a claim of exhaustive literature absence.	https://pmc.ncbi.nlm.nih.gov/articles/PMC9353537/	non_cns_context_candidate	non_sci_context_limited	adjudicated_no_qualifying_context_in_current_packet
public_tf_comprehensive_002	ZNF507	IGF2R	human	B_independent_literature_single_source	L1_non_CNS_context	L1_non_CNS_context	L1_non_CNS_context	exact_pair	The recorded exact-pair model (human_HEK293_model_not_SCI_target_cell) is non-CNS and does not provide CNS, spinal-cord-tissue, or SCI context. It therefore supports L1 non-CNS context for the exact pair, but no higher context level. This is a bounded screen result, not a claim of exhaustive literature absence.	https://academic.oup.com/g3journal/article/12/3/jkac002/6509542	non_cns_context_candidate	non_sci_context_limited	adjudicated_no_qualifying_context_in_current_packet
public_tf_comprehensive_003	OVOL2	Cdh2	mouse	A_independent_literature_corroborated	L1_non_CNS_context	L1_non_CNS_context	L1_non_CNS_context	exact_pair	The recorded exact-pair model (present_in_mouse_mammary_model_not_SCI_target_cell) is non-CNS and does not provide CNS, spinal-cord-tissue, or SCI context. It therefore supports L1 non-CNS context for the exact pair, but no higher context level. This is a bounded screen result, not a claim of exhaustive literature absence.	https://pmc.ncbi.nlm.nih.gov/articles/PMC4062651/	non_cns_context_candidate	non_sci_context_limited	adjudicated_no_qualifying_context_in_current_packet
public_tf_comprehensive_004	MSGN1	Dll3	mouse	A_independent_literature_corroborated	L1_non_CNS_context	L1_non_CNS_context	L1_non_CNS_context	exact_pair	The recorded exact-pair model (present_in_mouse_presomitic_mesoderm_not_SCI_target_cell) is non-CNS and does not provide CNS, spinal-cord-tissue, or SCI context. It therefore supports L1 non-CNS context for the exact pair, but no higher context level. This is a bounded screen result, not a claim of exhaustive literature absence.	https://pmc.ncbi.nlm.nih.gov/articles/PMC3622708/	non_cns_context_candidate	non_sci_context_limited	adjudicated_no_qualifying_context_in_current_packet
public_tf_comprehensive_005	Znf513	Arr3	mouse	B_independent_literature_single_source	L0_no_context_evidence	L0_no_context_evidence	L0_no_context_evidence	no_qualifying_context_found	No exact-pair model was established in the current record (not_established_for_exact_pair); context is therefore L0 no evidence for the pair. This is a bounded screen result, not a claim of exhaustive literature absence.	https://pubmed.ncbi.nlm.nih.gov/20797688/	context_reviewed_no_qualifying_context	non_sci_context_limited	adjudicated_no_qualifying_context_in_current_packet
public_tf_comprehensive_006	Znf513	Pax6	mouse	B_independent_literature_single_source	L0_no_context_evidence	L0_no_context_evidence	L0_no_context_evidence	no_qualifying_context_found	No exact-pair model was established in the current record (not_established_for_exact_pair); context is therefore L0 no evidence for the pair. This is a bounded screen result, not a claim of exhaustive literature absence.	https://pubmed.ncbi.nlm.nih.gov/20797688/	context_reviewed_no_qualifying_context	non_sci_context_limited	adjudicated_no_qualifying_context_in_current_packet
public_tf_comprehensive_007	Znf513	Rbp3	mouse	A_independent_literature_corroborated	L0_no_context_evidence	L0_no_context_evidence	L0_no_context_evidence	no_qualifying_context_found	No exact-pair model was established in the current record (not_established_for_exact_pair); context is therefore L0 no evidence for the pair. This is a bounded screen result, not a claim of exhaustive literature absence.	https://pubmed.ncbi.nlm.nih.gov/20797688/	context_reviewed_no_qualifying_context	non_sci_context_limited	adjudicated_no_qualifying_context_in_current_packet
public_tf_comprehensive_008	Znf513	Sp4	mouse	B_independent_literature_single_source	L0_no_context_evidence	L0_no_context_evidence	L0_no_context_evidence	no_qualifying_context_found	No exact-pair model was established in the current record (not_established_for_exact_pair); context is therefore L0 no evidence for the pair. This is a bounded screen result, not a claim of exhaustive literature absence.	https://pubmed.ncbi.nlm.nih.gov/20797688/	context_reviewed_no_qualifying_context	non_sci_context_limited	adjudicated_no_qualifying_context_in_current_packet
public_tf_comprehensive_009	BHLHA15/MIST1	RAB26	human	B_independent_literature_single_source	L1_non_CNS_context	L1_non_CNS_context	L1_non_CNS_context	exact_pair	The recorded exact-pair model (human_and_mouse_secretory_cell_models_not_SCI_target_cell) is non-CNS and does not provide CNS, spinal-cord-tissue, or SCI context. It therefore supports L1 non-CNS context for the exact pair, but no higher context level. This is a bounded screen result, not a claim of exhaustive literature absence.	https://pubmed.ncbi.nlm.nih.gov/20038531/	non_cns_context_candidate	non_sci_context_limited	adjudicated_no_qualifying_context_in_current_packet
public_tf_comprehensive_010	BHLHA15/MIST1	RAB3D	human	A_independent_literature_corroborated	L1_non_CNS_context	L1_non_CNS_context	L1_non_CNS_context	exact_pair	The recorded exact-pair model (human_and_mouse_secretory_cell_models_not_SCI_target_cell) is non-CNS and does not provide CNS, spinal-cord-tissue, or SCI context. It therefore supports L1 non-CNS context for the exact pair, but no higher context level. This is a bounded screen result, not a claim of exhaustive literature absence.	https://pubmed.ncbi.nlm.nih.gov/20038531/	non_cns_context_candidate	non_sci_context_limited	adjudicated_no_qualifying_context_in_current_packet
