integration_id	module	queue_key	promotion_id	review_id	batch_id	batch_rank	regulator_key	regulator_symbol	raw_tf_symbol	target_symbol	species_scope	target_graph_modules	module_route	priority_tier	queue_state	search_lane	promotion_scope	promotion_class	promotion_confidence	evidence_confidence_tier	evidence_weight_tier	evidence_weight_rank	evidence_tier_basis	independent_literature_support_status	independent_literature_source_count	exact_pair_status	effect_polarity	disposition	binding_or_association_status	downstream_expression_or_perturbation_status	downstream_activation_status	upstream_relay_status	primary_citation	corroborating_citation	additional_corroborating_citation	primary_and_corroborating_citations	source_registry	source_record_id	source_registries	source_record_ids	tflink_source_database	tflink_detection_method	tflink_pubmed_id	tflink_source_url	tflink_raw_snapshot_path	tflink_raw_snapshot_sha256	tflink_source_selection	source_review_file	review_notes	near_match_exclusions	source_exportable	canonical_write_performed	module22b_write_performed	module_stage_status	module_materialization_allowed
PTF-MODULE-20B-000001	20B	abcc9/sur2|abca1|mouse	public_tf_comprehensive_062	tflink_source_abcc9/sur2_abca1_mouse_tflink_mouse_000941_00eb4586fdbc	TFLink_database_only_source_recovery_v1		abcc9/sur2	ABCC9/SUR2	Abcc9	Abca1	mouse	20B	20B_target_interaction	Z_already_promoted	already_promoted_followup	promoted_followup_queue	comprehensive_public_interaction_catalog	tflink_source_table_high_throughput_association	tflink_exact_high_throughput_binding_record_primary_source_metadata	C_tflink_source_table_only	C_tflink_source_table_only	1	promoted overlay evidence tier	not_identified_outside_tflink_source_table	0	tflink_source_table_exact_pair		promote_to_comprehensive_binding_association_catalog	Exact TFLink target-table row; detection_method=chromatin immunoprecipitation assay; source_database=GTRD; large-scale association record.	not_assessed_in_tflink_source_table	not_assessed	not_assessed	https://pubmed.ncbi.nlm.nih.gov/27924024/			https://tflink.net/download/#interaction-gmt	TFLink	tflink:mouse:000941:00eb4586fdbc	TFLink	tflink:mouse:000941:00eb4586fdbc	GTRD	chromatin immunoprecipitation assay	27924024	https://cdn.netbiol.org/tflink/proteinDownload_targets/TFLink_targets_of_P70170.tsv	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_protein_targets_v1/mouse_P70170_targets.tsv	183392eabc4b58b4a03afefdc53cf4231e80ed99e23346b71e34ad06b0ee7051	database_profile_hold	data/processed/public_tf_union_expansion_v1/comprehensive_interaction_promotion_v1/tflink_database_profile_hold_source_audit.tsv	Recovered from the TFLink per-protein target table rather than GMT membership alone. The attached PubMed ID identifies the source database paper; the underlying experiment accession/original paper was not supplied in this TFLink row.	Exact TFLink organism match; no cross-species or reverse-direction inference. ChIP-seq association does not establish causal expression or activation direction.	true	false	false	staged_review_only	false
PTF-MODULE-20B-000002	20B	abcc9/sur2|ackr4|mouse	public_tf_comprehensive_063	tflink_source_abcc9/sur2_ackr4_mouse_tflink_mouse_000941_00eb4586fdbc	TFLink_database_only_source_recovery_v1		abcc9/sur2	ABCC9/SUR2	Abcc9	Ackr4	mouse	20B	20B_target_interaction	Z_already_promoted	already_promoted_followup	promoted_followup_queue	comprehensive_public_interaction_catalog	tflink_source_table_high_throughput_association	tflink_exact_high_throughput_binding_record_primary_source_metadata	C_tflink_source_table_only	C_tflink_source_table_only	1	promoted overlay evidence tier	not_identified_outside_tflink_source_table	0	tflink_source_table_exact_pair		promote_to_comprehensive_binding_association_catalog	Exact TFLink target-table row; detection_method=chromatin immunoprecipitation assay; source_database=GTRD; large-scale association record.	not_assessed_in_tflink_source_table	not_assessed	not_assessed	https://pubmed.ncbi.nlm.nih.gov/27924024/			https://tflink.net/download/#interaction-gmt	TFLink	tflink:mouse:000941:00eb4586fdbc	TFLink	tflink:mouse:000941:00eb4586fdbc	GTRD	chromatin immunoprecipitation assay	27924024	https://cdn.netbiol.org/tflink/proteinDownload_targets/TFLink_targets_of_P70170.tsv	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_protein_targets_v1/mouse_P70170_targets.tsv	183392eabc4b58b4a03afefdc53cf4231e80ed99e23346b71e34ad06b0ee7051	database_profile_hold	data/processed/public_tf_union_expansion_v1/comprehensive_interaction_promotion_v1/tflink_database_profile_hold_source_audit.tsv	Recovered from the TFLink per-protein target table rather than GMT membership alone. The attached PubMed ID identifies the source database paper; the underlying experiment accession/original paper was not supplied in this TFLink row.	Exact TFLink organism match; no cross-species or reverse-direction inference. ChIP-seq association does not establish causal expression or activation direction.	true	false	false	staged_review_only	false
PTF-MODULE-20B-000003	20B	abcc9/sur2|acvr1|mouse	public_tf_comprehensive_064	tflink_source_abcc9/sur2_acvr1_mouse_tflink_mouse_000941_00eb4586fdbc	TFLink_database_only_source_recovery_v1		abcc9/sur2	ABCC9/SUR2	Abcc9	Acvr1	mouse	20B	20B_target_interaction	Z_already_promoted	already_promoted_followup	promoted_followup_queue	comprehensive_public_interaction_catalog	tflink_source_table_high_throughput_association	tflink_exact_high_throughput_binding_record_primary_source_metadata	C_tflink_source_table_only	C_tflink_source_table_only	1	promoted overlay evidence tier	not_identified_outside_tflink_source_table	0	tflink_source_table_exact_pair		promote_to_comprehensive_binding_association_catalog	Exact TFLink target-table row; detection_method=chromatin immunoprecipitation assay; source_database=GTRD; large-scale association record.	not_assessed_in_tflink_source_table	not_assessed	not_assessed	https://pubmed.ncbi.nlm.nih.gov/27924024/			https://tflink.net/download/#interaction-gmt	TFLink	tflink:mouse:000941:00eb4586fdbc	TFLink	tflink:mouse:000941:00eb4586fdbc	GTRD	chromatin immunoprecipitation assay	27924024	https://cdn.netbiol.org/tflink/proteinDownload_targets/TFLink_targets_of_P70170.tsv	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_protein_targets_v1/mouse_P70170_targets.tsv	183392eabc4b58b4a03afefdc53cf4231e80ed99e23346b71e34ad06b0ee7051	database_profile_hold	data/processed/public_tf_union_expansion_v1/comprehensive_interaction_promotion_v1/tflink_database_profile_hold_source_audit.tsv	Recovered from the TFLink per-protein target table rather than GMT membership alone. The attached PubMed ID identifies the source database paper; the underlying experiment accession/original paper was not supplied in this TFLink row.	Exact TFLink organism match; no cross-species or reverse-direction inference. ChIP-seq association does not establish causal expression or activation direction.	true	false	false	staged_review_only	false
PTF-MODULE-20B-000004	20B	abcc9/sur2|adam17|mouse	public_tf_comprehensive_065	tflink_source_abcc9/sur2_adam17_mouse_tflink_mouse_000941_00eb4586fdbc	TFLink_database_only_source_recovery_v1		abcc9/sur2	ABCC9/SUR2	Abcc9	Adam17	mouse	20B	20B_target_interaction	Z_already_promoted	already_promoted_followup	promoted_followup_queue	comprehensive_public_interaction_catalog	tflink_source_table_high_throughput_association	tflink_exact_high_throughput_binding_record_primary_source_metadata	C_tflink_source_table_only	C_tflink_source_table_only	1	promoted overlay evidence tier	not_identified_outside_tflink_source_table	0	tflink_source_table_exact_pair		promote_to_comprehensive_binding_association_catalog	Exact TFLink target-table row; detection_method=chromatin immunoprecipitation assay; source_database=GTRD; large-scale association record.	not_assessed_in_tflink_source_table	not_assessed	not_assessed	https://pubmed.ncbi.nlm.nih.gov/27924024/			https://tflink.net/download/#interaction-gmt	TFLink	tflink:mouse:000941:00eb4586fdbc	TFLink	tflink:mouse:000941:00eb4586fdbc	GTRD	chromatin immunoprecipitation assay	27924024	https://cdn.netbiol.org/tflink/proteinDownload_targets/TFLink_targets_of_P70170.tsv	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_protein_targets_v1/mouse_P70170_targets.tsv	183392eabc4b58b4a03afefdc53cf4231e80ed99e23346b71e34ad06b0ee7051	database_profile_hold	data/processed/public_tf_union_expansion_v1/comprehensive_interaction_promotion_v1/tflink_database_profile_hold_source_audit.tsv	Recovered from the TFLink per-protein target table rather than GMT membership alone. The attached PubMed ID identifies the source database paper; the underlying experiment accession/original paper was not supplied in this TFLink row.	Exact TFLink organism match; no cross-species or reverse-direction inference. ChIP-seq association does not establish causal expression or activation direction.	true	false	false	staged_review_only	false
PTF-MODULE-20B-000005	20B	ada2/cecr1|anxa2|human	public_tf_comprehensive_047	public_tf_evidence_batch030_pair_14_1	public_tf_evidence_batch_030	14	ada2	ADA2/CECR1	ADA2	ANXA2	human	20B;23B;24B	20B_secreted_factor_association;23B_secreted_factor_association;24B_secreted_factor_association	Z_already_promoted	already_promoted_followup	promoted_followup_queue	comprehensive_public_interaction_catalog	role_specific_noncanonical_secreted_factor_expression_association	broad_human_secreted_factor_expression_association_primary_only	B_independent_literature_single_source	B_independent_literature_single_source	2	promoted overlay evidence tier	independent_literature_single_source	1	expression_association_not_promotable		retain_weak_expression_association_separately	ADA2_and_ANXA2_co-occurrence_without_binding_or_protein_interaction_assay	co-expression_or_WGCNA_association_only;_no_ADA2_perturbation_direction	not_established_for_SCI_target_cell	not_tested_for_exact_pair	https://pubmed.ncbi.nlm.nih.gov/32845709/			https://pubmed.ncbi.nlm.nih.gov/32845709/	TFLink	tflink:human:001336:43f9f0d36efa	TFLink	tflink:human:001336:43f9f0d36efa								data/processed/public_tf_union_expansion_v1/current_set_crosswalk_v1/candidate_triage_v1/evidence_batches/batch_030/public_tf_evidence_review_batch030_pairs.tsv	Weak association was preserved without promotion; ADA2 was not confused with TADA2A. ADA2 in this queue is CECR1/adenosine deaminase 2, a secreted enzyme; it is not TADA2A and not a TF.	A biomarker/co-expression association does not establish ADA2 regulation of ANXA2 RNA, protein or locus.	true	false	false	staged_review_only	false
PTF-MODULE-20B-000006	20B	ada2/cecr1|cckbr|human	public_tf_comprehensive_066	tflink_source_ada2/cecr1_cckbr_human_tflink_human_001336_43f9f0d36efa	TFLink_database_only_source_recovery_v1		ada2/cecr1	ADA2/CECR1	ADA2	CCKBR	human	20B	20B_target_interaction	Z_already_promoted	already_promoted_followup	promoted_followup_queue	comprehensive_public_interaction_catalog	tflink_source_table_high_throughput_association	tflink_exact_high_throughput_binding_record_primary_source_metadata	C_tflink_source_table_only	C_tflink_source_table_only	1	promoted overlay evidence tier	not_identified_outside_tflink_source_table	0	tflink_source_table_exact_pair		promote_to_comprehensive_binding_association_catalog	Exact TFLink target-table row; detection_method=chromatin immunoprecipitation assay; source_database=GTRD; large-scale association record.	not_assessed_in_tflink_source_table	not_assessed	not_assessed	https://pubmed.ncbi.nlm.nih.gov/27924024/			https://tflink.net/download/	TFLink	tflink:human:001336:43f9f0d36efa	TFLink	tflink:human:001336:43f9f0d36efa	GTRD	chromatin immunoprecipitation assay	27924024	https://cdn.netbiol.org/tflink/proteinDownload_targets/TFLink_targets_of_Q9NZK5.tsv	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_protein_targets_v1/human_Q9NZK5_targets.tsv	af88a9f9851ba8bbc97f898cac0c0d58b2219149d6cc07250dbf3183e6021f16	database_profile_hold	data/processed/public_tf_union_expansion_v1/comprehensive_interaction_promotion_v1/tflink_database_profile_hold_source_audit.tsv	Recovered from the TFLink per-protein target table rather than GMT membership alone. The attached PubMed ID identifies the source database paper; the underlying experiment accession/original paper was not supplied in this TFLink row.	Exact TFLink organism match; no cross-species or reverse-direction inference. ChIP-seq association does not establish causal expression or activation direction.	true	false	false	staged_review_only	false
PTF-MODULE-20B-000007	20B	ada2/cecr1|fgf7|human	public_tf_comprehensive_067	tflink_source_ada2/cecr1_fgf7_human_tflink_human_001336_43f9f0d36efa	TFLink_database_only_source_recovery_v1		ada2/cecr1	ADA2/CECR1	ADA2	FGF7	human	20B	20B_target_interaction	Z_already_promoted	already_promoted_followup	promoted_followup_queue	comprehensive_public_interaction_catalog	tflink_source_table_high_throughput_association	tflink_exact_high_throughput_binding_record_primary_source_metadata	C_tflink_source_table_only	C_tflink_source_table_only	1	promoted overlay evidence tier	not_identified_outside_tflink_source_table	0	tflink_source_table_exact_pair		promote_to_comprehensive_binding_association_catalog	Exact TFLink target-table row; detection_method=chromatin immunoprecipitation assay; source_database=GTRD; large-scale association record.	not_assessed_in_tflink_source_table	not_assessed	not_assessed	https://pubmed.ncbi.nlm.nih.gov/27924024/			https://tflink.net/download/	TFLink	tflink:human:001336:43f9f0d36efa	TFLink	tflink:human:001336:43f9f0d36efa	GTRD	chromatin immunoprecipitation assay	27924024	https://cdn.netbiol.org/tflink/proteinDownload_targets/TFLink_targets_of_Q9NZK5.tsv	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_protein_targets_v1/human_Q9NZK5_targets.tsv	af88a9f9851ba8bbc97f898cac0c0d58b2219149d6cc07250dbf3183e6021f16	database_profile_hold	data/processed/public_tf_union_expansion_v1/comprehensive_interaction_promotion_v1/tflink_database_profile_hold_source_audit.tsv	Recovered from the TFLink per-protein target table rather than GMT membership alone. The attached PubMed ID identifies the source database paper; the underlying experiment accession/original paper was not supplied in this TFLink row.	Exact TFLink organism match; no cross-species or reverse-direction inference. ChIP-seq association does not establish causal expression or activation direction.	true	false	false	staged_review_only	false
PTF-MODULE-20B-000008	20B	adcyap1|dip2a|human	public_tf_comprehensive_069	tflink_source_adcyap1_dip2a_human_tflink_human_001561_a510b1da4da0	TFLink_database_only_source_recovery_v1		adcyap1	ADCYAP1	ADCYAP1	DIP2A	human	20B	20B_target_interaction	Z_already_promoted	already_promoted_followup	promoted_followup_queue	comprehensive_public_interaction_catalog	tflink_source_table_high_throughput_association	tflink_exact_high_throughput_binding_record_primary_source_metadata	C_tflink_source_table_only	C_tflink_source_table_only	1	promoted overlay evidence tier	not_identified_outside_tflink_source_table	0	tflink_source_table_exact_pair		promote_to_comprehensive_binding_association_catalog	Exact TFLink target-table row; detection_method=chromatin immunoprecipitation assay; source_database=GTRD; large-scale association record.	not_assessed_in_tflink_source_table	not_assessed	not_assessed	https://pubmed.ncbi.nlm.nih.gov/27924024/			https://tflink.net/download/#interaction-gmt	TFLink	tflink:human:001561:a510b1da4da0	TFLink	tflink:human:001561:a510b1da4da0	GTRD	chromatin immunoprecipitation assay	27924024	https://cdn.netbiol.org/tflink/proteinDownload_targets/TFLink_targets_of_P18509.tsv	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_protein_targets_v1/human_P18509_targets.tsv	c9a05136bf2a398b8a2d549157c8402ebd702c8d8d7ae500532aeed9a130f3c5	database_profile_hold	data/processed/public_tf_union_expansion_v1/comprehensive_interaction_promotion_v1/tflink_database_profile_hold_source_audit.tsv	Recovered from the TFLink per-protein target table rather than GMT membership alone. The attached PubMed ID identifies the source database paper; the underlying experiment accession/original paper was not supplied in this TFLink row.	Exact TFLink organism match; no cross-species or reverse-direction inference. ChIP-seq association does not establish causal expression or activation direction.	true	false	false	staged_review_only	false
PTF-MODULE-20B-000009	20B	adnp|ada|human		public_tf_evidence_batch023_pair_23_1			adnp	ADNP		ADA	human	20B	adjudicated_database_archive	Z_adjudicated_database_only	archive_or_hold	adjudicated_database_archive				D_database_only_no_pair_evidence	D_database_only_no_pair_evidence	0	completed search found only database/profile/membership evidence			binding_profile_only_not_promotable		retain_human_binding_profile_lead_separately								https://www.gsea-msigdb.org/gsea/msigdb/cards/ADNP_TARGET_GENES;https://pubmed.ncbi.nlm.nih.gov/30445619/			TFLink	tflink:human:001059:68b0d35ff216									Retain the adjudicated database/profile-only provenance; do not promote or repeat the search unless a new traceable source is found.		false	false	false	staged_low_tier_screening_only	false
PTF-MODULE-20B-000010	20B	adnp|ang|human		public_tf_evidence_batch023_pair_23_2			adnp	ADNP		ANG	human	20B	adjudicated_database_archive	Z_adjudicated_database_only	archive_or_hold	adjudicated_database_archive				D_database_only_no_pair_evidence	D_database_only_no_pair_evidence	0	completed search found only database/profile/membership evidence			binding_profile_only_not_promotable		retain_human_binding_profile_lead_separately								https://www.gsea-msigdb.org/gsea/msigdb/cards/ADNP_TARGET_GENES;https://pubmed.ncbi.nlm.nih.gov/30445619/			TFLink	tflink:human:001059:68b0d35ff216									Retain the adjudicated database/profile-only provenance; do not promote or repeat the search unless a new traceable source is found.		false	false	false	staged_low_tier_screening_only	false
