promotion_id	regulator_symbol	target_symbol	species_scope	context_level_exact_pair	source_registry	source_record_id	source_database	detection_method	pubmed_id	small_scale_evidence	tflink_source_url	raw_snapshot_path	raw_snapshot_sha256	snapshot_exists	snapshot_sha256_match	snapshot_row_regulator_match	snapshot_row_target_match	snapshot_row_organism_match	snapshot_row_source_match	source_chain_status	audit_basis
public_tf_comprehensive_062	ABCC9/SUR2	Abca1	mouse	L0_no_context_evidence	TFLink	tflink:mouse:000941:00eb4586fdbc	GTRD	chromatin immunoprecipitation assay	27924024	No	https://cdn.netbiol.org/tflink/proteinDownload_targets/TFLink_targets_of_P70170.tsv	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_protein_targets_v1/mouse_P70170_targets.tsv	183392eabc4b58b4a03afefdc53cf4231e80ed99e23346b71e34ad06b0ee7051	true	true	true	true	true	true	verified_tflink_gtrd_snapshot_pair	Exact C-tier pair matched to the species-specific TFLink raw snapshot; snapshot checksum and GTRD metadata were checked. This verifies provenance only and does not establish context or causality.
public_tf_comprehensive_063	ABCC9/SUR2	Ackr4	mouse	L0_no_context_evidence	TFLink	tflink:mouse:000941:00eb4586fdbc	GTRD	chromatin immunoprecipitation assay	27924024	No	https://cdn.netbiol.org/tflink/proteinDownload_targets/TFLink_targets_of_P70170.tsv	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_protein_targets_v1/mouse_P70170_targets.tsv	183392eabc4b58b4a03afefdc53cf4231e80ed99e23346b71e34ad06b0ee7051	true	true	true	true	true	true	verified_tflink_gtrd_snapshot_pair	Exact C-tier pair matched to the species-specific TFLink raw snapshot; snapshot checksum and GTRD metadata were checked. This verifies provenance only and does not establish context or causality.
public_tf_comprehensive_064	ABCC9/SUR2	Acvr1	mouse	L0_no_context_evidence	TFLink	tflink:mouse:000941:00eb4586fdbc	GTRD	chromatin immunoprecipitation assay	27924024	No	https://cdn.netbiol.org/tflink/proteinDownload_targets/TFLink_targets_of_P70170.tsv	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_protein_targets_v1/mouse_P70170_targets.tsv	183392eabc4b58b4a03afefdc53cf4231e80ed99e23346b71e34ad06b0ee7051	true	true	true	true	true	true	verified_tflink_gtrd_snapshot_pair	Exact C-tier pair matched to the species-specific TFLink raw snapshot; snapshot checksum and GTRD metadata were checked. This verifies provenance only and does not establish context or causality.
public_tf_comprehensive_065	ABCC9/SUR2	Adam17	mouse	L0_no_context_evidence	TFLink	tflink:mouse:000941:00eb4586fdbc	GTRD	chromatin immunoprecipitation assay	27924024	No	https://cdn.netbiol.org/tflink/proteinDownload_targets/TFLink_targets_of_P70170.tsv	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_protein_targets_v1/mouse_P70170_targets.tsv	183392eabc4b58b4a03afefdc53cf4231e80ed99e23346b71e34ad06b0ee7051	true	true	true	true	true	true	verified_tflink_gtrd_snapshot_pair	Exact C-tier pair matched to the species-specific TFLink raw snapshot; snapshot checksum and GTRD metadata were checked. This verifies provenance only and does not establish context or causality.
public_tf_comprehensive_066	ADA2/CECR1	CCKBR	human	L0_no_context_evidence	TFLink	tflink:human:001336:43f9f0d36efa	GTRD	chromatin immunoprecipitation assay	27924024	No	https://cdn.netbiol.org/tflink/proteinDownload_targets/TFLink_targets_of_Q9NZK5.tsv	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_protein_targets_v1/human_Q9NZK5_targets.tsv	af88a9f9851ba8bbc97f898cac0c0d58b2219149d6cc07250dbf3183e6021f16	true	true	true	true	true	true	verified_tflink_gtrd_snapshot_pair	Exact C-tier pair matched to the species-specific TFLink raw snapshot; snapshot checksum and GTRD metadata were checked. This verifies provenance only and does not establish context or causality.
public_tf_comprehensive_067	ADA2/CECR1	FGF7	human	L0_no_context_evidence	TFLink	tflink:human:001336:43f9f0d36efa	GTRD	chromatin immunoprecipitation assay	27924024	No	https://cdn.netbiol.org/tflink/proteinDownload_targets/TFLink_targets_of_Q9NZK5.tsv	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_protein_targets_v1/human_Q9NZK5_targets.tsv	af88a9f9851ba8bbc97f898cac0c0d58b2219149d6cc07250dbf3183e6021f16	true	true	true	true	true	true	verified_tflink_gtrd_snapshot_pair	Exact C-tier pair matched to the species-specific TFLink raw snapshot; snapshot checksum and GTRD metadata were checked. This verifies provenance only and does not establish context or causality.
public_tf_comprehensive_068	ADA2/CECR1	HMGB1	human	L0_no_context_evidence	TFLink	tflink:human:001336:43f9f0d36efa	GTRD	chromatin immunoprecipitation assay	27924024	No	https://cdn.netbiol.org/tflink/proteinDownload_targets/TFLink_targets_of_Q9NZK5.tsv	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_protein_targets_v1/human_Q9NZK5_targets.tsv	af88a9f9851ba8bbc97f898cac0c0d58b2219149d6cc07250dbf3183e6021f16	true	true	true	true	true	true	verified_tflink_gtrd_snapshot_pair	Exact C-tier pair matched to the species-specific TFLink raw snapshot; snapshot checksum and GTRD metadata were checked. This verifies provenance only and does not establish context or causality.
public_tf_comprehensive_069	ADCYAP1	DIP2A	human	L0_no_context_evidence	TFLink	tflink:human:001561:a510b1da4da0	GTRD	chromatin immunoprecipitation assay	27924024	No	https://cdn.netbiol.org/tflink/proteinDownload_targets/TFLink_targets_of_P18509.tsv	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_protein_targets_v1/human_P18509_targets.tsv	c9a05136bf2a398b8a2d549157c8402ebd702c8d8d7ae500532aeed9a130f3c5	true	true	true	true	true	true	verified_tflink_gtrd_snapshot_pair	Exact C-tier pair matched to the species-specific TFLink raw snapshot; snapshot checksum and GTRD metadata were checked. This verifies provenance only and does not establish context or causality.
public_tf_comprehensive_070	ADCYAP1	EHBP1L1	human	L0_no_context_evidence	TFLink	tflink:human:001561:a510b1da4da0	GTRD	chromatin immunoprecipitation assay	27924024	No	https://cdn.netbiol.org/tflink/proteinDownload_targets/TFLink_targets_of_P18509.tsv	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_protein_targets_v1/human_P18509_targets.tsv	c9a05136bf2a398b8a2d549157c8402ebd702c8d8d7ae500532aeed9a130f3c5	true	true	true	true	true	true	verified_tflink_gtrd_snapshot_pair	Exact C-tier pair matched to the species-specific TFLink raw snapshot; snapshot checksum and GTRD metadata were checked. This verifies provenance only and does not establish context or causality.
public_tf_comprehensive_071	ADCYAP1	GLYCTK	human	L0_no_context_evidence	TFLink	tflink:human:001561:a510b1da4da0	GTRD	chromatin immunoprecipitation assay	27924024	No	https://cdn.netbiol.org/tflink/proteinDownload_targets/TFLink_targets_of_P18509.tsv	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_protein_targets_v1/human_P18509_targets.tsv	c9a05136bf2a398b8a2d549157c8402ebd702c8d8d7ae500532aeed9a130f3c5	true	true	true	true	true	true	verified_tflink_gtrd_snapshot_pair	Exact C-tier pair matched to the species-specific TFLink raw snapshot; snapshot checksum and GTRD metadata were checked. This verifies provenance only and does not establish context or causality.
