candidate_unit_id	review_batch	normalized_ligand_key	normalized_receptor_key	disposition	matched_graph_edge_ids	supporting_primary_locators	reviewed_source_locators	evidence_layer	species_support	evidence_summary	limitations	review_status
LR:CHAT+SLC10A4>CHRM1	batch_001	CHAT+SLC10A4	CHRM1	reject_precursor_or_non_edge_form				candidate_only_unverified		The public row uses CHAT acetylcholine-synthesis machinery together with SLC10A4, SLC18A3 or SLC5A7 transport components as the ligand label rather than mature extracellular acetylcholine.	Represent acetylcholine synthesis, vesicular loading and release separately; do not materialize enzyme/transporter composites as direct muscarinic or nicotinic ligand-receptor edges.	reviewed_batch_001
LR:CHAT+SLC10A4>CHRM2	batch_001	CHAT+SLC10A4	CHRM2	reject_precursor_or_non_edge_form				candidate_only_unverified		The public row uses CHAT acetylcholine-synthesis machinery together with SLC10A4, SLC18A3 or SLC5A7 transport components as the ligand label rather than mature extracellular acetylcholine.	Represent acetylcholine synthesis, vesicular loading and release separately; do not materialize enzyme/transporter composites as direct muscarinic or nicotinic ligand-receptor edges.	reviewed_batch_001
LR:CHAT+SLC10A4>CHRM3	batch_001	CHAT+SLC10A4	CHRM3	reject_precursor_or_non_edge_form				candidate_only_unverified		The public row uses CHAT acetylcholine-synthesis machinery together with SLC10A4, SLC18A3 or SLC5A7 transport components as the ligand label rather than mature extracellular acetylcholine.	Represent acetylcholine synthesis, vesicular loading and release separately; do not materialize enzyme/transporter composites as direct muscarinic or nicotinic ligand-receptor edges.	reviewed_batch_001
LR:CHAT+SLC10A4>CHRM4	batch_001	CHAT+SLC10A4	CHRM4	reject_precursor_or_non_edge_form				candidate_only_unverified		The public row uses CHAT acetylcholine-synthesis machinery together with SLC10A4, SLC18A3 or SLC5A7 transport components as the ligand label rather than mature extracellular acetylcholine.	Represent acetylcholine synthesis, vesicular loading and release separately; do not materialize enzyme/transporter composites as direct muscarinic or nicotinic ligand-receptor edges.	reviewed_batch_001
LR:CHAT+SLC10A4>CHRM5	batch_001	CHAT+SLC10A4	CHRM5	reject_precursor_or_non_edge_form				candidate_only_unverified		The public row uses CHAT acetylcholine-synthesis machinery together with SLC10A4, SLC18A3 or SLC5A7 transport components as the ligand label rather than mature extracellular acetylcholine.	Represent acetylcholine synthesis, vesicular loading and release separately; do not materialize enzyme/transporter composites as direct muscarinic or nicotinic ligand-receptor edges.	reviewed_batch_001
LR:CHAT+SLC10A4>CHRNA1+CHRNB1+CHRND	batch_001	CHAT+SLC10A4	CHRNA1+CHRNB1+CHRND	reject_precursor_or_non_edge_form				candidate_only_unverified		The public row uses CHAT acetylcholine-synthesis machinery together with SLC10A4, SLC18A3 or SLC5A7 transport components as the ligand label rather than mature extracellular acetylcholine.	Represent acetylcholine synthesis, vesicular loading and release separately; do not materialize enzyme/transporter composites as direct muscarinic or nicotinic ligand-receptor edges.	reviewed_batch_001
LR:CHAT+SLC10A4>CHRNA3+CHRNB4	batch_001	CHAT+SLC10A4	CHRNA3+CHRNB4	reject_precursor_or_non_edge_form				candidate_only_unverified		The public row uses CHAT acetylcholine-synthesis machinery together with SLC10A4, SLC18A3 or SLC5A7 transport components as the ligand label rather than mature extracellular acetylcholine.	Represent acetylcholine synthesis, vesicular loading and release separately; do not materialize enzyme/transporter composites as direct muscarinic or nicotinic ligand-receptor edges.	reviewed_batch_001
LR:CHAT+SLC10A4>CHRNA4+CHRNB2	batch_001	CHAT+SLC10A4	CHRNA4+CHRNB2	reject_precursor_or_non_edge_form				candidate_only_unverified		The public row uses CHAT acetylcholine-synthesis machinery together with SLC10A4, SLC18A3 or SLC5A7 transport components as the ligand label rather than mature extracellular acetylcholine.	Represent acetylcholine synthesis, vesicular loading and release separately; do not materialize enzyme/transporter composites as direct muscarinic or nicotinic ligand-receptor edges.	reviewed_batch_001
LR:CHAT+SLC10A4>CHRNA7	batch_001	CHAT+SLC10A4	CHRNA7	reject_precursor_or_non_edge_form				candidate_only_unverified		The public row uses CHAT acetylcholine-synthesis machinery together with SLC10A4, SLC18A3 or SLC5A7 transport components as the ligand label rather than mature extracellular acetylcholine.	Represent acetylcholine synthesis, vesicular loading and release separately; do not materialize enzyme/transporter composites as direct muscarinic or nicotinic ligand-receptor edges.	reviewed_batch_001
LR:CHAT+SLC18A3>CHRM1	batch_001	CHAT+SLC18A3	CHRM1	reject_precursor_or_non_edge_form				candidate_only_unverified		The public row uses CHAT acetylcholine-synthesis machinery together with SLC10A4, SLC18A3 or SLC5A7 transport components as the ligand label rather than mature extracellular acetylcholine.	Represent acetylcholine synthesis, vesicular loading and release separately; do not materialize enzyme/transporter composites as direct muscarinic or nicotinic ligand-receptor edges.	reviewed_batch_001
LR:CHAT+SLC18A3>CHRM2	batch_001	CHAT+SLC18A3	CHRM2	reject_precursor_or_non_edge_form				candidate_only_unverified		The public row uses CHAT acetylcholine-synthesis machinery together with SLC10A4, SLC18A3 or SLC5A7 transport components as the ligand label rather than mature extracellular acetylcholine.	Represent acetylcholine synthesis, vesicular loading and release separately; do not materialize enzyme/transporter composites as direct muscarinic or nicotinic ligand-receptor edges.	reviewed_batch_001
LR:CHAT+SLC18A3>CHRM3	batch_001	CHAT+SLC18A3	CHRM3	reject_precursor_or_non_edge_form				candidate_only_unverified		The public row uses CHAT acetylcholine-synthesis machinery together with SLC10A4, SLC18A3 or SLC5A7 transport components as the ligand label rather than mature extracellular acetylcholine.	Represent acetylcholine synthesis, vesicular loading and release separately; do not materialize enzyme/transporter composites as direct muscarinic or nicotinic ligand-receptor edges.	reviewed_batch_001
LR:CHAT+SLC18A3>CHRM4	batch_001	CHAT+SLC18A3	CHRM4	reject_precursor_or_non_edge_form				candidate_only_unverified		The public row uses CHAT acetylcholine-synthesis machinery together with SLC10A4, SLC18A3 or SLC5A7 transport components as the ligand label rather than mature extracellular acetylcholine.	Represent acetylcholine synthesis, vesicular loading and release separately; do not materialize enzyme/transporter composites as direct muscarinic or nicotinic ligand-receptor edges.	reviewed_batch_001
LR:CHAT+SLC18A3>CHRM5	batch_001	CHAT+SLC18A3	CHRM5	reject_precursor_or_non_edge_form				candidate_only_unverified		The public row uses CHAT acetylcholine-synthesis machinery together with SLC10A4, SLC18A3 or SLC5A7 transport components as the ligand label rather than mature extracellular acetylcholine.	Represent acetylcholine synthesis, vesicular loading and release separately; do not materialize enzyme/transporter composites as direct muscarinic or nicotinic ligand-receptor edges.	reviewed_batch_001
LR:CHAT+SLC5A7>CHRM1	batch_001	CHAT+SLC5A7	CHRM1	reject_precursor_or_non_edge_form				candidate_only_unverified		The public row uses CHAT acetylcholine-synthesis machinery together with SLC10A4, SLC18A3 or SLC5A7 transport components as the ligand label rather than mature extracellular acetylcholine.	Represent acetylcholine synthesis, vesicular loading and release separately; do not materialize enzyme/transporter composites as direct muscarinic or nicotinic ligand-receptor edges.	reviewed_batch_001
LR:CHAT+SLC5A7>CHRM2	batch_001	CHAT+SLC5A7	CHRM2	reject_precursor_or_non_edge_form				candidate_only_unverified		The public row uses CHAT acetylcholine-synthesis machinery together with SLC10A4, SLC18A3 or SLC5A7 transport components as the ligand label rather than mature extracellular acetylcholine.	Represent acetylcholine synthesis, vesicular loading and release separately; do not materialize enzyme/transporter composites as direct muscarinic or nicotinic ligand-receptor edges.	reviewed_batch_001
LR:CHAT+SLC5A7>CHRM3	batch_001	CHAT+SLC5A7	CHRM3	reject_precursor_or_non_edge_form				candidate_only_unverified		The public row uses CHAT acetylcholine-synthesis machinery together with SLC10A4, SLC18A3 or SLC5A7 transport components as the ligand label rather than mature extracellular acetylcholine.	Represent acetylcholine synthesis, vesicular loading and release separately; do not materialize enzyme/transporter composites as direct muscarinic or nicotinic ligand-receptor edges.	reviewed_batch_001
LR:CHAT+SLC5A7>CHRM4	batch_001	CHAT+SLC5A7	CHRM4	reject_precursor_or_non_edge_form				candidate_only_unverified		The public row uses CHAT acetylcholine-synthesis machinery together with SLC10A4, SLC18A3 or SLC5A7 transport components as the ligand label rather than mature extracellular acetylcholine.	Represent acetylcholine synthesis, vesicular loading and release separately; do not materialize enzyme/transporter composites as direct muscarinic or nicotinic ligand-receptor edges.	reviewed_batch_001
LR:CHAT+SLC5A7>CHRM5	batch_001	CHAT+SLC5A7	CHRM5	reject_precursor_or_non_edge_form				candidate_only_unverified		The public row uses CHAT acetylcholine-synthesis machinery together with SLC10A4, SLC18A3 or SLC5A7 transport components as the ligand label rather than mature extracellular acetylcholine.	Represent acetylcholine synthesis, vesicular loading and release separately; do not materialize enzyme/transporter composites as direct muscarinic or nicotinic ligand-receptor edges.	reviewed_batch_001
