candidate_unit_id	review_batch	normalized_ligand_key	normalized_receptor_key	disposition	matched_graph_edge_ids	supporting_primary_locators	reviewed_source_locators	evidence_layer	species_support	evidence_summary	limitations	review_status
LR:TULP1>MERTK	batch_130	TULP1	MERTK	already_present_exact_or_alias	M21B-E006156	DOI:10.1038/emboj.2010.265; PMCID:PMC3020645; PMID:20978472		ligand_receptor_binding_or_activation;downstream_or_functional	both	The public TULP1-MERTK row is already represented by graph edge(s) M21B-E006156. The public locators are pathway or database records, while the existing graph edge-source records provide primary-supported TULP1-MerTK/TYRO3 interactions, ADAM15-alphaVbeta3 binding, BAI1-RTN4R binding, ALKAL1-LTK and ALKAL2-ALK/LTK activation, mature AMH-AMHR2 binding and evidence-bounded AMH type-I-receptor-complex records at the stated molecular resolution.	Do not add a duplicate edge or collapse TULP1 TAM-receptor spectrum, ADAM15 RGD disintegrin-domain binding, BAI1 TSR3 glycosylation and RTN4R trans-complexes, ALKAL1/ALKAL2 ligand hierarchy, mature AMH dimer/prodomain processing, or AMH BMPR1A/ACVR1 type-I co-receptor redundancy into autonomous binary receptors. Preserve ligand domain, processing, glycosylation, receptor-complex and co-receptor resolution, species and assay limits, and the distinction between binding, receptor-proximal signaling and functional output; the frozen AMH type-I rows remain evidence-bounded where no stable primary locator is present, and the existing edges do not assert a universal intracellular cascade or terminal TF route.	reviewed_batch_130
LR:TULP1>TYRO3	batch_130	TULP1	TYRO3	already_present_exact_or_alias	M21B-E006157	DOI:10.1038/emboj.2010.265; PMCID:PMC3020645; PMID:20978472		ligand_receptor_binding_or_activation	both	The public TULP1-TYRO3 row is already represented by graph edge(s) M21B-E006157. The public locators are pathway or database records, while the existing graph edge-source records provide primary-supported TULP1-MerTK/TYRO3 interactions, ADAM15-alphaVbeta3 binding, BAI1-RTN4R binding, ALKAL1-LTK and ALKAL2-ALK/LTK activation, mature AMH-AMHR2 binding and evidence-bounded AMH type-I-receptor-complex records at the stated molecular resolution.	Do not add a duplicate edge or collapse TULP1 TAM-receptor spectrum, ADAM15 RGD disintegrin-domain binding, BAI1 TSR3 glycosylation and RTN4R trans-complexes, ALKAL1/ALKAL2 ligand hierarchy, mature AMH dimer/prodomain processing, or AMH BMPR1A/ACVR1 type-I co-receptor redundancy into autonomous binary receptors. Preserve ligand domain, processing, glycosylation, receptor-complex and co-receptor resolution, species and assay limits, and the distinction between binding, receptor-proximal signaling and functional output; the frozen AMH type-I rows remain evidence-bounded where no stable primary locator is present, and the existing edges do not assert a universal intracellular cascade or terminal TF route.	reviewed_batch_130
LR:ADAM15>ITGAV	batch_130	ADAM15	ITGAV	already_present_exact_or_alias	M21B-E005592	PMID:15618016; PMID:9516430		ligand_receptor_binding_or_activation;downstream_or_functional	human	The public ADAM15-ITGAV row is already represented by graph edge(s) M21B-E005592. The public locators are pathway or database records, while the existing graph edge-source records provide primary-supported TULP1-MerTK/TYRO3 interactions, ADAM15-alphaVbeta3 binding, BAI1-RTN4R binding, ALKAL1-LTK and ALKAL2-ALK/LTK activation, mature AMH-AMHR2 binding and evidence-bounded AMH type-I-receptor-complex records at the stated molecular resolution.	Do not add a duplicate edge or collapse TULP1 TAM-receptor spectrum, ADAM15 RGD disintegrin-domain binding, BAI1 TSR3 glycosylation and RTN4R trans-complexes, ALKAL1/ALKAL2 ligand hierarchy, mature AMH dimer/prodomain processing, or AMH BMPR1A/ACVR1 type-I co-receptor redundancy into autonomous binary receptors. Preserve ligand domain, processing, glycosylation, receptor-complex and co-receptor resolution, species and assay limits, and the distinction between binding, receptor-proximal signaling and functional output; the frozen AMH type-I rows remain evidence-bounded where no stable primary locator is present, and the existing edges do not assert a universal intracellular cascade or terminal TF route.	reviewed_batch_130
LR:ADGRB1>RTN4R	batch_130	ADGRB1	RTN4R	already_present_exact_or_alias	M21B-E002176	PMCID:PMC8620742; PMID:34758294		ligand_receptor_binding_or_activation;downstream_or_functional	both	The public ADGRB1-RTN4R row is already represented by graph edge(s) M21B-E002176. The public locators are pathway or database records, while the existing graph edge-source records provide primary-supported TULP1-MerTK/TYRO3 interactions, ADAM15-alphaVbeta3 binding, BAI1-RTN4R binding, ALKAL1-LTK and ALKAL2-ALK/LTK activation, mature AMH-AMHR2 binding and evidence-bounded AMH type-I-receptor-complex records at the stated molecular resolution.	Do not add a duplicate edge or collapse TULP1 TAM-receptor spectrum, ADAM15 RGD disintegrin-domain binding, BAI1 TSR3 glycosylation and RTN4R trans-complexes, ALKAL1/ALKAL2 ligand hierarchy, mature AMH dimer/prodomain processing, or AMH BMPR1A/ACVR1 type-I co-receptor redundancy into autonomous binary receptors. Preserve ligand domain, processing, glycosylation, receptor-complex and co-receptor resolution, species and assay limits, and the distinction between binding, receptor-proximal signaling and functional output; the frozen AMH type-I rows remain evidence-bounded where no stable primary locator is present, and the existing edges do not assert a universal intracellular cascade or terminal TF route.	reviewed_batch_130
LR:ALKAL1>LTK	batch_130	ALKAL1	LTK	already_present_exact_or_alias	M21B-E006180	DOI:10.1073/pnas.1414841111; PMID:25331893		ligand_receptor_binding_or_activation;receptor_proximal_or_pathway	human	The public ALKAL1-LTK row is already represented by graph edge(s) M21B-E006180. The public locators are pathway or database records, while the existing graph edge-source records provide primary-supported TULP1-MerTK/TYRO3 interactions, ADAM15-alphaVbeta3 binding, BAI1-RTN4R binding, ALKAL1-LTK and ALKAL2-ALK/LTK activation, mature AMH-AMHR2 binding and evidence-bounded AMH type-I-receptor-complex records at the stated molecular resolution.	Do not add a duplicate edge or collapse TULP1 TAM-receptor spectrum, ADAM15 RGD disintegrin-domain binding, BAI1 TSR3 glycosylation and RTN4R trans-complexes, ALKAL1/ALKAL2 ligand hierarchy, mature AMH dimer/prodomain processing, or AMH BMPR1A/ACVR1 type-I co-receptor redundancy into autonomous binary receptors. Preserve ligand domain, processing, glycosylation, receptor-complex and co-receptor resolution, species and assay limits, and the distinction between binding, receptor-proximal signaling and functional output; the frozen AMH type-I rows remain evidence-bounded where no stable primary locator is present, and the existing edges do not assert a universal intracellular cascade or terminal TF route.	reviewed_batch_130
LR:ALKAL2>ALK	batch_130	ALKAL2	ALK	already_present_exact_or_alias	M21B-E006182	DOI:10.7554/eLife.09811; PMCID:PMC4658194; PMID:26418745		ligand_receptor_binding_or_activation;receptor_proximal_or_pathway;downstream_or_functional	human	The public ALKAL2-ALK row is already represented by graph edge(s) M21B-E006182. The public locators are pathway or database records, while the existing graph edge-source records provide primary-supported TULP1-MerTK/TYRO3 interactions, ADAM15-alphaVbeta3 binding, BAI1-RTN4R binding, ALKAL1-LTK and ALKAL2-ALK/LTK activation, mature AMH-AMHR2 binding and evidence-bounded AMH type-I-receptor-complex records at the stated molecular resolution.	Do not add a duplicate edge or collapse TULP1 TAM-receptor spectrum, ADAM15 RGD disintegrin-domain binding, BAI1 TSR3 glycosylation and RTN4R trans-complexes, ALKAL1/ALKAL2 ligand hierarchy, mature AMH dimer/prodomain processing, or AMH BMPR1A/ACVR1 type-I co-receptor redundancy into autonomous binary receptors. Preserve ligand domain, processing, glycosylation, receptor-complex and co-receptor resolution, species and assay limits, and the distinction between binding, receptor-proximal signaling and functional output; the frozen AMH type-I rows remain evidence-bounded where no stable primary locator is present, and the existing edges do not assert a universal intracellular cascade or terminal TF route.	reviewed_batch_130
LR:ALKAL2>LTK	batch_130	ALKAL2	LTK	already_present_exact_or_alias	M21B-E006181	DOI:10.1073/pnas.1414841111; PMID:25331893		ligand_receptor_binding_or_activation;receptor_proximal_or_pathway	human	The public ALKAL2-LTK row is already represented by graph edge(s) M21B-E006181. The public locators are pathway or database records, while the existing graph edge-source records provide primary-supported TULP1-MerTK/TYRO3 interactions, ADAM15-alphaVbeta3 binding, BAI1-RTN4R binding, ALKAL1-LTK and ALKAL2-ALK/LTK activation, mature AMH-AMHR2 binding and evidence-bounded AMH type-I-receptor-complex records at the stated molecular resolution.	Do not add a duplicate edge or collapse TULP1 TAM-receptor spectrum, ADAM15 RGD disintegrin-domain binding, BAI1 TSR3 glycosylation and RTN4R trans-complexes, ALKAL1/ALKAL2 ligand hierarchy, mature AMH dimer/prodomain processing, or AMH BMPR1A/ACVR1 type-I co-receptor redundancy into autonomous binary receptors. Preserve ligand domain, processing, glycosylation, receptor-complex and co-receptor resolution, species and assay limits, and the distinction between binding, receptor-proximal signaling and functional output; the frozen AMH type-I rows remain evidence-bounded where no stable primary locator is present, and the existing edges do not assert a universal intracellular cascade or terminal TF route.	reviewed_batch_130
LR:AMH>ACVR1	batch_130	AMH	ACVR1	already_present_exact_or_alias	M20B-E002544			ligand_receptor_or_direct_molecular	mouse	The public AMH-ACVR1 row is already represented by graph edge(s) M20B-E002544. The public locators are pathway or database records, while the existing graph edge-source records provide primary-supported TULP1-MerTK/TYRO3 interactions, ADAM15-alphaVbeta3 binding, BAI1-RTN4R binding, ALKAL1-LTK and ALKAL2-ALK/LTK activation, mature AMH-AMHR2 binding and evidence-bounded AMH type-I-receptor-complex records at the stated molecular resolution.	Do not add a duplicate edge or collapse TULP1 TAM-receptor spectrum, ADAM15 RGD disintegrin-domain binding, BAI1 TSR3 glycosylation and RTN4R trans-complexes, ALKAL1/ALKAL2 ligand hierarchy, mature AMH dimer/prodomain processing, or AMH BMPR1A/ACVR1 type-I co-receptor redundancy into autonomous binary receptors. Preserve ligand domain, processing, glycosylation, receptor-complex and co-receptor resolution, species and assay limits, and the distinction between binding, receptor-proximal signaling and functional output; the frozen AMH type-I rows remain evidence-bounded where no stable primary locator is present, and the existing edges do not assert a universal intracellular cascade or terminal TF route.	reviewed_batch_130
LR:AMH>AMHR2	batch_130	AMH	AMHR2	already_present_exact_or_alias	M20B-E001797;M20B-E001798;M20B-E002544;M21B-E003273	DOI:10.1073/pnas.2104809118; PMCID:PMC8256043; PMID:34155118		ligand_receptor_or_direct_molecular;ligand_receptor_binding_or_activation	mouse; human	The public AMH-AMHR2 row is already represented by graph edge(s) M20B-E001797;M20B-E001798;M20B-E002544;M21B-E003273. The public locators are pathway or database records, while the existing graph edge-source records provide primary-supported TULP1-MerTK/TYRO3 interactions, ADAM15-alphaVbeta3 binding, BAI1-RTN4R binding, ALKAL1-LTK and ALKAL2-ALK/LTK activation, mature AMH-AMHR2 binding and evidence-bounded AMH type-I-receptor-complex records at the stated molecular resolution.	Do not add a duplicate edge or collapse TULP1 TAM-receptor spectrum, ADAM15 RGD disintegrin-domain binding, BAI1 TSR3 glycosylation and RTN4R trans-complexes, ALKAL1/ALKAL2 ligand hierarchy, mature AMH dimer/prodomain processing, or AMH BMPR1A/ACVR1 type-I co-receptor redundancy into autonomous binary receptors. Preserve ligand domain, processing, glycosylation, receptor-complex and co-receptor resolution, species and assay limits, and the distinction between binding, receptor-proximal signaling and functional output; the frozen AMH type-I rows remain evidence-bounded where no stable primary locator is present, and the existing edges do not assert a universal intracellular cascade or terminal TF route.	reviewed_batch_130
LR:AMH>BMPR1A	batch_130	AMH	BMPR1A	already_present_exact_or_alias	M20B-E001797			ligand_receptor_or_direct_molecular	mouse	The public AMH-BMPR1A row is already represented by graph edge(s) M20B-E001797. The public locators are pathway or database records, while the existing graph edge-source records provide primary-supported TULP1-MerTK/TYRO3 interactions, ADAM15-alphaVbeta3 binding, BAI1-RTN4R binding, ALKAL1-LTK and ALKAL2-ALK/LTK activation, mature AMH-AMHR2 binding and evidence-bounded AMH type-I-receptor-complex records at the stated molecular resolution.	Do not add a duplicate edge or collapse TULP1 TAM-receptor spectrum, ADAM15 RGD disintegrin-domain binding, BAI1 TSR3 glycosylation and RTN4R trans-complexes, ALKAL1/ALKAL2 ligand hierarchy, mature AMH dimer/prodomain processing, or AMH BMPR1A/ACVR1 type-I co-receptor redundancy into autonomous binary receptors. Preserve ligand domain, processing, glycosylation, receptor-complex and co-receptor resolution, species and assay limits, and the distinction between binding, receptor-proximal signaling and functional output; the frozen AMH type-I rows remain evidence-bounded where no stable primary locator is present, and the existing edges do not assert a universal intracellular cascade or terminal TF route.	reviewed_batch_130
