candidate_unit_id	source_databases	ligand_components	receptor_components	source_ligand	source_receptor	source_record_ids	pathways	annotations	evidence_notes	primary_evidence_gate	independent_public_source_count	independent_public_sources	primary_locator_count	review_priority_score	normalized_ligand_key	normalized_receptor_key	normalization_match	review_lane	matched_graph_edge_ids	matched_graph_edges	review_priority_rank_value	review_batch	prior_harvest_disposition	prior_harvest_primary_locators	review_status	reason	review_resolution	review_resolution_primary_locators	review_resolution_notes	review_resolution_status
LR:LRRC4B>PTPRS	CellChatDB.mouse;LIANA.mouseconsensus;NicheNet.neutral_v1;master_LR_union	LRRC4B	PTPRS	Lrrc4b	Ptprs	LRRC4B_PTPRS	PTPR	Cell-Cell Contact	PMID: 23916315;PMID: 29674953	primary_locator_present_unverified	4		2		LRRC4B	PTPRS	graph_match_alias_adjudication	completed_prior_harvest	M21B-E002125;M23B-E000978	LRRC4B/NGL-3>PTPRS;NGL3/LRRC4B>PTPRS/PTPσ	70		already_present_alias_and_primary	PMID:20139422;PMID:23345436	candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit				
LR:PTN>SDC1	CellChatDB.mouse;LIANA.mouseconsensus;NicheNet.neutral_v1;master_LR_union	PTN	SDC1	Ptn	Sdc1	PTN_SDC1	PTN	Secreted Signaling	 PMID: 25620911;PMID: 28356350	primary_locator_present_unverified	4		2		PTN	SDC1	graph_match_alias_adjudication	completed_prior_harvest	M21B-E011609	PTN/pleiotrophin>SDC1/syndecan-1	70		new_graph_edge	PMID:15226297	candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit				
LR:PTN>SDC4	CellChatDB.mouse;LIANA.mouseconsensus;NicheNet.neutral_v1;master_LR_union	PTN	SDC4	Ptn	Sdc4	PTN_SDC4	PTN	Secreted Signaling	 PMID: 25620911;PMID: 28356350	primary_locator_present_unverified	4		2		PTN	SDC4	graph_match_alias_adjudication	completed_prior_harvest	M21B-E011610	PTN/pleiotrophin>SDC4/syndecan-4	70		new_graph_edge	PMID:15226297	candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit				
LR:APP>CD74	CellChatDB.mouse;LIANA.mouseconsensus;NicheNet.neutral_v1;master_LR_union	APP	CD74	App	Cd74	APP_CD74	APP	Cell-Cell Contact	PMID: 19849849	primary_locator_present_unverified	4		1		APP	CD74	graph_match_alias_adjudication	completed_prior_harvest	M21B-E006161	APP/amyloid precursor protein>CD74/invariant chain	65		already_present_noncanonical_interaction	PMID:19849849	candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit				
LR:BTLA>TNFRSF14	CellChatDB.mouse;LIANA.mouseconsensus;NicheNet.neutral_v1;master_LR_union	BTLA	TNFRSF14	Btla	Tnfrsf14	BTLA_TNFRSF14	BTLA	Secreted Signaling	PMID: 21941365	primary_locator_present_unverified	4		1		BTLA	TNFRSF14	graph_match_alias_adjudication	completed_prior_harvest	M21B-E003112	BTLA/B and T lymphocyte attenuator>HVEM/TNFRSF14	65		already_present_correct_primary	PMID:16169851	candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit				
LR:C3>CR2	CellChatDB.mouse;LIANA.mouseconsensus;NicheNet.neutral_v1;master_LR_union	C3	CR2	C3	Cr2	C3_CR2	COMPLEMENT	Secreted Signaling	PMID: 16234578	primary_locator_present_unverified	4		1		C3	CR2	graph_match_alias_adjudication	completed_prior_harvest	M24B-E000014	C3 breakdown fragments>CR2 domain of engineered CR2-Crry	65		already_present_processed_fragment_form	PMID:11034390;PMID:7868901;PMID:11352728	candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit				
LR:DLL4>NOTCH2	CellChatDB.mouse;LIANA.mouseconsensus;NicheNet.neutral_v1;master_LR_union	DLL4	NOTCH2	Dll4	Notch2	DLL4_NOTCH2	NOTCH	Cell-Cell Contact	PMID: 22353464	primary_locator_present_unverified	4		1		DLL4	NOTCH2	graph_match_alias_adjudication	represented_graph_alias	M21B-E006623	DLL4/Delta-like ligand 4>NOTCH2 receptor	65				candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit				
LR:EFNA2>EPHA3	CellChatDB.mouse;LIANA.mouseconsensus;NicheNet.neutral_v1;master_LR_union	EFNA2	EPHA3	Efna2	Epha3	EFNA2_EPHA3	EPHA	Cell-Cell Contact	PMID: 15114347	primary_locator_present_unverified	4		1		EFNA2	EPHA3	graph_match_alias_adjudication	represented_graph_alias	M21B-E005633;M23B-E000435	EFNA2/ephrin-A2>EPHA3;EFNA2/ephrin-A2>EPHA3/EphA3 receptor	65				candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit				
LR:EFNA3>EPHA2	CellChatDB.mouse;LIANA.mouseconsensus;NicheNet.neutral_v1;master_LR_union	EFNA3	EPHA2	Efna3	Epha2	EFNA3_EPHA2	EPHA	Cell-Cell Contact	PMID: 15114347	primary_locator_present_unverified	4		1		EFNA3	EPHA2	graph_match_alias_adjudication	represented_graph_alias	M23B-E000438	EFNA3/ephrin-A3>EPHA2	65				candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit				
LR:EFNA3>EPHA4	CellChatDB.mouse;LIANA.mouseconsensus;NicheNet.neutral_v1;master_LR_union	EFNA3	EPHA4	Efna3	Epha4	EFNA3_EPHA4	EPHA	Cell-Cell Contact	PMID: 15114347	primary_locator_present_unverified	4		1		EFNA3	EPHA4	graph_match_alias_adjudication	completed_batch_review	M21B-E005848;M23B-E000294	EFNA3/ephrin-A3>EPHA4/EphA4 receptor;Efna3>Epha4 forward signaling	65				candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit	new_primary_supported_edge_candidate	PMID:22568954; PMID:10366629	Primary pull-down, mass-spectrometry and binding studies identify EphA4 as an ephrin-A3-associated receptor in adult mouse hippocampus and connect the pair to dendritic-spine, astrocyte glutamate-uptake and synaptic-plasticity context, while rat striatal assays show tissue-dependent selectivity toward EphA7; this supports a bounded EFNA3-EPHA4 edge rather than universal EphA4 specificity.	reviewed_batch_073
