node_id	role	role_source	role_evidence
NODE00001	signaling_cascade	module20_24_export	Node participates in at least one evidence-gated exported mechanism edge.
NODE00002	signaling_cascade	module20_24_export	Node participates in at least one evidence-gated exported mechanism edge.
NODE00003	signaling_cascade	module20_24_export	Node participates in at least one evidence-gated exported mechanism edge.
NODE00004	signaling_cascade	module20_24_export	Node participates in at least one evidence-gated exported mechanism edge.
NODE00005	signaling_cascade	module20_24_export	Node participates in at least one evidence-gated exported mechanism edge.
NODE00006	signaling_cascade	module20_24_export	Node participates in at least one evidence-gated exported mechanism edge.
NODE00007	signaling_cascade	module20_24_export	Node participates in at least one evidence-gated exported mechanism edge.
NODE00008	signaling_cascade	module20_24_export	Node participates in at least one evidence-gated exported mechanism edge.
NODE00009	signaling_cascade	module20_24_export	Node participates in at least one evidence-gated exported mechanism edge.
NODE00010	signaling_cascade	module20_24_export	Node participates in at least one evidence-gated exported mechanism edge.
NODE00011	signaling_cascade	module20_24_export	Node participates in at least one evidence-gated exported mechanism edge.
NODE00012	signaling_cascade	module20_24_export	Node participates in at least one evidence-gated exported mechanism edge.
NODE00013	signaling_cascade	module20_24_export	Node participates in at least one evidence-gated exported mechanism edge.
NODE00014	signaling_cascade	module20_24_export	Node participates in at least one evidence-gated exported mechanism edge.
NODE00015	signaling_cascade	module20_24_export	Node participates in at least one evidence-gated exported mechanism edge.
NODE00016	signaling_cascade	module20_24_export	Node participates in at least one evidence-gated exported mechanism edge.
NODE00017	signaling_cascade	module20_24_export	Node participates in at least one evidence-gated exported mechanism edge.
NODE00018	signaling_cascade	module20_24_export	Node participates in at least one evidence-gated exported mechanism edge.
NODE00019	signaling_cascade	module20_24_export	Node participates in at least one evidence-gated exported mechanism edge.
NODE00020	signaling_cascade	module20_24_export	Node participates in at least one evidence-gated exported mechanism edge.
NODE00021	signaling_cascade	module20_24_export	Node participates in at least one evidence-gated exported mechanism edge.
NODE00022	signaling_cascade	module20_24_export	Node participates in at least one evidence-gated exported mechanism edge.
NODE00023	signaling_cascade	module20_24_export	Node participates in at least one evidence-gated exported mechanism edge.
NODE00024	signaling_cascade	module20_24_export	Node participates in at least one evidence-gated exported mechanism edge.
NODE00025	signaling_cascade	module20_24_export	Node participates in at least one evidence-gated exported mechanism edge.
NODE00026	signaling_cascade	module20_24_export	Node participates in at least one evidence-gated exported mechanism edge.
NODE00027	signaling_cascade	module20_24_export	Node participates in at least one evidence-gated exported mechanism edge.
NODE00028	ligand	register_ligand_receptor_layer	edge=M23B-E000848; evidence=M23B-EVID-001147
NODE00028	signaling_cascade	module20_24_export	Node participates in at least one evidence-gated exported mechanism edge.
NODE00029	signaling_cascade	module20_24_export	Node participates in at least one evidence-gated exported mechanism edge.
NODE00029	target_gene	register_target_gene_layer	edge=M22B-E008002; evidence=M22B-EVID-008175 || edge=M22B-E008140; evidence=M22B-EVID-008313 || edge=M22B-E008634; evidence=M22B-EVID-008807
NODE00030	signaling_cascade	module20_24_export	Node participates in at least one evidence-gated exported mechanism edge.
NODE00030	target_gene	register_target_gene_layer	edge=M22B-E009099; evidence=M22B-EVID-009272
NODE00031	signaling_cascade	module20_24_export	Node participates in at least one evidence-gated exported mechanism edge.
NODE00031	target_gene	register_target_gene_layer	edge=M22B-E008445; evidence=M22B-EVID-008618
NODE00032	signaling_cascade	module20_24_export	Node participates in at least one evidence-gated exported mechanism edge.
NODE00032	target_gene	register_target_gene_layer	edge=M22B-E009100; evidence=M22B-EVID-009273
NODE00033	signaling_cascade	module20_24_export	Node participates in at least one evidence-gated exported mechanism edge.
NODE00033	target_gene	register_target_gene_layer	edge=M22B-E008751; evidence=M22B-EVID-008924
NODE00034	signaling_cascade	module20_24_export	Node participates in at least one evidence-gated exported mechanism edge.
NODE00034	target_gene	register_target_gene_layer	edge=M22B-E008373; evidence=M22B-EVID-008546
NODE00035	signaling_cascade	module20_24_export	Node participates in at least one evidence-gated exported mechanism edge.
NODE00035	target_gene	register_target_gene_layer	edge=M22B-E009101; evidence=M22B-EVID-009274
NODE00036	signaling_cascade	module20_24_export	Node participates in at least one evidence-gated exported mechanism edge.
NODE00036	target_gene	register_target_gene_layer	edge=M22B-E009102; evidence=M22B-EVID-009275
NODE00037	signaling_cascade	module20_24_export	Node participates in at least one evidence-gated exported mechanism edge.
