module	pathway_name	evidence_layer	edge_status	export_priority	nonexportable_edge_count
20B	Pathway not established	boundary	low_evidence	exclude	1713
20B	Pathway not established	boundary	no_evidence	exclude	2147
20B	Pathway not established	boundary	non_ligand_receptor	exclude	716
20B	Pathway not established	ligand_receptor_or_direct_molecular	frozen_lr_supported	exclude	183
20B	Pathway not established	ligand_receptor_or_direct_molecular	frozen_lr_supported	high	2
21B	ALCAM-homophilic-adhesion	ligand_receptor_binding_or_activation;downstream_or_functional	validated_primary_exact_layer	medium	1
21B	BT-IgSF-homophilic-neural-adhesion	ligand_receptor_binding_or_activation;downstream_or_functional	validated_primary_exact_layer	medium	1
21B	CD99L2-homophilic-adhesion	ligand_receptor_binding_or_activation;downstream_or_functional	validated_primary_exact_layer	medium	1
21B	CLMP-homophilic-epithelial-junction-adhesion	ligand_receptor_binding_or_activation;downstream_or_functional	validated_primary_exact_layer	medium	1
21B	CLSTN1-homophilic-cadherin-adhesion	ligand_receptor_binding_or_activation;downstream_or_functional	validated_primary_exact_layer	medium	1
21B	CLSTN2-homophilic-cadherin-adhesion	ligand_receptor_binding_or_activation;downstream_or_functional	validated_primary_exact_layer	medium	1
21B	CLSTN3-homophilic-cadherin-adhesion	ligand_receptor_binding_or_activation;downstream_or_functional	validated_primary_exact_layer	medium	1
21B	CXADR-homophilic-tight-junction-adhesion	ligand_receptor_binding_or_activation;downstream_or_functional	validated_primary_exact_layer	medium	1
21B	ESAM-homophilic-endothelial-junctional-adhesion	ligand_receptor_binding_or_activation;downstream_or_functional	validated_primary_exact_layer	medium	1
21B	JAMA-homophilic-adhesion	ligand_receptor_binding_or_activation;downstream_or_functional	validated_primary_exact_layer	medium	1
21B	JAMC-homophilic-adhesion-tumor-endothelial	ligand_receptor_binding_or_activation;downstream_or_functional	validated_primary_exact_layer	medium	1
21B	KIRREL3-homophilic-synaptic-adhesion	ligand_receptor_binding_or_activation;downstream_or_functional	validated_primary_exact_layer	medium	1
21B	NEPH1-homophilic-slit-diaphragm-adhesion	ligand_receptor_binding_or_activation;downstream_or_functional	validated_primary_exact_layer	medium	1
21B	Nephrin-homophilic-slit-diaphragm-adhesion	ligand_receptor_binding_or_activation;downstream_or_functional	validated_primary_exact_layer	medium	1
21B	PECAM1-homophilic-adhesion	ligand_receptor_binding_or_activation;downstream_or_functional	validated_primary_exact_layer	medium	1
21B	PTPRK-homophilic-cell-adhesion	ligand_receptor_binding_or_activation;downstream_or_functional	validated_primary_exact_layer	medium	1
21B	PTPRM-homophilic-cell-adhesion	ligand_receptor_binding_or_activation;downstream_or_functional	validated_primary_exact_layer	medium	1
21B	PTPRT-homophilic-neural-adhesion	ligand_receptor_binding_or_activation;downstream_or_functional	validated_primary_exact_layer	medium	1
21B	SDK1-homophilic-retinal-adhesion	ligand_receptor_binding_or_activation;downstream_or_functional	validated_primary_exact_layer	medium	1
21B	SDK2-homophilic-retinal-adhesion	ligand_receptor_binding_or_activation;downstream_or_functional	validated_primary_exact_layer	medium	1
22B	none_identified	boundary	no_evidence_boundary	medium	34
22B	none_identified	downstream_or_functional	no_evidence_boundary	medium	4925
22B	none_identified	downstream_or_functional	unresolved	medium	9
22B	target_gene	downstream_or_functional	reviewed_regulatory_support	medium-high	2
23B	CADM3 homophilic adhesion	ligand_receptor_or_direct_molecular	reviewed_first_pass	P2	1
23B	CALR-alphaV integrin function	downstream_or_functional	held_unresolved_exact_pair	P2	1
23B	CALR-alphaV intracellular association	ligand_receptor_or_direct_molecular	held_unresolved_exact_pair	P2	1
23B	Claudin-2 homophilic adhesion and metastatic cell–hepatocyte interaction	downstream_or_functional	staged_primary_review	P2	1
23B	Claudin-2 homophilic adhesion and metastatic cell–hepatocyte interaction	ligand_receptor_or_direct_molecular	staged_primary_review	P2	1
23B	EphA2–ephrin-A3 adhesion and hypoxia-sensitive SREBP1/ACLY output	ligand_receptor_or_direct_molecular	held_unresolved_exact_directness	P2	1
24B	FLRT3 homophilic adhesion	ligand_receptor_or_direct_molecular	reviewed_batch002B	P2	1
24B	PCDHGC5 homophilic synaptic adhesion	ligand_receptor_or_direct_molecular	reviewed_batch003A	P2	1
