expansion_id	source_queue_id	path_expression	route_tier	known_layers	missing_layers	intracellular_status	ligand_node_id	ligand_label	ligand_receptor_edge_id	receptor_node_id	receptor_label	transcription_factor_node_id	transcription_factor_label	target_gene_node_id	target_gene_label	output_label	pathway_name	input_evidence_type	output_evidence_type	evidence_ids	source_evidence_record_id	route_linkage_status	causal_status	traversal_status	source_chain_id	route_status	evidence_contract_version	evidence_polarity	negative_evidence_status	evidence_directness	output_class	species_context	cell_type_context	compartment_context	injury_context	context_scope	assay_or_perturbation	effect_polarity	source_scope	primary_locator	citation_note	evidence_summary	limitations	curation_status	route_evidence_id
M21B-LITEXP-0815	M21B-DOWNSTREAM:00075	ligand>receptor>????>????>output	ligand_receptor_output_annotation_missing_intracellular_and_tf	ligand|receptor|cellular_functional_readout	intracellular_continuation|transcription_factor	not_assayed	NODE02337	COL1A1/collagen I	M21B-E000279	NODE05721	ITGA1:ITGB1 integrin					Collagen-I-GFOGER-alpha1beta1-dependent cell-adhesion output	CollagenI-alpha1beta1-adhesion	primary_literature_route_expansion	primary_receptor_output_annotation	M21B-E000279;M21B-EVID-000145;M21B-DOWNSTREAM-EVID:000145;PMID:10617582	M21B-DOWNSTREAM-EVID:000145	literature_expansion:primary_route_annotation	not_asserted	evidence_route_not_causal	M21B-LITEXP-0815	retained_evidence_route	mechanism_evidence_v1	supports	not_evaluated	assay_or_readout_term	cellular_functional_readout	human	Recombinant integrin A-domains and integrin-expressing adhesion assays; native triple-helical collagen I motif binding	Extracellular collagen-I GFOGER recognition by alpha1beta1 integrin; intracellular relay and TF are not assigned	No SCI transfer inferred; biochemical and adhesion-model context only	Primary evidence supports a collagen-I GFOGER-dependent alpha1beta1 adhesion output without inferring a downstream signaling chain.	GFOGER peptide binding, recombinant A-domain assays, divalent-cation dependence and alpha1beta1-mediated cell adhesion	activating	direct_edge	PMID:10617582	Primary collagen-I GFOGER recognition and alpha1beta1 adhesion study	Primary evidence supports recognition of the triple-helical GFOGER motif by alpha1beta1 and alpha2beta1 integrins and alpha1beta1-dependent cell adhesion; intracellular continuation and TF layers remain unresolved.	Preserve triple-helical collagen I, GFOGER/hydroxyproline motif and cation dependence; no universal collagen relay or SCI inference.	curated_primary_route	LITEXP:000815
M21B-LITEXP-0816	M21B-DOWNSTREAM:00076	ligand>receptor>????>????>output	ligand_receptor_output_annotation_missing_intracellular_and_tf	ligand|receptor|cellular_functional_readout	intracellular_continuation|transcription_factor	not_assayed	NODE02337	COL1A1/collagen I	M21B-E000280	NODE05730	ITGA2:ITGB1 integrin					Collagen-I-GFOGER-alpha2beta1-dependent cell-adhesion output	CollagenI-alpha2beta1-adhesion	primary_literature_route_expansion	primary_receptor_output_annotation	M21B-E000280;M21B-EVID-000146;M21B-DOWNSTREAM-EVID:000146;PMID:10617582	M21B-DOWNSTREAM-EVID:000146	literature_expansion:primary_route_annotation	not_asserted	evidence_route_not_causal	M21B-LITEXP-0816	retained_evidence_route	mechanism_evidence_v1	supports	not_evaluated	assay_or_readout_term	cellular_functional_readout	human	Recombinant integrin A-domains and integrin-expressing adhesion assays; native triple-helical collagen I motif binding	Extracellular collagen-I GFOGER recognition by alpha2beta1 integrin; intracellular relay and TF are not assigned	No SCI transfer inferred; biochemical and adhesion-model context only	Primary evidence supports a collagen-I GFOGER-dependent alpha2beta1 adhesion output without inferring a downstream signaling chain.	GFOGER peptide binding, recombinant A-domain assays, divalent-cation dependence and alpha2beta1-mediated cell adhesion	activating	direct_edge	PMID:10617582	Primary collagen-I GFOGER recognition and alpha2beta1 adhesion study	Primary evidence supports recognition of the triple-helical GFOGER motif by alpha2beta1 and alpha1beta1 integrins and alpha2beta1-dependent cell adhesion; intracellular continuation and TF layers remain unresolved.	Preserve triple-helical collagen I, GFOGER/hydroxyproline motif and cation dependence; GPVI is a separate collagen receptor and no SCI inference is added.	curated_primary_route	LITEXP:000816
M21B-LITEXP-0817	M21B-DOWNSTREAM:00151	ligand>receptor>????>????>output	ligand_receptor_output_annotation_missing_intracellular_and_tf	ligand|receptor|phosphorylation_or_activation_readout	intracellular_continuation|transcription_factor	not_assayed	NODE01700	CCL25/TECK	M21B-E000414	NODE00148	ACKR4/CCRL1					CCL25-ACKR4 chemokine internalization and beta-arrestin recruitment output	CCL25-ACKR4-scavenging	primary_literature_route_expansion	primary_receptor_output_annotation	M21B-E000414;M21B-EVID-000266;M21B-DOWNSTREAM-EVID:000266;PMID:32391018;PMID:16791897	M21B-DOWNSTREAM-EVID:000266	literature_expansion:primary_route_annotation	not_asserted	evidence_route_not_causal	M21B-LITEXP-0817	retained_evidence_route	mechanism_evidence_v1	supports	not_evaluated	assay_or_readout_term	phosphorylation_or_activation_readout	human	Human ACKR4 expression and chemokine-receptor trafficking assays; CCL25 stimulation and receptor internalization	Extracellular CCL25 engagement of ACKR4 with chemokine scavenging and beta-arrestin/GRK3-associated output; canonical G-protein relay and TF are not assigned	No SCI transfer inferred; receptor-trafficking context only	Primary evidence supports CCL25 internalization and beta-arrestin recruitment at ACKR4 while not establishing Erk, Akt or Src activation.	CCL25 stimulation, ACKR4 internalization, beta-arrestin recruitment and kinase-activation assays	unknown	direct_edge	PMID:32391018; PMID:16791897	Primary ACKR4 chemokine-scavenging and receptor-trafficking studies	Primary evidence supports CCL25 recognition and internalization by ACKR4 with beta-arrestin recruitment, while the reported absence of Erk1/2, Akt or Src activation prevents assigning a canonical intracellular continuation or TF.	Preserve atypical scavenging and beta-arrestin/GRK3 context; do not infer a canonical G-protein, Erk/Akt/Src relay or CNS/SCI claim.	curated_primary_route	LITEXP:000817
M21B-LITEXP-0818	M21B-DOWNSTREAM:00186	ligand>receptor>????>????>output	ligand_receptor_output_annotation_missing_intracellular_and_tf	ligand|receptor|cellular_functional_readout	intracellular_continuation|transcription_factor	not_assayed	NODE00556	ANGPT2	M21B-E000506	NODE05781	ITGA5:ITGB1 integrin					Angiopoietin-2-alpha5beta1 endothelial destabilization output	ANGPT2-alpha5beta1-integrin-signaling	primary_literature_route_expansion	primary_receptor_output_annotation	M21B-E000506;M21B-EVID-000312;M21B-DOWNSTREAM-EVID:000312;PMID:25635707;PMCID:PMC4316742	M21B-DOWNSTREAM-EVID:000312	literature_expansion:primary_route_annotation	not_asserted	evidence_route_not_causal	M21B-LITEXP-0818	retained_evidence_route	mechanism_evidence_v1	supports	not_evaluated	assay_or_readout_term	cellular_functional_readout	human; mouse	Endothelial and heterologous integrin assays with Ang2 stimulation; alpha5beta1 binding and endothelial morphology/function readouts	Extracellular ANGPT2 association with beta1-containing alpha5beta1 integrin and endothelial destabilization output; intracellular relay and TF are not assigned	No SCI transfer inferred; vascular endothelial context only	Primary evidence supports Ang2-beta1 integrin association and endothelial destabilization-related functional output without assigning the intracellular pathway.	Ang2-integrin binding, integrin activation, actin-stress-fiber and endothelial barrier/function assays	activating	direct_edge	PMID:25635707; PMCID:PMC4316742	Primary Ang2-beta1 integrin endothelial-destabilization study	Primary evidence supports Ang2 binding to beta1 integrin and alpha5beta1-associated endothelial destabilization readouts; intracellular continuation and TF layers remain unresolved.	Preserve beta1-subunit direct-binding evidence and alpha5beta1 endothelial context; do not generalize to all beta1 integrins or infer Tie2-independent SCI signaling.	curated_primary_route	LITEXP:000818
M21B-LITEXP-0819	M21B-DOWNSTREAM:00205	ligand>receptor>????>????>output	ligand_receptor_output_annotation_missing_intracellular_and_tf	ligand|receptor|phosphorylation_or_activation_readout	intracellular_continuation|transcription_factor	not_assayed	NODE03610	FGF19	M21B-E000549	NODE03662	FGFR2c:beta-Klotho receptor complex					FGF19-beta-Klotho-FGFR2c receptor activation output	FGF19-betaKlotho-FGFR2c-endocrine-signaling	primary_literature_route_expansion	primary_receptor_output_annotation	M21B-E000549;M21B-EVID-000341;M21B-DOWNSTREAM-EVID:000341;PMID:17623664	M21B-DOWNSTREAM-EVID:000341	literature_expansion:primary_route_annotation	not_asserted	evidence_route_not_causal	M21B-LITEXP-0819	retained_evidence_route	mechanism_evidence_v1	supports	not_evaluated	assay_or_readout_term	phosphorylation_or_activation_readout	human	HEK293 receptor-reconstitution and adipocyte/hepatocyte FGF-response systems with beta-Klotho and FGFR isoforms	Extracellular FGF19 engagement of beta-Klotho-FGFR2c with FRS2/ERK and transcriptional reporter readouts; intracellular relay and TF are not assigned	No SCI transfer inferred; endocrine and heterologous receptor-reconstitution context only	Primary evidence supports beta-Klotho-dependent FGF19 activation through FGFR2c-containing receptor complexes without assigning a complete intracellular or TF route.	FGFR/beta-Klotho reconstitution, FGF19 stimulation, receptor binding, FRS2/ERK phosphorylation and Egr-1 reporter assays	activating	direct_edge	PMID:17623664	Primary FGF19 beta-Klotho-FGFR isoform-specific activation study	Primary evidence supports beta-Klotho-dependent FGF19 interaction with FGFR complexes and receptor activation readouts in reconstituted systems; intracellular continuation and terminal TF layers remain unresolved.	Preserve beta-Klotho and FGFR2c isoform requirement plus heterologous/high-dose assay context; do not generalize to FGF19 physiological selectivity or SCI.	curated_primary_route	LITEXP:000819
M21B-LITEXP-0820	M21B-DOWNSTREAM:00206	ligand>receptor>????>????>output	ligand_receptor_output_annotation_missing_intracellular_and_tf	ligand|receptor|phosphorylation_or_activation_readout	intracellular_continuation|transcription_factor	not_assayed	NODE03610	FGF19	M21B-E000550	NODE03668	FGFR3c:beta-Klotho receptor complex					FGF19-beta-Klotho-FGFR3c receptor activation output	FGF19-betaKlotho-FGFR3c-endocrine-signaling	primary_literature_route_expansion	primary_receptor_output_annotation	M21B-E000550;M21B-EVID-000343;M21B-DOWNSTREAM-EVID:000343;PMID:17623664	M21B-DOWNSTREAM-EVID:000343	literature_expansion:primary_route_annotation	not_asserted	evidence_route_not_causal	M21B-LITEXP-0820	retained_evidence_route	mechanism_evidence_v1	supports	not_evaluated	assay_or_readout_term	phosphorylation_or_activation_readout	human	HEK293 receptor-reconstitution and FGF-response systems with beta-Klotho and FGFR isoforms	Extracellular FGF19 engagement of beta-Klotho-FGFR3c with receptor-activation readouts; intracellular relay and TF are not assigned	No SCI transfer inferred; endocrine and heterologous receptor-reconstitution context only	Primary evidence supports beta-Klotho-dependent FGF19 interaction with FGFR3c-containing receptor complexes without assigning a complete intracellular or TF route.	FGFR/beta-Klotho reconstitution, FGF19 stimulation, receptor binding and phosphorylation or second-messenger assays	activating	direct_edge	PMID:17623664	Primary FGF19 beta-Klotho-FGFR isoform-specific activation study	Primary evidence supports beta-Klotho-dependent FGF19 interaction with FGFR complexes and isoform-dependent activation readouts; intracellular continuation and terminal TF layers remain unresolved.	Preserve beta-Klotho and FGFR3c isoform requirement plus heterologous/high-dose assay context; do not generalize to FGF19 physiological selectivity or SCI.	curated_primary_route	LITEXP:000820
M21B-LITEXP-0821	M21B-DOWNSTREAM:00274	ligand>receptor>????>????>output	ligand_receptor_output_annotation_missing_intracellular_and_tf	ligand|receptor|cellular_functional_readout	intracellular_continuation|transcription_factor	not_assayed	NODE10201	SEMA7A	M21B-E000646	NODE05721	ITGA1:ITGB1 integrin					SEMA7A-alpha1beta1 immune-cell activation and inflammatory output	SEMA7A-alpha1beta1-immune-inflammation	primary_literature_route_expansion	primary_receptor_output_annotation	M21B-E000646;M21B-EVID-000443;M21B-DOWNSTREAM-EVID:000443;PMID:17377534;DOI:10.1038/nature05652	M21B-DOWNSTREAM-EVID:000443	literature_expansion:primary_route_annotation	not_asserted	evidence_route_not_causal	M21B-LITEXP-0821	retained_evidence_route	mechanism_evidence_v1	supports	not_evaluated	assay_or_readout_term	cellular_functional_readout	mouse	Mouse immune-cell and experimental autoimmune encephalomyelitis models; membrane-associated SEMA7A and alpha1beta1 integrin perturbation	Membrane-presented SEMA7A association with alpha1beta1 integrin and immune-inflammatory functional output; intracellular relay and TF are not assigned	Autoimmune neuroinflammation context; no traumatic-SCI transfer inferred	Primary evidence supports SEMA7A-alpha1beta1-associated immune-inflammatory function while preserving its membrane and disease-model boundaries.	SEMA7A stimulation or blockade, alpha1beta1 integrin perturbation and immune-inflammatory functional assays	activating	direct_edge	PMID:17377534; DOI:10.1038/nature05652	Primary SEMA7A-alpha1beta1 immune-inflammatory study	Primary evidence supports a membrane-associated SEMA7A-alpha1beta1 functional route in immune inflammation; intracellular continuation and TF layers remain unresolved.	Preserve GPI-anchored or membrane SEMA7A, alpha1beta1 immunological-synapse topology and autoimmune context; no SCI or universal intracellular relay inference.	curated_primary_route	LITEXP:000821
M21B-LITEXP-0822	M21B-DOWNSTREAM:00295	ligand>receptor>????>????>output	ligand_receptor_output_annotation_missing_intracellular_and_tf	ligand|receptor|phosphorylation_or_activation_readout	intracellular_continuation|transcription_factor	not_assayed	NODE07200	MIF/macrophage migration inhibitory factor	M21B-E000687	NODE01953	CD74:CD44 receptor complex					MIF-CD74:CD44-associated ERK phosphorylation and proliferative output	MIF-CD74-CD44-ERK-receptor-complex	primary_literature_route_expansion	primary_receptor_output_annotation	M21B-E000687;M21B-EVID-000482;M21B-DOWNSTREAM-EVID:000482;PMID:12782713;PMCID:PMC2193907;PMID:17045821	M21B-DOWNSTREAM-EVID:000482	literature_expansion:primary_route_annotation	not_asserted	evidence_route_not_causal	M21B-LITEXP-0822	retained_evidence_route	mechanism_evidence_v1	supports	not_evaluated	assay_or_readout_term	phosphorylation_or_activation_readout	human	Human fibroblast and CD74/CD44 receptor-expression systems; recombinant MIF and receptor-blockade assays	Extracellular MIF binding through CD74 with CD44-dependent ERK1/2 phosphorylation and proliferative output; intracellular relay beyond ERK and TF are not assigned	No SCI transfer inferred; inflammatory fibroblast and receptor-reconstitution context only	Primary evidence supports CD74 as the MIF-binding component and intact CD44 as the signaling component, with ERK phosphorylation and proliferation as bounded outputs.	MIF stimulation, CD74 or CD44 blockade, ERK1/2 phosphorylation, soluble-CD74 binding and proliferation assays	activating	direct_edge	PMID:12782713; PMCID:PMC2193907; DOI:10.1084/jem.20030286; PMID:17045821	Primary MIF-CD74-CD44 receptor-complex and ERK signaling studies	Primary evidence supports MIF binding to CD74 and CD44-dependent ERK1/2 phosphorylation and proliferation; the route remains unresolved beyond the receptor-associated ERK output and does not assign a TF.	CD74 is the ligand-binding component and CD44 the signaling component; MIF does not directly bind CD44. Preserve receptor-complex and cell-context semantics; no CNS/SCI inference.	curated_primary_route	LITEXP:000822
M21B-LITEXP-0823	M21B-DOWNSTREAM:00315	ligand>receptor>????>????>output	ligand_receptor_output_annotation_missing_intracellular_and_tf	ligand|receptor|gene_expression_or_transcription	intracellular_continuation|transcription_factor	not_assayed	NODE05348	IL19	M21B-E000743	NODE05399	IL20RA:IL20RB receptor complex					IL-19-IL20RA:IL20RB receptor-dependent STAT and reporter output	IL19-IL20RA-IL20RB	primary_literature_route_expansion	primary_receptor_output_annotation	M21B-E000743;M21B-EVID-000518;M21B-DOWNSTREAM-EVID:000518;PMID:12351624;PMID:17083366	M21B-DOWNSTREAM-EVID:000518	literature_expansion:primary_route_annotation	not_asserted	evidence_route_not_causal	M21B-LITEXP-0823	retained_evidence_route	mechanism_evidence_v1	supports	not_evaluated	assay_or_readout_term	gene_expression_or_transcription	human	Human receptor-transfection and cytokine-response cell systems; IL-19 stimulation with reporter, proliferation and STAT-activation assays	Extracellular IL-19 engagement of the IL20RA-IL20RB receptor complex with reporter, STAT and functional outputs; intracellular relay and terminal TF are not assigned	No SCI transfer inferred; cytokine receptor-reconstitution context only	Primary evidence supports IL-19 signaling through IL20RA/IL20RB with receptor-complex-specific functional and transcriptional readouts.	IL-19 stimulation, IL20RA/IL20RB receptor reconstitution, reporter, proliferation and direct STAT-activation assays	activating	direct_edge	PMID:12351624; PMID:17083366	Primary IL-19, IL-20 and IL-24 receptor-complex specificity study	Primary evidence supports IL-19 signaling through IL20RA/IL20RB in receptor-transfected systems with reporter, proliferation and STAT-activation readouts; the route does not assign a specific intracellular relay or terminal TF.	Preserve IL-19-dependent type-I receptor signaling and receptor-transfection context; do not transfer IL-20 or IL-24 type-II receptor usage to IL-19.	curated_primary_route	LITEXP:000823
M21B-LITEXP-0824	M21B-DOWNSTREAM:00325	ligand>receptor>????>????>output	ligand_receptor_output_annotation_missing_intracellular_and_tf	ligand|receptor|cellular_functional_readout	intracellular_continuation|transcription_factor	not_assayed	NODE10378	SLIT3	M21B-E000825	NODE09808	ROBO4					SLIT3-ROBO4 endothelial migration, motility and angiogenic output	SLIT3-ROBO4-angiogenic-guidance	primary_literature_route_expansion	primary_receptor_output_annotation	M21B-E000825;M21B-EVID-000545;M21B-DOWNSTREAM-EVID:000545;PMID:19741192	M21B-DOWNSTREAM-EVID:000545	literature_expansion:primary_route_annotation	not_asserted	evidence_route_not_causal	M21B-LITEXP-0824	retained_evidence_route	mechanism_evidence_v1	supports	not_evaluated	assay_or_readout_term	cellular_functional_readout	human; mouse; rat	Human endothelial cells, mouse lung endothelial cells and rat vascular smooth-muscle cells; SLIT3 stimulation and Robo4 blockade or binding assays	Secreted SLIT3 engagement of endothelial ROBO4 with Rho-GTPase, migration, network formation and angiogenic outputs; intracellular relay and TF are not assigned	No SCI transfer inferred; developmental and vascular angiogenesis context only	Primary evidence supports SLIT3-ROBO4-associated endothelial motility and angiogenesis while preserving the vascular model boundary.	SLIT3 stimulation, Robo4 binding or antibody blockade, endothelial migration, chemotaxis, Rho-GTPase and vascular-network assays	activating	direct_edge	PMID:19741192	Primary SLIT3-ROBO4 endothelial angiogenesis study	Primary evidence supports SLIT3 interaction with Robo4 and endothelial proliferation, motility, chemotaxis and vascular-network outputs; intracellular continuation and TF layers remain unresolved.	Promote at the Slit3-Robo4 endothelial binding and angiogenic-function layer; preserve vascular model and Robo4-specific blockade, and do not infer CNS/SCI or intracellular kinase mechanisms.	curated_primary_route	LITEXP:000824
