resource_key	canonical_communication_id	source_record_key	source_record_key_kind	record_kind	native_ligand	native_receptor	normalized_ligand	normalized_receptor	original_values_json	normalized_values_json	transform_notes	evidence_status	method_score_json
mscs_phase2:liana_mouseconsensus.tsv	MSCICOMM-e7b0a72adb5065bb22fefb8f	row:000001	generated_row_locator	direct_lr_candidate	Dll1	Notch1	Dll1	Notch1	"{""ligand"":""Dll1"",""receptor"":""Notch1""}"	"{""ligand"":""Dll1"",""receptor"":""Notch1"",""species"":""mouse""}"	Whitespace trimming only; source row retained losslessly in original_values_json.	method_resource_only	{}
mscs_phase2:liana_mouseconsensus.tsv	MSCICOMM-641bef01b1e8301cf12b00c4	row:000002	generated_row_locator	direct_lr_candidate	Dll1	Notch2	Dll1	Notch2	"{""ligand"":""Dll1"",""receptor"":""Notch2""}"	"{""ligand"":""Dll1"",""receptor"":""Notch2"",""species"":""mouse""}"	Whitespace trimming only; source row retained losslessly in original_values_json.	method_resource_only	{}
mscs_phase2:liana_mouseconsensus.tsv	MSCICOMM-6e416b2e608e8ff75bd90a3f	row:000003	generated_row_locator	direct_lr_candidate	Dll1	Notch4	Dll1	Notch4	"{""ligand"":""Dll1"",""receptor"":""Notch4""}"	"{""ligand"":""Dll1"",""receptor"":""Notch4"",""species"":""mouse""}"	Whitespace trimming only; source row retained losslessly in original_values_json.	method_resource_only	{}
mscs_phase2:liana_mouseconsensus.tsv	MSCICOMM-e0b11ed686e769367d6c8cbc	row:000004	generated_row_locator	direct_lr_candidate	Dll1	Notch3	Dll1	Notch3	"{""ligand"":""Dll1"",""receptor"":""Notch3""}"	"{""ligand"":""Dll1"",""receptor"":""Notch3"",""species"":""mouse""}"	Whitespace trimming only; source row retained losslessly in original_values_json.	method_resource_only	{}
mscs_phase2:liana_mouseconsensus.tsv	MSCICOMM-ed69dc0a254155b5e5a8b21c	row:000005	generated_row_locator	direct_lr_candidate	Nrg2	Erbb2_Erbb3	Nrg2	Erbb2_Erbb3	"{""ligand"":""Nrg2"",""receptor"":""Erbb2_Erbb3""}"	"{""ligand"":""Nrg2"",""receptor"":""Erbb2_Erbb3"",""species"":""mouse""}"	Whitespace trimming only; source row retained losslessly in original_values_json.	method_resource_only	{}
mscs_phase2:liana_mouseconsensus.tsv	MSCICOMM-ab597cef39030b55eb840c33	row:000006	generated_row_locator	direct_lr_candidate	Nrg2	Erbb2_Erbb4	Nrg2	Erbb2_Erbb4	"{""ligand"":""Nrg2"",""receptor"":""Erbb2_Erbb4""}"	"{""ligand"":""Nrg2"",""receptor"":""Erbb2_Erbb4"",""species"":""mouse""}"	Whitespace trimming only; source row retained losslessly in original_values_json.	method_resource_only	{}
mscs_phase2:liana_mouseconsensus.tsv	MSCICOMM-3d3b0b2963a60930190f0384	row:000007	generated_row_locator	direct_lr_candidate	Adam10	Tspan15	Adam10	Tspan15	"{""ligand"":""Adam10"",""receptor"":""Tspan15""}"	"{""ligand"":""Adam10"",""receptor"":""Tspan15"",""species"":""mouse""}"	Whitespace trimming only; source row retained losslessly in original_values_json.	method_resource_only	{}
mscs_phase2:liana_mouseconsensus.tsv	MSCICOMM-0b975f11002f28e421ed8870	row:000008	generated_row_locator	direct_lr_candidate	Adam10	Tspan12	Adam10	Tspan12	"{""ligand"":""Adam10"",""receptor"":""Tspan12""}"	"{""ligand"":""Adam10"",""receptor"":""Tspan12"",""species"":""mouse""}"	Whitespace trimming only; source row retained losslessly in original_values_json.	method_resource_only	{}
mscs_phase2:liana_mouseconsensus.tsv	MSCICOMM-6e906af56b3454c1d461d388	row:000009	generated_row_locator	direct_lr_candidate	Adam10	Met	Adam10	Met	"{""ligand"":""Adam10"",""receptor"":""Met""}"	"{""ligand"":""Adam10"",""receptor"":""Met"",""species"":""mouse""}"	Whitespace trimming only; source row retained losslessly in original_values_json.	method_resource_only	{}
mscs_phase2:liana_mouseconsensus.tsv	MSCICOMM-373dc6504bc76c69734897d0	row:000010	generated_row_locator	direct_lr_candidate	Adam10	Il6ra	Adam10	Il6ra	"{""ligand"":""Adam10"",""receptor"":""Il6ra""}"	"{""ligand"":""Adam10"",""receptor"":""Il6ra"",""species"":""mouse""}"	Whitespace trimming only; source row retained losslessly in original_values_json.	method_resource_only	{}
