projection_key	resource_key	method_name	projection_role	relative_path	projection_format	projection_sha256	row_count	column_count	columns_json	losslessness_status	transformation_notes
mscs_phase2:liana_mouseconsensus.tsv	mscs_phase2:liana_mouseconsensus.tsv	liana	native_input	method_native/liana_mouseconsensus.tsv	tsv	0b9e2307fcbd482bb608f118d7e03bdbfc93e58d2c2032c844b648e3cca86f71	3989	2	"[""ligand"",""receptor""]"	lossless	Byte-for-byte copy of the frozen mSCS file.
mscs_phase2:cellchat_mouse.tsv	mscs_phase2:cellchat_mouse.tsv	cellchat	native_input	method_native/cellchat_mouse.tsv	tsv	585340219264f0d44b9d1f228ee097301b0af86da6a823c7eabffb60f3cdffa7	3379	12	"[""ligand"",""receptor"",""ligand_components"",""receptor_components"",""resource"",""source_record_id"",""pathway_name"",""annotation"",""evidence"",""cofactor_annotations"",""version"",""direct_lr_candidate""]"	lossless	Byte-for-byte copy of the frozen mSCS file.
mscs_phase2:CellChatDB.mouse.rda	mscs_phase2:CellChatDB.mouse.rda	cellchat	native_source	method_native/CellChatDB.mouse.rda	rda	dd59b19646e546b3ed41f394ad2cf64cf44f3d3fcfbb58ac176f0fe1322f9413			[]	lossless	Byte-for-byte copy of the frozen mSCS file.
mscs_phase2:CellChatDB.mouse.standalone.json	mscs_phase2:CellChatDB.mouse.standalone.json	cellchat	native_input	method_native/CellChatDB.mouse.standalone.json	json	777878377aa926bdf8200edb76bba14661a403b870c798f40c3fb9dd03b3b0ae	3379	10	"[""agonist"",""annotation"",""antagonist"",""co_A_receptor"",""co_I_receptor"",""evidence"",""interaction_name"",""ligand"",""pathway_name"",""receptor""]"	lossless	Byte-for-byte copy of the frozen mSCS file.
mscs_phase2:master_lr_registry.tsv	mscs_phase2:master_lr_registry.tsv	registry	compatibility_union	method_native/master_lr_registry.tsv	tsv	d176eb074427f3ff0f8f38572799e22d22980846315c964bee5380480c42573f	9099	17	"[""registry_id"",""ligand"",""receptor"",""ligand_entity_type"",""receptor_entity_type"",""ligand_components"",""receptor_components"",""source_methods"",""source_resources"",""source_databases"",""source_record_ids"",""pathway_labels"",""interaction_annotations"",""evidence_notes"",""cofactor_annotations"",""species_scope"",""direct_lr_candidate""]"	lossless	Byte-for-byte copy of the frozen mSCS file.
mscs_phase2:nichenet_neutral_v1/ligands.tsv	mscs_phase2:nichenet_neutral_v1/ligands.tsv	nichenet	native_input	method_native/nichenet_neutral_v1/ligands.tsv	tsv	8d7ed03d765cb6444d3b472eb079dc6b54c20978c24d9f24d6bcc88df1fa3760	1287	1	"[""ligand_id""]"	lossless	Byte-for-byte copy of the frozen mSCS file.
mscs_phase2:nichenet_neutral_v1/target_genes.tsv	mscs_phase2:nichenet_neutral_v1/target_genes.tsv	nichenet	native_input	method_native/nichenet_neutral_v1/target_genes.tsv	tsv	045a4033173eb5cbd7ff02446cf9c5080de12eb1af1a1546a1aba35be517b6ee	22521	1	"[""target_id""]"	lossless	Byte-for-byte copy of the frozen mSCS file.
mscs_phase2:nichenet_neutral_v1/lr_network.tsv	mscs_phase2:nichenet_neutral_v1/lr_network.tsv	nichenet	native_input	method_native/nichenet_neutral_v1/lr_network.tsv	tsv	22279374620ff3a2ecb388107cfd7c03770e9c7c67a920ad44033179e511b282	5668	4	"[""from"",""to"",""database"",""source""]"	lossless	Byte-for-byte copy of the frozen mSCS file.
mscs_phase2:nichenet_neutral_v1/neutral_model_manifest.json	mscs_phase2:nichenet_neutral_v1/neutral_model_manifest.json	nichenet	native_manifest	method_native/nichenet_neutral_v1/neutral_model_manifest.json	json	44370631b52f3101b4a12fb6128f3b407cf5d030743de8871f56f2fcc91b90e5			[]	lossless	Byte-for-byte copy of the frozen mSCS file.
mscs_phase2:resource_manifest.json	mscs_phase2:resource_manifest.json	registry	source_manifest	method_native/resource_manifest.json	json	c8cea2914ea29ba7a8997e481782bdb05ddd2468078c4fa917738ee4d840206b			[]	lossless	Byte-for-byte copy of the frozen mSCS file.
mscs_phase2:master_lr_registry.manifest.json	mscs_phase2:master_lr_registry.manifest.json	registry	source_manifest	method_native/master_lr_registry.manifest.json	json	fc518a344be8ae5395cac6c60fb46034ee81c8f6f1f347213de3fa8060e687c3			[]	lossless	Byte-for-byte copy of the frozen mSCS file.
mscs_phase2:nichenet_neutral_v1/ligand_target_matrix.f64le.bin	mscs_phase2:nichenet_neutral_v1/ligand_target_matrix.f64le.bin	nichenet	numeric_prior_matrix	mSCS/data/external/method_resources/phase2_external_snapshot_2026-08-05/nichenet_neutral_v1/ligand_target_matrix.f64le.bin	binary	7311a7dc6bb245bdebcd97ee5f0e6974788170f8b86cea987708577c832aa0c0			[]	reference_only	Exact checksum-pinned reference; binary/RDS file is not duplicated in this Git release.
mscs_phase2:nichenet_v2_mouse/ligand_target_matrix_nsga2r_final_mouse.rds	mscs_phase2:nichenet_v2_mouse/ligand_target_matrix_nsga2r_final_mouse.rds	nichenet	native_numeric_prior	mSCS/data/external/method_resources/phase2_external_snapshot_2026-08-05/nichenet_v2_mouse/ligand_target_matrix_nsga2r_final_mouse.rds	rds	622df69272ded29fe32ff60d581527be59d01184ed17c86c8103aa4ee9d978d6			[]	reference_only	Exact checksum-pinned reference; binary/RDS file is not duplicated in this Git release.
mscs_phase2:nichenet_v2_mouse/lr_network_mouse_21122021.rds	mscs_phase2:nichenet_v2_mouse/lr_network_mouse_21122021.rds	nichenet	native_lr_resource	method_native/nichenet_v2_mouse/lr_network_mouse_21122021.rds	rds	a6f9528e567a39a3a335560bfe5440873a0c08446a422cd92f5bc9617164061e			[]	lossless	Byte-for-byte copy of the frozen mSCS file.
